date,open,high,low,close,volume
2016-01-04,46,46.07,45.42,45.86,3252491
2016-01-05,45.81,46.46,45.73,46.24,2488845
2016-01-06,45.57,46.15,45.34,45.69,2732006
2016-01-07,44.86,45.45,44.78,45.34,5250051
2016-01-08,45.43,45.56,44.66,44.71,3457266
2016-01-11,44.28,44.88,43.71,44.06,4035512
2016-01-12,44.36,44.53,43.79,44.47,3369928
2016-01-13,45.16,45.22,43.97,44.1,2837755
2016-01-14,44.24,45.61,44.08,45.23,3449063
2016-01-15,43.91,44.78,43.77,44.08,4707868
2016-01-19,44.55,44.61,43.79,44.03,2881839
2016-01-20,43.08,43.96,42.9,43.52,3197675
2016-01-21,43.88,43.98,43.31,43.57,2801456
2016-01-22,44.2,44.58,44.05,44.42,1812728
2016-01-25,44.4,44.43,43.78,43.81,2385915
2016-01-26,44.06,44.45,43.97,44.11,1587956
2016-01-27,44.09,44.54,43.59,43.85,2272922
2016-01-28,44.12,44.22,43.7,44,2048950
2016-01-29,44.35,45.33,44.24,45.3,3028623
2016-02-01,45.2,45.43,44.87,45.25,1836448
2016-02-02,44.71,44.72,44.26,44.47,2173011
2016-02-03,44.66,44.94,43.53,44.88,3120969
2016-02-04,45.31,46.43,44.98,46.01,4538014
2016-02-05,46.01,46.49,45.96,46.42,4123554
2016-02-08,45.85,47,45.84,46.72,3773680
2016-02-09,46.41,47.25,46.39,46.96,3279682
2016-02-10,47.19,48.14,47.11,47.15,2160562
2016-02-11,46.16,46.97,46.14,46.68,2424496
2016-02-12,47.39,47.71,47.17,47.64,2519625
2016-02-16,47.96,48.22,47.79,47.99,2476210
2016-02-17,48.22,48.81,48.22,48.73,2885874
2016-02-18,48.61,48.94,48.53,48.84,2806976
2016-02-19,48.62,48.89,48.5,48.68,3060075
2016-02-22,48.88,49.17,48.73,48.88,2024393
2016-02-23,48.71,48.99,48.43,48.49,2013256
2016-02-24,48.02,48.97,48,48.8,2585770
2016-02-25,48.92,49.07,48.65,49.06,2468428
2016-02-26,49.27,49.41,48.83,48.84,2146652
2016-02-29,48.84,48.97,48.43,48.46,3198596
2016-03-01,48.81,49.37,48.65,49.34,1957464
2016-03-02,49.11,49.32,48.94,49.13,2842542
2016-03-03,48.96,49.14,48.62,49.05,2524614
2016-03-04,49.27,49.35,48.73,49.28,3234858
2016-03-07,48.63,49.24,48.4,49,2571103
2016-03-08,48.73,49.4,48.66,48.79,2648318
2016-03-09,48.74,49.17,48.51,49.02,1508903
2016-03-10,49.19,49.52,48.61,49.04,1837786
2016-03-11,49.44,49.92,49.12,49.9,1680716
2016-03-14,49.67,50.08,49.62,49.97,2261847
2016-03-15,49.57,50.24,49.45,50.24,1983080
2016-03-16,49.95,50.33,49.87,50.05,2004896
2016-03-17,50.12,51.08,49.94,50.84,2604883
2016-03-18,50.9,51.06,50.6,50.8,5466004
2016-03-21,50.91,50.97,50.56,50.77,1250291
2016-03-22,50.46,51.15,50.29,50.74,1915107
2016-03-23,50.73,50.86,50.5,50.58,1549956
2016-03-24,50.35,50.85,50.21,50.8,1836072
2016-03-28,50.82,51.18,50.77,51,1738591
2016-03-29,50.97,51.47,50.78,51.44,1613990
2016-03-30,51.67,51.77,51.36,51.59,1231290
2016-03-31,51.59,51.78,51.28,51.64,1715355
2016-04-01,51.51,52.21,51.44,52.13,1849814
