date,open,high,low,close,volume
2016-01-04T14:30,21.81,22.08,21.51,21.81,146448
2016-01-04T15:30,21.8,21.84,21.66,21.7,108717
2016-01-04T16:30,21.7,21.82,21.7,21.75,103206
2016-01-04T17:30,21.72,21.84,21.72,21.72,83364
2016-01-04T18:30,21.74,21.77,21.68,21.74,104184
2016-01-04T19:30,21.75,21.76,21.69,21.7,182142
2016-01-04T20:30,21.7,21.83,21.68,21.82,268320
2016-01-05T14:30,21.77,21.99,21.65,21.65,177426
2016-01-05T15:30,21.65,21.84,21.64,21.76,88356
2016-01-05T16:30,21.75,21.82,21.75,21.8,31752
2016-01-05T17:30,21.8,21.84,21.75,21.78,55578
2016-01-05T18:30,21.76,21.89,21.76,21.85,58734
2016-01-05T19:30,21.85,21.87,21.83,21.87,76914
2016-01-05T20:30,21.87,21.96,21.87,21.9,825159
2016-01-06T14:30,21.69,21.82,21.63,21.8,238581
2016-01-06T15:30,21.79,21.89,21.71,21.87,153714
2016-01-06T16:30,21.86,21.9,21.82,21.83,138099
2016-01-06T17:30,21.83,21.9,21.79,21.83,209946
2016-01-06T18:30,21.82,21.91,21.77,21.9,638703
2016-01-06T19:30,21.9,21.95,21.84,21.94,140559
2016-01-06T20:30,21.95,21.98,21.93,21.94,296679
2016-01-07T14:30,21.57,22.03,21.57,21.96,160068
2016-01-07T15:30,21.96,22.08,21.93,22,154944
2016-01-07T16:30,22.01,22.06,21.98,22,106959
2016-01-07T17:30,21.99,22.01,21.86,21.89,75354
2016-01-07T18:30,21.89,21.99,21.87,21.93,134445
2016-01-07T19:30,21.93,22.01,21.91,21.91,242991
2016-01-07T20:30,21.91,21.98,21.9,21.91,418332
2016-01-08T14:30,21.94,22.02,21.84,21.84,161994
2016-01-08T15:30,21.84,21.89,21.75,21.81,111225
2016-01-08T16:30,21.79,21.87,21.76,21.84,171747
2016-01-08T17:30,21.83,21.84,21.79,21.82,62874
2016-01-08T18:30,21.83,21.86,21.79,21.8,65928
2016-01-08T19:30,21.8,21.86,21.76,21.78,211815
2016-01-08T20:30,21.78,21.78,21.65,21.7,364692
2016-01-11T14:30,21.76,21.85,21.59,21.73,154425
2016-01-11T15:30,21.72,21.74,21.51,21.53,134517
2016-01-11T16:30,21.52,21.66,21.52,21.64,114072
2016-01-11T17:30,21.65,21.66,21.57,21.57,91146
2016-01-11T18:30,21.58,21.61,21.51,21.6,88212
2016-01-11T19:30,21.61,21.65,21.54,21.65,120897
2016-01-11T20:30,21.65,21.7,21.63,21.63,176166
2016-01-12T14:30,21.73,21.82,21.58,21.6,113148
2016-01-12T15:30,21.6,21.64,21.53,21.54,120552
2016-01-12T16:30,21.54,21.62,21.49,21.59,122172
2016-01-12T17:30,21.59,21.59,21.47,21.47,78240
2016-01-12T18:30,21.46,21.6,21.41,21.45,160746
2016-01-12T19:30,21.45,21.53,21.42,21.47,263199
2016-01-12T20:30,21.46,21.48,21.4,21.44,566955
2016-01-13T14:30,21.53,21.53,21.29,21.3,218157
2016-01-13T15:30,21.3,21.4,21.28,21.34,265482
2016-01-13T16:30,21.35,21.39,21.3,21.33,116991
2016-01-13T17:30,21.35,21.35,21.28,21.28,131283
2016-01-13T18:30,21.29,21.31,21.2,21.28,122682
2016-01-13T19:30,21.26,21.31,21.14,21.29,304728
2016-01-13T20:30,21.29,21.3,21.2,21.21,350754
2016-01-14T14:30,21.19,21.23,21.04,21.18,211413
2016-01-14T15:30,21.18,21.33,21.17,21.26,275391
2016-01-14T16:30,21.27,21.38,21.23,21.29,104259
2016-01-14T17:30,21.3,21.35,21.27,21.31,127410
2016-01-14T18:30,21.3,21.33,21.24,21.27,142833
2016-01-14T19:30,21.27,21.35,21.27,21.31,185736
2016-01-14T20:30,21.31,21.31,21.2,21.21,313530
2016-01-15T14:30,20.93,21.05,20.86,21,319755
2016-01-15T15:30,21,21.01,20.94,20.98,120717
2016-01-15T16:30,20.98,21.06,20.94,20.97,193890
2016-01-15T17:30,20.96,21.02,20.91,21,128784
2016-01-15T18:30,21.01,21.07,20.98,21.02,188628
2016-01-15T19:30,21.02,21.18,21.01,21.09,183591
2016-01-15T20:30,21.09,21.13,21.03,21.07,449436
2016-01-19T14:30,20.65,21.19,19.67,21.13,339789
2016-01-19T15:30,21.12,21.14,21,21.13,201987
2016-01-19T16:30,21.14,21.16,21.06,21.1,198912
2016-01-19T17:30,21.1,21.11,21.01,21.02,256890
2016-01-19T18:30,21.04,21.08,21.01,21.07,194367
2016-01-19T19:30,21.07,21.18,21.04,21.17,210453
2016-01-19T20:30,21.16,21.22,21.11,21.15,266799
2016-01-20T14:30,21.05,21.14,20.81,20.88,372018
2016-01-20T15:30,20.88,20.9,20.6,20.63,304836
2016-01-20T16:30,20.64,20.65,20.4,20.43,172647
2016-01-20T17:30,20.43,20.58,20.43,20.56,173364
2016-01-20T18:30,20.55,20.61,20.48,20.55,262719
2016-01-20T19:30,20.55,20.72,20.54,20.69,582516
2016-01-20T20:30,20.69,20.7,20.51,20.56,507039
2016-01-21T14:30,20.52,20.95,18.96,20.56,363966
2016-01-21T15:30,20.58,20.63,20.52,20.54,488868
2016-01-21T16:30,20.56,20.66,20.53,20.64,391317
2016-01-21T17:30,20.65,20.67,20.59,20.62,321309
2016-01-21T18:30,20.62,20.64,20.55,20.59,276576
2016-01-21T19:30,20.59,20.71,20.57,20.65,273171
2016-01-21T20:30,20.66,20.75,20.6,20.6,289314
