date,open,high,low,close,volume
2016-01-04T14:30,39.7,39.93,39.54,39.67,843499
2016-01-04T15:30,39.66,39.82,39.5,39.68,337657
2016-01-04T16:30,39.68,39.88,39.66,39.84,337984
2016-01-04T17:30,39.84,39.86,39.69,39.73,269787
2016-01-04T18:30,39.72,39.79,39.66,39.73,576400
2016-01-04T19:30,39.72,39.79,39.68,39.75,487539
2016-01-04T20:30,39.75,40.07,39.75,40.07,707332
2016-01-05T14:30,39.99,40.05,39.35,39.57,712692
2016-01-05T15:30,39.55,40.02,39.55,39.89,370759
2016-01-05T16:30,39.88,40.03,39.87,40.01,288230
2016-01-05T17:30,40.01,40.19,39.99,40.14,465718
2016-01-05T18:30,40.14,40.3,40.07,40.25,324832
2016-01-05T19:30,40.25,40.45,40.25,40.42,478027
2016-01-05T20:30,40.42,40.49,40.33,40.38,619593
2016-01-06T14:30,40.12,40.63,39.97,40.51,572309
2016-01-06T15:30,40.51,40.66,40.3,40.59,611175
2016-01-06T16:30,40.6,40.6,40.44,40.57,330814
2016-01-06T17:30,40.56,40.62,40.49,40.54,195711
2016-01-06T18:30,40.54,40.75,40.52,40.68,584954
2016-01-06T19:30,40.69,40.74,40.41,40.51,386869
2016-01-06T20:30,40.51,40.56,40.47,40.54,594911
2016-01-07T14:30,40.14,40.49,40.1,40.31,600779
2016-01-07T15:30,40.32,40.48,40.24,40.33,1018215
2016-01-07T16:30,40.34,40.44,40.22,40.25,371132
2016-01-07T17:30,40.26,40.31,40.01,40.06,237960
2016-01-07T18:30,40.06,40.18,39.98,40.13,343907
2016-01-07T19:30,40.13,40.17,39.94,39.95,471444
2016-01-07T20:30,39.95,40.19,39.94,40.06,670643
2016-01-08T14:30,40.06,40.36,39.93,40.17,377603
2016-01-08T15:30,40.17,40.31,40.1,40.3,414664
2016-01-08T16:30,40.3,40.39,40.14,40.39,346431
2016-01-08T17:30,40.38,40.46,40.32,40.38,222560
2016-01-08T18:30,40.38,40.42,40.18,40.19,294718
2016-01-08T19:30,40.19,40.27,40.05,40.06,324447
2016-01-08T20:30,40.06,40.07,39.91,39.99,518818
2016-01-11T14:30,40.08,40.43,39.97,40.43,264768
2016-01-11T15:30,40.42,40.51,40.22,40.49,361270
2016-01-11T16:30,40.49,40.49,40.34,40.39,264649
2016-01-11T17:30,40.39,40.47,40.33,40.36,331870
2016-01-11T18:30,40.36,40.42,40.2,40.34,468022
2016-01-11T19:30,40.34,40.43,40.23,40.39,342416
2016-01-11T20:30,40.39,40.47,40.34,40.34,524016
2016-01-12T14:30,40.43,40.49,39.45,39.53,892960
2016-01-12T15:30,39.54,39.93,39.5,39.93,726435
2016-01-12T16:30,39.92,39.98,39.73,39.75,375007
2016-01-12T17:30,39.75,39.84,39.64,39.77,308233
2016-01-12T18:30,39.77,39.84,39.68,39.72,352712
2016-01-12T19:30,39.72,39.87,39.58,39.84,709713
2016-01-12T20:30,39.83,40.03,39.82,39.93,682448
2016-01-13T14:30,39.98,40.18,39.88,40.12,537855
2016-01-13T15:30,40.12,40.17,39.83,40.17,464674
2016-01-13T16:30,40.17,40.19,40.02,40.09,429181
2016-01-13T17:30,40.09,40.11,39.99,40,320221
2016-01-13T18:30,39.99,40.1,39.93,39.99,374760
2016-01-13T19:30,39.99,40,39.7,39.8,501382
2016-01-13T20:30,39.79,39.88,39.75,39.79,495035
2016-01-14T14:30,40.01,40.47,39.75,39.8,892695
2016-01-14T15:30,39.81,40.63,39.81,40.56,684691
2016-01-14T16:30,40.55,40.58,40.34,40.36,477223
2016-01-14T17:30,40.36,40.56,40.36,40.55,287102
2016-01-14T18:30,40.55,40.59,40.46,40.59,383501
2016-01-14T19:30,40.58,40.89,40.54,40.87,445827
2016-01-14T20:30,40.86,40.86,40.55,40.6,635533
2016-01-15T14:30,40.07,40.57,40.03,40.4,836055
2016-01-15T15:30,40.39,40.39,40.15,40.23,304647
2016-01-15T16:30,40.23,40.31,40,40.08,365876
2016-01-15T17:30,40.08,40.12,39.91,39.92,304391
2016-01-15T18:30,39.92,40.05,39.74,40.03,448369
2016-01-15T19:30,40.03,40.41,40.01,40.34,658578
2016-01-15T20:30,40.33,40.34,40.21,40.29,462336
2016-01-19T14:30,40.51,40.84,40.3,40.61,663159
2016-01-19T15:30,40.6,40.67,40.47,40.58,386699
2016-01-19T16:30,40.6,40.68,40.54,40.58,318345
2016-01-19T17:30,40.58,40.8,40.57,40.74,334993
2016-01-19T18:30,40.73,40.85,40.71,40.75,343590
2016-01-19T19:30,40.75,40.93,40.68,40.9,507443
2016-01-19T20:30,40.91,41,40.88,40.9,608104
2016-01-20T14:30,40.6,40.82,40.1,40.17,408054
2016-01-20T15:30,40.17,40.2,39.74,39.77,631988
2016-01-20T16:30,39.76,39.82,39.31,39.32,752678
2016-01-20T17:30,39.32,39.58,39.25,39.51,540521
2016-01-20T18:30,39.52,39.75,39.46,39.51,674567
2016-01-20T19:30,39.51,40.04,39.47,40.02,598504
2016-01-20T20:30,40.03,40.04,39.74,39.77,573548
2016-01-21T14:30,39.4,40.09,39.34,39.64,662601
2016-01-21T15:30,39.64,39.92,39.64,39.73,422569
2016-01-21T16:30,39.72,39.82,39.54,39.62,625133
2016-01-21T17:30,39.62,39.67,39.35,39.35,453886
2016-01-21T18:30,39.35,39.44,39.2,39.28,463872
2016-01-21T19:30,39.28,39.56,39.27,39.53,528905
2016-01-21T20:30,39.53,39.65,39.51,39.57,663940
2016-01-22T14:30,40.14,40.15,39.63,39.78,741914
2016-01-22T15:30,39.77,39.84,39.71,39.77,639067
2016-01-22T16:30,39.77,39.88,39.71,39.88,467583
2016-01-22T17:30,39.88,40.05,39.83,40.01,284550
2016-01-22T18:30,40.01,40.21,40.01,40.03,499240
2016-01-22T19:30,40.04,40.16,40.01,40.1,429140
2016-01-22T20:30,40.1,40.21,40.02,40.19,518403
2016-01-25T14:30,40.19,40.21,39.77,39.78,535883
2016-01-25T15:30,39.78,39.94,39.62,39.88,502290
2016-01-25T16:30,39.88,40.01,39.84,39.93,346729
2016-01-25T17:30,39.93,40.02,39.86,39.94,289282
2016-01-25T18:30,39.94,39.99,39.75,39.82,353662
2016-01-25T19:30,39.81,39.82,39.68,39.69,481770
2016-01-25T20:30,39.69,39.71,39.6,39.66,698886
2016-01-26T14:30,39.82,40.49,39.73,40.33,513438
2016-01-26T15:30,40.32,40.38,39.91,39.92,441430
