date,open,high,low,close,volume
2016-01-04T14:30,22.89,23.03,22.77,22.83,946924
2016-01-04T15:30,22.83,22.85,22.66,22.72,633570
2016-01-04T16:30,22.73,22.84,22.73,22.82,489408
2016-01-04T17:30,22.82,22.92,22.79,22.88,279178
2016-01-04T18:30,22.87,22.93,22.81,22.89,516862
2016-01-04T19:30,22.89,22.9,22.79,22.82,495284
2016-01-04T20:30,22.82,23.04,22.82,23.04,828308
2016-01-05T14:30,23.21,23.21,22.9,22.91,620698
2016-01-05T15:30,22.91,23.05,22.9,22.93,366542
2016-01-05T16:30,22.93,22.99,22.87,22.89,347752
2016-01-05T17:30,22.9,23.01,22.87,22.98,316644
2016-01-05T18:30,22.98,23.07,22.97,23.06,367900
2016-01-05T19:30,23.06,23.06,22.96,23,653976
2016-01-05T20:30,23,23.05,22.98,23.01,877780
2016-01-06T14:30,22.71,22.8,22.65,22.78,742906
2016-01-06T15:30,22.78,22.78,22.64,22.77,511572
2016-01-06T16:30,22.78,22.82,22.63,22.69,419048
2016-01-06T17:30,22.69,22.76,22.66,22.71,259296
2016-01-06T18:30,22.71,22.75,22.68,22.71,258544
2016-01-06T19:30,22.71,22.72,22.56,22.64,500116
2016-01-06T20:30,22.64,22.7,22.61,22.66,716400
2016-01-07T14:30,22.24,22.51,22.22,22.43,572614
2016-01-07T15:30,22.42,22.58,22.42,22.49,568958
2016-01-07T16:30,22.49,22.53,22.4,22.4,464088
2016-01-07T17:30,22.4,22.43,22.22,22.26,447042
2016-01-07T18:30,22.26,22.29,22.17,22.24,479046
2016-01-07T19:30,22.24,22.36,22.16,22.17,682644
2016-01-07T20:30,22.17,22.35,22.16,22.27,1149444
2016-01-08T14:30,22.45,22.5,22.24,22.33,566314
2016-01-08T15:30,22.33,22.36,22.15,22.17,447094
2016-01-08T16:30,22.17,22.32,22.12,22.28,560286
2016-01-08T17:30,22.28,22.32,22.22,22.26,312384
2016-01-08T18:30,22.26,22.33,22.2,22.21,457416
2016-01-08T19:30,22.21,22.3,22.16,22.16,652274
2016-01-08T20:30,22.17,22.19,22.04,22.07,892990
2016-01-11T14:30,22.2,22.29,22.06,22.14,541872
2016-01-11T15:30,22.15,22.2,21.99,22.07,624634
2016-01-11T16:30,22.06,22.15,22.01,22.04,449388
2016-01-11T17:30,22.04,22.08,21.94,21.96,291086
2016-01-11T18:30,21.96,22.11,21.91,22.1,578456
2016-01-11T19:30,22.1,22.2,22.01,22.18,597876
2016-01-11T20:30,22.19,22.3,22.18,22.21,680590
2016-01-12T14:30,22.46,22.51,22.36,22.39,857106
2016-01-12T15:30,22.38,22.46,22.27,22.28,717450
2016-01-12T16:30,22.28,22.35,22.2,22.28,337680
2016-01-12T17:30,22.28,22.31,22.2,22.21,389422
2016-01-12T18:30,22.21,22.34,22.2,22.26,428154
2016-01-12T19:30,22.26,22.45,22.26,22.41,454174
2016-01-12T20:30,22.41,22.56,22.37,22.5,1049162
2016-01-13T14:30,22.7,22.82,22.61,22.78,1295734
2016-01-13T15:30,22.77,22.91,22.7,22.75,942666
2016-01-13T16:30,22.75,22.77,22.58,22.67,487608
2016-01-13T17:30,22.67,22.67,22.44,22.47,549278
2016-01-13T18:30,22.47,22.49,22.25,22.28,530702
2016-01-13T19:30,22.28,22.31,22.06,22.26,663038
2016-01-13T20:30,22.26,22.29,22.12,22.15,729948
2016-01-14T14:30,22.2,22.3,22,22.28,1056434
2016-01-14T15:30,22.26,22.44,22.24,22.29,517952
2016-01-14T16:30,22.3,22.43,22.26,22.42,387756
2016-01-14T17:30,22.43,22.54,22.4,22.5,354718
2016-01-14T18:30,22.51,22.52,22.38,22.42,760180
2016-01-14T19:30,22.41,22.49,22.37,22.43,866432
2016-01-14T20:30,22.43,22.44,22.29,22.31,942690
2016-01-15T14:30,21.81,22.15,21.75,22.1,1626956
2016-01-15T15:30,22.09,22.2,22.05,22.15,716878
2016-01-15T16:30,22.15,22.18,22.01,22.04,922526
2016-01-15T17:30,22.03,22.1,21.96,22.03,785966
2016-01-15T18:30,22.03,22.08,21.98,21.98,614382
2016-01-15T19:30,21.99,22.15,21.94,22.08,943758
2016-01-15T20:30,22.07,22.12,22,22.04,962412
2016-01-19T14:30,22.22,22.29,22.03,22.19,809940
2016-01-19T15:30,22.17,22.19,21.98,22.12,606504
2016-01-19T16:30,22.13,22.19,21.96,22.04,622742
2016-01-19T17:30,22.03,22.07,21.94,21.96,361242
2016-01-19T18:30,21.96,22.03,21.85,21.91,459358
2016-01-19T19:30,21.91,21.99,21.84,21.98,639336
2016-01-19T20:30,21.98,22.06,21.97,21.99,1146278
2016-01-20T14:30,21.61,21.77,21.52,21.55,840674
2016-01-20T15:30,21.55,21.58,21.47,21.53,654312
2016-01-20T16:30,21.53,21.55,21.24,21.27,707570
2016-01-20T17:30,21.26,21.49,21.26,21.47,461430
2016-01-20T18:30,21.46,21.64,21.46,21.59,562808
2016-01-20T19:30,21.59,21.87,21.53,21.86,1211028
2016-01-20T20:30,21.85,21.87,21.61,21.63,1206330
2016-01-21T14:30,21.7,21.81,21.55,21.74,778962
2016-01-21T15:30,21.75,21.84,21.61,21.63,718698
2016-01-21T16:30,21.64,21.93,21.63,21.92,458758
2016-01-21T17:30,21.92,21.98,21.81,21.81,527836
2016-01-21T18:30,21.81,21.87,21.6,21.67,560264
2016-01-21T19:30,21.67,21.79,21.66,21.75,772064
2016-01-21T20:30,21.75,21.82,21.72,21.73,595824
2016-01-22T14:30,22.08,22.23,22.01,22.14,770740
2016-01-22T15:30,22.15,22.17,22.05,22.1,457810
2016-01-22T16:30,22.1,22.11,22.02,22.1,519156
2016-01-22T17:30,22.1,22.2,22.08,22.18,344054
2016-01-22T18:30,22.19,22.31,22.18,22.24,566510
2016-01-22T19:30,22.24,22.28,22.19,22.26,565308
2016-01-22T20:30,22.26,22.31,22.24,22.29,663282
2016-01-25T14:30,22.28,22.43,22.17,22.29,725516
2016-01-25T15:30,22.3,22.31,22.1,22.19,632734
2016-01-25T16:30,22.19,22.21,22.12,22.17,455552
2016-01-25T17:30,22.17,22.31,22.16,22.28,443820
2016-01-25T18:30,22.28,22.29,22.17,22.2,435344
2016-01-25T19:30,22.2,22.22,22.03,22.05,967458
2016-01-25T20:30,22.05,22.06,21.97,22.01,1618548
2016-01-26T14:30,22.2,22.45,22.17,22.4,405440
2016-01-26T15:30,22.4,22.49,22.34,22.38,613852
2016-01-26T16:30,22.37,22.49,22.31,22.49,324952
2016-01-26T17:30,22.49,22.5,22.4,22.44,266992
2016-01-26T18:30,22.44,22.44,22.34,22.34,362116
2016-01-26T19:30,22.34,22.39,22.3,22.31,428296
2016-01-26T20:30,22.31,22.42,22.31,22.39,495044
2016-01-27T14:30,22.35,22.5,22.27,22.27,355774
2016-01-27T15:30,22.27,22.41,22.27,22.41,356934
