date,open,high,low,close,volume
2016-01-04T14:30,83.19,83.35,82.44,82.99,115650
2016-01-04T15:30,83,83.05,82.2,82.5,135425
2016-01-04T16:30,82.56,83.03,82.54,82.93,74232
2016-01-04T17:30,82.87,83.33,82.75,83.12,75998
2016-01-04T18:30,83.14,83.31,82.95,83.14,72758
2016-01-04T19:30,83.11,83.17,82.63,82.74,112482
2016-01-04T20:30,82.73,83.55,82.72,83.51,165734
2016-01-05T14:30,83.69,84.47,83.09,83.09,116150
2016-01-05T15:30,83.07,83.66,83.01,83.03,99012
2016-01-05T16:30,83.07,83.26,82.76,82.83,76969
2016-01-05T17:30,82.85,83,82.6,82.91,76948
2016-01-05T18:30,82.95,83.48,82.92,83.43,60930
2016-01-05T19:30,83.43,83.47,82.97,83.26,69167
2016-01-05T20:30,83.24,83.39,83.03,83.16,259415
2016-01-06T14:30,81.86,81.86,80.64,81.01,255837
2016-01-06T15:30,80.98,81.34,80.61,80.99,212006
2016-01-06T16:30,80.98,81.34,80.38,80.41,182469
2016-01-06T17:30,80.4,80.7,80.29,80.47,134552
2016-01-06T18:30,80.45,80.94,80.41,80.92,335362
2016-01-06T19:30,80.94,80.94,80.02,80.24,340990
2016-01-06T20:30,80.22,80.45,80.06,80.34,216379
2016-01-07T14:30,78.48,79.62,78.34,78.8,259834
2016-01-07T15:30,78.84,79.34,78.69,78.93,168526
2016-01-07T16:30,79.01,79.18,78.48,78.48,140024
2016-01-07T17:30,78.48,78.56,78.01,78.27,203530
2016-01-07T18:30,78.25,78.57,77.98,78.16,264013
2016-01-07T19:30,78.12,78.72,77.54,77.56,255259
2016-01-07T20:30,77.53,78.17,77.52,77.8,276740
2016-01-08T14:30,78.4,79.57,78.15,78.5,257029
2016-01-08T15:30,78.52,78.6,77.68,77.79,123385
2016-01-08T16:30,77.8,78.4,77.45,78.34,89042
2016-01-08T17:30,78.32,78.32,77.41,77.59,134468
2016-01-08T18:30,77.56,77.84,76.93,76.95,142207
2016-01-08T19:30,76.91,77.05,76.17,76.34,292734
2016-01-08T20:30,76.33,76.39,75.88,76.03,409023
2016-01-11T14:30,76.91,77.03,75.73,76.47,306420
2016-01-11T15:30,76.49,76.72,75.65,76.08,242600
2016-01-11T16:30,76.11,76.31,75.75,75.77,216384
2016-01-11T17:30,75.81,76,75.36,75.4,183493
2016-01-11T18:30,75.44,76.19,75.39,76.13,187660
2016-01-11T19:30,76.13,76.26,75.63,76.17,242590
2016-01-11T20:30,76.2,76.91,76.15,76.6,411521
2016-01-12T14:30,77.5,77.67,76.33,76.46,136025
2016-01-12T15:30,76.46,76.75,76.23,76.3,88412
2016-01-12T16:30,76.27,76.52,75.85,76.19,184637
2016-01-12T17:30,76.15,76.33,75.87,76.03,88910
2016-01-12T18:30,76.03,76.52,75.87,76.23,106547
2016-01-12T19:30,76.15,76.95,76.15,76.82,141179
2016-01-12T20:30,76.8,77.2,76.67,77,173156
2016-01-13T14:30,77.16,77.25,75.91,76.01,255359
2016-01-13T15:30,75.98,76.34,75.22,76.15,261675
2016-01-13T16:30,76.16,76.22,75.45,75.9,128528
2016-01-13T17:30,75.9,75.91,75.1,75.14,339501
2016-01-13T18:30,75.11,75.24,74.69,74.9,297118
2016-01-13T19:30,74.84,74.84,73.88,74.55,279345
2016-01-13T20:30,74.51,74.62,73.91,74.02,310427
2016-01-14T14:30,74.44,74.62,73.17,74.56,251297
2016-01-14T15:30,74.58,75.47,74.48,74.83,290951
2016-01-14T16:30,74.86,75.89,74.69,75.8,169106
2016-01-14T17:30,75.83,76.58,75.74,76.49,125184
2016-01-14T18:30,76.55,76.8,76.2,76.75,130053
2016-01-14T19:30,76.76,77.04,76.62,76.67,193447
2016-01-14T20:30,76.67,76.67,76.07,76.15,285369
2016-01-15T14:30,75.09,75.14,72.89,74.9,443480
2016-01-15T15:30,74.93,75.23,74.46,74.9,204478
2016-01-15T16:30,74.83,75.01,74.07,74.17,225857
2016-01-15T17:30,74.14,74.29,73.7,73.93,115036
2016-01-15T18:30,73.9,74.31,73.87,74.03,104524
2016-01-15T19:30,74.02,74.86,73.9,74.52,135918
2016-01-15T20:30,74.48,74.65,74.18,74.34,223729
2016-01-19T14:30,75.77,75.77,74.48,75.51,127763
2016-01-19T15:30,75.55,75.63,74.58,75.08,82514
2016-01-19T16:30,75.13,75.22,74.26,74.74,179908
2016-01-19T17:30,74.71,74.92,74.3,74.31,147364
2016-01-19T18:30,74.32,74.66,73.66,73.83,94448
2016-01-19T19:30,73.84,74.31,73.43,74.23,148417
2016-01-19T20:30,74.25,74.5,73.98,74.12,192391
2016-01-20T14:30,72.73,72.73,71.65,71.97,205715
2016-01-20T15:30,71.9,72.25,71.37,72.03,214266
2016-01-20T16:30,72.06,72.25,71.28,71.44,189844
2016-01-20T17:30,71.42,72.4,71.42,72.07,146261
2016-01-20T18:30,72.05,72.89,72.04,72.59,104098
2016-01-20T19:30,72.61,74.07,72.35,74.03,201897
2016-01-20T20:30,74.01,74.17,73.21,73.37,274407
2016-01-21T14:30,73.62,74.37,73.12,73.98,233771
2016-01-21T15:30,74,74.64,73.66,73.76,118771
2016-01-21T16:30,73.78,74.63,73.61,74.22,156741
2016-01-21T17:30,74.17,74.3,73.49,73.56,132527
2016-01-21T18:30,73.54,73.63,72.42,72.66,248964
2016-01-21T19:30,72.68,73.21,72.55,72.73,187920
2016-01-21T20:30,72.74,73.05,72.53,72.53,321034
2016-01-22T14:30,73.74,74.97,73.74,74.72,348904
2016-01-22T15:30,74.73,74.76,74.22,74.33,159263
2016-01-22T16:30,74.32,74.33,73.88,73.99,101026
2016-01-22T17:30,74.02,74.32,73.91,74.2,108127
2016-01-22T18:30,74.23,74.81,74.13,74.53,108139
2016-01-22T19:30,74.5,74.63,74.21,74.51,227107
2016-01-22T20:30,74.5,74.71,74.37,74.66,257890
2016-01-25T14:30,73.98,74.6,72.09,73.8,167518
2016-01-25T15:30,73.81,73.89,73.28,73.64,233920
2016-01-25T16:30,73.6,73.69,73.24,73.65,97755
2016-01-25T17:30,73.64,73.94,73.58,73.61,194197
2016-01-25T18:30,73.61,73.69,73.29,73.5,166714
2016-01-25T19:30,73.5,73.6,72.51,72.6,263923
2016-01-25T20:30,72.63,72.72,72.26,72.35,288705
2016-01-26T14:30,72.88,74.08,72.44,74.03,416231
2016-01-26T15:30,74.06,74.44,73.97,74.13,360608
2016-01-26T16:30,74.16,74.37,73.9,74.3,150675
2016-01-26T17:30,74.28,74.33,74,74.21,169310
2016-01-26T18:30,74.15,74.27,74.03,74.06,193507
2016-01-26T19:30,74.07,74.18,73.86,73.96,252162
2016-01-26T20:30,73.94,74.13,73.74,73.97,332836
2016-01-27T14:30,73.55,74.69,73.32,73.76,181764
2016-01-27T15:30,73.77,74.7,73.74,74.67,264033
2016-01-27T16:30,74.69,75.86,74.6,75.5,292677
2016-01-27T17:30,75.48,75.63,75.13,75.14,251707
2016-01-27T18:30,75.06,75.84,74.33,74.74,243458
2016-01-27T19:30,74.7,74.86,72.66,73.05,439556
2016-01-27T20:30,73.07,73.34,72.75,72.97,510911
2016-01-28T14:30,72.72,74.42,66.31,66.34,1198974
2016-01-28T15:30,66.34,69.64,65.19,69.43,1427191
2016-01-28T16:30,69.35,70.82,69.24,70.69,704522
2016-01-28T17:30,70.68,70.68,69.65,70.12,307881
2016-01-28T18:30,70.14,70.26,69.46,69.93,324322
2016-01-28T19:30,70,70.16,69.66,69.69,385970
2016-01-28T20:30,69.7,69.79,69.4,69.62,503659
2016-01-29T14:30,69.83,71.6,69.83,70.95,358173
2016-01-29T15:30,70.96,71.56,70.5,71.48,220561
2016-01-29T16:30,71.48,71.62,71.04,71.4,147458
2016-01-29T17:30,71.4,71.53,71.12,71.5,222798
2016-01-29T18:30,71.53,72.05,71.49,72.05,197417
2016-01-29T19:30,72.05,72.41,71.78,72.35,299916
2016-01-29T20:30,72.36,72.62,72.22,72.6,423034
2016-02-01T14:30,71.63,72.31,70.87,71.43,337627
2016-02-01T15:30,71.53,71.92,71.02,71.46,190410
2016-02-01T16:30,71.47,71.61,70.75,70.8,150371
2016-02-01T17:30,70.8,70.83,70.26,70.36,146040
2016-02-01T18:30,70.36,70.38,70.08,70.28,188405
2016-02-01T19:30,70.27,70.87,70.24,70.86,231723
2016-02-01T20:30,70.87,70.94,70.28,70.28,413135
2016-02-02T14:30,69.03,69.17,67.66,68.1,285319
2016-02-02T15:30,68.07,68.33,67.65,68.28,234938
2016-02-02T16:30,68.28,68.54,67.5,67.6,238396
2016-02-02T17:30,67.6,67.68,67.34,67.5,184760
2016-02-02T18:30,67.49,67.49,66.63,66.68,313870
2016-02-02T19:30,66.67,67.03,66.41,66.49,429448
2016-02-02T20:30,66.47,67.3,66.47,67.2,509805
2016-02-03T14:30,67.99,68.07,65.94,66.31,416586
2016-02-03T15:30,66.26,66.81,65.02,66.61,610845
2016-02-03T16:30,66.61,67.15,66.33,66.85,323151
2016-02-03T17:30,66.86,67.22,66.54,66.95,261939
2016-02-03T18:30,66.94,67.68,66.56,67.62,370295
2016-02-03T19:30,67.6,68.48,67.45,67.95,335996
2016-02-03T20:30,67.94,68.22,67.77,67.96,321280
2016-02-04T14:30,68.06,68.7,67.46,68.46,339198
2016-02-04T15:30,68.43,69.04,68.07,68.4,254676
2016-02-04T16:30,68.36,68.9,67.7,68.63,213899
2016-02-04T17:30,68.66,68.91,68.39,68.47,151941
2016-02-04T18:30,68.49,68.56,67.9,67.96,159013
2016-02-04T19:30,67.96,68.36,67.83,68.07,434312
2016-02-04T20:30,68.08,68.47,68.01,68.44,330812
2016-02-05T14:30,68.31,68.86,67.32,67.83,253023
2016-02-05T15:30,67.83,68.02,66.66,66.79,230979
2016-02-05T16:30,66.78,67.27,66.42,67.17,285754
2016-02-05T17:30,67.15,67.18,66.64,67.03,309657
2016-02-05T18:30,67.02,67.02,66.38,66.41,264412
2016-02-05T19:30,66.41,66.56,66.07,66.22,181213
2016-02-05T20:30,66.21,66.32,66.06,66.32,230392
2016-02-08T14:30,65.13,65.76,63.59,63.79,355288
2016-02-08T15:30,63.75,64.35,63.54,64.23,444312
2016-02-08T16:30,64.22,64.49,63.91,64.46,294893
2016-02-08T17:30,64.51,64.65,64.16,64.24,230909
2016-02-08T18:30,64.23,64.35,63.52,63.86,192567
2016-02-08T19:30,63.85,64.46,63.65,64.4,273130
2016-02-08T20:30,64.4,65.11,64.4,64.69,391813
2016-02-09T14:30,63.51,64.46,63.25,64.04,370866
2016-02-09T15:30,63.99,64.09,63.24,63.91,211278
2016-02-09T16:30,63.92,64.01,63.2,63.52,164003
2016-02-09T17:30,63.52,63.73,63.11,63.28,158392
