date,open,high,low,close,volume
2016-01-04T14:30,61.32,61.35,60.66,60.94,38844
2016-01-04T15:30,60.87,61.08,60.58,61.01,95364
2016-01-04T16:30,60.97,61.22,60.72,60.88,36282
2016-01-04T17:30,60.85,60.98,60.7,60.77,36565
2016-01-04T18:30,60.72,60.76,60.57,60.61,44234
2016-01-04T19:30,60.61,60.71,60.49,60.61,109189
2016-01-04T20:30,60.58,60.94,60.58,60.91,87984
2016-01-05T14:30,61.01,61.48,60.95,61.2,21222
2016-01-05T15:30,61.2,61.72,61.11,61.66,31714
2016-01-05T16:30,61.67,61.79,61.44,61.55,18726
2016-01-05T17:30,61.54,61.78,61.47,61.6,22295
2016-01-05T18:30,61.66,61.97,61.65,61.96,16663
2016-01-05T19:30,61.97,62.03,61.78,62.03,22655
2016-01-05T20:30,62.02,62.04,61.72,61.8,56339
2016-01-06T14:30,61.35,61.91,61.31,61.65,19576
2016-01-06T15:30,61.55,61.72,61.54,61.72,11355
2016-01-06T16:30,61.71,61.73,61.58,61.61,16071
2016-01-06T17:30,61.59,61.64,61.39,61.41,39197
2016-01-06T18:30,61.4,61.45,61.28,61.39,19941
2016-01-06T19:30,61.37,61.4,61.06,61.22,21614
2016-01-06T20:30,61.28,61.39,61.22,61.36,44355
2016-01-07T14:30,60.48,60.74,60.24,60.53,25901
2016-01-07T15:30,60.52,60.53,60.09,60.2,50722
2016-01-07T16:30,60.16,60.25,60.12,60.18,41941
2016-01-07T17:30,60.14,60.33,59.91,60.06,47949
2016-01-07T18:30,59.99,60.19,59.81,59.86,22799
2016-01-07T19:30,59.82,59.9,59.53,59.57,23636
2016-01-07T20:30,59.55,59.67,59.33,59.33,102238
2016-01-08T14:30,59.58,59.92,59.42,59.53,39437
2016-01-08T15:30,59.5,59.56,58.99,59.15,43004
2016-01-08T16:30,59.12,59.26,58.89,59.18,36284
2016-01-08T17:30,59.21,59.28,59.12,59.21,36040
2016-01-08T18:30,59.23,59.35,59.08,59.1,56451
2016-01-08T19:30,59.08,59.18,58.95,58.95,44575
2016-01-08T20:30,58.97,58.98,58.47,58.51,71571
2016-01-11T14:30,58.64,58.91,58.32,58.46,87954
2016-01-11T15:30,58.5,58.78,58.45,58.61,115279
2016-01-11T16:30,58.66,58.69,58.53,58.62,56738
2016-01-11T17:30,58.62,58.67,58.36,58.41,54445
2016-01-11T18:30,58.41,58.45,58.22,58.3,72376
2016-01-11T19:30,58.31,58.35,57.74,57.92,95340
2016-01-11T20:30,57.93,58.17,57.76,57.78,211593
2016-01-12T14:30,58.12,58.12,57.25,57.35,60028
2016-01-12T15:30,57.43,57.54,57.15,57.43,91809
2016-01-12T16:30,57.47,57.5,57.14,57.19,120391
2016-01-12T17:30,57.19,57.29,57.04,57.12,31445
2016-01-12T18:30,57.12,57.29,56.79,56.85,49265
2016-01-12T19:30,56.87,57.08,56.82,56.96,82087
2016-01-12T20:30,56.95,57.25,56.83,57.15,100130
2016-01-13T14:30,57.24,57.28,56.84,57.2,42971
2016-01-13T15:30,57.17,57.5,56.98,57.28,57208
2016-01-13T16:30,57.3,57.37,56.84,56.92,41334
2016-01-13T17:30,56.89,56.91,56.55,56.65,33954
2016-01-13T18:30,56.65,56.66,56.18,56.28,46907
2016-01-13T19:30,56.33,56.36,55.72,56.01,82193
2016-01-13T20:30,56.06,56.07,55.5,55.58,142918
2016-01-14T14:30,55.7,55.98,54.87,54.94,43377
2016-01-14T15:30,54.94,55.44,54.86,55.37,184628
2016-01-14T16:30,55.31,55.37,55.2,55.21,45234
2016-01-14T17:30,55.23,55.55,55.21,55.55,102767
2016-01-14T18:30,55.57,55.75,55.53,55.75,80010
2016-01-14T19:30,55.72,55.84,55.69,55.79,67692
2016-01-14T20:30,55.77,55.77,55.37,55.39,76168
2016-01-15T14:30,54.71,54.98,54.26,54.83,234927
2016-01-15T15:30,54.79,55.14,54.64,55.01,48880
2016-01-15T16:30,55.02,55.07,54.84,54.9,44800
2016-01-15T17:30,54.82,55.06,54.69,54.95,41249
