date,open,high,low,close,volume
2016-01-04T14:30,32.01,32.04,31.64,31.74,989987
2016-01-04T15:30,31.74,31.81,31.33,31.55,660602
2016-01-04T16:30,31.55,31.77,31.53,31.72,555472
2016-01-04T17:30,31.72,31.95,31.66,31.72,502241
2016-01-04T18:30,31.72,31.77,31.61,31.7,664138
2016-01-04T19:30,31.71,31.72,31.41,31.42,768280
2016-01-04T20:30,31.43,31.61,31.42,31.61,1642728
2016-01-05T14:30,31.6,31.82,31.34,31.38,864880
2016-01-05T15:30,31.38,31.61,31.38,31.51,603190
2016-01-05T16:30,31.52,31.72,31.45,31.46,536145
2016-01-05T17:30,31.46,31.55,31.38,31.45,396280
2016-01-05T18:30,31.44,31.58,31.39,31.55,491821
2016-01-05T19:30,31.55,31.72,31.5,31.71,514678
2016-01-05T20:30,31.71,31.78,31.66,31.72,676726
2016-01-06T14:30,31.27,31.51,31.25,31.45,730165
2016-01-06T15:30,31.44,31.83,31.43,31.79,789444
2016-01-06T16:30,31.8,31.9,31.68,31.82,547997
2016-01-06T17:30,31.82,31.85,31.48,31.55,910621
2016-01-06T18:30,31.55,31.75,31.54,31.57,588610
2016-01-06T19:30,31.58,31.61,31.24,31.46,1022656
2016-01-06T20:30,31.46,31.82,31.46,31.77,2321623
2016-01-07T14:30,31.36,31.48,31.04,31.14,720301
2016-01-07T15:30,31.13,31.49,31.03,31.12,691690
2016-01-07T16:30,31.11,31.27,31.08,31.09,521147
2016-01-07T17:30,31.09,31.16,30.86,30.89,610504
2016-01-07T18:30,30.89,30.98,30.73,30.97,788363
2016-01-07T19:30,30.97,31.45,30.87,31.16,1696145
2016-01-07T20:30,31.15,31.39,31.15,31.26,1225151
2016-01-08T14:30,31.34,31.42,30.99,31.09,768027
2016-01-08T15:30,31.09,31.14,30.89,30.95,406632
2016-01-08T16:30,30.95,31.27,30.89,31.23,596484
2016-01-08T17:30,31.24,31.24,30.93,30.97,593094
2016-01-08T18:30,30.97,31.06,30.88,30.89,502849
2016-01-08T19:30,30.88,30.93,30.77,30.86,733000
2016-01-08T20:30,30.86,30.89,30.7,30.76,1084119
2016-01-11T14:30,30.94,31.03,30.75,30.86,940394
2016-01-11T15:30,30.87,30.93,30.43,30.53,554937
2016-01-11T16:30,30.53,30.64,30.34,30.37,443483
2016-01-11T17:30,30.37,30.4,30.12,30.13,403741
2016-01-11T18:30,30.13,30.21,29.96,30.2,582132
2016-01-11T19:30,30.2,30.24,29.96,30.21,476941
