date,open,high,low,close,volume
2016-01-04T14:30,20.17,21.01,20.11,20.92,1269025
2016-01-04T15:30,20.92,20.95,20.58,20.61,929616
2016-01-04T16:30,20.61,20.75,20.54,20.72,640026
2016-01-04T17:30,20.72,20.83,20.62,20.73,540582
2016-01-04T18:30,20.74,20.91,20.73,20.78,775001
2016-01-04T19:30,20.78,20.78,20.57,20.59,899624
2016-01-04T20:30,20.59,20.72,20.59,20.72,891328
2016-01-05T14:30,20.76,21.07,20.7,20.73,822079
2016-01-05T15:30,20.73,20.97,20.61,20.86,630076
2016-01-05T16:30,20.86,20.9,20.65,20.66,531017
2016-01-05T17:30,20.65,20.83,20.63,20.74,409587
2016-01-05T18:30,20.73,21.01,20.7,20.96,537574
2016-01-05T19:30,20.96,21.03,20.95,21.03,425583
2016-01-05T20:30,21.02,21.09,20.99,21.04,890477
2016-01-06T14:30,20.63,20.77,20.18,20.46,1537188
2016-01-06T15:30,20.45,20.48,20.26,20.46,1058828
2016-01-06T16:30,20.46,20.57,20.3,20.36,763151
2016-01-06T17:30,20.36,20.41,20.31,20.36,736813
2016-01-06T18:30,20.36,20.39,20.3,20.32,798052
2016-01-06T19:30,20.32,20.32,20.1,20.27,1207924
2016-01-06T20:30,20.27,20.28,20.17,20.21,1310898
2016-01-07T14:30,19.97,20.47,19.86,20.31,1155318
2016-01-07T15:30,20.32,20.61,20.31,20.59,852972
2016-01-07T16:30,20.59,20.73,20.58,20.65,618611
2016-01-07T17:30,20.65,20.7,20.44,20.48,648410
2016-01-07T18:30,20.48,20.5,20.37,20.42,874641
2016-01-07T19:30,20.41,20.55,20.4,20.43,723438
2016-01-07T20:30,20.43,20.55,20.42,20.42,842349
2016-01-08T14:30,20.1,20.13,19.36,19.59,2174153
2016-01-08T15:30,19.59,19.75,19.47,19.52,812290
2016-01-08T16:30,19.53,19.84,19.42,19.81,796428
2016-01-08T17:30,19.81,19.82,19.59,19.62,486121
2016-01-08T18:30,19.63,19.79,19.6,19.75,520764
2016-01-08T19:30,19.74,19.76,19.59,19.65,610316
2016-01-08T20:30,19.65,19.66,19.53,19.57,1212467
2016-01-11T14:30,19.66,20,19.6,19.68,870466
2016-01-11T15:30,19.69,19.77,19.59,19.74,655724
2016-01-11T16:30,19.74,19.87,19.65,19.75,479819
2016-01-11T17:30,19.75,19.94,19.75,19.8,489261
2016-01-11T18:30,19.79,19.95,19.58,19.92,785956
2016-01-11T19:30,19.92,19.93,19.67,19.88,1007096
2016-01-11T20:30,19.89,19.99,19.86,19.88,1163136
2016-01-12T14:30,20.01,20.29,19.86,20.06,755918
2016-01-12T15:30,20.07,20.28,19.99,20.02,497361
2016-01-12T16:30,20.02,20.14,19.95,20.07,454230
2016-01-12T17:30,20.07,20.19,19.99,20.09,453777
2016-01-12T18:30,20.09,20.17,20.01,20.13,751643
2016-01-12T19:30,20.12,20.5,20.12,20.43,721718
2016-01-12T20:30,20.43,20.47,20.34,20.36,975776
2016-01-13T14:30,20.41,20.49,20.25,20.3,769383
2016-01-13T15:30,20.3,20.37,20.18,20.29,797593
2016-01-13T16:30,20.29,20.33,20.04,20.1,553431
2016-01-13T17:30,20.1,20.14,20.04,20.06,445528
2016-01-13T18:30,20.06,20.11,19.82,19.86,879550
2016-01-13T19:30,19.86,19.88,19.66,19.86,954203
2016-01-13T20:30,19.86,19.88,19.73,19.78,1187557
2016-01-14T14:30,18.28,18.41,17.31,18.15,5535239
2016-01-14T15:30,18.15,18.32,17.8,17.83,2757124
2016-01-14T16:30,17.82,18.14,17.7,18.04,1776199
2016-01-14T17:30,18.04,18.08,17.92,17.99,1226660
2016-01-14T18:30,17.99,18.03,17.45,17.67,2687674
2016-01-14T19:30,17.67,18.11,17.46,18.05,2467078
2016-01-14T20:30,18.05,18.08,17.85,17.86,2885521
2016-01-15T14:30,17.13,17.71,17.11,17.65,3883355
2016-01-15T15:30,17.65,18.02,17.63,17.7,2114687
2016-01-15T16:30,17.7,17.89,17.57,17.72,1634832
2016-01-15T17:30,17.72,18.2,17.61,18.19,1815383
2016-01-15T18:30,18.19,18.34,18.07,18.18,2076748
2016-01-15T19:30,18.18,18.49,18.15,18.4,1806213
2016-01-15T20:30,18.4,18.4,18.26,18.32,1522983
2016-01-19T14:30,18.28,18.32,17.93,18.2,2267109
2016-01-19T15:30,18.2,18.22,17.5,17.66,1638870
2016-01-19T16:30,17.67,17.71,17.51,17.59,872576
2016-01-19T17:30,17.59,17.64,17.48,17.55,682302
2016-01-19T18:30,17.55,17.56,17.18,17.28,1193918
2016-01-19T19:30,17.28,17.67,17.17,17.65,1390886
2016-01-19T20:30,17.67,17.69,17.46,17.47,1783825
2016-01-20T14:30,17.19,17.53,17.18,17.47,1417404
2016-01-20T15:30,17.47,17.69,17.4,17.68,1123865
2016-01-20T16:30,17.68,17.75,17.5,17.51,938687
2016-01-20T17:30,17.51,17.78,17.45,17.77,604281
2016-01-20T18:30,17.77,17.99,17.71,17.8,787303
2016-01-20T19:30,17.8,18.18,17.74,18.15,895468
2016-01-20T20:30,18.16,18.18,17.9,17.94,1403277
2016-01-21T14:30,17.9,18.58,17.88,18.48,897064
2016-01-21T15:30,18.47,18.55,18.26,18.34,1069576
2016-01-21T16:30,18.35,18.59,18.35,18.55,648739
2016-01-21T17:30,18.56,18.72,18.42,18.43,551692
2016-01-21T18:30,18.43,18.56,18.31,18.41,863042
2016-01-21T19:30,18.41,18.57,18.4,18.51,632313
2016-01-21T20:30,18.52,18.59,18.42,18.43,802631
2016-01-22T14:30,18.71,18.92,18.52,18.65,595772
2016-01-22T15:30,18.66,18.69,18.44,18.48,550170
2016-01-22T16:30,18.49,18.49,18.34,18.45,401587
2016-01-22T17:30,18.45,18.54,18.3,18.48,503340
2016-01-22T18:30,18.48,18.54,18.41,18.43,445835
2016-01-22T19:30,18.43,18.49,18.34,18.42,659560
2016-01-22T20:30,18.42,18.46,18.39,18.42,832756
2016-01-25T14:30,18.38,18.53,18.29,18.38,805913
2016-01-25T15:30,18.38,18.44,18.19,18.32,647852
2016-01-25T16:30,18.34,18.44,18.29,18.44,518960
2016-01-25T17:30,18.43,18.54,18.41,18.49,449504
2016-01-25T18:30,18.48,18.51,18.36,18.47,514907
2016-01-25T19:30,18.47,18.5,18.35,18.36,747222
2016-01-25T20:30,18.36,18.38,18.25,18.29,1100935
2016-01-26T14:30,18.38,18.75,18.26,18.68,550490
2016-01-26T15:30,18.68,18.88,18.66,18.87,457699
2016-01-26T16:30,18.86,18.98,18.74,18.97,457465
2016-01-26T17:30,18.97,19.01,18.82,18.95,412925
2016-01-26T18:30,18.95,18.96,18.8,18.9,515882
2016-01-26T19:30,18.9,19.01,18.86,18.95,697823
2016-01-26T20:30,18.95,18.97,18.91,18.95,750763
2016-01-27T14:30,18.94,19.22,18.84,19.03,644036
2016-01-27T15:30,19.03,19.07,18.85,18.97,578793
2016-01-27T16:30,18.96,19.15,18.93,18.98,464231
2016-01-27T17:30,18.97,18.97,18.77,18.77,598076
2016-01-27T18:30,18.77,18.85,18.57,18.64,708301
2016-01-27T19:30,18.65,18.65,18.4,18.51,1132374
2016-01-27T20:30,18.51,18.53,18.38,18.43,1224062
2016-01-28T14:30,18.46,18.63,18.21,18.23,947935
2016-01-28T15:30,18.24,18.47,18.21,18.41,689424
2016-01-28T16:30,18.41,18.42,18.22,18.3,433539
2016-01-28T17:30,18.31,18.4,18.23,18.32,497132
2016-01-28T18:30,18.33,18.38,18.21,18.36,612065
2016-01-28T19:30,18.36,18.38,18.18,18.24,990804
2016-01-28T20:30,18.24,18.26,18.19,18.23,1097003
2016-01-29T14:30,18.38,18.91,18.36,18.76,716055
2016-01-29T15:30,18.75,18.91,18.69,18.88,462036
2016-01-29T16:30,18.88,19.01,18.75,18.96,556588
2016-01-29T17:30,18.95,19.02,18.91,18.96,446525
2016-01-29T18:30,18.97,18.98,18.73,18.9,741256
2016-01-29T19:30,18.89,18.92,18.84,18.85,725797
2016-01-29T20:30,18.85,18.88,18.79,18.86,1469423
2016-02-01T14:30,18.76,19.15,18.71,19.11,653504
2016-02-01T15:30,19.11,19.3,19.03,19.17,471267
2016-02-01T16:30,19.17,19.26,19.13,19.18,342612
2016-02-01T17:30,19.18,19.23,19.03,19.13,338871
2016-02-01T18:30,19.14,19.23,19.12,19.23,449384
2016-02-01T19:30,19.23,19.4,19.22,19.37,622812
2016-02-01T20:30,19.37,19.38,19.26,19.3,1016534
2016-02-02T14:30,19.22,19.36,18.87,18.99,722278
2016-02-02T15:30,18.99,19.24,18.98,19.18,357052
2016-02-02T16:30,19.18,19.25,19.06,19.18,353282
2016-02-02T17:30,19.18,19.24,19.16,19.24,295462
2016-02-02T18:30,19.25,19.25,19.12,19.12,384848
2016-02-02T19:30,19.12,19.19,19.04,19.1,515411
2016-02-02T20:30,19.1,19.19,19.1,19.14,713432
2016-02-03T14:30,19.12,19.23,18.76,18.81,633522
2016-02-03T15:30,18.79,18.95,18.59,18.9,725179
2016-02-03T16:30,18.91,19.15,18.85,19.04,405565
2016-02-03T17:30,19.03,19.12,18.97,19.01,279528
2016-02-03T18:30,19.01,19.14,18.85,19.13,423883
2016-02-03T19:30,19.13,19.22,19.05,19.12,657673
2016-02-03T20:30,19.12,19.17,19.05,19.15,575710
2016-02-04T14:30,18.8,19.27,18.59,19.27,865652
2016-02-04T15:30,19.27,19.28,18.91,18.99,887640
2016-02-04T16:30,19,19.09,18.81,19.04,549686
2016-02-04T17:30,19.04,19.22,19,19.05,592458
2016-02-04T18:30,19.05,19.15,19,19.03,450103
2016-02-04T19:30,19.03,19.14,19,19.09,636488
2016-02-04T20:30,19.09,19.19,19.09,19.17,704521
2016-02-05T14:30,19.11,19.26,18.99,19.04,748865
2016-02-05T15:30,19.04,19.13,18.77,18.87,817750
2016-02-05T16:30,18.87,19.21,18.87,19.21,724152
2016-02-05T17:30,19.21,19.37,19.12,19.17,408220
2016-02-05T18:30,19.17,19.17,19.03,19.08,360498
2016-02-05T19:30,19.07,19.14,19.07,19.1,528140
