date,open,high,low,close,volume
2016-01-04T14:30,21.43,21.74,21.32,21.68,939890
2016-01-04T15:30,21.68,21.69,21.5,21.56,782786
2016-01-04T16:30,21.57,21.71,21.55,21.58,341284
2016-01-04T17:30,21.57,21.76,21.54,21.73,400956
2016-01-04T18:30,21.73,21.75,21.64,21.68,343456
2016-01-04T19:30,21.68,21.69,21.52,21.56,504781
2016-01-04T20:30,21.56,21.8,21.56,21.79,683333
2016-01-05T14:30,21.85,21.94,21.54,21.54,483615
2016-01-05T15:30,21.54,21.68,21.52,21.56,338795
2016-01-05T16:30,21.55,21.63,21.5,21.53,259371
2016-01-05T17:30,21.53,21.59,21.5,21.55,194577
2016-01-05T18:30,21.55,21.8,21.54,21.77,254122
2016-01-05T19:30,21.77,21.78,21.68,21.74,287235
2016-01-05T20:30,21.74,21.82,21.71,21.76,564407
2016-01-06T14:30,21.35,21.47,21.26,21.34,643504
2016-01-06T15:30,21.34,21.41,21.22,21.38,342379
2016-01-06T16:30,21.38,21.43,21.25,21.27,270429
2016-01-06T17:30,21.26,21.37,21.19,21.23,183412
2016-01-06T18:30,21.23,21.28,21.2,21.27,247495
2016-01-06T19:30,21.26,21.27,21.05,21.16,452605
2016-01-06T20:30,21.17,21.21,21.1,21.2,459307
2016-01-07T14:30,20.69,20.92,20.55,20.9,1096862
2016-01-07T15:30,20.9,21.05,20.9,20.96,626096
2016-01-07T16:30,20.96,20.97,20.79,20.87,315385
2016-01-07T17:30,20.87,20.88,20.73,20.74,710494
2016-01-07T18:30,20.73,20.73,20.45,20.46,616937
2016-01-07T19:30,20.46,20.68,20.41,20.47,898486
2016-01-07T20:30,20.47,20.63,20.47,20.52,731624
2016-01-08T14:30,20.6,20.77,20.38,20.47,674726
2016-01-08T15:30,20.48,20.53,20.4,20.46,606136
2016-01-08T16:30,20.46,20.58,20.4,20.56,479363
2016-01-08T17:30,20.56,20.56,20.42,20.44,417571
2016-01-08T18:30,20.45,20.54,20.41,20.42,426164
2016-01-08T19:30,20.41,20.48,20.35,20.36,732719
2016-01-08T20:30,20.35,20.36,20.2,20.26,1439339
2016-01-11T14:30,20.27,20.47,19.89,20.03,777375
2016-01-11T15:30,20.03,20.13,19.84,19.97,720724
2016-01-11T16:30,19.96,20.03,19.9,19.96,582815
2016-01-11T17:30,19.96,20.09,19.96,20.05,692926
2016-01-11T18:30,20.04,20.16,19.96,20.13,623824
2016-01-11T19:30,20.13,20.18,20.04,20.15,1040059
2016-01-11T20:30,20.16,20.29,20.15,20.17,1106538
2016-01-12T14:30,20.59,20.78,20.09,20.15,803067
2016-01-12T15:30,20.15,20.21,20.11,20.15,876868
2016-01-12T16:30,20.15,20.25,20.11,20.15,568553
2016-01-12T17:30,20.14,20.24,20.11,20.15,497709
2016-01-12T18:30,20.15,20.34,20.14,20.2,445519
2016-01-12T19:30,20.19,20.45,20.18,20.42,553156
2016-01-12T20:30,20.41,20.51,20.35,20.48,1224697
2016-01-13T14:30,20.6,20.7,20.46,20.55,776510
2016-01-13T15:30,20.54,20.57,20.4,20.49,524672
