date,open,high,low,close,volume
2016-01-04T14:30,49.19,49.31,48.1,48.39,5978125
2016-01-04T15:30,48.31,48.36,48.14,48.17,2268075
2016-01-04T16:30,48.15,48.35,48.1,48.25,1574775
2016-01-04T17:30,48.27,48.32,48.16,48.22,1924050
2016-01-04T18:30,48.25,48.46,48.18,48.36,1546725
2016-01-04T19:30,48.32,48.35,48.19,48.28,2243175
2016-01-04T20:30,48.3,48.8,48.23,48.76,2735075
2016-01-05T14:30,48.42,48.86,47.59,47.6,5319225
2016-01-05T15:30,47.59,47.84,47.38,47.38,3108925
2016-01-05T16:30,47.39,47.52,47.2,47.36,1782575
2016-01-05T17:30,47.35,47.39,47.09,47.17,2082250
2016-01-05T18:30,47.17,47.58,47.09,47.53,2923100
2016-01-05T19:30,47.53,47.55,47.04,47.26,2774050
2016-01-05T20:30,47.24,47.5,47.22,47.42,3438425
2016-01-06T14:30,46.45,47.35,46.41,47.32,3675150
2016-01-06T15:30,47.31,47.42,47.06,47.37,1911950
2016-01-06T16:30,47.34,47.48,47.21,47.24,1500950
2016-01-06T17:30,47.25,47.39,47.01,47.07,979925
2016-01-06T18:30,47.06,47.2,46.97,47.13,824625
2016-01-06T19:30,47.12,47.16,46.69,46.79,2200050
2016-01-06T20:30,46.83,46.99,46.71,46.89,2281150
2016-01-07T14:30,45.9,46.41,45.32,46.41,8924100
2016-01-07T15:30,46.41,46.79,45.84,45.96,3993000
2016-01-07T16:30,46,46.27,45.81,45.83,1560200
2016-01-07T17:30,45.83,46.05,45.55,45.73,1743650
2016-01-07T18:30,45.72,45.86,45.36,45.36,2699825
2016-01-07T19:30,45.35,45.83,45.21,45.31,2791825
2016-01-07T20:30,45.32,45.73,45.24,45.72,4091400
2016-01-08T14:30,45.92,46.31,45.63,45.75,4721425
2016-01-08T15:30,45.74,45.87,45.28,45.37,3103625
2016-01-08T16:30,45.3,45.53,45.1,45.4,2260925
2016-01-08T17:30,45.38,45.38,44.97,45.06,1859350
2016-01-08T18:30,45.06,45.2,44.95,45.03,2768550
2016-01-08T19:30,45.03,45.27,44.89,44.89,3811325
2016-01-08T20:30,44.87,44.91,44.46,44.53,6017400
2016-01-11T14:30,44.49,44.96,44.46,44.69,3720525
2016-01-11T15:30,44.63,44.78,44.03,44.44,2348050
2016-01-11T16:30,44.45,44.65,44.29,44.29,1408800
2016-01-11T17:30,44.32,44.38,44.07,44.11,1051675
2016-01-11T18:30,44.08,44.26,43.87,44.2,1938450
2016-01-11T19:30,44.22,44.44,43.91,44.41,1518950
2016-01-11T20:30,44.44,44.68,44.42,44.52,3286800
2016-01-12T14:30,44.72,45.45,44.7,44.92,4919300
2016-01-12T15:30,44.89,45.05,44.68,44.78,2296750
2016-01-12T16:30,44.81,45.2,44.69,44.97,2937875
2016-01-12T17:30,44.93,45.01,44.73,44.83,1131175
2016-01-12T18:30,44.78,44.85,44.38,44.55,1512275
2016-01-12T19:30,44.6,44.99,44.57,44.91,2300425
2016-01-12T20:30,44.93,45.23,44.82,45.01,3911400
2016-01-13T14:30,45.28,45.32,44.62,44.65,2883125
