date,open,high,low,close,volume
2016-01-04T14:30,256.73,257.06,254.07,256.47,159034
2016-01-04T15:30,256.65,256.78,253.62,254.3,122740
2016-01-04T16:30,254.47,255.88,253.72,254.5,86720
2016-01-04T17:30,254.4,256.66,254.1,255.82,108921
2016-01-04T18:30,255.92,256.17,254.52,255.79,85205
2016-01-04T19:30,255.54,255.54,254.43,254.83,124817
2016-01-04T20:30,254.91,256.99,254.88,256.99,182446
2016-01-05T14:30,257.62,259.09,255.13,255.13,101678
2016-01-05T15:30,255.16,256.98,254.54,255.12,100980
2016-01-05T16:30,255.38,256.42,254.47,254.69,79717
2016-01-05T17:30,254.63,255.47,253.71,254.83,80586
2016-01-05T18:30,254.71,257.25,254.64,256.84,91815
2016-01-05T19:30,256.66,257.39,256.29,256.82,167770
2016-01-05T20:30,256.99,257.95,256.86,257.58,136791
2016-01-06T14:30,252.32,255.12,252.16,254.77,155142
2016-01-06T15:30,254.63,255.85,253.98,255.62,90876
2016-01-06T16:30,255.73,255.82,254.17,254.24,108130
2016-01-06T17:30,254.24,255.38,253.86,254.25,119820
2016-01-06T18:30,254.32,254.94,253.57,254.37,199419
2016-01-06T19:30,254.5,254.58,252.08,254.07,232485
2016-01-06T20:30,254.14,254.64,253.35,254.58,168079
2016-01-07T14:30,247.23,251.04,246.3,249.05,164104
2016-01-07T15:30,249.53,250.47,248.32,248.32,195898
2016-01-07T16:30,248.46,248.69,246.06,246.2,122437
2016-01-07T17:30,246.23,246.7,244.13,244.85,101246
2016-01-07T18:30,244.85,244.94,241.31,241.31,147954
2016-01-07T19:30,241.29,244.42,240.98,243.33,267783
2016-01-07T20:30,243.19,244.89,243.19,243.43,215271
2016-01-08T14:30,244.8,246.5,243.6,244.04,226457
2016-01-08T15:30,244.25,244.54,241.38,241.67,154596
2016-01-08T16:30,241.61,242.79,240.37,242.38,167482
2016-01-08T17:30,242.36,242.75,240.19,240.54,141380
2016-01-08T18:30,240.68,241.67,238.72,238.76,194458
2016-01-08T19:30,238.7,240.15,238.34,238.39,225479
2016-01-08T20:30,238.4,238.42,236.68,237.21,339687
2016-01-11T14:30,238.25,238.94,235.51,236.63,241322
2016-01-11T15:30,236.83,237.59,234.63,236.23,151477
2016-01-11T16:30,236.2,237.75,235.99,237.16,111548
2016-01-11T17:30,237.03,237.51,236.2,236.4,104764
2016-01-11T18:30,236.37,236.9,235.53,236.58,137409
2016-01-11T19:30,236.49,237.14,235.04,236.63,148664
2016-01-11T20:30,236.94,238.97,236.7,237.61,314438
2016-01-12T14:30,240.84,242.52,238.6,238.97,165470
2016-01-12T15:30,238.83,240.2,238.4,239.54,148240
2016-01-12T16:30,239.19,239.9,237.68,238.4,119539
2016-01-12T17:30,238.17,239.74,237.66,238.87,80276
2016-01-12T18:30,238.71,239.97,237.11,238.19,119923
2016-01-12T19:30,238.24,241.37,238.07,241.09,175982
2016-01-12T20:30,241.06,242.44,240.31,241.8,209920
2016-01-13T14:30,243.29,245.47,242.63,243.13,197664
2016-01-13T15:30,242.79,244.98,242.25,244.49,138317
2016-01-13T16:30,244.4,245.05,242.25,242.53,206446
2016-01-13T17:30,242.51,242.51,238.82,238.82,87907
2016-01-13T18:30,239.1,239.37,236.66,237.08,88532
2016-01-13T19:30,236.96,237.03,234.05,235.73,205200
2016-01-13T20:30,235.8,236.16,234.45,234.64,199969
2016-01-14T14:30,235.32,236.25,230.73,236,259825
2016-01-14T15:30,235.8,239.56,234.91,235.59,175290
2016-01-14T16:30,235.91,237.43,234.88,236.9,59229
2016-01-14T17:30,236.94,239.42,236.68,238.36,95843
2016-01-14T18:30,238.96,242.06,238.25,242.04,162952
2016-01-14T19:30,242.04,243.17,240.58,241.46,308897
2016-01-14T20:30,241.47,241.47,238.72,238.97,247841
2016-01-15T14:30,231.22,231.22,223.91,229.32,559111
2016-01-15T15:30,229.43,230.6,227.6,227.77,220150
2016-01-15T16:30,227.82,228.27,225.39,225.64,202798
2016-01-15T17:30,225.4,226.28,224.01,225.73,254375
2016-01-15T18:30,225.77,230.56,225.53,229.35,203643
2016-01-15T19:30,229.36,230.34,227.94,229.48,189265
2016-01-15T20:30,229.57,230.49,228.16,228.83,224464
2016-01-19T14:30,231.57,232.62,227.74,231.66,152053
2016-01-19T15:30,231.5,231.82,227.92,228.89,119389
2016-01-19T16:30,229.06,229.82,227.1,227.75,118260
2016-01-19T17:30,227.8,228.56,226.66,227.35,80902
2016-01-19T18:30,227.41,227.71,224.55,225.38,115975
2016-01-19T19:30,225.37,226.7,223.92,226.41,162423
2016-01-19T20:30,226.54,227.56,225.51,226.85,220109
2016-01-20T14:30,222.53,223.01,220.25,220.35,335673
2016-01-20T15:30,220.19,221.06,218.77,220.11,249832
2016-01-20T16:30,220.12,220.65,216.27,216.69,150522
2016-01-20T17:30,216.66,219.44,216.65,218.19,123822
2016-01-20T18:30,218.03,222.11,218.03,220.45,204932
2016-01-20T19:30,220.29,226.16,219.58,225.97,245377
2016-01-20T20:30,225.92,226.75,223.82,225.1,326012
2016-01-21T14:30,225.46,227.55,223.15,226.65,112983
2016-01-21T15:30,226.73,228.87,226.32,226.62,170702
2016-01-21T16:30,226.7,228.78,225.84,227.86,198535
2016-01-21T17:30,227.64,228.06,226.01,226.13,90855
2016-01-21T18:30,226.32,227.51,223.57,224.28,113227
2016-01-21T19:30,224.62,226.05,223.79,224.01,167516
2016-01-21T20:30,224.01,225.44,223.45,223.59,161445
2016-01-22T14:30,228.06,230.11,227.78,229.48,110130
2016-01-22T15:30,229.8,229.84,227.4,228.88,130339
2016-01-22T16:30,228.95,229.18,227.74,228.77,72408
2016-01-22T17:30,228.8,230.78,228.62,230.48,74646
2016-01-22T18:30,230.72,232.72,230.59,231.56,73561
2016-01-22T19:30,231.56,231.92,230.24,231.07,137686
2016-01-22T20:30,231.21,232.03,230.84,231.79,129465
2016-01-25T14:30,231.31,231.99,228.76,230.08,105599
2016-01-25T15:30,230.14,230.32,227.08,227.48,144773
2016-01-25T16:30,227.28,227.55,226.55,226.98,129475
2016-01-25T17:30,226.97,228.36,226.82,228.16,69900
2016-01-25T18:30,228.24,228.24,226.44,226.87,121110
2016-01-25T19:30,226.88,226.9,223.91,224.39,196653
2016-01-25T20:30,224.47,224.68,222.94,223.37,191041
2016-01-26T14:30,225.45,226.63,224.53,225.79,238560
2016-01-26T15:30,225.79,227.2,225.58,226.88,135931
2016-01-26T16:30,227.11,228.94,226,228.94,104071
2016-01-26T17:30,228.95,228.99,227.6,228.71,91166
