date,open,high,low,close,volume
2016-01-04T14:30,4.27,4.31,4.155,4.16,447736
2016-01-04T15:30,4.1625,4.17,3.97,4.003,418146
2016-01-04T16:30,4.005,4.11,4.0025,4.11,259166
2016-01-04T17:30,4.1,4.255,4.1,4.25,294386
2016-01-04T18:30,4.25,4.45,4.2325,4.43,291009
2016-01-04T19:30,4.425,4.51,4.4,4.465,214762
2016-01-04T20:30,4.4601,4.53,4.4601,4.53,443825
2016-01-05T14:30,4.55,4.6,4.29,4.3501,567863
2016-01-05T15:30,4.37,4.37,4.2501,4.255,258094
2016-01-05T16:30,4.25,4.35,4.25,4.295,193279
2016-01-05T17:30,4.3,4.32,4.26,4.31,132478
2016-01-05T18:30,4.315,4.33,4.28,4.315,158700
2016-01-05T19:30,4.315,4.32,4.29,4.29,165255
2016-01-05T20:30,4.295,4.3,4.28,4.3,293019
2016-01-06T14:30,4.23,4.23,3.9,3.96,1066115
2016-01-06T15:30,3.955,3.96,3.88,3.93,621635
2016-01-06T16:30,3.925,3.953,3.86,3.87,432911
2016-01-06T17:30,3.87,3.99,3.86,3.97,310070
2016-01-06T18:30,3.9601,3.99,3.935,3.975,189043
2016-01-06T19:30,3.975,3.99,3.94,3.95,237137
2016-01-06T20:30,3.95,3.95,3.93,3.95,377467
2016-01-07T14:30,3.78,3.8,3.65,3.72,348638
2016-01-07T15:30,3.72,3.85,3.715,3.8322,282452
2016-01-07T16:30,3.84,3.85,3.77,3.81,206398
2016-01-07T17:30,3.805,3.82,3.77,3.8,176916
2016-01-07T18:30,3.79,3.795,3.76,3.78,155891
2016-01-07T19:30,3.78,3.81,3.78,3.8,345255
2016-01-07T20:30,3.8,3.97,3.79,3.97,907987
2016-01-08T14:30,4,4.04,3.65,3.65,627430
2016-01-08T15:30,3.66,3.69,3.57,3.5801,541257
2016-01-08T16:30,3.585,3.6,3.55,3.595,369858
2016-01-08T17:30,3.6,3.6,3.58,3.5839,143494
2016-01-08T18:30,3.58,3.59,3.57,3.575,244238
2016-01-08T19:30,3.5701,3.58,3.57,3.575,117874
2016-01-08T20:30,3.575,3.6,3.52,3.53,1011525
2016-01-11T14:30,3.62,3.6958,3.39,3.41,614305
2016-01-11T15:30,3.41,3.45,3.22,3.26,518432
2016-01-11T16:30,3.25,3.28,3.24,3.24,162289
2016-01-11T17:30,3.25,3.28,3.24,3.25,154378
2016-01-11T18:30,3.25,3.27,3.25,3.27,126636
2016-01-11T19:30,3.265,3.27,3.26,3.27,173044
2016-01-11T20:30,3.27,3.27,3.25,3.26,284507
2016-01-12T14:30,3.26,3.33,2.8,2.85,1049399
2016-01-12T15:30,2.85,2.8999,2.83,2.845,420935
2016-01-12T16:30,2.845,2.85,2.81,2.845,281835
2016-01-12T17:30,2.84,2.86,2.83,2.84,170309
2016-01-12T18:30,2.841,2.89,2.84,2.89,172780
2016-01-12T19:30,2.89,3.03,2.86,3.01,479559
2016-01-12T20:30,3.01,3.01,2.96,2.975,493983
2016-01-13T14:30,3.02,3.1101,2.9,2.91,377845
2016-01-13T15:30,2.905,2.905,2.81,2.825,507124
2016-01-13T16:30,2.825,2.83,2.82,2.83,95329
2016-01-13T17:30,2.82,2.83,2.8,2.8,101289
2016-01-13T18:30,2.805,2.81,2.76,2.775,733326
2016-01-13T19:30,2.77,2.82,2.77,2.805,458819
2016-01-13T20:30,2.805,2.81,2.79,2.8,421844
2016-01-14T14:30,2.79,2.87,2.63,2.825,527105
2016-01-14T15:30,2.83,2.86,2.71,2.725,415908
2016-01-14T16:30,2.73,2.78,2.7,2.77,206600
2016-01-14T17:30,2.77,2.94,2.76,2.93,320944
2016-01-14T18:30,2.94,2.99,2.92,2.98,310729
2016-01-14T19:30,2.97,3.03,2.97,3,338484
2016-01-14T20:30,3,3.06,2.99,3.06,790033
2016-01-15T14:30,2.83,3.02,2.82,2.94,724421
2016-01-15T15:30,2.94,3.03,2.92,3.015,477468
2016-01-15T16:30,3.015,3.04,2.99,3.005,210826
2016-01-15T17:30,3.01,3.02,2.93,2.96,293539
2016-01-15T18:30,2.96,3.02,2.95,2.95,146169
2016-01-15T19:30,2.95,3.04,2.94,3.02,259572
2016-01-15T20:30,3.01,3.06,3.01,3.05,445262
2016-01-19T14:30,3.13,3.2,2.99,3.03,616604
2016-01-19T15:30,3.03,3.04,2.99,3,413124
2016-01-19T16:30,3,3.03,2.99,3.01,252755
2016-01-19T17:30,3,3.02,2.99,2.99,143413
2016-01-19T18:30,2.99,3.01,2.99,3.003,317499
2016-01-19T19:30,3.005,3.01,2.95,3,301011
2016-01-19T20:30,3.005,3.07,2.99,3.05,695929
2016-01-20T14:30,2.96,3.01,2.86,2.9,561108
2016-01-20T15:30,2.89,2.94,2.84,2.93,402143
2016-01-20T16:30,2.92,2.96,2.91,2.9225,237605
2016-01-20T17:30,2.925,3.05,2.925,3.015,405646
2016-01-20T18:30,3.02,3.18,3.01,3.17,414224
2016-01-20T19:30,3.175,3.265,3.1,3.26,394634
2016-01-20T20:30,3.26,3.31,3.25,3.25,481140
2016-01-21T14:30,3.23,3.46,3.18,3.4,452258
2016-01-21T15:30,3.3915,3.46,3.34,3.39,368934
2016-01-21T16:30,3.4,3.505,3.39,3.49,298329
2016-01-21T17:30,3.49,3.52,3.41,3.42,206995
2016-01-21T18:30,3.42,3.44,3.34,3.38,240855
2016-01-21T19:30,3.37,3.41,3.345,3.39,221881
2016-01-21T20:30,3.39,3.42,3.39,3.41,335128
2016-01-22T14:30,3.57,3.74,3.54,3.59,530938
2016-01-22T15:30,3.59,3.62,3.335,3.38,623334
2016-01-22T16:30,3.37,3.39,3.29,3.38,536162
2016-01-22T17:30,3.38,3.44,3.345,3.41,295817
2016-01-22T18:30,3.415,3.52,3.4,3.45,476090
2016-01-22T19:30,3.46,3.52,3.41,3.52,842267
2016-01-22T20:30,3.515,3.57,3.49,3.57,674868
2016-01-25T14:30,3.51,3.697,3.45,3.545,453887
2016-01-25T15:30,3.55,3.56,3.39,3.425,234441
2016-01-25T16:30,3.42,3.48,3.385,3.39,227454
2016-01-25T17:30,3.3801,3.4022,3.33,3.36,176886
2016-01-25T18:30,3.37,3.38,3.21,3.21,301447
2016-01-25T19:30,3.21,3.26,3.2,3.23,220575
2016-01-25T20:30,3.23,3.24,3.23,3.23,246091
2016-01-26T14:30,3.31,3.453,3.21,3.39,160775
2016-01-26T15:30,3.4,3.415,3.29,3.415,107254
2016-01-26T16:30,3.41,3.52,3.385,3.5101,110358
2016-01-26T17:30,3.52,3.54,3.4805,3.54,81568
2016-01-26T18:30,3.54,3.54,3.49,3.5,89998
2016-01-26T19:30,3.5,3.5,3.44,3.445,117066
2016-01-26T20:30,3.445,3.49,3.44,3.48,154761
2016-01-27T14:30,3.43,3.71,3.4112,3.585,500483
2016-01-27T15:30,3.59,3.69,3.55,3.679,185404
2016-01-27T16:30,3.67,3.8,3.67,3.76,297217
2016-01-27T17:30,3.77,3.8,3.685,3.73,212352
2016-01-27T18:30,3.74,3.765,3.62,3.68,239687
2016-01-27T19:30,3.68,3.69,3.57,3.6,244972
2016-01-27T20:30,3.595,3.65,3.59,3.64,261817
2016-01-28T14:30,3.77,3.97,3.5549,3.565,441277
2016-01-28T15:30,3.57,3.74,3.51,3.6901,182939
2016-01-28T16:30,3.69,3.71,3.64,3.67,152901
2016-01-28T17:30,3.67,3.99,3.66,3.99,471997
2016-01-28T18:30,3.99,4.0975,3.945,4.025,936725
2016-01-28T19:30,4.03,4.03,3.95,3.97,710874
2016-01-28T20:30,3.97,3.995,3.93,3.98,490125
2016-01-29T14:30,4.01,4.5275,3.99,4.48,1004559
2016-01-29T15:30,4.4875,4.64,4.43,4.58,1241805
2016-01-29T16:30,4.58,4.68,4.495,4.66,584763
2016-01-29T17:30,4.66,4.7,4.61,4.66,413628
2016-01-29T18:30,4.66,4.68,4.55,4.68,354487
2016-01-29T19:30,4.68,4.7,4.6,4.67,465497
2016-01-29T20:30,4.665,4.73,4.65,4.73,845673
2016-02-01T14:30,4.57,4.69,4.41,4.5401,617535
2016-02-01T15:30,4.55,4.57,4.385,4.435,374012
2016-02-01T16:30,4.435,4.51,4.37,4.445,208494
2016-02-01T17:30,4.44,4.515,4.395,4.46,178996
2016-02-01T18:30,4.45,4.45,4.275,4.335,382405
2016-02-01T19:30,4.345,4.39,4.29,4.355,269182
2016-02-01T20:30,4.35,4.39,4.34,4.36,350637
