date,open,high,low,close,volume
2016-01-04T14:30,59.62,59.86,58.92,59.5,322700
2016-01-04T15:30,59.44,59.6,59.18,59.4,423214
2016-01-04T16:30,59.4,59.58,59.24,59.39,173487
2016-01-04T17:30,59.38,59.49,59.23,59.27,298086
2016-01-04T18:30,59.26,59.34,58.93,59.06,185393
2016-01-04T19:30,59.07,59.13,58.91,58.94,304792
2016-01-04T20:30,58.93,59.53,58.92,59.5,506708
2016-01-05T14:30,60.03,60.24,59.45,59.54,291034
2016-01-05T15:30,59.54,59.82,59.43,59.7,157886
2016-01-05T16:30,59.7,59.86,59.62,59.77,141274
2016-01-05T17:30,59.76,59.89,59.69,59.83,267829
2016-01-05T18:30,59.82,60.05,59.8,59.89,209471
2016-01-05T19:30,59.89,59.98,59.76,59.89,211163
2016-01-05T20:30,59.89,60.18,59.89,60.01,223761
2016-01-06T14:30,59.26,60.05,59.15,60.03,241244
2016-01-06T15:30,60,60.33,59.83,60.2,239565
2016-01-06T16:30,60.22,60.28,59.85,60.01,181759
2016-01-06T17:30,59.97,60.24,59.95,60.05,178592
2016-01-06T18:30,60.06,60.13,59.96,60,90566
2016-01-06T19:30,59.97,59.98,59.48,59.74,194477
2016-01-06T20:30,59.72,59.81,59.58,59.72,252952
2016-01-07T14:30,58.65,59.97,58.56,59.93,332890
2016-01-07T15:30,59.95,60.27,59.73,59.91,165841
2016-01-07T16:30,59.91,59.99,59.58,59.66,154383
2016-01-07T17:30,59.65,59.75,58.92,59.1,178735
2016-01-07T18:30,59.11,59.16,58.69,58.72,234869
2016-01-07T19:30,58.73,59.01,58.6,58.68,406477
2016-01-07T20:30,58.66,59.11,58.64,58.77,329730
2016-01-08T14:30,59.33,59.33,58.37,58.64,295161
2016-01-08T15:30,58.64,58.71,58.15,58.17,157387
2016-01-08T16:30,58.18,58.89,57.95,58.8,194293
2016-01-08T17:30,58.81,58.83,58.59,58.68,137366
2016-01-08T18:30,58.68,58.91,58.49,58.54,95121
2016-01-08T19:30,58.53,58.8,58.3,58.33,105824
2016-01-08T20:30,58.3,58.32,57.82,57.92,319671
2016-01-11T14:30,58.05,58.37,57.42,57.84,294809
2016-01-11T15:30,57.86,58,57.38,57.44,234180
2016-01-11T16:30,57.42,57.98,57.36,57.75,368481
2016-01-11T17:30,57.76,58.08,57.71,57.76,100659
2016-01-11T18:30,57.74,58.21,57.52,58.19,134955
2016-01-11T19:30,58.17,58.45,57.84,58.39,274132
2016-01-11T20:30,58.41,58.7,58.34,58.38,343873
2016-01-12T14:30,58.88,58.93,58.42,58.6,312986
2016-01-12T15:30,58.58,58.76,58.19,58.34,98088
2016-01-12T16:30,58.33,58.58,58.03,58.45,136205
2016-01-12T17:30,58.42,58.65,58.36,58.48,110206
2016-01-12T18:30,58.46,58.66,58.19,58.43,109343
2016-01-12T19:30,58.36,58.66,58.3,58.52,256731
2016-01-12T20:30,58.53,58.64,58.4,58.58,388017
2016-01-13T14:30,59.66,59.66,58.4,58.6,295486
2016-01-13T15:30,58.6,58.6,58.09,58.17,217990
2016-01-13T16:30,58.16,58.4,57.91,58.16,227830
2016-01-13T17:30,58.16,58.16,57.18,57.22,282671
2016-01-13T18:30,57.21,57.43,56.82,56.95,422185
2016-01-13T19:30,56.94,56.94,56.24,56.61,537476
2016-01-13T20:30,56.62,56.68,56.4,56.53,532970
2016-01-14T14:30,56.82,57.06,56.33,56.8,454856
2016-01-14T15:30,56.8,57.29,56.73,56.88,337554
