date,open,high,low,close,volume
2016-01-04T14:30,79.24,79.38,77.52,77.84,82125
2016-01-04T15:30,77.85,77.98,77.25,77.41,103931
2016-01-04T16:30,77.42,77.89,77.32,77.76,63023
2016-01-04T17:30,77.74,77.93,77.59,77.64,54664
2016-01-04T18:30,77.68,78.52,77.65,78.41,45191
2016-01-04T19:30,78.32,78.35,77.83,78.025,66478
2016-01-04T20:30,78.06,78.31,78.01,78.28,163629
2016-01-05T14:30,78.33,79.48,78.11,78.36,127777
2016-01-05T15:30,78.36,78.78,78.29,78.465,60281
2016-01-05T16:30,78.46,78.62,77.76,78.02,42288
2016-01-05T17:30,78.02,78.3,77.75,78.12,30628
2016-01-05T18:30,78.06,78.57,78.03,78.16,51828
2016-01-05T19:30,78.13,78.23,77.65,77.96,64165
2016-01-05T20:30,78.01,78.07,77.84,77.95,77057
2016-01-06T14:30,76.93,77.53,76.36,77.32,78772
2016-01-06T15:30,77.31,77.48,76.55,77.4,106355
2016-01-06T16:30,77.36,77.425,76.9,77.11,119554
2016-01-06T17:30,77.15,77.22,76.2818,76.42,55854
2016-01-06T18:30,76.38,76.84,76.12,76.24,71283
2016-01-06T19:30,76.24,76.28,75.69,76.26,133282
2016-01-06T20:30,76.22,76.48,76,76.37,235281
2016-01-07T14:30,78.53,79,77.31,78.96,310871
2016-01-07T15:30,79.08,79.81,78.88,79.27,138062
2016-01-07T16:30,79.34,80.425,79.195,80.15,150482
2016-01-07T17:30,80.15,80.84,79.1,79.37,137753
2016-01-07T18:30,79.47,79.47,78.75,78.77,112559
2016-01-07T19:30,78.75,79.44,78.7,78.855,111888
2016-01-07T20:30,78.85,79.19,78.53,78.58,211724
2016-01-08T14:30,79.85,80.62,79.36,79.72,191718
2016-01-08T15:30,79.71,79.99,79.2,79.2,95171
2016-01-08T16:30,79.235,80.395,78.475,80.24,85617
2016-01-08T17:30,80.24,80.32,79.43,79.66,71392
2016-01-08T18:30,79.64,80.01,78.89,79.38,84908
2016-01-08T19:30,79.38,79.79,79.16,79.72,88322
2016-01-08T20:30,79.68,79.7,78.73,78.94,133146
2016-01-11T14:30,79.85,79.96,76.84,76.985,93391
2016-01-11T15:30,77.0148,77.52,76.09,76.16,179255
2016-01-11T16:30,76.3091,77.1,75.81,76.56,71382
2016-01-11T17:30,76.66,76.88,75.51,75.51,54039
2016-01-11T18:30,75.51,75.77,74.86,75.12,98113
2016-01-11T19:30,75.14,75.96,74.6,75.96,111235
2016-01-11T20:30,75.92,76.56,75.78,75.88,219582
2016-01-12T14:30,76.68,78.14,76.43,77.01,64531
2016-01-12T15:30,77.1355,77.4499,76.13,76.33,53109
2016-01-12T16:30,76.34,77.18,75.98,76.44,49185
2016-01-12T17:30,76.415,76.49,75.81,75.87,58277
2016-01-12T18:30,75.905,76.4,75.19,75.88,78656
2016-01-12T19:30,75.82,76.28,75.72,76.13,113671
2016-01-12T20:30,76.1,76.85,76.01,76.64,147817
2016-01-13T14:30,77.11,77.59,76.5,76.68,56936
2016-01-13T15:30,76.58,77.52,75.95,76.84,54437
2016-01-13T16:30,76.86,77.06,76,76.18,40723
2016-01-13T17:30,76.12,76.66,75.94,76.04,61854
2016-01-13T18:30,76.08,76.1,74.44,74.76,99195
2016-01-13T19:30,74.85,74.91,73.785,74.65,130761
2016-01-13T20:30,74.685,74.94,74.08,74.32,124479
2016-01-14T14:30,74.48,74.86,73.38,74.8,155214
2016-01-14T15:30,74.73,75.46,74.19,74.55,144053
2016-01-14T16:30,74.45,75.68,74.39,75.45,152444
2016-01-14T17:30,75.7,76.59,75.5,76.59,88399
2016-01-14T18:30,76.59,76.87,76.06,76.44,199959
2016-01-14T19:30,76.36,76.83,75.75,75.75,105908
2016-01-14T20:30,75.79,75.88,75.4,75.57,159982
2016-01-15T14:30,73.7,74.77,72.43,73.51,125492
2016-01-15T15:30,73.55,73.89,73.16,73.24,82408
2016-01-15T16:30,73.27,73.41,72.77,72.78,69024
2016-01-15T17:30,72.73,73.54,72.31,72.88,67027
2016-01-15T18:30,72.88,73.47,72.7,72.82,78134
2016-01-15T19:30,72.605,74.03,72.605,73.89,118975
2016-01-15T20:30,73.9,74.64,73.73,74.57,250332
2016-01-19T14:30,75.14,76.74,75.02,76.68,105229
2016-01-19T15:30,76.63,77.01,75.67,75.905,72095
2016-01-19T16:30,76.02,76.3099,75.67,75.97,60874
2016-01-19T17:30,75.97,76.17,75.64,76.01,84336
2016-01-19T18:30,75.94,76,74.49,74.78,158315
2016-01-19T19:30,74.78,76.09,74.74,76.03,80872
2016-01-19T20:30,76.04,76.42,75.735,75.8,175201
2016-01-20T14:30,74.67,75.47,73.52,73.53,72793
2016-01-20T15:30,73.585,73.89,72.3,72.805,91943
2016-01-20T16:30,72.87,73.12,72.25,72.35,82545
2016-01-20T17:30,72.32,73.41,71.96,73.41,56724
2016-01-20T18:30,73.2301,75.38,73.2301,74.625,102860
2016-01-20T19:30,74.56,75.99,74.07,75.955,91081
2016-01-20T20:30,75.95,75.98,74.81,74.86,99342
2016-01-21T14:30,75.26,75.852,73.88,74.91,75099
2016-01-21T15:30,74.97,75.22,74.2,74.435,69896
2016-01-21T16:30,74.38,75.38,74.16,74.37,76868
2016-01-21T17:30,74.37,74.465,73.79,73.87,73058
2016-01-21T18:30,73.79,74.21,73.295,73.93,78737
2016-01-21T19:30,73.96,74.44,73.81,74.06,62163
2016-01-21T20:30,74.06,74.57,73.84,73.93,120060
2016-01-22T14:30,74.755,75.33,73.69,73.97,111211
