date,open,high,low,close,volume
2016-01-04T14:30,20.14,20.15,19.84,19.92,423192
2016-01-04T15:30,19.92,19.97,19.78,19.83,534060
2016-01-04T16:30,19.83,19.94,19.79,19.82,283428
2016-01-04T17:30,19.81,19.87,19.79,19.85,281476
2016-01-04T18:30,19.84,19.85,19.78,19.81,197988
2016-01-04T19:30,19.8,19.81,19.7,19.72,260268
2016-01-04T20:30,19.72,19.81,19.72,19.8,595816
2016-01-05T14:30,19.87,20.01,19.76,19.78,335356
2016-01-05T15:30,19.78,19.93,19.77,19.89,280000
2016-01-05T16:30,19.87,19.95,19.83,19.87,165496
2016-01-05T17:30,19.86,19.88,19.84,19.85,107376
2016-01-05T18:30,19.84,19.92,19.84,19.87,131528
2016-01-05T19:30,19.87,19.88,19.81,19.86,241228
2016-01-05T20:30,19.86,19.91,19.81,19.83,471404
2016-01-06T14:30,19.58,19.9,19.51,19.86,350484
2016-01-06T15:30,19.85,19.9,19.76,19.9,156260
2016-01-06T16:30,19.89,19.92,19.85,19.87,214448
2016-01-06T17:30,19.87,19.91,19.81,19.82,163012
2016-01-06T18:30,19.83,19.83,19.76,19.8,197088
2016-01-06T19:30,19.8,19.81,19.68,19.75,282276
2016-01-06T20:30,19.76,19.77,19.7,19.74,377936
2016-01-07T14:30,19.47,19.64,19.36,19.58,630084
2016-01-07T15:30,19.59,19.68,19.56,19.63,268028
2016-01-07T16:30,19.64,19.64,19.56,19.56,285444
2016-01-07T17:30,19.56,19.57,19.37,19.39,176160
2016-01-07T18:30,19.39,19.45,19.33,19.43,317324
2016-01-07T19:30,19.43,19.48,19.39,19.39,499048
2016-01-07T20:30,19.39,19.53,19.38,19.49,774824
2016-01-08T14:30,19.55,19.56,19.36,19.44,307276
2016-01-08T15:30,19.44,19.46,19.34,19.36,355028
2016-01-08T16:30,19.36,19.38,19.25,19.37,267064
2016-01-08T17:30,19.36,19.36,19.22,19.24,236116
2016-01-08T18:30,19.23,19.29,19.17,19.18,272416
2016-01-08T19:30,19.17,19.2,19.13,19.16,384728
2016-01-08T20:30,19.15,19.15,18.94,18.98,1017884
2016-01-11T14:30,19.04,19.17,18.98,19.03,322352
2016-01-11T15:30,19.04,19.09,18.97,19.04,206416
2016-01-11T16:30,19.04,19.11,19.02,19.06,334276
2016-01-11T17:30,19.07,19.11,19.02,19.02,280264
2016-01-11T18:30,19.02,19.09,18.92,19.09,388484
2016-01-11T19:30,19.09,19.14,19.01,19.13,453324
2016-01-11T20:30,19.14,19.19,19.12,19.13,476176
2016-01-12T14:30,19.12,19.37,19.1,19.26,394796
2016-01-12T15:30,19.28,19.32,19.23,19.24,216412
2016-01-12T16:30,19.23,19.28,19.18,19.2,237176
2016-01-12T17:30,19.19,19.21,19.12,19.17,122080
2016-01-12T18:30,19.17,19.26,19.16,19.23,145676
2016-01-12T19:30,19.22,19.39,19.22,19.35,198508
2016-01-12T20:30,19.35,19.54,19.32,19.48,1235324
2016-01-13T14:30,19.5,19.52,19.34,19.43,236732
2016-01-13T15:30,19.42,19.45,19.38,19.39,168552
2016-01-13T16:30,19.39,19.42,19.29,19.34,129808
2016-01-13T17:30,19.33,19.33,19.21,19.21,101176
2016-01-13T18:30,19.21,19.22,19.08,19.13,180652
2016-01-13T19:30,19.12,19.13,18.97,19.09,507012
2016-01-13T20:30,19.09,19.12,19,19.02,459300
2016-01-14T14:30,19.06,19.15,19,19.1,594840
2016-01-14T15:30,19.12,19.28,19.04,19.07,299288
2016-01-14T16:30,19.08,19.15,19.02,19.1,146576
2016-01-14T17:30,19.1,19.21,19.1,19.21,91896
2016-01-14T18:30,19.21,19.24,19.14,19.18,161640
2016-01-14T19:30,19.2,19.32,19.19,19.27,157444
2016-01-14T20:30,19.27,19.27,19.16,19.18,334792
2016-01-15T14:30,18.78,18.95,18.64,18.79,745180
2016-01-15T15:30,18.79,18.85,18.7,18.76,331116
2016-01-15T16:30,18.78,18.8,18.6,18.61,194692
2016-01-15T17:30,18.61,18.73,18.52,18.71,316984
2016-01-15T18:30,18.69,18.75,18.67,18.7,189924
2016-01-15T19:30,18.69,18.85,18.66,18.8,293116
2016-01-15T20:30,18.8,18.86,18.77,18.85,492444
2016-01-19T14:30,18.99,19.11,18.84,18.92,390704
2016-01-19T15:30,18.91,18.93,18.73,18.81,220408
2016-01-19T16:30,18.82,18.88,18.71,18.74,373980
2016-01-19T17:30,18.74,18.77,18.69,18.71,207092
2016-01-19T18:30,18.71,18.74,18.6,18.67,168992
2016-01-19T19:30,18.67,18.83,18.62,18.78,527856
2016-01-19T20:30,18.79,18.82,18.72,18.73,571824
2016-01-20T14:30,18.45,18.69,18.39,18.41,511924
2016-01-20T15:30,18.41,18.44,18.23,18.27,336596
2016-01-20T16:30,18.26,18.3,18,18.01,316308
2016-01-20T17:30,18.02,18.22,18.01,18.15,423612
2016-01-20T18:30,18.17,18.35,18.15,18.26,336344
2016-01-20T19:30,18.28,18.63,18.23,18.63,368112
2016-01-20T20:30,18.63,18.63,18.43,18.47,589140
2016-01-21T14:30,18.53,18.7,18.28,18.39,559040
2016-01-21T15:30,18.39,18.42,18.06,18.08,1023408
2016-01-21T16:30,18.08,18.33,18.08,18.32,524376
2016-01-21T17:30,18.32,18.4,18.14,18.14,416156
2016-01-21T18:30,18.14,18.21,17.97,18.04,712292
2016-01-21T19:30,18.05,18.1,17.94,18.07,1030728
2016-01-21T20:30,18.06,18.14,18.01,18.02,979332
2016-01-22T14:30,18.25,18.42,18.18,18.36,632092
2016-01-22T15:30,18.37,18.42,18.33,18.39,322124
2016-01-22T16:30,18.39,18.47,18.34,18.44,292244
2016-01-22T17:30,18.43,18.5,18.41,18.47,209648
2016-01-22T18:30,18.47,18.6,18.47,18.57,409876
2016-01-22T19:30,18.57,18.58,18.44,18.48,530520
2016-01-22T20:30,18.48,18.52,18.44,18.49,646224
2016-01-25T14:30,18.45,18.53,18.36,18.46,304040
2016-01-25T15:30,18.47,18.48,18.39,18.48,311620
2016-01-25T16:30,18.47,18.49,18.4,18.41,215256
2016-01-25T17:30,18.41,18.54,18.4,18.5,196668
2016-01-25T18:30,18.51,18.52,18.41,18.45,199704
2016-01-25T19:30,18.45,18.49,18.37,18.39,441856
2016-01-25T20:30,18.39,18.39,18.32,18.36,394988
2016-01-26T14:30,18.39,18.69,18.39,18.52,294284
2016-01-26T15:30,18.53,18.63,18.52,18.56,257076
2016-01-26T16:30,18.55,18.56,18.48,18.56,472576
2016-01-26T17:30,18.56,18.62,18.55,18.61,179996
2016-01-26T18:30,18.6,18.64,18.59,18.59,318708
2016-01-26T19:30,18.6,18.62,18.56,18.58,428968
2016-01-26T20:30,18.58,18.62,18.54,18.58,638260
2016-01-27T14:30,18.6,18.69,18.59,18.69,576424
2016-01-27T15:30,18.68,18.72,18.66,18.71,199760
2016-01-27T16:30,18.69,18.75,18.69,18.73,234676
2016-01-27T17:30,18.74,18.74,18.68,18.68,163228
2016-01-27T18:30,18.68,18.77,18.65,18.67,438584
2016-01-27T19:30,18.67,18.7,18.49,18.56,625672
2016-01-27T20:30,18.56,18.59,18.52,18.56,419484
2016-01-28T14:30,18.68,18.7,18.56,18.61,326792
2016-01-28T15:30,18.61,18.73,18.56,18.69,167464
2016-01-28T16:30,18.69,18.73,18.61,18.73,302212
2016-01-28T17:30,18.73,18.78,18.61,18.66,203044
2016-01-28T18:30,18.66,18.77,18.64,18.75,287420
2016-01-28T19:30,18.76,18.78,18.65,18.67,712596
2016-01-28T20:30,18.66,18.69,18.64,18.64,911764
2016-01-29T14:30,18.74,19.05,18.57,19.04,359332
2016-01-29T15:30,19.04,19.13,18.94,19.13,301448
2016-01-29T16:30,19.13,19.2,19.11,19.11,294556
2016-01-29T17:30,19.11,19.16,19.08,19.1,213708
2016-01-29T18:30,19.11,19.18,19.09,19.18,235092
2016-01-29T19:30,19.19,19.24,19.13,19.23,368648
2016-01-29T20:30,19.23,19.28,19.18,19.25,947212
2016-02-01T14:30,19.16,19.31,18.98,19.22,398872
2016-02-01T15:30,19.22,19.38,19.19,19.36,407440
2016-02-01T16:30,19.36,19.4,19.28,19.33,314312
2016-02-01T17:30,19.33,19.41,19.32,19.39,302588
2016-02-01T18:30,19.38,19.39,19.32,19.37,283248
2016-02-01T19:30,19.37,19.45,19.34,19.43,404448
2016-02-01T20:30,19.43,19.43,19.3,19.31,632104
2016-02-02T14:30,19.2,19.37,19.12,19.2,462404
2016-02-02T15:30,19.18,19.21,19.13,19.15,286868
2016-02-02T16:30,19.15,19.17,19.09,19.11,389508
2016-02-02T17:30,19.12,19.15,19.06,19.14,324768
2016-02-02T18:30,19.13,19.13,19.06,19.06,378680
2016-02-02T19:30,19.07,19.14,19.03,19.07,639768
2016-02-02T20:30,19.06,19.14,19.06,19.12,937540
2016-02-03T14:30,19.38,19.51,19,19,933848
2016-02-03T15:30,19,19.01,18.81,18.88,703404
2016-02-03T16:30,18.87,19,18.84,18.98,283688
2016-02-03T17:30,18.98,18.98,18.86,18.89,172384
2016-02-03T18:30,18.89,19.04,18.83,19.04,368856
2016-02-03T19:30,19.03,19.11,18.96,18.96,633740
2016-02-03T20:30,18.97,19.02,18.96,19.01,456784
