date,open,high,low,close,volume
2016-01-04T14:30,68.81,68.89,68.38,68.76,258437
2016-01-04T15:30,68.74,68.74,68.285,68.49,216334
2016-01-04T16:30,68.46,68.7,68.45,68.47,160918
2016-01-04T17:30,68.465,68.72,68.44,68.44,173188
2016-01-04T18:30,68.43,68.67,68.31,68.61,169442
2016-01-04T19:30,68.62,68.62,68.29,68.345,230490
2016-01-04T20:30,68.35,68.69,68.34,68.68,256843
2016-01-05T14:30,68.72,69.54,68.72,69.13,200290
2016-01-05T15:30,69.12,69.25,69.04,69.15,128704
2016-01-05T16:30,69.15,69.19,69.01,69.06,103957
2016-01-05T17:30,69.04,69.08,68.94,68.98,149702
2016-01-05T18:30,68.98,69.21,68.97,69.2,115598
2016-01-05T19:30,69.2,69.21,69,69.09,138109
2016-01-05T20:30,69.09,69.13,69,69.12,247318
2016-01-06T14:30,68.22,68.66,68.18,68.6,186639
2016-01-06T15:30,68.6,69.19,68.44,69.1,233792
2016-01-06T16:30,69.09,69.135,68.745,68.82,123612
2016-01-06T17:30,68.81,68.87,68.38,68.39,165211
2016-01-06T18:30,68.4,68.55,68.21,68.32,203556
2016-01-06T19:30,68.33,68.43,67.925,68.24,274692
2016-01-06T20:30,68.235,68.57,68.09,68.37,574301
2016-01-07T14:30,67.36,67.92,67.3,67.63,198665
2016-01-07T15:30,67.63,67.9742,67.5398,67.7199,208896
2016-01-07T16:30,67.71,68.04,67.71,67.95,231008
2016-01-07T17:30,67.96,68.1,67.65,67.87,259100
2016-01-07T18:30,67.88,67.92,67.61,67.74,219058
2016-01-07T19:30,67.73,67.965,67.6,67.65,287173
2016-01-07T20:30,67.64,67.84,67.59,67.61,349149
2016-01-08T14:30,67.75,68.59,67.72,68.39,242356
2016-01-08T15:30,68.41,68.58,68.07,68.17,174682
2016-01-08T16:30,68.18,68.55,67.98,68.545,156887
2016-01-08T17:30,68.54,68.54,68.24,68.28,216742
2016-01-08T18:30,68.27,68.5,68.26,68.33,298190
2016-01-08T19:30,68.32,68.54,68.14,68.18,291673
2016-01-08T20:30,68.165,68.165,67.6,67.63,417424
2016-01-11T14:30,67.72,68.3,67.26,67.4,332182
2016-01-11T15:30,67.39,67.7099,67,67.09,249714
2016-01-11T16:30,67.08,67.34,67,67.04,219047
2016-01-11T17:30,67.03,67.14,66.89,66.95,206661
2016-01-11T18:30,66.95,67.02,66.67,67.01,221299
2016-01-11T19:30,67.01,67.16,66.77,67.12,270240
2016-01-11T20:30,67.13,67.38,67.08,67.23,348496
2016-01-12T14:30,67.49,68.42,67.465,67.61,111468
2016-01-12T15:30,67.5963,67.94,67.39,67.43,111161
2016-01-12T16:30,67.41,67.53,67.12,67.17,82886
2016-01-12T17:30,67.13,67.15,66.75,66.79,121339
2016-01-12T18:30,66.77,66.96,66.62,66.88,162309
2016-01-12T19:30,66.86,67.54,66.8,67.45,267089
2016-01-12T20:30,67.44,67.64,67.35,67.45,221723
2016-01-13T14:30,67.4,67.73,67.21,67.27,196050
2016-01-13T15:30,67.26,67.6,67.11,67.43,168634
2016-01-13T16:30,67.41,67.545,67.19,67.53,151058
2016-01-13T17:30,67.515,67.515,67,67.02,162033
2016-01-13T18:30,67.014,67.04,66.34,66.45,255921
2016-01-13T19:30,66.46,66.56,65.95,66.41,291889
2016-01-13T20:30,66.39,66.45,66.08,66.14,245857
2016-01-14T14:30,66.15,66.99,65.79,66.99,336844
2016-01-14T15:30,66.96,67.68,66.95,67.11,299914
2016-01-14T16:30,67.12,67.47,67.01,67.39,168375
2016-01-14T17:30,67.38,67.68,67.33,67.65,112469
2016-01-14T18:30,67.67,67.69,67.25,67.46,195327
2016-01-14T19:30,67.48,67.83,67.41,67.6,213321
2016-01-14T20:30,67.605,67.605,67.37,67.45,343696
2016-01-15T14:30,66.29,66.76,65.98,66.71,364451
2016-01-15T15:30,66.72,66.87,66.24,66.42,206491
2016-01-15T16:30,66.38,66.5,65.81,65.86,144681
2016-01-15T17:30,65.83,66.09,65.69,65.94,146482
2016-01-15T18:30,65.91,66.11,65.82,65.83,172513
2016-01-15T19:30,65.82,66.6,65.76,66.5,265239
2016-01-15T20:30,66.5,66.6,66.31,66.46,227186
2016-01-19T14:30,66.81,67.11,66.17,66.9,163407
2016-01-19T15:30,66.89,66.97,65.91,66.1,143063
2016-01-19T16:30,66.13,66.21,65.73,65.82,135257
2016-01-19T17:30,65.85,65.98,65.63,65.67,70661
2016-01-19T18:30,65.66,65.7899,65.13,65.19,104017
2016-01-19T19:30,65.19,65.66,64.91,65.65,236041
2016-01-19T20:30,65.66,65.97,65.6,65.73,276922
2016-01-20T14:30,64.98,65.15,64.1294,64.19,160541
2016-01-20T15:30,64.19,64.22,63.68,64.05,204863
2016-01-20T16:30,64.07,64.21,63.38,63.49,103086
2016-01-20T17:30,63.485,64.17,63.48,64.15,113211
2016-01-20T18:30,64.15,65.15,64.15,64.99,121394
2016-01-20T19:30,65.01,65.89,64.73,65.83,194074
2016-01-20T20:30,65.84,65.85,65.25,65.4,190029
2016-01-21T14:30,65.5,65.97,64.71,65.37,130939
2016-01-21T15:30,65.45,65.88,65,65.01,120279
2016-01-21T16:30,65.03,65.85,65.03,65.81,96092
2016-01-21T17:30,65.83,65.84,65.13,65.13,172020
2016-01-21T18:30,65.1,65.4,64.882,65.08,102630
2016-01-21T19:30,65.09,65.5,65.06,65.11,143033
2016-01-21T20:30,65.11,65.45,65.1,65.2,154250
2016-01-22T14:30,65.82,66.69,65.66,66.42,135772
2016-01-22T15:30,66.43,66.58,65.935,66.17,77956
2016-01-22T16:30,66.15,66.73,66.08,66.71,113914
2016-01-22T17:30,66.68,66.708,66.48,66.54,92918
2016-01-22T18:30,66.54,67.05,66.5,66.9,109996
2016-01-22T19:30,66.9,66.93,66.68,66.76,111304
2016-01-22T20:30,66.77,66.99,66.68,66.88,216649
2016-01-25T14:30,66.78,67.17,66.25,66.49,125001
2016-01-25T15:30,66.47,66.53,66.19,66.34,75514
2016-01-25T16:30,66.32,66.52,66.16,66.26,114141
2016-01-25T17:30,66.25,66.52,66.2,66.41,63358
2016-01-25T18:30,66.41,66.47,66.1,66.16,79901
2016-01-25T19:30,66.135,66.5,66.03,66.13,108306
2016-01-25T20:30,66.12,66.1525,65.88,65.96,115735
2016-01-26T14:30,66.24,66.47,65.72,66.38,57209
2016-01-26T15:30,66.38,66.46,65.98,66.19,55327
2016-01-26T16:30,66.21,66.59,66.09,66.53,50074
2016-01-26T17:30,66.53,66.63,66.33,66.47,56600
