date,open,high,low,close,volume
2016-01-04T14:30,38.6,39.47,38.3601,38.7,18824
2016-01-04T15:30,38.64,38.65,37.9899,38.13,11399
2016-01-04T16:30,38.12,38.61,38.01,38.61,14637
2016-01-04T17:30,38.54,39,38.53,38.82,18817
2016-01-04T18:30,38.84,38.91,38.57,38.66,10767
2016-01-04T19:30,38.67,38.68,38.44,38.57,21063
2016-01-04T20:30,38.57,38.99,38.54,38.83,46141
2016-01-05T14:30,38.63,38.79,37.35,37.41,38151
2016-01-05T15:30,37.43,37.83,37.25,37.46,28585
2016-01-05T16:30,37.415,37.71,37.22,37.325,36821
2016-01-05T17:30,37.3531,37.98,37.2201,37.69,19654
2016-01-05T18:30,37.626,37.99,37.6,37.96,13551
2016-01-05T19:30,37.9,38,37.79,37.99,22726
2016-01-05T20:30,37.96,37.99,37.65,37.96,49844
2016-01-06T14:30,37.34,37.99,36.5101,37.8766,15142
2016-01-06T15:30,37.85,37.95,37.51,37.82,24802
2016-01-06T16:30,37.85,38.2,37.82,37.89,25040
2016-01-06T17:30,37.84,38.12,37.8,37.961,13592
2016-01-06T18:30,37.99,38.12,37.81,38.12,21356
2016-01-06T19:30,38.08,38.1,37.67,37.68,30211
2016-01-06T20:30,37.7,37.7,37.07,37.16,55411
2016-01-07T14:30,36.5,37.03,36.47,36.62,20637
2016-01-07T15:30,36.62,36.72,36.36,36.43,14090
2016-01-07T16:30,36.428,36.72,36.34,36.51,12720
2016-01-07T17:30,36.61,36.61,35.17,35.17,36107
2016-01-07T18:30,35.205,35.78,35.06,35.63,25100
2016-01-07T19:30,35.57,36.01,35.54,35.72,23027
2016-01-07T20:30,35.72,36.08,35.66,35.87,35846
2016-01-08T14:30,35.99,36.4,35.73,35.96,25817
2016-01-08T15:30,36,36.06,35.186,35.235,30325
2016-01-08T16:30,35.235,35.61,35.22,35.51,26475
2016-01-08T17:30,35.51,35.5399,35.26,35.39,22807
2016-01-08T18:30,35.4,35.5,35.25,35.37,18666
2016-01-08T19:30,35.38,35.44,35.21,35.2999,26347
2016-01-08T20:30,35.295,35.295,35.05,35.17,37111
2016-01-11T14:30,35.3,35.84,35,35.448,20528
2016-01-11T15:30,35.39,35.6699,35.26,35.58,37898
2016-01-11T16:30,35.5,35.65,35.13,35.65,16637
2016-01-11T17:30,35.59,35.67,35.0511,35.15,17724
2016-01-11T18:30,35.15,35.308,34.94,35.28,25172
2016-01-11T19:30,35.25,35.29,34.86,35.29,29401
2016-01-11T20:30,35.29,35.485,35.29,35.31,47488
2016-01-12T14:30,35.55,36,35.5,35.61,9561
2016-01-12T15:30,35.6,35.71,35.01,35.01,17531
2016-01-12T16:30,35.051,35.4,34.89,35.16,48131
2016-01-12T17:30,35.18,35.22,34.81,34.87,11640
2016-01-12T18:30,34.87,35.23,34.85,35.14,13868
2016-01-12T19:30,35.09,35.49,35.04,35.33,16903
2016-01-12T20:30,35.28,35.51,35.23,35.44,22305
2016-01-13T14:30,35.54,35.74,35.2,35.31,21966
2016-01-13T15:30,35.31,35.35,35.2,35.27,23076
2016-01-13T16:30,35.27,35.34,34.87,35,11811
2016-01-13T17:30,34.98,35.11,34.93,34.98,14755
2016-01-13T18:30,35,35,34.675,34.75,25683
2016-01-13T19:30,34.67,34.765,34.415,34.74,30905
2016-01-13T20:30,34.73,34.84,34.66,34.77,49650
2016-01-14T14:30,34.99,35.51,34.565,35.51,20430
2016-01-14T15:30,35.4,35.48,34.8,34.84,12070
2016-01-14T16:30,34.84,35.03,34.8,34.98,8907
2016-01-14T17:30,34.88,35.22,34.84,35.15,7886
2016-01-14T18:30,35.25,35.39,35.18,35.21,6660
2016-01-14T19:30,35.21,35.33,35.11,35.14,15064
2016-01-14T20:30,35.155,35.155,34.97,35.0599,18183
2016-01-15T14:30,34.82,35.13,33.91,34.465,34364
2016-01-15T15:30,34.405,34.405,34.02,34.05,10322
2016-01-15T16:30,34.0105,34.0105,33.64,33.64,15026
2016-01-15T17:30,33.64,34.1,33.5,33.95,28711
2016-01-15T18:30,33.91,34.12,33.83,33.9,10474
2016-01-15T19:30,33.895,34.37,33.87,34.29,24748
2016-01-15T20:30,34.265,34.39,34.13,34.39,35992
2016-01-19T14:30,34.8,34.94,34.2141,34.44,10281
2016-01-19T15:30,34.43,34.5,33.8,34.05,19726
2016-01-19T16:30,34.15,34.18,33.81,34.08,23064
2016-01-19T17:30,34.04,34.15,33.85,34.02,18408
2016-01-19T18:30,34.03,34.15,33.36,33.48,11123
2016-01-19T19:30,33.495,33.65,33.2,33.62,17297
2016-01-19T20:30,33.5832,33.82,33.47,33.58,31817
2016-01-20T14:30,33.17,33.17,32.4201,32.688,15000
2016-01-20T15:30,32.689,32.689,32.1806,32.39,28069
2016-01-20T16:30,32.39,32.599,32.12,32.38,37348
2016-01-20T17:30,32.48,32.96,32.422,32.91,9411
2016-01-20T18:30,32.9336,33.468,32.91,33.38,13712
2016-01-20T19:30,33.36,34.07,33.31,34.07,22508
2016-01-20T20:30,34.08,34.08,33.67,33.83,22422
2016-01-21T14:30,33.79,34.23,33.55,33.93,10724
2016-01-21T15:30,33.96,34.11,33.69,33.69,14365
2016-01-21T16:30,33.7,34.19,33.69,34.17,19327
2016-01-21T17:30,34.17,34.17,33.735,33.825,10398
2016-01-21T18:30,33.78,33.89,33.53,33.6,18497
2016-01-21T19:30,33.66,34.02,33.63,33.925,27886
2016-01-21T20:30,33.98,34.09,33.91,33.97,25454
2016-01-22T14:30,34.4,34.74,33.92,34.52,15291
2016-01-22T15:30,34.58,34.62,34.3425,34.4,16756
2016-01-22T16:30,34.45,34.46,33.96,34.0745,10295
2016-01-22T17:30,34.07,34.37,34.07,34.17,8128
2016-01-22T18:30,34.18,34.4,34.18,34.23,15930
2016-01-22T19:30,34.16,34.18,34.01,34.1799,15407
2016-01-22T20:30,34.12,34.34,34.12,34.25,24044
