date,open,high,low,close,volume
2016-01-04T14:30,75.72,75.72,75.01,75.26,255992
2016-01-04T15:30,75.21,75.47,75.01,75.24,208801
2016-01-04T16:30,75.23,75.45,75.19,75.4,165599
2016-01-04T17:30,75.39,75.83,75.36,75.67,210873
2016-01-04T18:30,75.66,75.68,75.37,75.52,147120
2016-01-04T19:30,75.51,75.53,75.15,75.22,224087
2016-01-04T20:30,75.21,75.99,75.19,75.97,290109
2016-01-05T14:30,75.93,76.31,75.7,75.86,226729
2016-01-05T15:30,75.88,76.39,75.87,76.38,198582
2016-01-05T16:30,76.4,76.53,76,76.14,138027
2016-01-05T17:30,76.14,76.53,76.14,76.37,123808
2016-01-05T18:30,76.37,76.78,76.36,76.77,140264
2016-01-05T19:30,76.76,76.8,76.29,76.51,189548
2016-01-05T20:30,76.51,76.78,76.42,76.68,282494
2016-01-06T14:30,75.83,75.97,75.04,75.28,339776
2016-01-06T15:30,75.26,75.32,74.87,74.88,280360
2016-01-06T16:30,74.89,74.92,74.29,74.39,391345
2016-01-06T17:30,74.38,74.48,74.11,74.3,404249
2016-01-06T18:30,74.3,74.45,74.13,74.29,300374
2016-01-06T19:30,74.27,74.32,73.81,74.16,427519
2016-01-06T20:30,74.17,74.3,73.85,74.11,443721
2016-01-07T14:30,72.75,73.68,72.51,73.18,386537
2016-01-07T15:30,73.18,73.37,73.14,73.17,222050
2016-01-07T16:30,73.17,73.69,73.16,73.5,206633
2016-01-07T17:30,73.49,73.65,72.81,73.02,178641
2016-01-07T18:30,72.99,73.1,72.49,72.52,251456
2016-01-07T19:30,72.5,72.89,72.31,72.31,293886
2016-01-07T20:30,72.3,72.84,72.3,72.59,400974
2016-01-08T14:30,72.9,73.37,72.76,73.37,253269
2016-01-08T15:30,73.36,73.51,73.12,73.12,211894
2016-01-08T16:30,73.13,73.48,72.87,73.17,174459
2016-01-08T17:30,73.16,73.29,72.6,72.62,198205
2016-01-08T18:30,72.62,73.01,72.62,72.66,172771
2016-01-08T19:30,72.64,72.72,72.33,72.33,168276
2016-01-08T20:30,72.31,72.36,72.02,72.12,344659
2016-01-11T14:30,72.62,72.79,71.71,71.86,214367
2016-01-11T15:30,71.84,72.08,71.37,71.61,295198
2016-01-11T16:30,71.61,71.91,71.41,71.54,221195
2016-01-11T17:30,71.55,71.66,71.21,71.22,168106
2016-01-11T18:30,71.22,71.56,70.95,71.51,245995
2016-01-11T19:30,71.52,72.1,71.4,72.08,234899
2016-01-11T20:30,72.1,72.38,72.04,72.17,352957
2016-01-12T14:30,72.73,73.08,72.58,72.8,297108
2016-01-12T15:30,72.81,73,72.42,72.48,162685
2016-01-12T16:30,72.48,72.96,72.35,72.62,222922
2016-01-12T17:30,72.62,72.83,72.41,72.63,119172
2016-01-12T18:30,72.62,72.84,72.5,72.71,117508
2016-01-12T19:30,72.7,73.3,72.69,73.22,171408
2016-01-12T20:30,73.21,73.4,73.09,73.37,231794
2016-01-13T14:30,73.42,73.88,73.12,73.42,168971
2016-01-13T15:30,73.41,73.41,72.96,73.16,131747
2016-01-13T16:30,73.16,73.25,72.9,73.1,105167
2016-01-13T17:30,73.09,73.09,72.63,72.66,114195
2016-01-13T18:30,72.66,72.72,72.29,72.49,187520
2016-01-13T19:30,72.47,72.97,72.12,72.76,455155
2016-01-13T20:30,72.75,72.79,72.32,72.37,360119
2016-01-14T14:30,72.57,73.04,72.18,72.91,296970
2016-01-14T15:30,72.93,73.74,72.91,73.45,268082
2016-01-14T16:30,73.46,73.99,73.34,73.45,232831
2016-01-14T17:30,73.45,73.82,73.37,73.69,228512
2016-01-14T18:30,73.71,73.74,73.31,73.5,172731
2016-01-14T19:30,73.49,73.8,73.43,73.74,314597
2016-01-14T20:30,73.73,73.76,73.29,73.38,355594
2016-01-15T14:30,71.85,72.44,71.5,71.86,443361
2016-01-15T15:30,71.83,72.15,71.81,71.89,239193
2016-01-15T16:30,71.91,72.15,71.4,71.49,219103
2016-01-15T17:30,71.49,71.53,71,71.09,368411
2016-01-15T18:30,71.07,71.46,70.94,71.22,149784
2016-01-15T19:30,71.24,71.96,71.19,71.91,249734
2016-01-15T20:30,71.93,71.96,71.63,71.75,329987
2016-01-19T14:30,72.64,72.86,72.19,72.82,322732
2016-01-19T15:30,72.87,72.94,72.49,72.83,332815
2016-01-19T16:30,72.84,73.23,72.77,73.01,297060
2016-01-19T17:30,72.99,73.16,72.85,72.9,128535
2016-01-19T18:30,72.89,73.03,72.53,72.64,167808
2016-01-19T19:30,72.64,73.11,72.43,73.09,236497
2016-01-19T20:30,73.1,73.28,72.94,73.04,345823
2016-01-20T14:30,71.93,72.4,71.91,72.14,278661
2016-01-20T15:30,72.12,72.14,70.69,71.01,502064
2016-01-20T16:30,71,71.41,70.56,70.71,309310
2016-01-20T17:30,70.72,71.23,70.67,71.1,263907
2016-01-20T18:30,71.08,71.92,71.07,71.45,336855
2016-01-20T19:30,71.47,72.77,71.32,72.72,282934
2016-01-20T20:30,72.71,72.76,72.02,72.22,322236
2016-01-21T14:30,72.65,72.65,71.35,72.42,305816
2016-01-21T15:30,72.44,72.95,72.32,72.69,170057
2016-01-21T16:30,72.69,73.26,72.59,72.97,185158
2016-01-21T17:30,72.97,73.21,72.45,72.48,190440
2016-01-21T18:30,72.47,72.64,72.08,72.29,239241
2016-01-21T19:30,72.29,72.69,72.29,72.5,215668
2016-01-21T20:30,72.5,72.79,72.5,72.55,415335
2016-01-22T14:30,73.5,74.17,73.41,74.11,289882
2016-01-22T15:30,74.16,74.35,74.04,74.26,142002
2016-01-22T16:30,74.26,74.26,74.01,74.1,150771
2016-01-22T17:30,74.09,74.56,74.02,74.47,125424
2016-01-22T18:30,74.49,74.82,74.37,74.58,141629
2016-01-22T19:30,74.58,74.61,74.32,74.52,166810
2016-01-22T20:30,74.51,74.69,74.38,74.64,284452
2016-01-25T14:30,73.71,74.16,73.16,73.4,432344
2016-01-25T15:30,73.38,73.47,72.79,73.1,267223
2016-01-25T16:30,73.08,73.53,73,73.36,194503
2016-01-25T17:30,73.35,73.35,73.02,73.06,227385
2016-01-25T18:30,73.05,73.36,72.76,72.93,192075
2016-01-25T19:30,72.94,72.96,72.62,72.74,275330
2016-01-25T20:30,72.73,72.88,72.62,72.69,345690
2016-01-26T14:30,73.5,73.87,73.06,73.55,303091
2016-01-26T15:30,73.57,73.8,72.94,72.99,461079
2016-01-26T16:30,73,73.51,72.64,73.18,243183
2016-01-26T17:30,73.19,73.43,73.07,73.23,108006
2016-01-26T18:30,73.25,73.25,72.79,72.81,134177
2016-01-26T19:30,72.82,73.01,72.65,72.69,210934
2016-01-26T20:30,72.7,72.96,72.63,72.82,525767
2016-01-27T14:30,72.77,73.01,71.95,72.29,539549
2016-01-27T15:30,72.32,72.5,71.81,72.44,333552
2016-01-27T16:30,72.44,72.72,72.37,72.45,376213
2016-01-27T17:30,72.46,72.93,72.46,72.86,151525
2016-01-27T18:30,72.87,73.01,72.2,72.42,203914
2016-01-27T19:30,72.41,72.42,71.38,71.57,390772
2016-01-27T20:30,71.58,71.85,71.51,71.78,352457
2016-01-28T14:30,72.21,73.36,72.21,72.23,416876
2016-01-28T15:30,72.24,72.85,72.2,72.32,259400
2016-01-28T16:30,72.32,72.76,72.2,72.63,155955
2016-01-28T17:30,72.63,72.82,72.34,72.45,206902
2016-01-28T18:30,72.42,73.03,72.35,73.02,206322
2016-01-28T19:30,73.01,73.12,72.76,72.81,183722
2016-01-28T20:30,72.8,73,72.76,72.88,225295
2016-01-29T14:30,73.26,74.38,73.15,73.79,217752
2016-01-29T15:30,73.78,73.85,73.52,73.78,178501
2016-01-29T16:30,73.8,74.33,73.77,74.21,181724
2016-01-29T17:30,74.2,74.28,73.71,73.76,285159
2016-01-29T18:30,73.76,74.04,73.73,74.03,174922
2016-01-29T19:30,74.02,74.3,73.94,74.24,315416
2016-01-29T20:30,74.24,74.36,74.13,74.25,418784
2016-02-01T14:30,74.07,74.27,73.47,73.92,415907
2016-02-01T15:30,73.91,74,73.59,73.82,228719
2016-02-01T16:30,73.8,73.9,73.45,73.51,219244
2016-02-01T17:30,73.49,73.91,73.43,73.89,227163
2016-02-01T18:30,73.89,74.31,73.86,74.31,257137
2016-02-01T19:30,74.31,74.81,74.28,74.81,321605
2016-02-01T20:30,74.81,74.85,74.44,74.44,327011
2016-02-02T14:30,73.64,74.29,73.64,74.11,235615
2016-02-02T15:30,74.11,74.4,73.99,74.38,133505
2016-02-02T16:30,74.39,74.49,74.1,74.31,170388
2016-02-02T17:30,74.29,74.48,74.25,74.46,126808
2016-02-02T18:30,74.46,74.47,73.91,74.05,212662
2016-02-02T19:30,74.06,74.39,73.98,74.11,274475
2016-02-02T20:30,74.12,74.29,73.98,74.05,263889
2016-02-03T14:30,74.31,75.46,74.08,74.11,401401
2016-02-03T15:30,74.07,74.11,73.23,73.79,321596
2016-02-03T16:30,73.77,74.45,73.71,74.33,273233
2016-02-03T17:30,74.26,74.63,74.06,74.3,142487
2016-02-03T18:30,74.29,75.15,73.99,75.06,180121
2016-02-03T19:30,75.08,75.47,74.89,75.11,319522
2016-02-03T20:30,75.1,75.53,75,75.32,586795
2016-02-04T14:30,74.72,76.34,74.71,76.23,511929
2016-02-04T15:30,76.21,76.33,75.68,75.76,422970
2016-02-04T16:30,75.76,76.24,75.47,75.99,335231
2016-02-04T17:30,75.97,76.33,75.83,76.2,395276
2016-02-04T18:30,76.22,76.24,75.39,75.61,277377
2016-02-04T19:30,75.61,75.83,75.33,75.59,438575
2016-02-04T20:30,75.61,75.91,75.43,75.81,687871
2016-02-05T14:30,76.12,78.68,76.11,77.85,982222
2016-02-05T15:30,77.89,78.56,77.56,77.75,524887
2016-02-05T16:30,77.75,77.75,76.98,77.54,354874
2016-02-05T17:30,77.53,78.37,77.46,78.32,318522
2016-02-05T18:30,78.33,78.9,78.19,78.51,536217
2016-02-05T19:30,78.53,79.14,78.47,79.14,587372
2016-02-05T20:30,79.11,79.26,78.68,79.25,1027485
2016-02-08T14:30,78.22,79.36,78.21,78.85,780619
2016-02-08T15:30,78.84,78.99,76.71,77.55,580845
2016-02-08T16:30,77.55,77.79,77.26,77.5,387163
2016-02-08T17:30,77.51,77.55,77.07,77.32,357036
2016-02-08T18:30,77.34,77.54,76.87,77.27,421735
2016-02-08T19:30,77.28,77.58,77.16,77.55,539119
2016-02-08T20:30,77.55,78.09,77.55,78.06,715432
2016-02-09T14:30,76.65,78.22,76.64,78.09,625146
2016-02-09T15:30,78.08,78.69,77.61,78.6,463004
2016-02-09T16:30,78.62,78.97,78.39,78.93,266002
2016-02-09T17:30,78.95,79.06,77.94,77.96,393348
2016-02-09T18:30,77.96,78.63,77.96,78.27,321510
2016-02-09T19:30,78.27,79.05,78.27,78.7,425046
2016-02-09T20:30,78.69,79.03,78.57,78.82,437020
2016-02-10T14:30,78.75,79.16,78.36,78.38,431258
2016-02-10T15:30,78.38,78.77,77.88,78.03,316877
2016-02-10T16:30,78.02,78.1,77.33,77.49,393635
2016-02-10T17:30,77.49,77.67,77.01,77.09,425269
2016-02-10T18:30,77.08,77.58,77.07,77.38,322607
2016-02-10T19:30,77.38,77.55,77.04,77.15,314906
2016-02-10T20:30,77.15,77.25,76.93,77.05,432323
2016-02-11T14:30,75.58,75.99,75.13,75.36,373456
2016-02-11T15:30,75.36,75.57,75.13,75.25,198790
2016-02-11T16:30,75.28,75.33,74.91,75.1,193404
2016-02-11T17:30,75.11,75.68,75.06,75.62,177201
2016-02-11T18:30,75.61,75.71,75.27,75.32,133372
2016-02-11T19:30,75.29,75.84,75.19,75.66,348781
2016-02-11T20:30,75.65,76,75.52,75.53,300805
2016-02-12T14:30,75.98,76.39,75.39,76,294802
2016-02-12T15:30,75.99,76.41,75.74,76.28,200127
2016-02-12T16:30,76.28,76.46,76.04,76.46,127943
2016-02-12T17:30,76.45,76.48,75.94,76.2,131025
2016-02-12T18:30,76.21,76.45,76.06,76.42,181867
2016-02-12T19:30,76.44,76.75,76.33,76.74,218188
2016-02-12T20:30,76.73,76.97,76.54,76.91,307147
2016-02-16T14:30,77.89,78.66,77.15,77.51,406206
2016-02-16T15:30,77.49,77.77,76.84,76.89,214778
2016-02-16T16:30,76.9,77.36,76.87,77.34,175553
2016-02-16T17:30,77.34,77.52,77.22,77.33,100185
2016-02-16T18:30,77.33,77.37,76.95,77.06,211571
2016-02-16T19:30,77.08,77.17,76.91,77.02,247819
2016-02-16T20:30,77.02,77.29,76.77,77.19,446081
2016-02-17T14:30,77.99,78.23,77.26,78,178086
2016-02-17T15:30,78.04,78.49,77.76,78.24,239450
2016-02-17T16:30,78.23,78.76,78.07,78.76,221881
2016-02-17T17:30,78.75,79.17,78.59,79.16,202465
2016-02-17T18:30,79.15,79.17,78.8,78.91,212384
2016-02-17T19:30,78.9,78.92,78.36,78.44,416316
2016-02-17T20:30,78.44,78.61,78.39,78.43,377874
2016-02-18T14:30,78.24,78.56,77.89,78.35,238814
2016-02-18T15:30,78.33,78.57,77.97,78.51,222919
2016-02-18T16:30,78.57,79.35,78.47,79.28,192243
2016-02-18T17:30,79.29,79.51,79.11,79.12,247905
2016-02-18T18:30,79.11,79.47,79.06,79.47,140197
2016-02-18T19:30,79.47,79.61,79.38,79.5,239861
2016-02-18T20:30,79.5,79.6,79.27,79.47,404318
2016-02-19T14:30,79.31,79.42,78.52,79.19,257570
2016-02-19T15:30,79.18,79.38,78.76,78.92,176517
2016-02-19T16:30,78.92,79.01,78.75,78.79,113507
2016-02-19T17:30,78.78,79.13,78.78,79.12,65855
2016-02-19T18:30,79.11,79.5,79.11,79.44,113984
2016-02-19T19:30,79.44,79.71,79.34,79.71,182416
2016-02-19T20:30,79.71,79.82,79.56,79.8,305372
2016-02-22T14:30,80.11,80.5,80.02,80.27,205703
2016-02-22T15:30,80.25,80.57,79.95,80.07,171700
2016-02-22T16:30,80.08,80.08,79.79,79.81,97503
2016-02-22T17:30,79.83,79.89,79.57,79.6,87333
2016-02-22T18:30,79.6,79.94,79.59,79.77,90115
2016-02-22T19:30,79.73,79.81,79.58,79.76,111333
2016-02-22T20:30,79.75,79.92,79.74,79.87,182950
2016-02-23T14:30,79.68,79.97,79.33,79.52,209423
2016-02-23T15:30,79.54,79.62,79.35,79.47,100767
2016-02-23T16:30,79.5,79.57,79.18,79.47,82855
2016-02-23T17:30,79.44,79.95,79.44,79.95,91850
2016-02-23T18:30,79.94,80.13,79.78,80.02,118310
2016-02-23T19:30,80.01,80.07,79.75,79.83,136622
2016-02-23T20:30,79.83,80,79.79,79.87,205115
2016-02-24T14:30,78.87,79.49,78.66,79.17,159951
2016-02-24T15:30,79.24,79.38,78.95,79.11,94447
2016-02-24T16:30,79.21,79.58,79.12,79.33,61675
2016-02-24T17:30,79.33,79.65,79.24,79.55,124917
2016-02-24T18:30,79.58,80.05,79.55,80.04,84144
2016-02-24T19:30,80.02,80.31,79.8,80.27,132801
2016-02-24T20:30,80.25,80.27,80.1,80.16,185612
2016-02-25T14:30,80.4,80.83,79.7,80,139155
2016-02-25T15:30,79.98,80,79.69,79.86,62369
2016-02-25T16:30,79.86,80.05,79.66,80,43893
2016-02-25T17:30,80,80.26,79.84,80.24,47748
2016-02-25T18:30,80.23,80.47,80.23,80.33,82171
2016-02-25T19:30,80.33,80.64,80.33,80.56,110479
2016-02-25T20:30,80.57,81.01,80.57,80.98,239254
2016-02-26T14:30,81.2,81.64,80.76,80.95,196065
2016-02-26T15:30,80.92,81.51,80.83,80.83,147859
2016-02-26T16:30,80.81,80.81,80.19,80.36,96857
2016-02-26T17:30,80.38,80.65,80.2,80.25,94892
2016-02-26T18:30,80.25,80.45,80.16,80.36,118058
2016-02-26T19:30,80.36,80.47,80.14,80.4,136435
2016-02-26T20:30,80.41,80.5,80.21,80.24,165542
2016-02-29T14:30,80.06,80.22,79.72,80.02,122276
2016-02-29T15:30,80,80.36,79.94,80.33,85919
2016-02-29T16:30,80.32,80.5,80.31,80.41,92636
2016-02-29T17:30,80.42,80.53,80.13,80.17,86124
2016-02-29T18:30,80.15,80.22,79.92,80.07,90722
2016-02-29T19:30,80.07,80.19,79.77,79.98,122746
2016-02-29T20:30,79.97,80.12,79.79,79.79,269701
2016-03-01T14:30,80.53,80.87,80.2,80.83,161880
2016-03-01T15:30,80.82,81.06,80.67,80.95,156576
2016-03-01T16:30,80.94,81.09,80.81,80.97,88553
2016-03-01T17:30,80.98,80.98,80.67,80.86,77587
2016-03-01T18:30,80.89,81.02,80.63,80.75,91303
2016-03-01T19:30,80.75,81.09,80.65,81.05,133548
2016-03-01T20:30,81.06,81.08,80.6,80.75,282496
2016-03-02T14:30,80.35,81.06,79.83,80.31,229658
2016-03-02T15:30,80.26,80.53,80.05,80.27,264638
2016-03-02T16:30,80.27,80.4,80.06,80.27,101545
2016-03-02T17:30,80.27,80.39,80.25,80.3,115555
2016-03-02T18:30,80.3,80.42,80.24,80.38,111247
2016-03-02T19:30,80.39,80.64,80.26,80.27,253619
2016-03-02T20:30,80.26,80.35,80.12,80.26,344761
2016-03-03T14:30,80.27,80.38,79.9,80.29,197151
2016-03-03T15:30,80.3,80.39,80.21,80.23,70057
2016-03-03T16:30,80.22,80.46,80.02,80.16,82705
2016-03-03T17:30,80.17,80.46,80.12,80.45,43780
2016-03-03T18:30,80.46,80.71,80.46,80.61,93956
2016-03-03T19:30,80.6,80.74,80.24,80.32,165539
2016-03-03T20:30,80.32,80.61,80.27,80.59,247900
2016-03-04T14:30,80.93,81.02,80.21,80.85,194023
2016-03-04T15:30,80.82,81.17,80.69,80.92,104135
2016-03-04T16:30,80.94,81.09,80.85,81.04,62925
2016-03-04T17:30,81.05,81.17,80.87,81.16,90003
2016-03-04T18:30,81.16,81.32,80.88,80.88,90728
2016-03-04T19:30,80.88,80.95,80.61,80.94,130881
2016-03-04T20:30,80.92,81.09,80.84,80.88,166738
2016-03-07T14:30,80.32,80.51,80.15,80.46,160250
2016-03-07T15:30,80.47,80.7,80.39,80.4,94302
2016-03-07T16:30,80.43,80.74,80.19,80.26,102537
2016-03-07T17:30,80.29,80.36,80,80.09,122901
2016-03-07T18:30,80.07,80.26,79.96,80.1,99648
2016-03-07T19:30,80.1,80.12,79.91,80.02,145156
2016-03-07T20:30,80.01,80.15,79.91,80.06,218253
2016-03-08T14:30,79.98,80.05,79.28,79.84,385516
2016-03-08T15:30,79.82,80.21,79.68,80.12,314733
2016-03-08T16:30,80.12,80.34,79.72,80.18,266040
2016-03-08T17:30,80.19,80.24,80.02,80.14,149051
2016-03-08T18:30,80.14,80.36,80.06,80.1,175196
2016-03-08T19:30,80.08,80.32,80.07,80.21,140351
2016-03-08T20:30,80.21,80.28,80.06,80.16,202424
2016-03-09T14:30,80.6,81.23,80.21,81.16,122342
2016-03-09T15:30,81.18,81.2,80.63,80.95,89053
2016-03-09T16:30,80.99,81.36,80.83,80.83,103623
2016-03-09T17:30,80.86,80.87,80.59,80.64,85487
2016-03-09T18:30,80.63,80.68,80.47,80.51,76719
2016-03-09T19:30,80.51,80.58,80.39,80.53,94942
2016-03-09T20:30,80.53,80.63,80.42,80.54,101944
2016-03-10T14:30,80.57,81.01,80.45,80.74,107427
2016-03-10T15:30,80.71,80.73,79.96,80.09,100786
2016-03-10T16:30,80.12,80.32,79.93,80.08,58110
2016-03-10T17:30,80.12,80.12,79.48,79.73,126990
2016-03-10T18:30,79.73,80.07,79.62,80.03,116141
2016-03-10T19:30,80.05,80.32,79.91,80.25,146016
2016-03-10T20:30,80.26,80.26,79.99,80.21,207065
2016-03-11T14:30,81.15,81.26,80.65,81.08,147840
2016-03-11T15:30,81.1,81.43,81.06,81.43,117997
2016-03-11T16:30,81.42,81.42,81.16,81.37,109107
2016-03-11T17:30,81.36,81.4,81.08,81.15,106213
2016-03-11T18:30,81.14,81.26,81.03,81.09,92025
2016-03-11T19:30,81.09,81.41,81,81.38,126783
2016-03-11T20:30,81.37,81.5,81.3,81.37,238851
2016-03-14T13:30,81.35,82.57,81.04,82.5,189642
2016-03-14T14:30,82.51,82.63,81.98,82.13,229594
2016-03-14T15:30,82.13,82.23,81.96,82.13,114291
2016-03-14T16:30,82.12,82.23,82.09,82.19,83335
2016-03-14T17:30,82.19,82.24,82.06,82.13,174523
2016-03-14T18:30,82.14,82.21,82.1,82.15,105076
2016-03-14T19:30,82.16,82.2,82,82.01,275203
2016-03-15T13:30,81.33,82.19,81.26,82.15,216918
2016-03-15T14:30,82.15,82.2,81.96,82.02,169581
2016-03-15T15:30,82.02,82.07,81.78,82.01,107168
2016-03-15T16:30,82.02,82.02,81.72,81.92,108267
2016-03-15T17:30,81.93,82.05,81.57,81.62,115123
2016-03-15T18:30,81.62,81.92,81.58,81.92,172733
2016-03-15T19:30,81.9,81.99,81.8,81.98,288668
2016-03-16T13:30,80.22,81.21,80,81.2,273929
2016-03-16T14:30,81.2,81.55,81.09,81.21,237287
2016-03-16T15:30,81.21,81.35,81.08,81.16,210685
2016-03-16T16:30,81.15,81.16,80.37,80.38,106208
2016-03-16T17:30,80.38,81.37,80.27,81.35,270368
2016-03-16T18:30,81.33,81.47,81.01,81.4,240186
2016-03-16T19:30,81.4,81.52,81.33,81.39,253361
2016-03-17T13:30,81.62,81.88,81.14,81.57,138767
2016-03-17T14:30,81.56,81.93,81.41,81.74,131351
2016-03-17T15:30,81.74,81.96,81.64,81.81,76122
2016-03-17T16:30,81.79,82.02,81.72,81.97,79421
2016-03-17T17:30,81.95,82.21,81.92,82.14,110852
2016-03-17T18:30,82.14,82.26,81.94,82.14,165273
2016-03-17T19:30,82.15,82.2,82.06,82.08,159921
2016-03-18T13:30,81.52,82.25,81.45,81.59,785535
2016-03-18T14:30,81.6,82.22,81.58,82.18,207145
2016-03-18T15:30,82.16,82.22,82,82.22,125642
2016-03-18T16:30,82.2,82.2,81.89,82.08,84905
2016-03-18T17:30,82.07,82.24,82.05,82.18,128193
2016-03-18T18:30,82.18,82.39,82.15,82.37,236803
2016-03-18T19:30,82.39,82.58,82.27,82.3,325654
2016-03-21T13:30,82.35,82.35,81.58,82.1,139310
2016-03-21T14:30,82.08,82.34,82,82.32,73462
2016-03-21T15:30,82.32,82.45,82.3,82.34,51194
2016-03-21T16:30,82.33,82.45,82.2,82.45,40227
2016-03-21T17:30,82.43,82.66,82.41,82.55,71570
2016-03-21T18:30,82.57,82.7,82.42,82.45,91896
2016-03-21T19:30,82.46,82.47,82.26,82.26,140317
2016-03-22T13:30,81.84,81.92,81.06,81.3,208522
2016-03-22T14:30,81.34,81.43,81.18,81.36,149372
2016-03-22T15:30,81.37,81.37,80.92,80.99,142859
2016-03-22T16:30,80.96,81.3,80.93,81.28,138113
2016-03-22T17:30,81.29,81.52,81.16,81.45,127049
2016-03-22T18:30,81.45,81.61,81.11,81.26,147701
2016-03-22T19:30,81.27,81.47,81.17,81.43,212180
2016-03-23T13:30,81.7,82.21,81.57,82.16,161205
2016-03-23T14:30,82.12,82.22,81.88,81.93,92312
2016-03-23T15:30,81.95,82,81.49,81.79,91062
2016-03-23T16:30,81.85,82,81.76,81.95,41156
2016-03-23T17:30,81.96,82.03,81.86,81.86,64253
2016-03-23T18:30,81.86,81.9,81.62,81.69,131349
2016-03-23T19:30,81.69,81.75,81.57,81.59,123877
2016-03-24T13:30,81.43,81.65,81.23,81.27,86326
2016-03-24T14:30,81.28,81.3,80.97,81.17,87709
2016-03-24T15:30,81.16,81.42,81.11,81.3,47242
2016-03-24T16:30,81.29,81.31,81.18,81.3,50626
2016-03-24T17:30,81.3,81.34,81.12,81.34,56749
2016-03-24T18:30,81.34,81.37,81.24,81.33,82271
2016-03-24T19:30,81.33,81.54,81.24,81.52,118572
2016-03-28T13:30,81.54,82.06,81.54,81.59,123660
2016-03-28T14:30,81.61,81.73,81.47,81.72,61215
2016-03-28T15:30,81.7,81.99,81.68,81.79,61538
2016-03-28T16:30,81.79,81.94,81.78,81.83,36694
2016-03-28T17:30,81.84,81.98,81.81,81.95,61140
2016-03-28T18:30,81.94,82.04,81.77,81.95,67798
2016-03-28T19:30,81.95,82.02,81.73,81.82,113109
2016-03-29T13:30,81.88,81.92,81.47,81.67,143888
2016-03-29T14:30,81.69,81.93,81.57,81.59,82852
2016-03-29T15:30,81.57,82.01,81.44,81.98,53313
2016-03-29T16:30,81.99,82.17,81.89,82.13,66676
2016-03-29T17:30,82.1,82.45,81.97,82.41,82090
