date,open,high,low,close,volume
2016-01-04T14:30,3.43,3.56,3.19,3.45,212616
2016-01-04T15:30,3.45,3.48,3.3,3.394,140806
2016-01-04T16:30,3.39,3.43,3.36,3.43,60436
2016-01-04T17:30,3.412,3.4796,3.385,3.46,48177
2016-01-04T18:30,3.452,3.49,3.44,3.46,41660
2016-01-04T19:30,3.46,3.485,3.42,3.47,57233
2016-01-04T20:30,3.46,3.5,3.45,3.49,135464
2016-01-05T14:30,3.63,3.73,3.44,3.52,345184
2016-01-05T15:30,3.53,3.63,3.52,3.59,165993
2016-01-05T16:30,3.6,3.61,3.505,3.53,87921
2016-01-05T17:30,3.53,3.54,3.47,3.5,130729
2016-01-05T18:30,3.5,3.54,3.37,3.38,167575
2016-01-05T19:30,3.38,3.41,3.36,3.4,112970
2016-01-05T20:30,3.39,3.41,3.35,3.36,130991
2016-01-06T14:30,3.3,3.35,3.14,3.33,304808
2016-01-06T15:30,3.35,3.35,3.28,3.28,42976
2016-01-06T16:30,3.3,3.305,3.19,3.2,70428
2016-01-06T17:30,3.21,3.24,3.17,3.1799,47626
2016-01-06T18:30,3.17,3.1899,3.08,3.12,101872
2016-01-06T19:30,3.13,3.15,3.09,3.145,82199
2016-01-06T20:30,3.15,3.16,3.13,3.15,87721
2016-01-07T14:30,3.02,3.1514,2.96,3.07,316918
2016-01-07T15:30,3.07,3.158,3.05,3.05,82444
2016-01-07T16:30,3.07,3.1,3.01,3.01,130147
2016-01-07T17:30,3.01,3.055,2.98,2.99,114741
2016-01-07T18:30,3,3,2.95,2.9608,81290
2016-01-07T19:30,2.97,2.99,2.93,2.93,119656
2016-01-07T20:30,2.93,3.02,2.93,3.01,146625
2016-01-08T14:30,3.1,3.17,3.04,3.1,232570
2016-01-08T15:30,3.1,3.1,2.9,2.92,209850
2016-01-08T16:30,2.93,3.07,2.91,3.04,180941
2016-01-08T17:30,3.04,3.04,2.94,2.95,63770
2016-01-08T18:30,2.945,3,2.945,2.95,52807
2016-01-08T19:30,2.965,3.06,2.955,3,65128
2016-01-08T20:30,3,3.02,2.955,2.98,153867
2016-01-11T14:30,3,3.05,2.8,2.8802,234997
2016-01-11T15:30,2.895,2.97,2.85,2.88,129048
2016-01-11T16:30,2.8875,2.91,2.81,2.86,56121
2016-01-11T17:30,2.87,2.88,2.77,2.77,124834
2016-01-11T18:30,2.76,2.82,2.73,2.81,121884
2016-01-11T19:30,2.8,2.84,2.752,2.835,89188
2016-01-11T20:30,2.83,2.85,2.78,2.81,123473
2016-01-12T14:30,2.83,2.92,2.71,2.73,108968
2016-01-12T15:30,2.75,2.76,2.62,2.62,170653
2016-01-12T16:30,2.625,2.7,2.6,2.62,114436
2016-01-12T17:30,2.6178,2.65,2.565,2.605,110328
2016-01-12T18:30,2.61,2.61,2.42,2.5,291336
2016-01-12T19:30,2.5,2.61,2.5,2.61,146504
2016-01-12T20:30,2.61,2.715,2.6,2.71,140366
2016-01-13T14:30,2.68,2.865,2.564,2.58,162223
2016-01-13T15:30,2.59,2.64,2.535,2.62,52830
2016-01-13T16:30,2.62,2.62,2.51,2.52,83217
2016-01-13T17:30,2.52,2.52,2.45,2.48,51137
2016-01-13T18:30,2.48,2.48,2.45,2.46,50878
2016-01-13T19:30,2.46,2.52,2.42,2.52,102916
2016-01-13T20:30,2.52,2.52,2.49,2.5,93325
2016-01-14T14:30,2.49,2.49,2.3,2.39,195874
2016-01-14T15:30,2.39,2.42,2.285,2.285,104747
2016-01-14T16:30,2.285,2.3,2.25,2.29,77123
2016-01-14T17:30,2.28,2.35,2.28,2.335,127453
2016-01-14T18:30,2.34,2.371,2.335,2.355,60872
2016-01-14T19:30,2.355,2.4,2.35,2.37,85645
2016-01-14T20:30,2.37,2.37,2.34,2.36,153349
2016-01-15T14:30,2.25,2.32,2.11,2.11,297134
2016-01-15T15:30,2.115,2.18,2.1,2.1044,128800
2016-01-15T16:30,2.1,2.11,2.06,2.0699,111896
2016-01-15T17:30,2.07,2.08,2.05,2.07,138716
2016-01-15T18:30,2.07,2.145,2.07,2.14,114576
2016-01-15T19:30,2.14,2.21,2.14,2.18,138596
2016-01-15T20:30,2.175,2.21,2.17,2.19,159183
2016-01-19T14:30,2.27,2.35,2.2566,2.27,268085
2016-01-19T15:30,2.28,2.28,2.07,2.1,217205
2016-01-19T16:30,2.11,2.17,2.11,2.1434,66349
2016-01-19T17:30,2.15,2.2,2.145,2.2,62197
2016-01-19T18:30,2.2,2.2,2.12,2.125,73382
2016-01-19T19:30,2.125,2.18,2.12,2.18,85604
2016-01-19T20:30,2.18,2.2,2.18,2.18,111741
2016-01-20T14:30,2.1,2.134,1.97,1.97,174392
2016-01-20T15:30,1.97,2.08,1.97,2.055,79652
2016-01-20T16:30,2.06,2.09,2.03,2.04,54003
2016-01-20T17:30,2.035,2.08,2.03,2.07,75024
2016-01-20T18:30,2.07,2.09,2.0338,2.041,196498
2016-01-20T19:30,2.0301,2.07,2.01,2.07,226037
2016-01-20T20:30,2.07,2.12,2.03,2.035,200630
2016-01-21T14:30,2.1,2.27,2.0375,2.27,199836
2016-01-21T15:30,2.265,2.425,2.25,2.36,177767
2016-01-21T16:30,2.3601,2.55,2.3601,2.515,176880
2016-01-21T17:30,2.52,2.52,2.36,2.385,130164
2016-01-21T18:30,2.38,2.4,2.31,2.34,101065
2016-01-21T19:30,2.34,2.43,2.34,2.43,88020
2016-01-21T20:30,2.425,2.46,2.425,2.46,123637
2016-01-22T14:30,2.55,2.6,2.31,2.42,268426
2016-01-22T15:30,2.42,2.45,2.34,2.37,50228
2016-01-22T16:30,2.38,2.38,2.31,2.3499,52277
2016-01-22T17:30,2.35,2.4076,2.34,2.34,41534
2016-01-22T18:30,2.35,2.36,2.33,2.33,38827
2016-01-22T19:30,2.33,2.34,2.3199,2.33,58155
2016-01-22T20:30,2.33,2.37,2.32,2.355,64608
2016-01-25T14:30,2.43,2.5,2.3,2.45,183654
2016-01-25T15:30,2.4301,2.4301,2.311,2.36,60032
2016-01-25T16:30,2.36,2.365,2.32,2.34,28953
2016-01-25T17:30,2.33,2.355,2.32,2.34,22939
2016-01-25T18:30,2.345,2.35,2.27,2.3,82061
2016-01-25T19:30,2.295,2.33,2.25,2.28,111403
2016-01-25T20:30,2.28,2.315,2.27,2.31,42830
2016-01-26T14:30,2.35,2.35,2.21,2.33,68587
2016-01-26T15:30,2.3201,2.344,2.26,2.33,50839
2016-01-26T16:30,2.33,2.39,2.28,2.38,26701
2016-01-26T17:30,2.38,2.41,2.36,2.39,22212
2016-01-26T18:30,2.3901,2.3901,2.31,2.36,48925
2016-01-26T19:30,2.3538,2.3799,2.315,2.33,31181
2016-01-26T20:30,2.32,2.35,2.31,2.335,42233
2016-01-27T14:30,2.31,2.37,2.2701,2.32,49746
2016-01-27T15:30,2.32,2.4,2.3,2.37,29848
2016-01-27T16:30,2.365,2.404,2.35,2.38,54472
2016-01-27T17:30,2.36,2.37,2.32,2.33,18557
2016-01-27T18:30,2.33,2.38,2.28,2.3,29773
2016-01-27T19:30,2.3,2.32,2.23,2.24,108053
2016-01-27T20:30,2.24,2.27,2.24,2.26,50032
2016-01-28T14:30,2.34,2.46,2.28,2.28,137394
2016-01-28T15:30,2.281,2.42,2.26,2.37,69332
2016-01-28T16:30,2.36,2.36,2.3,2.32,15827
2016-01-28T17:30,2.32,2.37,2.3,2.3,22587
2016-01-28T18:30,2.3,2.32,2.26,2.29,54599
2016-01-28T19:30,2.3,2.31,2.27,2.305,35510
2016-01-28T20:30,2.305,2.325,2.28,2.32,73939
2016-01-29T14:30,2.33,2.43,2.33,2.39,64335
2016-01-29T15:30,2.38,2.41,2.36,2.37,27419
2016-01-29T16:30,2.38,2.42,2.34,2.4,38626
2016-01-29T17:30,2.4001,2.4001,2.36,2.37,35751
2016-01-29T18:30,2.38,2.39,2.32,2.38,26802
2016-01-29T19:30,2.381,2.39,2.34,2.37,23613
2016-01-29T20:30,2.37,2.44,2.37,2.42,126590
2016-02-01T14:30,2.44,2.45,2.27,2.37,69555
