date,open,high,low,close,volume
2016-01-04T14:30,26.03,26.14,25.5,25.93,2004786
2016-01-04T15:30,25.93,26.2,25.9,26.17,862554
2016-01-04T16:30,26.2,26.28,26.08,26.09,570612
2016-01-04T17:30,26.09,26.21,26.06,26.14,568062
2016-01-04T18:30,26.13,26.34,26.1,26.28,936918
2016-01-04T19:30,26.26,26.27,26.12,26.12,995862
2016-01-04T20:30,26.11,26.29,26.11,26.29,1164852
2016-01-05T14:30,26.22,26.64,26.14,26.42,775833
2016-01-05T15:30,26.42,26.62,26.39,26.59,412953
2016-01-05T16:30,26.59,26.72,26.51,26.59,462810
2016-01-05T17:30,26.58,26.71,26.57,26.57,404313
2016-01-05T18:30,26.58,26.82,26.57,26.74,470529
2016-01-05T19:30,26.74,26.77,26.6,26.67,694683
2016-01-05T20:30,26.67,26.77,26.62,26.68,1117497
2016-01-06T14:30,26.43,26.83,26.28,26.81,1015755
2016-01-06T15:30,26.8,26.88,26.62,26.82,663390
2016-01-06T16:30,26.81,26.84,26.66,26.74,300561
2016-01-06T17:30,26.74,27,26.71,26.8,671082
2016-01-06T18:30,26.8,26.97,26.77,26.9,620067
2016-01-06T19:30,26.91,26.92,26.67,26.8,825102
2016-01-06T20:30,26.81,26.85,26.72,26.81,888135
2016-01-07T14:30,26.46,26.46,26.15,26.25,839790
2016-01-07T15:30,26.25,26.3,26.09,26.18,563295
2016-01-07T16:30,26.17,26.28,26.05,26.08,439791
2016-01-07T17:30,26.07,26.12,25.84,25.87,461133
2016-01-07T18:30,25.86,25.92,25.66,25.7,851499
2016-01-07T19:30,25.7,25.91,25.6,25.79,1326168
2016-01-07T20:30,25.79,25.98,25.79,25.85,1808040
2016-01-08T14:30,25.78,26.19,25.67,25.79,810852
2016-01-08T15:30,25.79,25.82,25.48,25.48,573426
2016-01-08T16:30,25.48,25.61,25.36,25.6,575706
2016-01-08T17:30,25.59,25.59,25.31,25.36,462150
2016-01-08T18:30,25.36,25.53,25.27,25.34,500148
2016-01-08T19:30,25.33,25.56,25.32,25.39,600189
2016-01-08T20:30,25.38,25.42,25.3,25.35,1290759
2016-01-11T14:30,25.55,25.79,25.28,25.5,838026
2016-01-11T15:30,25.51,25.67,25.42,25.48,813420
2016-01-11T16:30,25.48,25.63,25.43,25.5,564270
2016-01-11T17:30,25.5,25.55,25.31,25.32,487554
2016-01-11T18:30,25.31,25.47,25.18,25.46,630117
2016-01-11T19:30,25.47,25.5,25.29,25.42,1274886
2016-01-11T20:30,25.42,25.46,25.3,25.31,1387335
2016-01-12T14:30,25.5,25.84,25.44,25.65,1333128
2016-01-12T15:30,25.63,25.77,25.63,25.66,546720
2016-01-12T16:30,25.66,25.73,25.58,25.64,317595
2016-01-12T17:30,25.65,25.75,25.6,25.66,314007
2016-01-12T18:30,25.64,25.75,25.56,25.72,502836
2016-01-12T19:30,25.72,25.92,25.68,25.86,413364
2016-01-12T20:30,25.86,25.96,25.82,25.91,584766
2016-01-13T14:30,26.05,26.18,25.93,26.08,542877
2016-01-13T15:30,26.07,26.07,25.9,25.98,463428
2016-01-13T16:30,25.99,26.06,25.78,25.86,572250
2016-01-13T17:30,25.86,25.87,25.57,25.61,869142
2016-01-13T18:30,25.62,25.65,25.26,25.32,544380
2016-01-13T19:30,25.31,25.31,25,25.13,598857
