date,open,high,low,close,volume
2016-01-04T14:30,8.038,8.096,7.95,7.99,735939
2016-01-04T15:30,7.987,7.99,7.943,7.969,498589
2016-01-04T16:30,7.972,7.994,7.958,7.969,386600
2016-01-04T17:30,7.965,8.009,7.958,7.987,395300
2016-01-04T18:30,7.987,8.03,7.98,8.009,388608
2016-01-04T19:30,8.012,8.015,7.98,8.009,404771
2016-01-04T20:30,8.009,8.081,8.009,8.074,1199102
2016-01-05T14:30,8.096,8.147,8.074,8.103,1085259
2016-01-05T15:30,8.103,8.118,8.027,8.03,712234
2016-01-05T16:30,8.027,8.045,7.994,8.009,579504
2016-01-05T17:30,8.012,8.03,7.976,8.009,1286066
2016-01-05T18:30,8.009,8.154,8.005,8.118,1203368
2016-01-05T19:30,8.118,8.132,8.067,8.074,798847
2016-01-05T20:30,8.078,8.11,8.076,8.11,1048648
2016-01-06T14:30,7.98,8.023,7.91,7.936,1393123
2016-01-06T15:30,7.936,7.958,7.914,7.929,920557
2016-01-06T16:30,7.929,7.95,7.914,7.94,1574724
2016-01-06T17:30,7.936,7.983,7.936,7.936,866184
2016-01-06T18:30,7.936,7.976,7.932,7.958,986091
2016-01-06T19:30,7.954,7.965,7.929,7.961,1323567
2016-01-06T20:30,7.961,7.994,7.95,7.972,1910624
2016-01-07T14:30,7.87,7.925,7.841,7.9,2046311
2016-01-07T15:30,7.9,7.918,7.885,7.907,2070735
2016-01-07T16:30,7.91,7.914,7.889,7.9,506078
2016-01-07T17:30,7.9,7.903,7.885,7.885,2459264
2016-01-07T18:30,7.892,7.907,7.878,7.892,3664129
2016-01-07T19:30,7.896,7.936,7.885,7.885,2288952
2016-01-07T20:30,7.885,7.914,7.87,7.87,1428318
2016-01-08T14:30,7.921,7.929,7.699,7.699,2219438
2016-01-08T15:30,7.703,7.718,7.572,7.576,2224132
2016-01-08T16:30,7.579,7.659,7.572,7.659,638821
2016-01-08T17:30,7.659,7.667,7.587,7.601,664300
2016-01-08T18:30,7.609,7.616,7.529,7.532,844594
2016-01-08T19:30,7.536,7.55,7.485,7.496,769093
2016-01-08T20:30,7.492,7.492,7.405,7.412,1270469
2016-01-11T14:30,7.39,7.39,7.259,7.35,1611585
2016-01-11T15:30,7.354,7.398,7.216,7.249,1267292
2016-01-11T16:30,7.245,7.274,7.172,7.216,1275933
2016-01-11T17:30,7.216,7.245,7.128,7.128,931485
2016-01-11T18:30,7.132,7.179,7.099,7.176,1008299
2016-01-11T19:30,7.179,7.267,7.158,7.267,909960
2016-01-11T20:30,7.267,7.325,7.259,7.29,1200788
2016-01-12T14:30,7.383,7.434,7.292,7.303,631567
2016-01-12T15:30,7.307,7.329,7.23,7.238,359926
2016-01-12T16:30,7.238,7.263,7.187,7.198,368307
2016-01-12T17:30,7.201,7.209,7.158,7.172,436319
2016-01-12T18:30,7.172,7.209,7.15,7.198,548095
2016-01-12T19:30,7.198,7.296,7.194,7.285,414311
2016-01-12T20:30,7.285,7.325,7.274,7.318,1305714
2016-01-13T14:30,7.303,7.39,7.27,7.332,599612
2016-01-13T15:30,7.332,7.332,7.267,7.289,487877
2016-01-13T16:30,7.289,7.299,7.223,7.245,237778
2016-01-13T17:30,7.245,7.245,7.172,7.183,203170
2016-01-13T18:30,7.179,7.194,7.121,7.128,370707
2016-01-13T19:30,7.132,7.158,7.07,7.132,418394
2016-01-13T20:30,7.128,7.15,7.078,7.092,765065
2016-01-14T14:30,7.092,7.114,6.976,7.056,881455
2016-01-14T15:30,7.056,7.099,7.012,7.034,1099681
2016-01-14T16:30,7.034,7.048,7.019,7.027,491534
2016-01-14T17:30,7.03,7.099,7.019,7.092,556939
2016-01-14T18:30,7.092,7.107,7.063,7.085,1222276
2016-01-14T19:30,7.081,7.114,7.07,7.078,949996
2016-01-14T20:30,7.078,7.099,7.048,7.092,1538961
2016-01-15T14:30,6.918,6.998,6.758,6.772,1155795
2016-01-15T15:30,6.772,6.816,6.707,6.728,647910
2016-01-15T16:30,6.728,6.772,6.714,6.728,521707
2016-01-15T17:30,6.728,6.765,6.699,6.754,551176
2016-01-15T18:30,6.75,6.787,6.728,6.768,564990
2016-01-15T19:30,6.765,6.83,6.747,6.766,680477
2016-01-15T20:30,6.768,6.816,6.743,6.801,1944827
2016-01-19T14:30,6.888,6.99,6.787,6.812,852340
2016-01-19T15:30,6.808,6.816,6.728,6.765,458268
2016-01-19T16:30,6.765,6.823,6.739,6.761,600712
2016-01-19T17:30,6.762,6.772,6.736,6.739,452188
2016-01-19T18:30,6.743,6.747,6.663,6.699,633546
2016-01-19T19:30,6.699,6.728,6.641,6.71,563055
2016-01-19T20:30,6.714,6.765,6.71,6.728,1195393
2016-01-20T14:30,6.627,6.721,6.488,6.492,1109097
2016-01-20T15:30,6.488,6.525,6.434,6.517,892683
2016-01-20T16:30,6.51,6.554,6.459,6.474,715757
2016-01-20T17:30,6.474,6.525,6.474,6.507,487318
2016-01-20T18:30,6.51,6.561,6.507,6.528,1648846
2016-01-20T19:30,6.528,6.67,6.517,6.67,869795
2016-01-20T20:30,6.67,6.685,6.605,6.616,1523942
2016-01-21T14:30,6.728,6.758,6.565,6.707,581465
2016-01-21T15:30,6.707,6.736,6.652,6.663,781498
2016-01-21T16:30,6.67,6.761,6.667,6.75,360236
2016-01-21T17:30,6.75,6.765,6.688,6.692,305303
2016-01-21T18:30,6.692,6.721,6.634,6.641,460072
2016-01-21T19:30,6.645,6.692,6.619,6.641,1266634
2016-01-21T20:30,6.641,6.67,6.619,6.619,1323009
2016-01-22T14:30,6.736,6.918,6.736,6.801,975489
2016-01-22T15:30,6.801,6.808,6.736,6.765,547839
2016-01-22T16:30,6.768,6.768,6.721,6.754,693689
2016-01-22T17:30,6.754,6.823,6.743,6.816,463538
2016-01-22T18:30,6.816,6.892,6.808,6.881,553831
2016-01-22T19:30,6.881,6.932,6.859,6.918,968526
2016-01-22T20:30,6.921,6.939,6.91,6.925,1147604
2016-01-25T14:30,6.91,6.925,6.808,6.827,648622
2016-01-25T15:30,6.827,6.859,6.801,6.856,566730
2016-01-25T16:30,6.856,6.874,6.83,6.863,512284
2016-01-25T17:30,6.863,6.888,6.856,6.874,493946
2016-01-25T18:30,6.874,6.878,6.816,6.827,691924
2016-01-25T19:30,6.827,6.867,6.823,6.838,1027089
2016-01-25T20:30,6.838,6.841,6.808,6.808,1356119
2016-01-26T14:30,7.034,7.136,6.996,7.107,1744308
2016-01-26T15:30,7.107,7.187,7.107,7.158,823617
2016-01-26T16:30,7.158,7.201,7.136,7.187,353171
2016-01-26T17:30,7.187,7.194,7.132,7.139,414689
2016-01-26T18:30,7.136,7.143,7.107,7.11,579129
2016-01-26T19:30,7.107,7.143,7.107,7.143,764783
2016-01-26T20:30,7.139,7.15,7.114,7.121,1246538
2016-01-27T14:30,7.07,7.158,7.056,7.107,868342
2016-01-27T15:30,7.11,7.143,7.085,7.107,735561
2016-01-27T16:30,7.107,7.227,7.103,7.176,602241
2016-01-27T17:30,7.176,7.179,7.107,7.11,522737
2016-01-27T18:30,7.11,7.194,7.107,7.128,765725
2016-01-27T19:30,7.128,7.136,6.983,6.99,871451
2016-01-27T20:30,6.99,7.005,6.954,6.976,985418
2016-01-28T14:30,6.976,7.201,6.896,6.903,750795
2016-01-28T15:30,6.903,7.027,6.896,6.961,598703
2016-01-28T16:30,6.961,6.968,6.91,6.954,583618
2016-01-28T17:30,6.95,6.961,6.903,6.939,619267
2016-01-28T18:30,6.936,6.954,6.896,6.925,813579
2016-01-28T19:30,6.925,6.961,6.903,6.947,643060
