date,open,high,low,close,volume
2016-01-04T14:30,6.108,6.198,5.984,5.994,2979925
2016-01-04T15:30,5.993,6.034,5.98,5.997,2235385
2016-01-04T16:30,5.996,6.034,5.965,5.978,1812765
2016-01-04T17:30,5.98,6.044,5.965,6.038,1833700
2016-01-04T18:30,6.038,6.072,6.006,6.032,2199315
2016-01-04T19:30,6.032,6.05,6.017,6.026,2459625
2016-01-04T20:30,6.026,6.048,5.992,6.048,3812555
2016-01-05T14:30,6.042,6.062,5.952,5.952,1881125
2016-01-05T15:30,5.952,6.048,5.942,6.012,1657835
2016-01-05T16:30,6.014,6.023,5.956,5.966,852995
2016-01-05T17:30,5.968,6.002,5.958,6,1476710
2016-01-05T18:30,6,6.027,5.984,5.988,1185355
2016-01-05T19:30,5.988,6.001,5.945,5.964,1116505
2016-01-05T20:30,5.964,5.982,5.956,5.966,1266210
2016-01-06T14:30,5.876,5.916,5.832,5.898,2103265
2016-01-06T15:30,5.89,5.89,5.819,5.823,1939790
2016-01-06T16:30,5.824,5.828,5.769,5.792,1835075
2016-01-06T17:30,5.79,5.814,5.766,5.775,1710035
2016-01-06T18:30,5.774,5.828,5.774,5.824,2099565
2016-01-06T19:30,5.824,5.868,5.81,5.854,2698330
2016-01-06T20:30,5.855,5.902,5.855,5.898,3368890
2016-01-07T14:30,5.78,5.848,5.674,5.83,1918690
2016-01-07T15:30,5.83,5.928,5.826,5.894,1557340
2016-01-07T16:30,5.892,5.912,5.88,5.89,1708725
2016-01-07T17:30,5.888,5.896,5.842,5.862,1735875
2016-01-07T18:30,5.86,5.884,5.816,5.865,1392915
2016-01-07T19:30,5.862,5.894,5.831,5.836,1922805
2016-01-07T20:30,5.834,5.886,5.832,5.832,1768430
2016-01-08T14:30,5.838,5.894,5.798,5.836,1077950
2016-01-08T15:30,5.838,5.844,5.724,5.726,807885
2016-01-08T16:30,5.726,5.822,5.712,5.818,2337815
2016-01-08T17:30,5.818,5.842,5.798,5.804,898055
2016-01-08T18:30,5.804,5.818,5.724,5.745,3567640
2016-01-08T19:30,5.744,5.782,5.744,5.756,1724860
2016-01-08T20:30,5.752,5.752,5.695,5.722,3976300
2016-01-11T14:30,5.762,5.786,5.672,5.676,1581300
2016-01-11T15:30,5.676,5.724,5.67,5.677,1527330
2016-01-11T16:30,5.678,5.722,5.668,5.698,1792800
2016-01-11T17:30,5.696,5.711,5.624,5.628,1668885
2016-01-11T18:30,5.628,5.642,5.576,5.63,3007190
2016-01-11T19:30,5.63,5.666,5.604,5.664,3557875
2016-01-11T20:30,5.664,5.71,5.658,5.67,3531155
2016-01-12T14:30,5.708,5.828,5.708,5.764,2148495
2016-01-12T15:30,5.762,5.8,5.69,5.698,2049950
2016-01-12T16:30,5.7,5.745,5.668,5.688,1226830
2016-01-12T17:30,5.684,5.69,5.632,5.654,1445860
2016-01-12T18:30,5.652,5.682,5.622,5.648,2080215
2016-01-12T19:30,5.648,5.73,5.641,5.71,1353095
2016-01-12T20:30,5.71,5.76,5.698,5.746,2876980
2016-01-13T14:30,5.9,5.989,5.752,5.84,5240030
2016-01-13T15:30,5.836,5.844,5.776,5.807,1722920
2016-01-13T16:30,5.806,5.828,5.725,5.772,896580
2016-01-13T17:30,5.77,5.77,5.689,5.708,983160
2016-01-13T18:30,5.708,5.722,5.644,5.664,1251860
2016-01-13T19:30,5.666,5.726,5.584,5.716,2896475
2016-01-13T20:30,5.714,5.722,5.662,5.676,2954455
2016-01-14T14:30,5.75,5.788,5.586,5.774,2347565
2016-01-14T15:30,5.779,5.904,5.754,5.798,2621505
2016-01-14T16:30,5.798,5.866,5.792,5.856,1997630
2016-01-14T17:30,5.856,5.906,5.85,5.894,1971795
2016-01-14T18:30,5.896,5.926,5.858,5.914,1721785
2016-01-14T19:30,5.918,5.932,5.882,5.885,3842355
2016-01-14T20:30,5.884,5.888,5.856,5.86,3234425
2016-01-15T14:30,5.72,5.72,5.5,5.604,4686940
2016-01-15T15:30,5.608,5.631,5.52,5.554,1177415
2016-01-15T16:30,5.55,5.572,5.46,5.47,1415255
2016-01-15T17:30,5.464,5.558,5.438,5.558,1505110
2016-01-15T18:30,5.556,5.62,5.534,5.566,1354635
2016-01-15T19:30,5.566,5.648,5.558,5.636,3493795
2016-01-15T20:30,5.638,5.662,5.61,5.654,4459600
2016-01-19T14:30,5.696,5.74,5.626,5.698,2727565
2016-01-19T15:30,5.696,5.714,5.552,5.606,2030075
2016-01-19T16:30,5.612,5.627,5.538,5.55,2131835
2016-01-19T17:30,5.551,5.568,5.512,5.53,1483880
2016-01-19T18:30,5.528,5.53,5.382,5.392,2844765
2016-01-19T19:30,5.391,5.4,5.308,5.338,5614420
2016-01-19T20:30,5.338,5.347,5.288,5.292,7668350
2016-01-20T14:30,4.81,5.252,4.728,5.141,7793630
2016-01-20T15:30,5.14,5.156,5.04,5.13,4148805
2016-01-20T16:30,5.134,5.198,5.06,5.068,2719055
2016-01-20T17:30,5.07,5.2,5.058,5.074,2910170
2016-01-20T18:30,5.074,5.114,4.994,5.072,4562285
2016-01-20T19:30,5.076,5.259,5.07,5.256,3920115
2016-01-20T20:30,5.258,5.264,5.182,5.196,2859825
2016-01-21T14:30,5.256,5.386,5.206,5.364,2747060
