date,open,high,low,close,volume
2016-01-04T14:30,13.68,13.71,13.53,13.62,1542597
2016-01-04T15:30,13.61,13.63,13.53,13.55,1376983
2016-01-04T16:30,13.55,13.59,13.55,13.57,1226120
2016-01-04T17:30,13.57,13.63,13.55,13.63,919926
2016-01-04T18:30,13.63,13.64,13.57,13.61,889144
2016-01-04T19:30,13.61,13.61,13.53,13.56,1428421
2016-01-04T20:30,13.56,13.67,13.55,13.65,2142942
2016-01-05T14:30,13.66,13.77,13.63,13.65,1738359
2016-01-05T15:30,13.65,13.71,13.61,13.65,1941536
2016-01-05T16:30,13.65,13.7,13.55,13.59,1271158
2016-01-05T17:30,13.59,13.62,13.51,13.55,870064
2016-01-05T18:30,13.55,13.68,13.54,13.68,910177
2016-01-05T19:30,13.68,13.71,13.62,13.67,1130706
2016-01-05T20:30,13.66,13.69,13.63,13.65,1299006
2016-01-06T14:30,13.41,13.48,13.28,13.48,1809652
2016-01-06T15:30,13.48,13.48,13.33,13.34,1557648
2016-01-06T16:30,13.34,13.35,13.28,13.32,909719
2016-01-06T17:30,13.32,13.35,13.26,13.3,854231
2016-01-06T18:30,13.3,13.35,13.26,13.34,1033824
2016-01-06T19:30,13.33,13.34,13.27,13.34,1333285
2016-01-06T20:30,13.34,13.35,13.32,13.34,1691236
2016-01-07T14:30,13.07,13.24,13.06,13.19,1391157
2016-01-07T15:30,13.2,13.27,13.15,13.18,961201
2016-01-07T16:30,13.18,13.2,13.14,13.17,1140769
2016-01-07T17:30,13.17,13.17,13.03,13.04,1358047
2016-01-07T18:30,13.03,13.1,12.99,13.07,1686008
2016-01-07T19:30,13.08,13.16,13.03,13.04,2037042
2016-01-07T20:30,13.03,13.11,13.03,13.03,2080436
2016-01-08T14:30,13.1,13.27,13.06,13.26,2718294
2016-01-08T15:30,13.26,13.29,13.14,13.15,1651178
2016-01-08T16:30,13.15,13.22,13.13,13.21,1323188
2016-01-08T17:30,13.21,13.21,13.13,13.17,888440
2016-01-08T18:30,13.17,13.18,13.11,13.12,1061159
2016-01-08T19:30,13.12,13.16,13.1,13.12,2097089
2016-01-08T20:30,13.12,13.12,13.03,13.06,3303673
2016-01-11T14:30,13.1,13.38,13.1,13.31,2632995
2016-01-11T15:30,13.32,13.37,13.21,13.24,1938089
2016-01-11T16:30,13.23,13.27,13.13,13.14,1069037
2016-01-11T17:30,13.13,13.16,13.09,13.11,1321556
2016-01-11T18:30,13.11,13.19,13.07,13.18,1811203
2016-01-11T19:30,13.18,13.18,13.09,13.18,2173608
2016-01-11T20:30,13.18,13.25,13.18,13.19,3194209
2016-01-12T14:30,13.33,13.42,13.24,13.25,1037085
2016-01-12T15:30,13.25,13.33,13.2,13.22,1076344
2016-01-12T16:30,13.22,13.23,13.13,13.16,1558712
2016-01-12T17:30,13.16,13.18,13.06,13.08,1721635
2016-01-12T18:30,13.08,13.13,13.04,13.11,1380951
2016-01-12T19:30,13.12,13.25,13.11,13.21,1426548
2016-01-12T20:30,13.2,13.26,13.19,13.23,2094753
2016-01-13T14:30,13.27,13.45,13.23,13.24,1021906
2016-01-13T15:30,13.23,13.26,13.18,13.2,1360522
2016-01-13T16:30,13.19,13.21,13.13,13.16,927896
2016-01-13T17:30,13.16,13.16,13.09,13.09,955078
2016-01-13T18:30,13.09,13.12,13.08,13.11,1890148
2016-01-13T19:30,13.11,13.11,13.02,13.05,2580258
2016-01-13T20:30,13.05,13.07,12.97,13,2921896
2016-01-14T14:30,13.05,13.27,12.98,13.27,2415021
2016-01-14T15:30,13.27,13.32,13.1,13.11,1156839
2016-01-14T16:30,13.12,13.19,13.11,13.18,898351
2016-01-14T17:30,13.18,13.29,13.17,13.27,809067
2016-01-14T18:30,13.27,13.28,13.21,13.24,761230
2016-01-14T19:30,13.24,13.3,13.24,13.26,1157764
2016-01-14T20:30,13.26,13.26,13.18,13.19,1709313
2016-01-15T14:30,12.92,13.08,12.9,12.95,3509413
2016-01-15T15:30,12.95,13.02,12.9,12.95,1532655
2016-01-15T16:30,12.95,12.99,12.87,12.88,1745248
2016-01-15T17:30,12.88,12.88,12.75,12.8,2224448
2016-01-15T18:30,12.79,12.87,12.78,12.78,1261369
2016-01-15T19:30,12.78,12.91,12.78,12.88,1737779
2016-01-15T20:30,12.87,12.89,12.83,12.85,2599864
2016-01-19T14:30,12.97,13.05,12.84,12.91,1727330
2016-01-19T15:30,12.91,12.91,12.77,12.83,1130917
2016-01-19T16:30,12.83,12.87,12.75,12.82,1416187
2016-01-19T17:30,12.83,12.84,12.75,12.76,843871
2016-01-19T18:30,12.76,12.81,12.67,12.71,1022337
2016-01-19T19:30,12.71,12.78,12.65,12.78,1478107
2016-01-19T20:30,12.78,12.85,12.76,12.78,2205439
2016-01-20T14:30,12.39,12.54,12.35,12.42,1889481
2016-01-20T15:30,12.42,12.47,12.37,12.39,2556972
2016-01-20T16:30,12.39,12.43,12.3,12.33,6200588
2016-01-20T17:30,12.33,12.4,12.3,12.37,1365614
2016-01-20T18:30,12.36,12.55,12.36,12.53,1347197
2016-01-20T19:30,12.53,12.81,12.5,12.8,1883617
2016-01-20T20:30,12.8,12.81,12.68,12.71,1831916
2016-01-21T14:30,12.78,13.03,12.63,12.97,2655561
2016-01-21T15:30,12.97,13.15,12.93,13.01,2521848
2016-01-21T16:30,13.01,13.19,13.01,13.15,1358825
2016-01-21T17:30,13.14,13.16,12.99,12.99,1214232
2016-01-21T18:30,12.99,13.07,12.84,12.91,1588800
2016-01-21T19:30,12.91,12.96,12.84,12.93,1685519
2016-01-21T20:30,12.93,12.98,12.91,12.91,1897396
2016-01-22T14:30,13.11,13.15,12.97,13.03,2118013
2016-01-22T15:30,13.03,13.05,12.94,13.01,1210537
2016-01-22T16:30,13.01,13.02,12.91,12.95,868493
2016-01-22T17:30,12.95,13.05,12.94,13.04,813440
2016-01-22T18:30,13.04,13.1,13,13.02,1257449
2016-01-22T19:30,13.02,13.1,12.99,13.1,1254571
2016-01-22T20:30,13.09,13.16,13.03,13.04,3722653
2016-01-25T14:30,13,13.06,12.91,13,1486573
2016-01-25T15:30,12.99,13.02,12.83,12.89,1054835
2016-01-25T16:30,12.9,12.97,12.86,12.92,1172520
2016-01-25T17:30,12.93,12.98,12.92,12.97,1019949
2016-01-25T18:30,12.97,13,12.78,12.79,1544596
2016-01-25T19:30,12.79,12.84,12.72,12.73,1651307
2016-01-25T20:30,12.74,12.81,12.67,12.77,3525848
2016-01-26T14:30,12.79,13.48,12.78,13.39,3895315
2016-01-26T15:30,13.39,13.58,13.39,13.53,3058027
2016-01-26T16:30,13.53,13.68,13.44,13.68,2462334
2016-01-26T17:30,13.68,13.76,13.58,13.6,2191766
2016-01-26T18:30,13.6,13.64,13.45,13.46,1489204
2016-01-26T19:30,13.46,13.5,13.37,13.48,2188590
2016-01-26T20:30,13.48,13.55,13.43,13.51,2642487
2016-01-27T14:30,13.42,13.57,13.36,13.51,2579040
2016-01-27T15:30,13.52,13.61,13.47,13.59,1476055
2016-01-27T16:30,13.59,13.93,13.58,13.91,2169289
2016-01-27T17:30,13.91,13.91,13.68,13.68,1651369
2016-01-27T18:30,13.68,13.87,13.64,13.75,2000904
2016-01-27T19:30,13.75,13.84,13.61,13.63,3407246
2016-01-27T20:30,13.62,13.68,13.58,13.66,2844046
2016-01-28T14:30,13.81,13.88,13.68,13.68,1703509
2016-01-28T15:30,13.68,13.84,13.66,13.75,1947480
2016-01-28T16:30,13.74,13.75,13.65,13.71,1241687
2016-01-28T17:30,13.71,13.77,13.64,13.66,958655
2016-01-28T18:30,13.66,13.78,13.65,13.77,1727452
