date,open,high,low,close,volume
2016-01-04T14:30,27.15,27.38,27,27.34,554640
2016-01-04T15:30,27.34,27.35,26.92,27,371818
2016-01-04T16:30,26.99,27.19,26.98,27.12,185711
2016-01-04T17:30,27.11,27.23,27.08,27.17,117250
2016-01-04T18:30,27.15,27.36,27.15,27.29,182191
2016-01-04T19:30,27.29,27.32,27.13,27.15,204662
2016-01-04T20:30,27.15,27.34,27.15,27.32,364770
2016-01-05T14:30,27.46,27.72,27.44,27.45,205941
2016-01-05T15:30,27.45,27.58,27.38,27.45,156080
2016-01-05T16:30,27.45,27.51,27.31,27.33,193986
2016-01-05T17:30,27.33,27.46,27.33,27.36,117115
2016-01-05T18:30,27.35,27.52,27.35,27.46,121758
2016-01-05T19:30,27.45,27.47,27.41,27.45,178422
2016-01-05T20:30,27.44,27.48,27.4,27.42,253581
2016-01-06T14:30,27.03,27.15,26.76,26.94,254411
2016-01-06T15:30,26.93,27,26.83,26.96,166479
2016-01-06T16:30,26.96,26.99,26.84,26.89,128795
2016-01-06T17:30,26.89,26.95,26.77,26.83,138796
2016-01-06T18:30,26.83,26.88,26.8,26.83,138943
2016-01-06T19:30,26.83,26.85,26.57,26.74,312862
2016-01-06T20:30,26.74,26.76,26.66,26.66,531037
2016-01-07T14:30,26.28,26.42,26.08,26.2,209322
2016-01-07T15:30,26.18,26.29,26.18,26.28,169177
2016-01-07T16:30,26.28,26.3,26.17,26.24,130407
2016-01-07T17:30,26.24,26.25,25.97,26.02,199360
2016-01-07T18:30,26,26.09,25.95,26,162577
2016-01-07T19:30,26,26.01,25.84,25.85,316552
2016-01-07T20:30,25.84,25.99,25.83,25.91,435610
2016-01-08T14:30,26.08,26.23,25.79,25.86,153509
2016-01-08T15:30,25.86,25.89,25.58,25.6,233597
2016-01-08T16:30,25.59,25.68,25.54,25.68,159743
2016-01-08T17:30,25.68,25.68,25.54,25.59,149220
2016-01-08T18:30,25.58,25.68,25.28,25.3,299483
2016-01-08T19:30,25.29,25.3,25.05,25.06,328639
2016-01-08T20:30,25.05,25.07,24.85,24.9,623721
2016-01-11T14:30,25.17,25.22,24.78,24.8,255289
2016-01-11T15:30,24.8,24.87,24.54,24.6,300584
2016-01-11T16:30,24.6,24.72,24.5,24.53,311020
2016-01-11T17:30,24.54,24.58,24.47,24.47,254179
2016-01-11T18:30,24.47,24.76,24.38,24.73,295094
2016-01-11T19:30,24.73,24.74,24.56,24.7,360767
2016-01-11T20:30,24.71,24.79,24.63,24.64,584260
2016-01-12T14:30,24.98,25.02,24.65,24.69,202865
2016-01-12T15:30,24.67,24.76,24.57,24.58,108425
2016-01-12T16:30,24.58,24.64,24.47,24.58,126804
2016-01-12T17:30,24.58,24.58,24.39,24.4,119164
2016-01-12T18:30,24.41,24.51,24.36,24.46,183575
2016-01-12T19:30,24.45,24.55,24.28,24.48,424728
2016-01-12T20:30,24.48,24.61,24.45,24.61,397299
2016-01-13T14:30,24.7,24.84,24.53,24.64,205076
2016-01-13T15:30,24.63,24.66,24.51,24.61,176950
2016-01-13T16:30,24.6,24.63,24.42,24.56,176400
2016-01-13T17:30,24.56,24.56,24.35,24.37,146531
2016-01-13T18:30,24.36,24.39,24.16,24.3,183648
2016-01-13T19:30,24.29,24.33,24.03,24.28,255888
2016-01-13T20:30,24.27,24.3,24.06,24.09,355847
2016-01-14T14:30,24.24,24.48,23.81,24.08,313692
2016-01-14T15:30,24.08,24.26,24,24.06,313729
2016-01-14T16:30,24.08,24.16,23.99,24.13,121010
2016-01-14T17:30,24.15,24.41,24.13,24.4,90385
2016-01-14T18:30,24.4,24.56,24.37,24.54,167159
2016-01-14T19:30,24.54,24.82,24.54,24.74,375620
2016-01-14T20:30,24.74,24.74,24.54,24.62,436434
2016-01-15T14:30,23.81,24.2,23.77,23.89,600701
2016-01-15T15:30,23.88,24.01,23.8,23.87,304844
2016-01-15T16:30,23.87,23.94,23.8,23.84,214728
2016-01-15T17:30,23.84,24,23.78,23.95,188589
2016-01-15T18:30,23.94,24.12,23.89,24.04,162708
2016-01-15T19:30,24.04,24.31,24.01,24.16,239519
2016-01-15T20:30,24.15,24.18,24.08,24.14,418667
2016-01-19T14:30,24.49,24.5,24.09,24.25,166975
2016-01-19T15:30,24.24,24.26,23.95,24.07,93324
2016-01-19T16:30,24.07,24.14,23.94,24.03,104121
2016-01-19T17:30,24.03,24.08,23.91,23.92,87300
2016-01-19T18:30,23.91,23.94,23.69,23.75,162784
2016-01-19T19:30,23.75,23.97,23.59,23.95,200684
2016-01-19T20:30,23.94,24.07,23.93,23.96,363976
2016-01-20T14:30,23.61,23.66,23.32,23.39,241249
2016-01-20T15:30,23.39,23.39,23.21,23.26,230909
2016-01-20T16:30,23.27,23.35,22.96,22.98,202920
2016-01-20T17:30,22.98,23.35,22.97,23.32,194013
2016-01-20T18:30,23.32,23.82,23.32,23.73,223851
2016-01-20T19:30,23.73,24.23,23.68,24.23,232920
2016-01-20T20:30,24.21,24.24,23.98,24.02,308247
2016-01-21T14:30,24.1,24.6,24.02,24.49,215962
2016-01-21T15:30,24.5,24.75,24.46,24.63,213981
2016-01-21T16:30,24.63,25.15,24.63,24.93,427439
2016-01-21T17:30,24.93,24.99,24.68,24.68,222341
2016-01-21T18:30,24.68,24.82,24.5,24.59,161545
2016-01-21T19:30,24.6,24.78,24.56,24.69,202173
2016-01-21T20:30,24.68,24.8,24.59,24.59,295869
2016-01-22T14:30,24.97,25.39,24.95,25.19,157084
2016-01-22T15:30,25.21,25.26,24.93,25.05,186911
2016-01-22T16:30,25.05,25.06,24.84,25.02,112626
2016-01-22T17:30,25.03,25.13,25,25.08,126510
2016-01-22T18:30,25.09,25.18,25.05,25.05,127980
2016-01-22T19:30,25.05,25.13,24.96,25.13,202815
2016-01-22T20:30,25.13,25.13,25.07,25.12,150353
2016-01-25T14:30,25.05,25.11,24.79,24.84,166382
2016-01-25T15:30,24.83,24.86,24.61,24.73,110590
2016-01-25T16:30,24.73,24.87,24.67,24.86,109112
2016-01-25T17:30,24.86,25.05,24.86,24.99,141949
2016-01-25T18:30,25,25,24.75,24.81,107514
2016-01-25T19:30,24.81,24.87,24.7,24.72,153783
2016-01-25T20:30,24.72,24.74,24.61,24.64,205615
2016-01-26T14:30,24.81,25.27,24.73,25.17,152211
2016-01-26T15:30,25.16,25.26,25.05,25.2,68736
2016-01-26T16:30,25.22,25.31,25.1,25.31,70211
2016-01-26T17:30,25.32,25.34,25.16,25.22,54041
2016-01-26T18:30,25.22,25.22,25.08,25.12,65549
2016-01-26T19:30,25.12,25.13,25.02,25.05,107874
2016-01-26T20:30,25.05,25.14,25.01,25.12,152777
2016-01-27T14:30,25.05,25.37,24.89,24.93,73275
2016-01-27T15:30,24.94,25.23,24.92,25.19,75934
2016-01-27T16:30,25.2,25.41,25.2,25.33,85589
2016-01-27T17:30,25.33,25.38,25.22,25.23,82964
2016-01-27T18:30,25.25,25.44,25.13,25.28,136559
2016-01-27T19:30,25.27,25.29,24.84,24.96,250384
2016-01-27T20:30,24.96,25.07,24.94,25.05,272959
2016-01-28T14:30,25.34,25.58,24.91,24.91,144736
2016-01-28T15:30,24.92,25.17,24.82,25.04,159748
2016-01-28T16:30,25.05,25.1,24.87,25.05,97949
2016-01-28T17:30,25.05,25.17,24.9,24.97,104135
2016-01-28T18:30,24.98,25.05,24.91,25.05,79939
2016-01-28T19:30,25.06,25.13,24.99,25.1,123421
2016-01-28T20:30,25.1,25.17,25.08,25.15,240032
2016-01-29T14:30,25.27,25.86,25.18,25.79,233942
2016-01-29T15:30,25.79,25.85,25.73,25.79,199777
2016-01-29T16:30,25.79,25.84,25.7,25.81,213964
2016-01-29T17:30,25.8,25.82,25.74,25.81,167026
2016-01-29T18:30,25.8,25.82,25.73,25.81,177052
2016-01-29T19:30,25.8,26.02,25.78,26,528814
2016-01-29T20:30,26,26.15,25.97,26.09,514593
2016-02-01T14:30,25.96,26.08,25.71,25.89,176278
2016-02-01T15:30,25.91,25.99,25.8,25.88,95049
2016-02-01T16:30,25.89,26.04,25.89,25.97,76630
2016-02-01T17:30,25.97,26.01,25.85,25.88,107523
2016-02-01T18:30,25.9,26.05,25.86,26.05,104159
2016-02-01T19:30,26.05,26.24,26.02,26.23,136952
2016-02-01T20:30,26.24,26.24,26.03,26.05,245985
2016-02-02T14:30,25.79,25.81,25.28,25.4,109301
2016-02-02T15:30,25.4,25.61,25.31,25.53,83390
2016-02-02T16:30,25.51,25.59,25.32,25.4,94771
2016-02-02T17:30,25.38,25.49,25.3,25.37,88740
2016-02-02T18:30,25.37,25.37,25.19,25.19,90354
2016-02-02T19:30,25.19,25.36,25.18,25.34,154297
2016-02-02T20:30,25.34,25.4,25.32,25.33,213383
2016-02-03T14:30,25.6,25.81,24.99,25.02,172186
2016-02-03T15:30,25,25.24,24.93,25.13,227623
2016-02-03T16:30,25.13,25.25,25.04,25.1,152287
2016-02-03T17:30,25.1,25.23,25.02,25.07,154391
2016-02-03T18:30,25.07,25.34,24.99,25.31,176841
2016-02-03T19:30,25.31,25.45,25.28,25.3,257622
2016-02-03T20:30,25.3,25.4,25.23,25.4,278016
2016-02-04T14:30,25.41,25.86,25.41,25.77,206820
2016-02-04T15:30,25.77,26,25.74,25.85,228960
2016-02-04T16:30,25.85,25.94,25.75,25.91,182190
2016-02-04T17:30,25.92,26.12,25.9,26.05,126919
2016-02-04T18:30,26.05,26.1,25.97,26.03,162582
2016-02-04T19:30,26.03,26.07,25.92,26.02,286096
2016-02-04T20:30,26.02,26.13,26,26.09,151079
2016-02-05T14:30,25.93,26.08,25.58,25.78,282592
2016-02-05T15:30,25.79,25.92,25.48,25.72,275166
2016-02-05T16:30,25.71,25.87,25.68,25.84,74394
2016-02-05T17:30,25.85,25.88,25.77,25.87,63041
2016-02-05T18:30,25.85,25.85,25.74,25.76,116217
2016-02-05T19:30,25.76,25.83,25.74,25.76,235619
2016-02-05T20:30,25.76,25.82,25.69,25.75,284082
2016-02-08T14:30,25.57,25.94,25.22,25.48,126757
2016-02-08T15:30,25.46,25.56,25.13,25.33,175913
2016-02-08T16:30,25.33,25.51,25.25,25.47,93316
2016-02-08T17:30,25.47,25.57,25.3,25.3,197849
2016-02-08T18:30,25.3,25.32,25.13,25.2,272695
2016-02-08T19:30,25.21,25.46,25.13,25.39,156681
2016-02-08T20:30,25.39,25.57,25.39,25.49,289956
2016-02-09T14:30,25.26,25.86,25.26,25.59,160965
2016-02-09T15:30,25.58,25.59,25.36,25.43,248862
2016-02-09T16:30,25.44,25.47,24.86,24.95,460999
2016-02-09T17:30,24.96,25.12,24.95,25.06,165616
2016-02-09T18:30,25.06,25.32,24.84,25.14,212073
2016-02-09T19:30,25.14,25.44,25.14,25.23,186639
2016-02-09T20:30,25.22,25.3,25.14,25.19,244091
2016-02-10T14:30,25.54,25.94,25.25,25.82,266051
2016-02-10T15:30,25.82,26.08,25.68,25.74,151712
2016-02-10T16:30,25.74,25.81,25.62,25.8,108291
2016-02-10T17:30,25.82,25.91,25.78,25.79,121730
2016-02-10T18:30,25.79,25.85,25.73,25.8,129563
2016-02-10T19:30,25.8,25.88,25.59,25.59,189773
2016-02-10T20:30,25.6,25.67,25.52,25.59,386205
2016-02-11T14:30,24.49,25.55,24.37,25.21,129037
2016-02-11T15:30,25.22,25.25,25,25.07,102162
2016-02-11T16:30,25.05,25.16,24.99,25.07,85822
2016-02-11T17:30,25.07,25.17,24.92,25.02,164647
2016-02-11T18:30,25.02,25.1,24.89,24.93,123953
2016-02-11T19:30,24.93,25.3,24.89,25.22,251942
2016-02-11T20:30,25.22,25.33,25.09,25.12,327702
2016-02-12T14:30,25.32,25.81,24.89,25.06,209337
2016-02-12T15:30,25.07,25.13,24.86,25.11,173573
2016-02-12T16:30,25.1,25.38,25.04,25.33,118805
2016-02-12T17:30,25.33,25.38,25.25,25.25,78975
2016-02-12T18:30,25.25,25.43,25.25,25.41,79112
2016-02-12T19:30,25.41,25.51,25.37,25.47,116124
2016-02-12T20:30,25.49,25.52,25.39,25.51,174159
2016-02-16T14:30,25.8,26.99,25.6,25.87,328918
2016-02-16T15:30,25.87,26.29,25.71,26.24,377705
2016-02-16T16:30,26.23,26.39,26.07,26.34,302946
2016-02-16T17:30,26.34,26.56,26.2,26.41,163203
2016-02-16T18:30,26.42,26.43,26.19,26.22,214314
2016-02-16T19:30,26.24,26.29,25.97,25.98,476086
2016-02-16T20:30,25.99,26.18,25.94,26.15,695897
2016-02-17T14:30,28.39,30.23,27.9,29.62,2265497
2016-02-17T15:30,29.65,31.15,29.37,30.8,1566328
2016-02-17T16:30,30.81,31.04,29.74,29.83,801983
2016-02-17T17:30,29.83,30.36,29.54,29.77,612630
2016-02-17T18:30,29.79,30.05,29.31,29.85,487922
2016-02-17T19:30,29.86,30.19,29.62,30.18,503626
2016-02-17T20:30,30.19,30.63,30.03,30.49,721815
2016-02-18T14:30,29.86,29.87,28.6,29.37,1427541
2016-02-18T15:30,29.37,29.44,29.06,29.39,566262
2016-02-18T16:30,29.39,29.88,29.13,29.8,449969
2016-02-18T17:30,29.8,30.14,29.63,30.11,390765
2016-02-18T18:30,30.09,30.41,30.01,30.4,279414
2016-02-18T19:30,30.4,30.52,30.26,30.43,349725
2016-02-18T20:30,30.43,30.43,30.24,30.26,605796
2016-02-19T14:30,30.11,30.33,29.74,29.96,547813
2016-02-19T15:30,29.97,30.01,29.59,29.81,380899
2016-02-19T16:30,29.81,29.91,29.78,29.82,191132
2016-02-19T17:30,29.82,29.83,29.55,29.55,213999
2016-02-19T18:30,29.54,29.62,29.43,29.45,259790
2016-02-19T19:30,29.45,29.59,29.38,29.58,402976
2016-02-19T20:30,29.58,29.68,29.58,29.67,461047
2016-02-22T14:30,30.06,30.37,29.88,30.12,309006
2016-02-22T15:30,30.21,30.26,30.14,30.21,66925
2016-02-22T16:30,30.21,30.43,30.09,30.4,222810
2016-02-22T17:30,30.39,30.5,30.29,30.41,152349
2016-02-22T18:30,30.4,30.57,30.37,30.42,159740
2016-02-22T19:30,30.41,30.43,30.31,30.43,133393
2016-02-22T20:30,30.42,30.43,30.37,30.41,229348
2016-02-23T14:30,30.17,30.41,29.91,30.03,321020
2016-02-23T15:30,30.04,30.16,29.88,29.92,201774
2016-02-23T16:30,29.94,30.24,29.91,30.19,89081
2016-02-23T17:30,30.19,30.28,30.09,30.25,124013
2016-02-23T18:30,30.25,30.25,30.11,30.18,93416
2016-02-23T19:30,30.19,30.24,30.07,30.19,196774
2016-02-23T20:30,30.19,30.29,30.17,30.24,379863
2016-02-24T14:30,30.27,30.27,29.25,29.31,242200
2016-02-24T15:30,29.31,29.62,29.28,29.37,177291
2016-02-24T16:30,29.37,29.93,29.35,29.88,218271
2016-02-24T17:30,29.88,30.03,29.82,29.99,122984
2016-02-24T18:30,30,30.08,29.87,30.03,134982
2016-02-24T19:30,30.04,30.2,29.99,30.2,156482
2016-02-24T20:30,30.2,30.23,30.08,30.14,179743
2016-02-25T14:30,30.1,30.29,29.65,29.8,253438
2016-02-25T15:30,29.8,29.89,29.69,29.73,130679
2016-02-25T16:30,29.73,29.74,29.57,29.69,180739
2016-02-25T17:30,29.68,29.69,29.59,29.62,110621
2016-02-25T18:30,29.62,29.77,29.62,29.7,178943
2016-02-25T19:30,29.7,29.86,29.63,29.79,145994
2016-02-25T20:30,29.79,29.92,29.73,29.92,234849
2016-02-26T14:30,30.11,30.21,29.87,30.06,288381
2016-02-26T15:30,30.06,30.29,29.88,29.94,120079
2016-02-26T16:30,29.93,30.13,29.88,30.12,156143
2016-02-26T17:30,30.11,30.22,30.06,30.07,57667
2016-02-26T18:30,30.07,30.14,29.94,29.97,91980
2016-02-26T19:30,29.97,30.01,29.88,29.94,78934
2016-02-26T20:30,29.94,30.02,29.94,29.99,166264
2016-02-29T14:30,29.98,30.22,29.82,30.01,381482
2016-02-29T15:30,30.04,30.09,29.92,29.93,190447
2016-02-29T16:30,29.94,30.11,29.91,30.03,92455
2016-02-29T17:30,30.04,30.22,30.02,30.17,130120
2016-02-29T18:30,30.16,30.23,30.12,30.17,101801
2016-02-29T19:30,30.17,30.31,30.12,30.31,229642
