date,open,high,low,close,volume
2016-01-04T14:30,169.23,169.97,167.72,169.45,158294
2016-01-04T15:30,169.44,169.76,168.67,169.44,82448
2016-01-04T16:30,169.62,170.41,168.95,169.32,67175
2016-01-04T17:30,169.23,170.54,168.9,170.31,89778
2016-01-04T18:30,170.27,171.28,169.92,171.23,77330
2016-01-04T19:30,171.12,171.12,170.09,170.57,86609
2016-01-04T20:30,170.56,171.42,170.4,171.4,88273
2016-01-05T14:30,172.08,172.52,169.19,169.33,115424
2016-01-05T15:30,169.42,169.99,168.72,168.84,106882
2016-01-05T16:30,168.86,169.39,168.37,168.7,146667
2016-01-05T17:30,168.6,168.73,167.71,167.86,77465
2016-01-05T18:30,167.95,168.89,167.83,168.85,78470
2016-01-05T19:30,168.77,169.63,168.66,169.58,61553
2016-01-05T20:30,169.53,169.67,168.93,169.31,105123
2016-01-06T14:30,167.42,170.33,166.5,170.28,190834
2016-01-06T15:30,170.17,170.57,169.05,169.74,109304
2016-01-06T16:30,169.64,170.33,168.16,168.6,82190
2016-01-06T17:30,168.44,169.05,168.18,168.93,67753
2016-01-06T18:30,168.92,169.22,168.28,168.43,61725
2016-01-06T19:30,168.43,168.67,167.43,168.49,100019
2016-01-06T20:30,168.44,168.83,168.18,168.78,81725
2016-01-07T14:30,167.22,167.54,164.6,167.17,90563
2016-01-07T15:30,167.23,168.59,167.09,168.12,48465
2016-01-07T16:30,168.2,168.46,167.6,167.84,43618
2016-01-07T17:30,167.84,167.92,166.43,166.77,39904
2016-01-07T18:30,166.61,167.04,166.29,166.46,53861
2016-01-07T19:30,166.45,167.34,166.3,166.95,117109
2016-01-07T20:30,166.85,167.6,166.85,167.26,114824
2016-01-08T14:30,168.04,168.62,166.2,166.73,56343
2016-01-08T15:30,166.67,167.63,166.49,167.39,46480
2016-01-08T16:30,167.39,168.32,166.86,167.46,297480
2016-01-08T17:30,167.4,167.43,166.62,166.76,51329
2016-01-08T18:30,166.74,166.95,165.37,165.81,63099
2016-01-08T19:30,165.72,166.55,165.69,166.17,61753
2016-01-08T20:30,166.12,166.18,164.85,165.19,88433
2016-01-11T14:30,163.02,164.81,161.02,163.36,234961
2016-01-11T15:30,163.1,163.28,159.73,160.24,131103
2016-01-11T16:30,160.23,161.12,159.64,161.12,96031
2016-01-11T17:30,161.17,161.63,160.87,160.87,140435
2016-01-11T18:30,161.04,161.29,160.14,160.75,119879
2016-01-11T19:30,160.69,160.83,159.23,160.45,219945
2016-01-11T20:30,160.51,161.56,160.3,160.39,232872
2016-01-12T14:30,160.79,162.73,160.15,160.27,97299
2016-01-12T15:30,160.28,160.48,158.41,158.41,172874
2016-01-12T16:30,158.56,160.08,158.08,158.32,142368
2016-01-12T17:30,158.47,158.47,157.18,157.18,133984
2016-01-12T18:30,157.18,158.19,156.91,158.06,159902
2016-01-12T19:30,158.07,160.33,157.62,160.02,165835
2016-01-12T20:30,160.06,160.14,159.06,159.09,264606
2016-01-13T14:30,159.99,162.34,159.99,162.04,114815
2016-01-13T15:30,162.03,162.16,160.5,160.87,104600
2016-01-13T16:30,160.8,161.35,159.8,159.98,75306
2016-01-13T17:30,160.06,160.06,158.99,159.1,87965
2016-01-13T18:30,159.13,159.17,157.43,158.27,119734
2016-01-13T19:30,158.18,158.18,156.8,157.78,95276
2016-01-13T20:30,157.89,158.08,156.84,157.4,217507
2016-01-14T14:30,157.42,158.46,155.62,157.84,147732
2016-01-14T15:30,158.01,160.59,157.76,158.94,87548
2016-01-14T16:30,158.98,159.83,158.66,159.32,43327
2016-01-14T17:30,159.38,161.59,159.26,161.56,64225
2016-01-14T18:30,161.4,161.85,160,160.18,121436
2016-01-14T19:30,160.35,161.67,160.34,161.35,87126
2016-01-14T20:30,161.48,161.48,160.04,160.18,89552
2016-01-15T14:30,157.11,159.18,155.65,158.93,271084
2016-01-15T15:30,158.9,159.92,157.71,157.88,133160
2016-01-15T16:30,158,158.35,157.4,157.85,153891
2016-01-15T17:30,157.84,159.13,157.6,159.1,114664
2016-01-15T18:30,159.12,160.98,158.58,158.67,141507
2016-01-15T19:30,158.66,160.83,158.39,160.65,180257
2016-01-15T20:30,160.81,161.07,160.18,160.63,259556
2016-01-19T14:30,161.48,162.81,158.62,160.21,127338
2016-01-19T15:30,160.09,160.56,159.5,160.09,94033
2016-01-19T16:30,160.29,160.59,158.6,159.13,91181
2016-01-19T17:30,159.24,159.48,157.93,158.27,67143
2016-01-19T18:30,158.4,158.41,156.68,157.13,76295
2016-01-19T19:30,157.16,158.36,156.6,158.31,133651
2016-01-19T20:30,158.33,158.91,158.08,158.18,155395
2016-01-20T14:30,157.25,157.27,152.81,153.81,165946
2016-01-20T15:30,153.87,153.88,152.15,152.66,125884
2016-01-20T16:30,152.7,152.97,149.98,149.98,100838
2016-01-20T17:30,150.2,152.25,150.01,150.73,131224
2016-01-20T18:30,150.97,154.2,150.85,152.8,170521
2016-01-20T19:30,152.8,155.54,152.8,155.21,199531
2016-01-20T20:30,155.26,155.72,153.97,155.01,211378
2016-01-21T14:30,156.27,157.13,154.35,155.03,71433
2016-01-21T15:30,154.89,156.77,154.68,155.32,66756
2016-01-21T16:30,155.49,157.55,155.47,156.92,94735
2016-01-21T17:30,157.13,158.18,156.13,156.5,79849
2016-01-21T18:30,156.31,157.96,156.08,157.36,174009
2016-01-21T19:30,157.39,158.18,156.93,157.51,210240
2016-01-21T20:30,157.46,157.92,157.14,157.34,113324
2016-01-22T14:30,159.28,161.54,158.55,160.72,192713
2016-01-22T15:30,160.72,160.92,157.58,158.07,207583
2016-01-22T16:30,158.17,158.25,156.61,158.03,177936
2016-01-22T17:30,158,158,157.18,157.51,92506
2016-01-22T18:30,157.59,158.42,157.02,158.14,139684
2016-01-22T19:30,158.03,159.04,157.7,158.34,118066
2016-01-22T20:30,158.43,159.34,157.81,158.72,137673
2016-01-25T14:30,158.74,158.9,156.66,157.4,110206
2016-01-25T15:30,157.44,158.11,154.98,155.37,149662
2016-01-25T16:30,155.33,157,155.13,155.96,133092
2016-01-25T17:30,156.05,158.67,155.94,158.32,117973
2016-01-25T18:30,158.47,158.47,156.87,157.3,122846
2016-01-25T19:30,157.3,157.66,156.63,156.89,167380
