date,open,high,low,close,volume
2016-01-04T14:30,27.52,27.92,27.37,27.68,1781241
2016-01-04T15:30,27.68,27.72,27.28,27.43,1323054
2016-01-04T16:30,27.43,27.64,27.37,27.52,1161301
2016-01-04T17:30,27.52,27.86,27.47,27.74,986071
2016-01-04T18:30,27.74,27.83,27.68,27.77,813664
2016-01-04T19:30,27.77,28.01,27.72,28,1198155
2016-01-04T20:30,27.99,28.12,27.91,28.04,1821572
2016-01-05T14:30,28.13,28.23,27.77,27.81,1852220
2016-01-05T15:30,27.8,27.94,27.69,27.74,900320
2016-01-05T16:30,27.75,27.82,27.43,27.55,860921
2016-01-05T17:30,27.55,27.83,27.54,27.72,876777
2016-01-05T18:30,27.71,28.05,27.67,27.98,850608
2016-01-05T19:30,27.98,28.02,27.9,27.94,1210148
2016-01-05T20:30,27.93,27.99,27.87,27.97,1115661
2016-01-06T14:30,27.22,27.72,27.1,27.59,2546666
2016-01-06T15:30,27.58,27.79,27.37,27.68,2092991
2016-01-06T16:30,27.69,27.69,27.51,27.55,851446
2016-01-06T17:30,27.55,27.66,27.36,27.43,864439
2016-01-06T18:30,27.43,27.55,27.12,27.19,1473072
2016-01-06T19:30,27.19,27.21,26.87,27.1,2117157
2016-01-06T20:30,27.1,27.2,27.09,27.18,1864930
2016-01-07T14:30,26.64,27.14,26.55,27.03,2397786
2016-01-07T15:30,27.03,27.43,27,27.22,1843661
2016-01-07T16:30,27.22,27.32,26.98,27.09,1011427
2016-01-07T17:30,27.09,27.11,26.77,26.77,1085781
2016-01-07T18:30,26.77,26.9,26.71,26.79,1100168
2016-01-07T19:30,26.79,26.97,26.57,26.58,1594155
2016-01-07T20:30,26.58,26.86,26.57,26.76,1500489
2016-01-08T14:30,26.85,26.98,26.25,26.41,1614975
2016-01-08T15:30,26.4,26.52,26.33,26.4,1218877
2016-01-08T16:30,26.41,26.7,26.24,26.69,1350414
2016-01-08T17:30,26.68,26.72,26.32,26.34,1011625
2016-01-08T18:30,26.34,26.55,26.34,26.49,1116940
2016-01-08T19:30,26.48,26.59,26.34,26.54,1350998
2016-01-08T20:30,26.53,26.54,26.32,26.37,2122235
2016-01-11T14:30,26.37,26.42,25.97,26.01,1709649
2016-01-11T15:30,26.02,26.16,25.55,25.7,1724524
2016-01-11T16:30,25.7,25.81,25.4,25.42,1283805
2016-01-11T17:30,25.42,25.51,25.18,25.19,1252304
2016-01-11T18:30,25.19,25.4,25.06,25.37,2054136
2016-01-11T19:30,25.38,25.52,25.28,25.49,2005394
2016-01-11T20:30,25.49,25.76,25.49,25.63,2522299
2016-01-12T14:30,25.98,26.09,25.43,25.47,1648302
2016-01-12T15:30,25.46,25.69,25.2,25.23,1165070
2016-01-12T16:30,25.23,25.51,25.08,25.13,1581356
2016-01-12T17:30,25.13,25.22,24.89,24.97,1197500
2016-01-12T18:30,24.98,25.2,24.88,25.08,994958
2016-01-12T19:30,25.08,25.43,24.99,25.38,1934974
2016-01-12T20:30,25.38,25.62,25.35,25.58,1926776
2016-01-13T14:30,25.85,26.08,25.43,25.49,2230052
2016-01-13T15:30,25.48,25.49,25.12,25.28,2376442
2016-01-13T16:30,25.28,25.35,25.03,25.2,1783744
2016-01-13T17:30,25.2,25.37,25.17,25.31,1599063
2016-01-13T18:30,25.31,25.36,25.15,25.23,1401952
2016-01-13T19:30,25.22,25.24,24.94,25.01,2251543
2016-01-13T20:30,25,25.05,24.7,24.75,2901371
2016-01-14T14:30,24.93,25.09,24.09,25.09,3123485
2016-01-14T15:30,25.07,25.2,24.68,24.76,1914679
2016-01-14T16:30,24.77,25.35,24.77,25.33,1539417
2016-01-14T17:30,25.34,25.75,25.27,25.67,1354138
2016-01-14T18:30,25.68,25.73,25.48,25.68,1336524
2016-01-14T19:30,25.68,26.05,25.6,25.92,1977567
2016-01-14T20:30,25.92,25.94,25.73,25.87,2056151
2016-01-15T14:30,24.7,25.43,24.67,25.16,2718915
2016-01-15T15:30,25.16,25.31,24.98,25.14,1611829
2016-01-15T16:30,25.13,25.21,24.96,25.02,1160747
2016-01-15T17:30,25.02,25.12,24.89,25,1318682
2016-01-15T18:30,25,25.11,24.97,24.99,1418995
2016-01-15T19:30,24.99,25.18,24.94,25.11,1624259
2016-01-15T20:30,25.12,25.12,24.98,25.07,1837666
2016-01-19T14:30,25.11,25.19,24.58,24.94,2354802
2016-01-19T15:30,24.94,25,24.62,24.81,2326486
2016-01-19T16:30,24.81,24.9,24.55,24.65,1840667
2016-01-19T17:30,24.64,24.79,24.51,24.59,1421457
2016-01-19T18:30,24.59,24.64,24.08,24.1,2236758
2016-01-19T19:30,24.11,24.2,23.87,24.18,2302587
2016-01-19T20:30,24.18,24.3,24.08,24.21,2131765
2016-01-20T14:30,23.6,23.67,22.76,22.86,4035748
2016-01-20T15:30,22.86,22.99,22.47,22.91,3886800
2016-01-20T16:30,22.9,23,22.56,22.63,1550768
2016-01-20T17:30,22.62,22.86,22.51,22.69,1868797
2016-01-20T18:30,22.69,23.15,22.69,22.99,3573503
2016-01-20T19:30,22.99,23.43,22.81,23.4,2948687
2016-01-20T20:30,23.39,23.41,23.12,23.14,3021189
2016-01-21T14:30,22.94,23.56,22.86,23.41,2536580
2016-01-21T15:30,23.4,23.66,23.21,23.48,2555491
2016-01-21T16:30,23.47,23.96,23.47,23.73,2271290
2016-01-21T17:30,23.74,24.02,23.65,23.82,1601367
2016-01-21T18:30,23.82,23.98,23.59,23.7,1484697
2016-01-21T19:30,23.71,24.08,23.7,23.9,2031675
2016-01-21T20:30,23.9,23.97,23.79,23.8,1862378
2016-01-22T14:30,24.75,24.91,24.16,24.49,4184423
2016-01-22T15:30,24.5,24.51,23.89,24.05,2489480
2016-01-22T16:30,24.05,24.33,23.72,24.29,2380969
2016-01-22T17:30,24.29,24.47,24.19,24.34,1674983
2016-01-22T18:30,24.34,24.5,24.24,24.34,2050432
2016-01-22T19:30,24.34,24.47,24.27,24.44,1753038
2016-01-22T20:30,24.44,24.62,24.36,24.53,2976944
2016-01-25T14:30,24.49,24.92,23.92,24.72,4872027
2016-01-25T15:30,24.73,24.79,24.22,24.32,2634577
2016-01-25T16:30,24.31,24.42,24.1,24.38,1766394
2016-01-25T17:30,24.38,24.43,24.15,24.22,1592814
2016-01-25T18:30,24.21,24.23,23.9,23.95,1770864
2016-01-25T19:30,23.96,24.21,23.87,23.89,2526047
2016-01-25T20:30,23.89,23.9,23.76,23.8,2654289
2016-01-26T14:30,24.01,24.06,23.18,23.56,3254145
2016-01-26T15:30,23.56,23.64,23.42,23.53,3591501
2016-01-26T16:30,23.53,23.84,23.42,23.74,2267688
2016-01-26T17:30,23.74,23.79,23.59,23.65,2430104
2016-01-26T18:30,23.65,23.68,23.4,23.51,1827093
2016-01-26T19:30,23.52,23.53,23.3,23.36,1821481
