date,open,high,low,close,volume
2016-01-04T14:30,100.36,100.94,99.85,100.26,1797817
2016-01-04T15:30,100.25,100.45,99.96,100.07,941608
2016-01-04T16:30,100.06,100.3,99.96,100.19,699824
2016-01-04T17:30,100.18,100.82,100.12,100.54,482937
2016-01-04T18:30,100.53,100.84,100.42,100.68,501967
2016-01-04T19:30,100.67,100.68,100.19,100.26,794569
2016-01-04T20:30,100.26,101.04,100.26,101.04,1349402
2016-01-05T14:30,101.27,101.77,100.76,100.78,953510
2016-01-05T15:30,100.77,101.31,100.64,100.94,504761
2016-01-05T16:30,100.94,101.04,100.31,100.57,736799
2016-01-05T17:30,100.56,100.8,100.41,100.7,368651
2016-01-05T18:30,100.7,101.21,100.67,101.08,384425
2016-01-05T19:30,101.06,101.11,100.5,100.7,674416
2016-01-05T20:30,100.69,100.87,100.6,100.6,1014651
2016-01-06T14:30,99.5,100.18,99.16,100.15,1654749
2016-01-06T15:30,100.13,100.15,99.72,100.09,758363
2016-01-06T16:30,100.11,100.19,99.78,99.88,590977
2016-01-06T17:30,99.87,100.03,99.69,99.69,576267
2016-01-06T18:30,99.69,99.88,99.58,99.63,706805
2016-01-06T19:30,99.63,99.7,99.2,99.45,1472454
2016-01-06T20:30,99.45,99.71,99.32,99.61,1162362
2016-01-07T14:30,97.9,98.33,97.54,98.17,1901659
2016-01-07T15:30,98.2,98.64,98.04,98.17,907662
2016-01-07T16:30,98.17,98.38,97.88,97.95,608599
2016-01-07T17:30,97.95,98.01,97.44,97.45,1079767
2016-01-07T18:30,97.44,97.47,96.73,96.74,1421052
2016-01-07T19:30,96.73,97.24,96.21,96.21,4144898
2016-01-07T20:30,96.23,97.15,96.18,96.77,1878988
2016-01-08T14:30,97.53,97.6,96.48,96.79,1687334
2016-01-08T15:30,96.8,97.22,96.63,96.74,609323
2016-01-08T16:30,96.74,97.2,96.3,97.18,881201
2016-01-08T17:30,97.16,97.16,96.29,96.39,552750
2016-01-08T18:30,96.37,96.51,96.04,96.09,826432
2016-01-08T19:30,96.08,96.43,95.89,95.94,785663
2016-01-08T20:30,95.94,95.95,95.26,95.53,1248093
2016-01-11T14:30,96.32,97.02,96.18,96.69,1475547
2016-01-11T15:30,96.69,97.1,96.53,96.78,878569
2016-01-11T16:30,96.77,97.25,96.57,96.87,647018
2016-01-11T17:30,96.85,97.01,96.14,96.19,559518
2016-01-11T18:30,96.17,96.35,95.71,96.18,657143
2016-01-11T19:30,96.18,96.56,95.74,96.51,1029591
2016-01-11T20:30,96.54,97.15,96.52,97,1275040
2016-01-12T14:30,97.79,99.35,97.65,98.25,1616682
2016-01-12T15:30,98.25,98.5,97.97,98.04,639354
2016-01-12T16:30,98.01,98.14,97.7,97.96,539370
2016-01-12T17:30,97.96,98.26,97.58,98.01,461731
2016-01-12T18:30,98,98.14,97.06,97.43,635902
2016-01-12T19:30,97.48,98.53,97.39,98.28,762020
2016-01-12T20:30,98.25,98.6,98.11,98.34,734926
