date,open,high,low,close,volume
2016-01-04T14:30,1.853,1.881,1.824,1.833,1178150
2016-01-04T15:30,1.833,1.843,1.824,1.833,747303
2016-01-04T16:30,1.833,1.848,1.805,1.843,1051796
2016-01-04T17:30,1.843,1.862,1.833,1.858,422093
2016-01-04T18:30,1.862,1.862,1.824,1.833,791070
2016-01-04T19:30,1.833,1.853,1.824,1.843,622098
2016-01-04T20:30,1.843,1.843,1.814,1.824,872369
2016-01-05T14:30,1.824,1.853,1.805,1.824,739559
2016-01-05T15:30,1.829,1.829,1.785,1.795,1157765
2016-01-05T16:30,1.8,1.814,1.785,1.795,855639
2016-01-05T17:30,1.795,1.805,1.785,1.785,180350
2016-01-05T18:30,1.785,1.824,1.785,1.805,1126389
2016-01-05T19:30,1.805,1.814,1.795,1.8,506113
2016-01-05T20:30,1.795,1.805,1.795,1.805,348700
2016-01-06T14:30,1.824,1.862,1.814,1.814,1742433
2016-01-06T15:30,1.814,1.824,1.795,1.814,1031078
2016-01-06T16:30,1.814,1.824,1.805,1.814,867849
2016-01-06T17:30,1.814,1.824,1.795,1.795,483847
2016-01-06T18:30,1.795,1.814,1.795,1.8,522120
2016-01-06T19:30,1.8,1.814,1.785,1.809,842434
2016-01-06T20:30,1.809,1.814,1.8,1.805,771352
2016-01-07T14:30,1.833,1.843,1.79,1.8,2311608
2016-01-07T15:30,1.805,1.814,1.785,1.805,515863
2016-01-07T16:30,1.805,1.872,1.797,1.872,2244334
2016-01-07T17:30,1.862,1.92,1.856,1.92,2716965
2016-01-07T18:30,1.92,1.929,1.893,1.91,1938984
2016-01-07T19:30,1.905,1.929,1.881,1.881,1080544
2016-01-07T20:30,1.881,1.891,1.881,1.891,693382
2016-01-08T14:30,1.833,1.862,1.814,1.843,1135002
2016-01-08T15:30,1.843,1.857,1.824,1.833,538209
2016-01-08T16:30,1.829,1.862,1.824,1.833,715697
2016-01-08T17:30,1.843,1.843,1.795,1.805,1771719
2016-01-08T18:30,1.805,1.833,1.785,1.814,1616107
2016-01-08T19:30,1.824,1.833,1.805,1.824,710584
2016-01-08T20:30,1.819,1.833,1.805,1.824,1037773
2016-01-11T14:30,1.824,1.833,1.747,1.752,1176447
2016-01-11T15:30,1.752,1.766,1.747,1.747,791049
2016-01-11T16:30,1.747,1.757,1.728,1.737,626368
2016-01-11T17:30,1.737,1.747,1.718,1.718,704177
2016-01-11T18:30,1.723,1.747,1.718,1.747,399583
2016-01-11T19:30,1.747,1.747,1.728,1.733,1055002
2016-01-11T20:30,1.728,1.747,1.728,1.742,758390
2016-01-12T14:30,1.728,1.737,1.632,1.637,1941569
2016-01-12T15:30,1.642,1.651,1.603,1.603,2464682
2016-01-12T16:30,1.612,1.612,1.584,1.594,953458
2016-01-12T17:30,1.598,1.613,1.565,1.574,1030008
2016-01-12T18:30,1.574,1.622,1.555,1.618,1881607
2016-01-12T19:30,1.618,1.622,1.613,1.618,624484
2016-01-12T20:30,1.618,1.632,1.613,1.618,1076110
2016-01-13T14:30,1.632,1.699,1.622,1.685,973170
2016-01-13T15:30,1.685,1.689,1.67,1.68,541358
2016-01-13T16:30,1.675,1.68,1.67,1.675,499583
2016-01-13T17:30,1.675,1.68,1.642,1.646,403519
2016-01-13T18:30,1.646,1.689,1.642,1.685,1336691
2016-01-13T19:30,1.685,1.689,1.661,1.675,544036
2016-01-13T20:30,1.675,1.68,1.67,1.675,425248
2016-01-14T14:30,1.68,1.694,1.594,1.598,869370
2016-01-14T15:30,1.598,1.613,1.565,1.603,1176838
2016-01-14T16:30,1.603,1.603,1.594,1.603,283362
2016-01-14T17:30,1.594,1.603,1.574,1.574,652289
2016-01-14T18:30,1.584,1.613,1.574,1.613,687952
2016-01-14T19:30,1.613,1.622,1.594,1.598,498778
2016-01-14T20:30,1.603,1.603,1.584,1.584,1124927
2016-01-15T14:30,1.622,1.622,1.565,1.565,2146519
2016-01-15T15:30,1.565,1.603,1.546,1.579,1252557
2016-01-15T16:30,1.579,1.603,1.574,1.594,465567
2016-01-15T17:30,1.589,1.603,1.574,1.579,1089142
2016-01-15T18:30,1.579,1.594,1.555,1.57,1187397
2016-01-15T19:30,1.57,1.574,1.555,1.56,309800
2016-01-15T20:30,1.555,1.565,1.555,1.555,444616
2016-01-19T14:30,1.594,1.603,1.45,1.45,2108855
2016-01-19T15:30,1.45,1.459,1.421,1.421,1246108
2016-01-19T16:30,1.421,1.43,1.392,1.402,1078744
2016-01-19T17:30,1.392,1.459,1.392,1.459,1196041
2016-01-19T18:30,1.457,1.459,1.44,1.44,321478
2016-01-19T19:30,1.445,1.45,1.44,1.445,292054
2016-01-19T20:30,1.445,1.459,1.44,1.45,731989
2016-01-20T14:30,1.44,1.469,1.421,1.426,823032
2016-01-20T15:30,1.43,1.435,1.402,1.411,1478098
2016-01-20T16:30,1.416,1.421,1.411,1.416,226286
2016-01-20T17:30,1.416,1.43,1.411,1.416,490318
2016-01-20T18:30,1.416,1.498,1.411,1.483,1779715
2016-01-20T19:30,1.483,1.498,1.469,1.498,429837
2016-01-20T20:30,1.493,1.498,1.488,1.498,475989
2016-01-21T14:30,1.459,1.478,1.43,1.43,526352
2016-01-21T15:30,1.44,1.44,1.421,1.43,658223
2016-01-21T16:30,1.426,1.488,1.421,1.474,828585
2016-01-21T17:30,1.478,1.488,1.459,1.47,740946
2016-01-21T18:30,1.478,1.507,1.469,1.478,568093
2016-01-21T19:30,1.487,1.517,1.478,1.498,338612
2016-01-21T20:30,1.498,1.498,1.488,1.488,306742
2016-01-22T14:30,1.478,1.584,1.478,1.584,1009323
2016-01-22T15:30,1.583,1.584,1.517,1.536,889902
2016-01-22T16:30,1.526,1.536,1.498,1.522,775303
2016-01-22T17:30,1.522,1.526,1.488,1.488,323572
2016-01-22T18:30,1.488,1.507,1.478,1.488,916150
2016-01-22T19:30,1.488,1.507,1.488,1.502,496402
2016-01-22T20:30,1.498,1.517,1.498,1.517,565056
2016-01-25T14:30,1.546,1.602,1.536,1.589,1220222
2016-01-25T15:30,1.594,1.594,1.555,1.584,918366
2016-01-25T16:30,1.584,1.632,1.574,1.627,549263
2016-01-25T17:30,1.632,1.642,1.613,1.613,431261
2016-01-25T18:30,1.618,1.642,1.594,1.627,1423580
2016-01-25T19:30,1.627,1.632,1.603,1.603,427551
2016-01-25T20:30,1.603,1.622,1.594,1.594,1578890
2016-01-26T14:30,1.622,1.67,1.613,1.656,1560691
2016-01-26T15:30,1.661,1.689,1.651,1.685,1102485
2016-01-26T16:30,1.685,1.699,1.67,1.692,457441
2016-01-26T17:30,1.694,1.723,1.68,1.713,847597
2016-01-26T18:30,1.713,1.737,1.699,1.709,2084891
2016-01-26T19:30,1.709,1.718,1.68,1.685,904156
2016-01-26T20:30,1.685,1.699,1.68,1.699,792334
2016-01-27T14:30,1.689,1.737,1.67,1.699,714001
2016-01-27T15:30,1.704,1.752,1.699,1.747,688590
2016-01-27T16:30,1.747,1.766,1.728,1.748,1048250
2016-01-27T17:30,1.747,1.757,1.709,1.713,394067
2016-01-27T18:30,1.709,1.747,1.699,1.709,448018
2016-01-27T19:30,1.709,1.728,1.689,1.718,492761
2016-01-27T20:30,1.718,1.728,1.704,1.728,729937
2016-01-28T14:30,1.689,1.728,1.661,1.718,1112012
2016-01-28T15:30,1.718,1.718,1.68,1.699,690837
2016-01-28T16:30,1.69,1.709,1.68,1.68,425706
2016-01-28T17:30,1.68,1.709,1.68,1.704,409557
2016-01-28T18:30,1.704,1.709,1.661,1.67,646200
2016-01-28T19:30,1.675,1.68,1.651,1.651,491051
2016-01-28T20:30,1.651,1.67,1.651,1.661,640151
2016-01-29T14:30,1.661,1.716,1.651,1.699,1034356
2016-01-29T15:30,1.704,1.752,1.689,1.737,1295967
2016-01-29T16:30,1.737,1.757,1.713,1.748,571178
2016-01-29T17:30,1.747,1.766,1.737,1.752,724401
2016-01-29T18:30,1.747,1.747,1.709,1.737,1008611
2016-01-29T19:30,1.742,1.766,1.728,1.766,390528
2016-01-29T20:30,1.766,1.79,1.757,1.776,990317
2016-02-01T14:30,1.814,1.824,1.795,1.795,731213
2016-02-01T15:30,1.798,1.824,1.795,1.809,874484
2016-02-01T16:30,1.809,1.814,1.785,1.785,484125
2016-02-01T17:30,1.785,1.814,1.776,1.814,298408
2016-02-01T18:30,1.814,1.814,1.788,1.805,421185
2016-02-01T19:30,1.805,1.824,1.805,1.819,474324
2016-02-01T20:30,1.824,1.843,1.814,1.843,810132
2016-02-02T14:30,1.805,1.843,1.785,1.805,862961
2016-02-02T15:30,1.795,1.814,1.785,1.805,536811
2016-02-02T16:30,1.805,1.814,1.766,1.776,668692
2016-02-02T17:30,1.776,1.805,1.776,1.805,280519
2016-02-02T18:30,1.805,1.814,1.752,1.758,860030
2016-02-02T19:30,1.766,1.785,1.757,1.785,381875
2016-02-02T20:30,1.785,1.795,1.776,1.785,400004
2016-02-03T14:30,1.805,1.853,1.805,1.833,858296
2016-02-03T15:30,1.824,1.872,1.795,1.862,1412692
2016-02-03T16:30,1.862,1.901,1.853,1.881,1103557
2016-02-03T17:30,1.872,1.891,1.853,1.872,962617
2016-02-03T18:30,1.872,1.92,1.862,1.905,2321332
2016-02-03T19:30,1.891,1.91,1.872,1.891,662801
2016-02-03T20:30,1.891,1.91,1.891,1.891,899250
2016-02-04T14:30,1.949,2.016,1.939,1.981,2689516
2016-02-04T15:30,1.987,2.016,1.977,1.997,1039340
2016-02-04T16:30,1.997,2.016,1.977,2.016,640340
2016-02-04T17:30,2.016,2.016,1.987,1.997,614222
2016-02-04T18:30,1.997,2.006,1.939,1.973,726482
2016-02-04T19:30,1.977,1.997,1.968,1.992,522002
2016-02-04T20:30,1.987,1.992,1.949,1.977,1271956
2016-02-05T14:30,1.949,2.016,1.901,1.982,2507463
2016-02-05T15:30,1.977,2.025,1.968,2.021,1081537
2016-02-05T16:30,2.016,2.054,2.016,2.054,664827
2016-02-05T17:30,2.054,2.064,2.045,2.049,517510
2016-02-05T18:30,2.054,2.064,2.045,2.049,496090
2016-02-05T19:30,2.049,2.102,2.045,2.088,1640746
2016-02-05T20:30,2.088,2.102,2.083,2.102,1435151
2016-02-08T14:30,2.141,2.237,2.131,2.15,3097545
2016-02-08T15:30,2.145,2.208,2.121,2.193,1370582
2016-02-08T16:30,2.193,2.217,2.15,2.165,678603
2016-02-08T17:30,2.169,2.208,2.16,2.179,865606
2016-02-08T18:30,2.179,2.198,2.141,2.165,1606471
2016-02-08T19:30,2.165,2.189,2.131,2.141,999978
2016-02-08T20:30,2.145,2.16,2.131,2.141,1071829
2016-02-09T14:30,2.16,2.179,2.064,2.102,2051057
2016-02-09T15:30,2.102,2.16,2.073,2.073,1138668
2016-02-09T16:30,2.073,2.131,2.073,2.121,1660505
2016-02-09T17:30,2.117,2.145,2.112,2.122,461006
2016-02-09T18:30,2.121,2.141,2.083,2.088,676953
2016-02-09T19:30,2.093,2.102,1.997,2.011,2206094
2016-02-09T20:30,2.011,2.03,1.977,1.997,1009928
2016-02-10T14:30,1.977,1.997,1.872,1.881,2205655
2016-02-10T15:30,1.886,1.949,1.872,1.92,2140964
2016-02-10T16:30,1.925,1.997,1.92,1.968,1071771
2016-02-10T17:30,1.968,2.035,1.958,2.006,1539533
2016-02-10T18:30,2.016,2.025,1.987,2.006,697457
2016-02-10T19:30,2.006,2.025,1.987,1.997,837903
2016-02-10T20:30,1.997,2.035,1.987,2.016,1231247
2016-02-11T14:30,2.16,2.169,2.082,2.131,2544095
2016-02-11T15:30,2.131,2.217,2.121,2.208,2559254
2016-02-11T16:30,2.217,2.232,2.179,2.213,2909360
2016-02-11T17:30,2.208,2.217,2.064,2.093,2832475
2016-02-11T18:30,2.096,2.198,2.083,2.198,1294336
