date,open,high,low,close,volume
2016-01-04T14:30,55.44,55.98,54.235,54.235,64481
2016-01-04T15:30,54.18,54.27,53.6,53.85,28033
2016-01-04T16:30,53.85,54.27,53.63,53.74,10108
2016-01-04T17:30,53.83,54.49,53.6901,54.46,21871
2016-01-04T18:30,54.46,54.86,54.46,54.61,16178
2016-01-04T19:30,54.63,54.63,54.27,54.57,31724
2016-01-04T20:30,54.53,54.89,54.48,54.87,53484
2016-01-05T14:30,54.77,54.96,53.8,54.69,22964
2016-01-05T15:30,54.67,54.82,54.29,54.66,28771
2016-01-05T16:30,54.71,54.84,54.45,54.75,59584
2016-01-05T17:30,54.74,54.81,54.58,54.73,24816
2016-01-05T18:30,54.65,54.8,54.52,54.7,12494
2016-01-05T19:30,54.63,54.8,54.49,54.69,32027
2016-01-05T20:30,54.65,54.73,54.51,54.61,41715
2016-01-06T14:30,53.91,54.94,53.51,54.8,40821
2016-01-06T15:30,54.87,54.87,54.3515,54.59,25965
2016-01-06T16:30,54.6055,54.88,54.36,54.55,13326
2016-01-06T17:30,54.54,54.68,54.45,54.57,19381
2016-01-06T18:30,54.46,54.6099,54.26,54.38,17882
2016-01-06T19:30,54.37,54.37,53.81,54.32,18509
2016-01-06T20:30,54.38,54.75,54.27,54.65,51212
2016-01-07T14:30,53.75,53.8388,53.01,53.48,31454
2016-01-07T15:30,53.4001,53.665,53.12,53.15,35554
2016-01-07T16:30,53.22,53.31,53.02,53.1688,26414
2016-01-07T17:30,53.17,53.2,52.85,52.94,31221
2016-01-07T18:30,52.8825,53.04,52.73,52.735,32740
2016-01-07T19:30,52.76,52.86,52.42,52.47,14135
2016-01-07T20:30,52.5,52.845,52.49,52.75,25686
2016-01-08T14:30,52.91,53.7174,52.75,53.4,56678
2016-01-08T15:30,53.38,53.6032,52.57,52.77,48819
2016-01-08T16:30,52.83,53.62,52.675,53.62,46359
2016-01-08T17:30,53.595,53.7299,52.57,52.65,12996
2016-01-08T18:30,52.695,52.95,52.52,52.73,24247
2016-01-08T19:30,52.7001,53.03,52.61,52.95,37622
2016-01-08T20:30,52.99,53.2,52.55,52.66,58839
2016-01-11T14:30,52.47,53.33,52.33,52.64,23642
2016-01-11T15:30,52.7,52.9,52.44,52.79,29609
2016-01-11T16:30,52.75,53.3,52.63,52.69,21135
2016-01-11T17:30,52.71,52.7886,52.3,52.31,20644
2016-01-11T18:30,52.34,52.82,51.8065,52.82,17815
2016-01-11T19:30,52.725,53.3,52.475,53.27,34251
2016-01-11T20:30,53.28,53.97,53.28,53.92,75317
2016-01-12T14:30,54.39,54.9899,53.3,53.65,51853
2016-01-12T15:30,53.635,53.965,53.255,53.255,28062
2016-01-12T16:30,53.25,53.25,52.81,52.91,8108
2016-01-12T17:30,52.94,53.02,52.54,52.63,11872
2016-01-12T18:30,52.705,52.88,52.14,52.33,26921
2016-01-12T19:30,52.35,53.015,52.24,52.73,16081
2016-01-12T20:30,52.78,53.05,52.51,53.01,35977
2016-01-13T14:30,53.26,53.59,53.01,53.1,21271
2016-01-13T15:30,53.155,53.17,52.4,52.4,25902
2016-01-13T16:30,52.34,52.34,51.17,51.26,20754
2016-01-13T17:30,51.15,51.2,50.66,50.66,27941
2016-01-13T18:30,50.58,50.625,49.95,50.02,28022
2016-01-13T19:30,50.02,50.09,49.166,49.905,27161
2016-01-13T20:30,50.02,50.25,49.685,49.97,51775
2016-01-14T14:30,49.98,50.495,49.2,50,65862
2016-01-14T15:30,50.095,51.05,49.9,50.28,50674
2016-01-14T16:30,50.45,50.77,50.2,50.35,28991
2016-01-14T17:30,50.3,50.66,50.17,50.34,33210
2016-01-14T18:30,50.395,50.61,49.27,49.37,54480
2016-01-14T19:30,49.4,50.12,49.3,49.87,69593
2016-01-14T20:30,49.81,50.91,49.81,50.5,69994
2016-01-15T14:30,49.25,49.64,47.87,48.73,48275
2016-01-15T15:30,48.73,49,48.305,48.65,30400
2016-01-15T16:30,48.75,48.75,48,48.3816,22768
2016-01-15T17:30,48.38,49.37,48.12,48.445,34614
2016-01-15T18:30,48.4,48.95,48.23,48.56,20032
2016-01-15T19:30,48.56,49.89,48.48,49.89,30055
2016-01-15T20:30,49.76,50.1,49.69,50.04,46712
2016-01-19T14:30,50.48,50.488,48.06,48.105,61789
2016-01-19T15:30,48.105,48.84,47.7001,48.84,48613
2016-01-19T16:30,48.92,49.36,48.24,48.68,32689
2016-01-19T17:30,48.71,48.79,48.19,48.63,22367
2016-01-19T18:30,48.755,48.755,47.567,47.67,42676
2016-01-19T19:30,47.57,47.57,46.9043,47.35,28652
2016-01-19T20:30,47.42,47.65,47.32,47.34,30866
2016-01-20T14:30,47.03,47.07,43.71,43.87,55131
2016-01-20T15:30,43.91,44.75,43.85,44.54,26928
2016-01-20T16:30,44.61,44.86,43.97,43.99,24885
2016-01-20T17:30,44.07,44.99,43.72,44.9013,30595
2016-01-20T18:30,44.95,46.02,44.9,45.57,21660
2016-01-20T19:30,45.65,48.78,45.47,48.75,76373
2016-01-20T20:30,48.74,48.76,47.52,47.99,71795
2016-01-21T14:30,47.83,48.41,47.12,47.815,22524
2016-01-21T15:30,47.86,48.27,47.51,47.845,18155
2016-01-21T16:30,47.76,48.65,47.6,48.61,18304
2016-01-21T17:30,48.61,49.04,48.475,48.91,27285
2016-01-21T18:30,48.84,48.86,48.115,48.74,88057
2016-01-21T19:30,48.78,49.02,48.58,48.83,71313
2016-01-21T20:30,48.91,49.1,48.67,48.67,61322
2016-01-22T14:30,49.09,49.64,48.62,49.49,40034
2016-01-22T15:30,49.5,49.86,49.26,49.49,19214
2016-01-22T16:30,49.54,49.98,49.305,49.715,30285
