date,open,high,low,close,volume
2020-04-01T13:30,15.17,15.17,12.52,14.12,226129
2020-04-01T14:30,14.09,14.09,13.2,13.44,243592
2020-04-01T15:30,13.44,13.45,13.41,13.41,88879
2020-04-01T16:30,13.41,13.42,12.83,13.25,299151
2020-04-01T17:30,13.25,13.37,13.12,13.26,229453
2020-04-01T18:30,13.26,13.26,12.86,12.93,278566
2020-04-01T19:30,12.94,13.2,12.59,12.97,767416
2020-04-02T13:30,12.78,13.5,12.57,13.23,493636
2020-04-02T14:30,13.25,13.45,12.76,12.76,480260
2020-04-02T15:30,12.77,12.83,12.62,12.63,304016
2020-04-02T16:30,12.63,12.64,12.05,12.05,457367
2020-04-02T17:30,12.05,12.06,11.82,11.95,477280
2020-04-02T18:30,11.95,12.1,11.94,12.08,598134
2020-04-02T19:30,12.08,12.41,12.04,12.3,850822
2020-04-03T13:30,11.92,12.44,11.82,12.04,473259
2020-04-03T14:30,12.06,12.28,11.91,11.99,322946
2020-04-03T15:30,11.98,12.06,11.67,11.77,406838
2020-04-03T16:30,11.77,12.07,11.76,11.94,450619
2020-04-03T17:30,11.94,12.11,11.92,12.07,294951
2020-04-03T18:30,12.07,12.25,12.01,12.18,408862
2020-04-03T19:30,12.17,12.5,12.13,12.34,639624
2020-04-06T13:30,12.88,13.79,12.84,13.55,679117
2020-04-06T14:30,13.55,13.6,12.7,13.2,480089
2020-04-06T15:30,13.2,13.52,13.11,13.43,276857
2020-04-06T16:30,13.44,13.45,13.05,13.12,391194
2020-04-06T17:30,13.11,13.33,12.71,12.71,797561
2020-04-06T18:30,12.72,12.73,12.15,12.44,900147
2020-04-06T19:30,12.44,12.53,12.35,12.49,1697364
2020-04-07T13:30,13.26,13.76,12.86,13.32,527490
2020-04-07T14:30,13.31,13.54,12.97,13.12,1339527
2020-04-07T15:30,13.12,13.31,12.98,13,361721
2020-04-07T16:30,13,13.07,12.77,12.78,420684
2020-04-07T17:30,12.77,12.85,12.54,12.57,547462
2020-04-07T18:30,12.57,12.58,11.94,11.95,747666
2020-04-07T19:30,11.95,12.07,11.83,11.93,687632
2020-04-08T13:30,12.31,12.72,12.13,12.7,671372
2020-04-08T14:30,12.69,12.92,12.4,12.91,482604
2020-04-08T15:30,12.89,13,12.6,12.66,1041432
2020-04-08T16:30,12.66,13.19,12.66,13.18,2099478
2020-04-08T17:30,13.18,13.19,12.72,12.86,416906
2020-04-08T18:30,12.87,12.93,12.72,12.75,452267
2020-04-08T19:30,12.75,12.98,12.74,12.88,1041397
2020-04-09T13:30,13.49,13.95,13.3,13.86,473198
2020-04-09T14:30,13.86,13.93,13.48,13.75,318622
2020-04-09T15:30,13.73,13.8,13.55,13.61,199681
2020-04-09T16:30,13.61,13.73,13.55,13.56,225652
2020-04-09T17:30,13.58,13.65,13.25,13.25,288011
2020-04-09T18:30,13.25,13.34,13.02,13.13,405126
2020-04-09T19:30,13.13,13.29,13.01,13.07,611434
2020-04-13T13:30,12.97,13.18,12.32,12.57,339097
2020-04-13T14:30,12.56,12.65,12.13,12.31,229684
2020-04-13T15:30,12.29,12.58,12.03,12.34,437671
2020-04-13T16:30,12.34,12.54,12.31,12.36,404914
2020-04-13T17:30,12.36,12.49,12.31,12.34,1082983
2020-04-13T18:30,12.35,12.45,12.27,12.34,429594
2020-04-13T19:30,12.34,12.44,12.32,12.39,643619
2020-04-14T13:30,12.64,12.86,11.87,12.16,840084
2020-04-14T14:30,12.18,12.25,11.79,11.94,620257
2020-04-14T15:30,11.94,12.24,11.93,12.16,841071
2020-04-14T16:30,12.16,12.18,12,12.06,572588
2020-04-14T17:30,12.07,12.22,12.06,12.15,428635
2020-04-14T18:30,12.16,12.2,11.86,12.02,730944
2020-04-14T19:30,12.01,12.15,11.97,12.02,598203
2020-04-15T13:30,11.86,11.92,10.34,10.39,1383401
2020-04-15T14:30,10.38,10.73,10.18,10.58,1018514
2020-04-15T15:30,10.58,10.68,10.54,10.66,778469
2020-04-15T16:30,10.66,10.84,10.65,10.74,906418
2020-04-15T17:30,10.74,11.01,10.74,10.93,970485
2020-04-15T18:30,10.93,11.13,10.92,11.06,754032
2020-04-15T19:30,11.05,11.32,11.02,11.14,1112530
2020-04-16T13:30,10.99,11.18,10.44,10.49,3887137
2020-04-16T14:30,10.49,10.64,10.38,10.45,903521
2020-04-16T15:30,10.45,10.48,10.32,10.33,546855
2020-04-16T16:30,10.33,10.48,10.24,10.42,581979
2020-04-16T17:30,10.41,10.43,10.25,10.36,415361
2020-04-16T18:30,10.37,10.65,10.36,10.57,702537
2020-04-16T19:30,10.57,10.65,10.54,10.58,669980
2020-04-17T13:30,11.08,11.52,11.05,11.08,4180021
2020-04-17T14:30,11.08,11.3,10.92,11.29,1560960
2020-04-17T15:30,11.3,11.41,11.14,11.26,515234
2020-04-17T16:30,11.26,11.43,11.23,11.34,771339
2020-04-17T17:30,11.34,11.38,11.15,11.22,575270
2020-04-17T18:30,11.21,11.28,11.17,11.2,859569
2020-04-17T19:30,11.21,11.5,11.18,11.44,1388918
2020-04-20T13:30,11.45,11.77,11.22,11.65,570760
2020-04-20T14:30,11.65,11.94,11.55,11.82,468108
2020-04-20T15:30,11.83,12.3,11.74,12.24,652524
2020-04-20T16:30,12.24,12.38,12.11,12.17,459365
2020-04-20T17:30,12.16,12.17,11.61,11.61,673844
2020-04-20T18:30,11.61,11.72,11.41,11.49,997791
