date,open,high,low,close,volume
2016-01-04T14:30,67.85,67.92,66.612,67,103502
2016-01-04T15:30,66.99,67.01,66.636,66.89,89192
2016-01-04T16:30,66.89,67.31,66.89,66.96,68488
2016-01-04T17:30,66.95,67.69,66.95,67.3,70628
2016-01-04T18:30,67.3,67.32,66.98,67.1,113895
2016-01-04T19:30,67.1,67.12,66.51,66.54,133138
2016-01-04T20:30,66.55,67.24,66.53,67.08,290804
2016-01-05T14:30,66.99,67.82,66.8,67.542,96099
2016-01-05T15:30,67.54,67.82,67.44,67.52,78735
2016-01-05T16:30,67.57,67.69,67.14,67.19,79166
2016-01-05T17:30,67.14,67.19,66.82,66.91,64257
2016-01-05T18:30,66.89,67.29,66.87,67.16,97108
2016-01-05T19:30,67.165,67.18,66.82,67.06,96908
2016-01-05T20:30,67.07,67.11,66.85,67.1,161483
2016-01-06T14:30,66.45,66.85,66.11,66.8042,140826
2016-01-06T15:30,66.81,67.39,66.51,67.275,143014
2016-01-06T16:30,67.35,67.69,67.17,67.21,89913
2016-01-06T17:30,67.21,67.27,66.9404,66.99,88581
2016-01-06T18:30,67,67.08,66.85,66.85,117852
2016-01-06T19:30,66.85,66.92,66.18,66.72,259504
2016-01-06T20:30,66.72,66.93,66.58,66.78,296533
2016-01-07T14:30,66.25,66.25,65.51,65.95,95476
2016-01-07T15:30,65.93,66.48,65.92,66.06,82910
2016-01-07T16:30,66.06,66.37,65.89,65.9,59384
2016-01-07T17:30,65.9,66.05,65.62,65.88,90187
2016-01-07T18:30,65.86,65.95,65.55,65.6,137581
2016-01-07T19:30,65.59,65.62,65.11,65.11,156357
2016-01-07T20:30,65.11,65.47,65.11,65.19,130046
2016-01-08T14:30,65.4,65.97,65.32,65.47,92185
2016-01-08T15:30,65.45,65.61,64.85,64.88,66200
2016-01-08T16:30,64.91,65.18,64.663,65.1301,91080
2016-01-08T17:30,65.11,65.11,64.77,64.89,93762
2016-01-08T18:30,64.89,65.12,64.85,64.91,49636
2016-01-08T19:30,64.89,65.1249,64.8601,65.07,106139
2016-01-08T20:30,65.06,65.29,64.95,65.08,208911
2016-01-11T14:30,65.13,65.59,64.78,64.92,188532
2016-01-11T15:30,65,65.27,64.68,64.83,184701
2016-01-11T16:30,64.805,65.025,64.74,64.9,158837
2016-01-11T17:30,64.9,65.05,64.67,64.68,254079
2016-01-11T18:30,64.73,64.79,64.04,64.19,208301
2016-01-11T19:30,64.17,64.38,63.95,64.38,170872
2016-01-11T20:30,64.4,64.72,64.31,64.58,234891
