date,open,high,low,close,volume
2016-01-04T14:30,55.35,55.93,54.93,55.79,413841
2016-01-04T15:30,55.78,55.78,55.2,55.46,232414
2016-01-04T16:30,55.44,55.61,55.28,55.42,216229
2016-01-04T17:30,55.42,55.84,55.25,55.78,195944
2016-01-04T18:30,55.79,56.1,55.77,56.02,274070
2016-01-04T19:30,56.03,56.03,55.71,55.87,328171
2016-01-04T20:30,55.87,56.19,55.87,56.11,486091
2016-01-05T14:30,56.32,56.68,55.91,55.93,275905
2016-01-05T15:30,55.93,56.22,55.83,55.87,226374
2016-01-05T16:30,55.86,55.95,55.47,55.57,177718
2016-01-05T17:30,55.57,55.68,55.37,55.42,319007
2016-01-05T18:30,55.42,55.77,55.39,55.73,244980
2016-01-05T19:30,55.73,55.74,55.57,55.64,220305
2016-01-05T20:30,55.63,55.64,55.39,55.52,477178
2016-01-06T14:30,54.69,55.16,54.5,55.15,409592
2016-01-06T15:30,55.15,55.15,54.53,54.78,306878
2016-01-06T16:30,54.79,54.79,54.34,54.4,164772
2016-01-06T17:30,54.4,54.52,54.24,54.37,226971
2016-01-06T18:30,54.37,54.47,54.21,54.36,239950
2016-01-06T19:30,54.37,54.37,53.96,54.28,265642
2016-01-06T20:30,54.27,54.4,54.2,54.32,345795
2016-01-07T14:30,53.23,53.48,52.48,53.23,431015
2016-01-07T15:30,53.25,53.43,53.19,53.36,218419
2016-01-07T16:30,53.34,53.36,53.13,53.2,131462
2016-01-07T17:30,53.19,53.2,52.7,52.84,209077
2016-01-07T18:30,52.85,52.98,52.67,52.83,325395
2016-01-07T19:30,52.82,52.98,52.51,52.55,308862
2016-01-07T20:30,52.54,52.93,52.53,52.71,291596
2016-01-08T14:30,52.99,53.16,52.7,52.91,225868
2016-01-08T15:30,52.93,52.98,52.61,52.67,176621
2016-01-08T16:30,52.67,53.12,52.51,53.12,157053
2016-01-08T17:30,53.11,53.11,52.68,52.74,153961
2016-01-08T18:30,52.73,52.85,52.59,52.62,182114
2016-01-08T19:30,52.59,52.77,52.47,52.51,226215
2016-01-08T20:30,52.49,52.5,52.09,52.19,347995
2016-01-11T14:30,52.51,52.84,52.18,52.64,390757
2016-01-11T15:30,52.66,52.82,51.99,52.06,306243
2016-01-11T16:30,52.05,52.25,51.94,52.03,216068
2016-01-11T17:30,52.03,52.16,51.94,51.95,156902
2016-01-11T18:30,51.97,52.16,51.83,52.12,195926
2016-01-11T19:30,52.13,52.39,51.99,52.36,270072
2016-01-11T20:30,52.38,52.6,52.37,52.39,326435
2016-01-12T14:30,52.95,53.53,52.71,52.75,357842
2016-01-12T15:30,52.73,52.89,52.32,52.34,146726
2016-01-12T16:30,52.33,52.86,52.31,52.57,241813
2016-01-12T17:30,52.59,52.62,52.34,52.38,145457
2016-01-12T18:30,52.41,52.64,52.38,52.6,241871
2016-01-12T19:30,52.61,53.31,52.59,53.25,274406
2016-01-12T20:30,53.25,53.38,53.15,53.25,358073
2016-01-13T14:30,53.63,53.91,53.48,53.6,365029
2016-01-13T15:30,53.57,53.57,53.16,53.44,225821
2016-01-13T16:30,53.44,53.61,53.4,53.49,518805
2016-01-13T17:30,53.48,53.48,53.03,53.2,341620
2016-01-13T18:30,53.21,53.25,52.81,52.91,256557
2016-01-13T19:30,52.9,52.9,52.22,52.43,431319
2016-01-13T20:30,52.42,52.49,52.22,52.29,324740
2016-01-14T14:30,52.44,52.53,51.49,52.52,384832
2016-01-14T15:30,52.5,53.17,52.49,52.75,205694
2016-01-14T16:30,52.79,52.93,52.66,52.84,146037
2016-01-14T17:30,52.85,53.29,52.85,53.15,115827
2016-01-14T18:30,53.18,53.19,52.98,53.05,127109
2016-01-14T19:30,53.07,53.32,53,53.25,291786
2016-01-14T20:30,53.25,53.25,52.89,52.96,310881
2016-01-15T14:30,51.51,52.69,51.45,52.56,596319
2016-01-15T15:30,52.55,52.8,52.15,52.24,207795
2016-01-15T16:30,52.23,52.31,51.65,51.74,155620
2016-01-15T17:30,51.74,52.31,51.66,52.22,245496
2016-01-15T18:30,52.22,52.63,52.18,52.3,250346
2016-01-15T19:30,52.32,52.94,52.27,52.8,331929
2016-01-15T20:30,52.8,52.82,52.58,52.65,420313
2016-01-19T14:30,53.29,53.48,52.72,53.08,277806
2016-01-19T15:30,53.08,53.13,52.43,52.67,294832
2016-01-19T16:30,52.67,52.82,52.12,52.27,249114
2016-01-19T17:30,52.24,52.36,51.95,51.95,402919
2016-01-19T18:30,51.97,52.01,51.2,51.25,472281
2016-01-19T19:30,51.25,51.48,50.91,51.44,749929
2016-01-19T20:30,51.44,51.67,51.35,51.45,533744
2016-01-20T14:30,50.82,50.82,49.27,49.45,507296
2016-01-20T15:30,49.44,49.45,48.7,48.9,539731
2016-01-20T16:30,48.89,48.97,47.99,48.04,477919
2016-01-20T17:30,48.04,48.45,47.91,48.33,411908
2016-01-20T18:30,48.32,49.2,48.31,49.02,486346
2016-01-20T19:30,49.02,50.29,48.86,50.27,472231
2016-01-20T20:30,50.28,50.29,49.62,49.76,685650
2016-01-21T14:30,49.94,49.96,48.89,49.45,645624
2016-01-21T15:30,49.47,50.24,49.36,49.89,441226
2016-01-21T16:30,49.92,50.51,49.86,50.48,269423
2016-01-21T17:30,50.49,50.55,49.86,49.89,185065
2016-01-21T18:30,49.86,50.22,49.57,49.74,294371
2016-01-21T19:30,49.75,50.1,49.67,49.71,355232
2016-01-21T20:30,49.71,49.96,49.68,49.68,489210
2016-01-22T14:30,50.28,51.71,50.19,51.47,335535
2016-01-22T15:30,51.47,51.51,50.78,50.99,246921
2016-01-22T16:30,51.01,51.02,50.68,50.92,147964
2016-01-22T17:30,50.94,51.16,50.89,51.03,135958
2016-01-22T18:30,51.03,51.4,51.02,51.27,142016
2016-01-22T19:30,51.27,51.37,51.14,51.34,246111
2016-01-22T20:30,51.33,51.44,51.19,51.35,238896
2016-01-25T14:30,50.93,51.31,50.6,51.12,219904
2016-01-25T15:30,51.11,51.19,50.3,50.59,281482
2016-01-25T16:30,50.58,50.61,50.29,50.33,225044
2016-01-25T17:30,50.33,50.37,50.07,50.1,391143
2016-01-25T18:30,50.1,50.2,49.86,50.1,337408
2016-01-25T19:30,50.1,50.33,49.82,49.84,361915
2016-01-25T20:30,49.84,49.87,49.62,49.69,398937
2016-01-26T14:30,50.07,50.6,49.85,50.6,517700
2016-01-26T15:30,50.59,51.08,50.56,50.91,314311
2016-01-26T16:30,50.91,51.29,50.82,51.26,188471
2016-01-26T17:30,51.26,51.36,50.97,51.28,172104
2016-01-26T18:30,51.28,51.37,51.18,51.27,184808
2016-01-26T19:30,51.27,51.48,51.18,51.34,262680
2016-01-26T20:30,51.35,51.56,51.28,51.48,325163
2016-01-27T14:30,51.24,51.74,51.09,51.09,300535
