date,open,high,low,close,volume
2016-01-04T14:30,11.54,11.57,11.47,11.48,178578
2016-01-04T15:30,11.48,11.53,11.43,11.47,187673
2016-01-04T16:30,11.47,11.5,11.44,11.46,154305
2016-01-04T17:30,11.46,11.5,11.45,11.48,134398
2016-01-04T18:30,11.47,11.51,11.45,11.5,162013
2016-01-04T19:30,11.5,11.5,11.46,11.48,177566
2016-01-04T20:30,11.48,11.58,11.48,11.58,195615
2016-01-05T14:30,11.64,11.71,11.59,11.66,186389
2016-01-05T15:30,11.66,11.75,11.66,11.72,171821
2016-01-05T16:30,11.72,11.75,11.67,11.68,141606
2016-01-05T17:30,11.68,11.71,11.66,11.67,73119
2016-01-05T18:30,11.67,11.76,11.67,11.75,100406
2016-01-05T19:30,11.75,11.75,11.66,11.7,151844
2016-01-05T20:30,11.7,11.73,11.69,11.72,253931
2016-01-06T14:30,11.59,11.77,11.59,11.76,186414
2016-01-06T15:30,11.76,11.78,11.7,11.78,157529
2016-01-06T16:30,11.78,11.82,11.77,11.81,146050
2016-01-06T17:30,11.81,11.84,11.79,11.81,138664
2016-01-06T18:30,11.81,11.83,11.79,11.83,172634
2016-01-06T19:30,11.83,11.85,11.77,11.84,337773
2016-01-06T20:30,11.84,11.86,11.81,11.85,589944
2016-01-07T14:30,11.68,11.86,11.67,11.81,279406
2016-01-07T15:30,11.82,11.85,11.8,11.81,174553
2016-01-07T16:30,11.81,11.82,11.78,11.79,168566
2016-01-07T17:30,11.79,11.81,11.73,11.75,170011
2016-01-07T18:30,11.75,11.77,11.73,11.73,331643
2016-01-07T19:30,11.73,11.77,11.69,11.7,365211
2016-01-07T20:30,11.7,11.76,11.69,11.71,476061
2016-01-08T14:30,11.76,11.82,11.71,11.77,224917
2016-01-08T15:30,11.77,11.81,11.71,11.71,160185
2016-01-08T16:30,11.71,11.74,11.66,11.73,101258
2016-01-08T17:30,11.73,11.75,11.68,11.69,105822
2016-01-08T18:30,11.69,11.72,11.66,11.66,137633
2016-01-08T19:30,11.66,11.69,11.65,11.66,143644
2016-01-08T20:30,11.65,11.66,11.57,11.6,216627
2016-01-11T14:30,11.7,11.7,11.61,11.66,142517
2016-01-11T15:30,11.66,11.68,11.57,11.62,147831
2016-01-11T16:30,11.61,11.66,11.58,11.6,113361
2016-01-11T17:30,11.6,11.6,11.56,11.56,72527
2016-01-11T18:30,11.56,11.58,11.49,11.57,266820
2016-01-11T19:30,11.58,11.63,11.55,11.62,229155
2016-01-11T20:30,11.62,11.65,11.61,11.62,258033
2016-01-12T14:30,11.73,11.73,11.59,11.61,145034
2016-01-12T15:30,11.61,11.65,11.59,11.62,108113
2016-01-12T16:30,11.62,11.64,11.59,11.62,84264
