date,open,high,low,close,volume
2016-01-04T14:30,27.9,28.15,27.8033,28,147950
2016-01-04T15:30,28.02,28.02,27.83,27.89,146281
2016-01-04T16:30,27.88,28.08,27.86,27.93,47126
2016-01-04T17:30,27.94,28.09,27.84,28.08,69297
2016-01-04T18:30,28.08,28.13,28.02,28.09,71495
2016-01-04T19:30,28.08,28.08,27.8,27.85,91685
2016-01-04T20:30,27.85,27.86,27.75,27.83,238350
2016-01-05T14:30,27.91,28.35,27.8,27.825,86192
2016-01-05T15:30,27.81,27.99,27.81,27.91,78623
2016-01-05T16:30,27.93,27.93,27.71,27.72,66589
2016-01-05T17:30,27.71,27.798,27.61,27.66,65343
2016-01-05T18:30,27.65,27.86,27.63,27.83,80067
2016-01-05T19:30,27.82,27.83,27.71,27.76,108234
2016-01-05T20:30,27.75,27.81,27.71,27.74,188830
2016-01-06T14:30,27.41,27.49,27.21,27.47,83293
2016-01-06T15:30,27.46,27.66,27.37,27.66,84436
2016-01-06T16:30,27.64,27.66,27.43,27.5,52222
2016-01-06T17:30,27.48,27.62,27.44,27.46,57166
2016-01-06T18:30,27.46,27.52,27.43,27.48,66939
2016-01-06T19:30,27.47,27.48,27.29,27.37,74510
2016-01-06T20:30,27.37,27.41,27.25,27.32,165096
2016-01-07T14:30,26.79,26.92,26.6,26.66,96995
2016-01-07T15:30,26.6899,26.91,26.6499,26.7744,99820
2016-01-07T16:30,26.79,26.8,26.64,26.755,89146
2016-01-07T17:30,26.75,26.82,26.48,26.53,121791
2016-01-07T18:30,26.5,26.545,26.41,26.41,75182
2016-01-07T19:30,26.4,26.44,26.2,26.22,121427
2016-01-07T20:30,26.22,26.39,26.21,26.21,197917
2016-01-08T14:30,25.84,26,25.32,25.96,285718
2016-01-08T15:30,25.935,25.97,25.7,25.72,195053
2016-01-08T16:30,25.73,26.08,25.66,26.04,209972
2016-01-08T17:30,26.05,26.05,25.77,25.78,69515
2016-01-08T18:30,25.78,25.82,25.64,25.65,121995
2016-01-08T19:30,25.66,25.73,25.55,25.5501,124381
2016-01-08T20:30,25.55,25.55,25.39,25.47,309439
2016-01-11T14:30,25.45,25.55,25.35,25.45,83797
2016-01-11T15:30,25.44,25.58,25.14,25.15,107639
2016-01-11T16:30,25.1425,25.32,25.08,25.13,111604
2016-01-11T17:30,25.13,25.16,25.06,25.08,92367
2016-01-11T18:30,25.08,25.23,24.905,25.02,130541
2016-01-11T19:30,25.03,25.03,24.8,24.97,123330
2016-01-11T20:30,24.97,25.09,24.91,24.92,215096
2016-01-12T14:30,25.15,25.35,25,25.06,101729
2016-01-12T15:30,25.04,25.13,24.79,24.79,124004
2016-01-12T16:30,24.79,24.82,24.65,24.7225,110214
2016-01-12T17:30,24.73,24.89,24.67,24.845,142522
2016-01-12T18:30,24.84,25.09,24.83,25.026,205361
2016-01-12T19:30,25.02,25.41,25,25.31,127162
2016-01-12T20:30,25.3,25.32,25.225,25.26,219577
2016-01-13T14:30,25.31,25.54,25.21,25.4,80911
2016-01-13T15:30,25.4,25.4,25.02,25.04,73542
2016-01-13T16:30,25.04,25.065,24.68,24.72,100188
2016-01-13T17:30,24.7,24.78,24.63,24.76,119742
2016-01-13T18:30,24.77,24.78,24.57,24.7,93199
2016-01-13T19:30,24.69,24.7,24.45,24.65,166571
2016-01-13T20:30,24.64,24.65,24.4,24.42,275921
2016-01-14T14:30,24.48,24.64,24.21,24.5,126364
2016-01-14T15:30,24.52,24.65,24.09,24.18,128248
2016-01-14T16:30,24.19,24.58,24.19,24.51,125343
2016-01-14T17:30,24.52,24.7,24.44,24.68,79527
