date,open,high,low,close,volume
2016-01-04T14:30,5.675,5.733,5.672,5.718,3633330
2016-01-04T15:30,5.719,5.771,5.687,5.746,3932130
2016-01-04T16:30,5.748,5.748,5.703,5.714,1649780
2016-01-04T17:30,5.712,5.722,5.704,5.718,1458070
2016-01-04T18:30,5.717,5.728,5.697,5.71,3762180
2016-01-04T19:30,5.708,5.711,5.681,5.686,2966300
2016-01-04T20:30,5.686,5.731,5.686,5.727,2613280
2016-01-05T14:30,5.704,5.747,5.703,5.714,2736140
2016-01-05T15:30,5.716,5.741,5.711,5.731,2565160
2016-01-05T16:30,5.731,5.74,5.713,5.719,1586390
2016-01-05T17:30,5.719,5.733,5.715,5.726,1593280
2016-01-05T18:30,5.727,5.76,5.725,5.75,1946060
2016-01-05T19:30,5.751,5.751,5.721,5.747,4300840
2016-01-05T20:30,5.747,5.75,5.73,5.733,5511380
2016-01-06T14:30,5.648,5.692,5.576,5.617,2599600
2016-01-06T15:30,5.617,5.617,5.551,5.575,1361410
2016-01-06T16:30,5.576,5.576,5.525,5.54,1360990
2016-01-06T17:30,5.54,5.545,5.516,5.525,1172370
2016-01-06T18:30,5.526,5.557,5.517,5.555,1867940
2016-01-06T19:30,5.555,5.561,5.513,5.544,2005820
2016-01-06T20:30,5.546,5.555,5.541,5.551,3227600
2016-01-07T14:30,5.457,5.53,5.456,5.503,4430760
2016-01-07T15:30,5.504,5.559,5.504,5.55,1847650
2016-01-07T16:30,5.552,5.56,5.522,5.531,1287650
2016-01-07T17:30,5.53,5.539,5.504,5.511,1514820
2016-01-07T18:30,5.511,5.512,5.471,5.474,1435560
2016-01-07T19:30,5.472,5.509,5.472,5.49,2441940
2016-01-07T20:30,5.49,5.524,5.49,5.5,3163750
2016-01-08T14:30,5.517,5.531,5.462,5.462,1891090
2016-01-08T15:30,5.464,5.465,5.411,5.418,2648990
2016-01-08T16:30,5.418,5.457,5.397,5.455,2058450
2016-01-08T17:30,5.455,5.465,5.442,5.462,965510
2016-01-08T18:30,5.46,5.469,5.449,5.456,1037390
2016-01-08T19:30,5.455,5.47,5.447,5.462,2248560
2016-01-08T20:30,5.461,5.463,5.428,5.44,4351020
2016-01-11T14:30,5.485,5.485,5.456,5.461,1743540
2016-01-11T15:30,5.461,5.472,5.43,5.45,1444600
2016-01-11T16:30,5.45,5.463,5.42,5.424,959360
2016-01-11T17:30,5.425,5.437,5.418,5.423,945550
2016-01-11T18:30,5.42,5.445,5.408,5.441,990470
2016-01-11T19:30,5.442,5.47,5.432,5.468,1851520
