date,open,high,low,close,volume
2016-01-04T14:30,8.743,9.108,8.714,8.964,7680322
2016-01-04T15:30,8.964,8.989,8.761,8.843,4843751
2016-01-04T16:30,8.84,8.899,8.802,8.843,3888071
2016-01-04T17:30,8.84,8.908,8.802,8.864,5337879
2016-01-04T18:30,8.864,8.984,8.849,8.872,3484674
2016-01-04T19:30,8.875,8.961,8.843,8.917,3241870
2016-01-04T20:30,8.92,8.984,8.896,8.972,3648087
2016-01-05T14:30,9.019,9.105,8.884,8.951,6232995
2016-01-05T15:30,8.955,9.002,8.878,8.901,3735523
2016-01-05T16:30,8.896,8.925,8.814,8.834,3427759
2016-01-05T17:30,8.831,8.972,8.808,8.948,3037345
2016-01-05T18:30,8.949,9.078,8.914,9.031,3178422
2016-01-05T19:30,9.031,9.184,9.025,9.172,4278220
2016-01-05T20:30,9.178,9.196,9.113,9.155,4414427
2016-01-06T14:30,8.908,8.978,8.79,8.949,5120765
2016-01-06T15:30,8.925,8.952,8.755,8.861,3813767
2016-01-06T16:30,8.861,8.87,8.767,8.82,2977781
2016-01-06T17:30,8.814,8.86,8.72,8.767,3160474
2016-01-06T18:30,8.767,8.833,8.761,8.764,3038832
2016-01-06T19:30,8.767,8.776,8.59,8.632,4774765
2016-01-06T20:30,8.632,8.696,8.629,8.69,4204549
2016-01-07T14:30,8.496,8.72,8.473,8.506,5290528
2016-01-07T15:30,8.508,8.711,8.505,8.696,3790802
2016-01-07T16:30,8.696,8.733,8.626,8.637,2799900
2016-01-07T17:30,8.632,8.637,8.473,8.511,2737865
2016-01-07T18:30,8.508,8.517,8.397,8.402,2737032
2016-01-07T19:30,8.397,8.444,8.303,8.32,4960218
2016-01-07T20:30,8.32,8.397,8.314,8.367,4824277
2016-01-08T14:30,8.526,8.596,8.32,8.461,5793512
2016-01-08T15:30,8.467,8.538,8.432,8.459,2989583
2016-01-08T16:30,8.458,8.678,8.435,8.645,3544176
2016-01-08T17:30,8.643,8.708,8.558,8.661,2861280
2016-01-08T18:30,8.655,8.843,8.655,8.776,3785629
2016-01-08T19:30,8.773,8.837,8.708,8.735,3639383
2016-01-08T20:30,8.734,8.737,8.655,8.673,5707252
2016-01-11T14:30,8.731,8.767,8.449,8.482,5231778
2016-01-11T15:30,8.482,8.637,8.479,8.57,3862360
2016-01-11T16:30,8.567,8.579,8.449,8.467,3404093
2016-01-11T17:30,8.461,8.538,8.438,8.438,3129946
2016-01-11T18:30,8.439,8.449,8.232,8.303,4972443
2016-01-11T19:30,8.305,8.332,8.167,8.256,5112030
2016-01-11T20:30,8.256,8.355,8.256,8.314,4449414
2016-01-12T14:30,8.408,8.585,8.079,8.191,6929544
2016-01-12T15:30,8.188,8.264,7.991,8.021,5956807
