date,open,high,low,close,volume
2016-01-04T14:30,35.98,36.04,35.69,35.86,165323
2016-01-04T15:30,35.85,35.86,35.41,35.48,163827
2016-01-04T16:30,35.48,35.68,35.48,35.65,162340
2016-01-04T17:30,35.64,35.79,35.61,35.73,136662
2016-01-04T18:30,35.72,35.73,35.54,35.63,124628
2016-01-04T19:30,35.63,35.76,35.52,35.7,258023
2016-01-04T20:30,35.71,36.02,35.71,36.01,333659
2016-01-05T14:30,35.99,36.23,35.93,35.97,158806
2016-01-05T15:30,35.96,36.21,35.94,36.07,139553
2016-01-05T16:30,36.08,36.14,35.94,35.98,104091
2016-01-05T17:30,35.97,36.09,35.93,36.01,94917
2016-01-05T18:30,36.02,36.2,36.02,36.16,148345
2016-01-05T19:30,36.16,36.18,35.97,36.03,238509
2016-01-05T20:30,36.02,36.15,36.02,36.11,199031
2016-01-06T14:30,35.53,35.65,35.32,35.54,162999
2016-01-06T15:30,35.54,35.54,35.32,35.48,117102
2016-01-06T16:30,35.48,35.5,35.29,35.37,123934
2016-01-06T17:30,35.37,35.49,35.25,35.33,121618
2016-01-06T18:30,35.33,35.34,35.22,35.24,134869
2016-01-06T19:30,35.23,35.28,35.06,35.27,233109
2016-01-06T20:30,35.27,35.37,35.2,35.31,267873
2016-01-07T14:30,34.62,35.09,34.6,34.84,124569
2016-01-07T15:30,34.86,35.01,34.75,34.83,141435
2016-01-07T16:30,34.82,34.88,34.7,34.71,147203
2016-01-07T17:30,34.72,34.74,34.51,34.55,132147
2016-01-07T18:30,34.56,34.65,34.44,34.5,196944
2016-01-07T19:30,34.5,34.66,34.43,34.44,249332
2016-01-07T20:30,34.43,34.59,34.43,34.46,310514
2016-01-08T14:30,34.65,34.82,34.44,34.56,204123
2016-01-08T15:30,34.55,34.6,34.42,34.44,174295
2016-01-08T16:30,34.44,34.55,34.34,34.55,145028
2016-01-08T17:30,34.54,34.57,34.42,34.45,162912
2016-01-08T18:30,34.45,34.65,34.45,34.53,148180
2016-01-08T19:30,34.51,34.59,34.43,34.45,207332
2016-01-08T20:30,34.45,34.45,34.18,34.21,306642
2016-01-11T14:30,34.39,34.49,34.12,34.22,184816
2016-01-11T15:30,34.24,34.31,34.01,34.07,192966
2016-01-11T16:30,34.06,34.13,33.95,33.99,167273
2016-01-11T17:30,34,34.08,33.87,33.88,175243
2016-01-11T18:30,33.88,34.11,33.86,34.08,261636
2016-01-11T19:30,34.08,34.17,33.91,34.16,191832
2016-01-11T20:30,34.16,34.32,34.14,34.16,272511
2016-01-12T14:30,34.36,34.56,34.26,34.3,311981
2016-01-12T15:30,34.29,34.38,34.14,34.19,239594
2016-01-12T16:30,34.19,34.24,34.04,34.16,122211
2016-01-12T17:30,34.14,34.19,33.92,33.93,159721
2016-01-12T18:30,33.92,34.04,33.84,33.92,195508
2016-01-12T19:30,33.92,34.09,33.87,34.05,251895
