date,open,high,low,close,volume
2016-01-04T14:30,24.14,24.27,23.85,24.05,164408
2016-01-04T15:30,24.04,24.06,23.81,23.89,268228
2016-01-04T16:30,23.88,23.93,23.68,23.745,123986
2016-01-04T17:30,23.74,24.07,23.71,24.07,163794
2016-01-04T18:30,24.07,24.08,23.97,24,95425
2016-01-04T19:30,23.99,24,23.76,23.805,145853
2016-01-04T20:30,23.805,23.96,23.805,23.94,281344
2016-01-05T14:30,23.96,24.15,23.74,23.76,224807
2016-01-05T15:30,23.76,23.85,23.7,23.7,198715
2016-01-05T16:30,23.7,23.86,23.65,23.815,162775
2016-01-05T17:30,23.81,23.98,23.8,23.87,148321
2016-01-05T18:30,23.86,23.99,23.84,23.99,99484
2016-01-05T19:30,23.98,24.05,23.965,24.02,143651
2016-01-05T20:30,24.02,24.06,23.89,23.9,260705
2016-01-06T14:30,23.55,23.79,23.4645,23.77,105386
2016-01-06T15:30,23.76,23.85,23.7001,23.74,94225
2016-01-06T16:30,23.75,23.78,23.68,23.75,137335
2016-01-06T17:30,23.74,23.8,23.645,23.71,88219
2016-01-06T18:30,23.7,23.76,23.61,23.69,108158
2016-01-06T19:30,23.69,23.76,23.57,23.76,168975
2016-01-06T20:30,23.755,23.8,23.7,23.8,287208
2016-01-07T14:30,23.39,23.58,23.24,23.555,166142
2016-01-07T15:30,23.55,23.63,23.495,23.55,134008
2016-01-07T16:30,23.55,23.67,23.48,23.63,97184
2016-01-07T17:30,23.62,23.63,23.32,23.345,153366
2016-01-07T18:30,23.34,23.35,23.17,23.17,87049
2016-01-07T19:30,23.18,23.33,23.14,23.14,148003
2016-01-07T20:30,23.14,23.22,23.1,23.1,208630
2016-01-08T14:30,23.25,23.33,23.02,23.1,99760
2016-01-08T15:30,23.095,23.14,22.85,22.87,92300
2016-01-08T16:30,22.86,23.06,22.78,23.04,68962
2016-01-08T17:30,23.05,23.05,22.895,22.91,65598
2016-01-08T18:30,22.9,23.12,22.9,23.06,98237
2016-01-08T19:30,23.05,23.105,22.955,22.965,165974
2016-01-08T20:30,22.96,22.96,22.74,22.79,257753
2016-01-11T14:30,22.89,22.89,22.59,22.65,115939
2016-01-11T15:30,22.64,22.78,22.53,22.55,142064
2016-01-11T16:30,22.55,22.67,22.44,22.445,64597
2016-01-11T17:30,22.45,22.52,22.36,22.42,139925
2016-01-11T18:30,22.42,22.605,22.27,22.605,137777
2016-01-11T19:30,22.61,22.82,22.59,22.8,166986
2016-01-11T20:30,22.8,22.9,22.77,22.77,192977
2016-01-12T14:30,22.94,23.2,22.92,23.08,144887
2016-01-12T15:30,23.07,23.12,22.98,22.99,130766
2016-01-12T16:30,22.99,23.04,22.885,22.91,131974
2016-01-12T17:30,22.91,23.1,22.81,22.95,213061
2016-01-12T18:30,22.96,23.05,22.87,22.93,122319
2016-01-12T19:30,22.92,23.14,22.91,23.09,143861
2016-01-12T20:30,23.09,23.17,23.09,23.13,120411
2016-01-13T14:30,23.16,23.17,22.785,22.88,112598
2016-01-13T15:30,22.87,22.9,22.7,22.72,199588
2016-01-13T16:30,22.71,22.75,22.35,22.39,312577
2016-01-13T17:30,22.39,22.395,22.2,22.21,148535
2016-01-13T18:30,22.21,22.23,21.84,21.91,175112
2016-01-13T19:30,21.895,22.1299,21.8,22.1099,300858
2016-01-13T20:30,22.1,22.125,22.05,22.08,408786
2016-01-14T14:30,22.13,22.16,21.64,22.1,190750
2016-01-14T15:30,22.1,22.23,22.05,22.11,173479
2016-01-14T16:30,22.11,22.19,22.055,22.12,206067
2016-01-14T17:30,22.12,22.33,22.09,22.33,88571
2016-01-14T18:30,22.32,22.49,22.29,22.48,131959
2016-01-14T19:30,22.48,22.67,22.47,22.525,179554
2016-01-14T20:30,22.52,22.59,22.475,22.5,324930
2016-01-15T14:30,21.99,22.21,21.94,22.12,182054
2016-01-15T15:30,22.12,22.22,22.045,22.16,239774
2016-01-15T16:30,22.15,22.17,21.97,21.99,191328
2016-01-15T17:30,21.98,22.17,21.95,22.11,189017
2016-01-15T18:30,22.1,22.255,22.08,22.2,122240
2016-01-15T19:30,22.17,22.51,22.16,22.51,240505
2016-01-15T20:30,22.51,22.52,22.42,22.5,276026
2016-01-19T14:30,22.68,22.81,22.46,22.79,84619
2016-01-19T15:30,22.8,22.818,22.37,22.52,159704
2016-01-19T16:30,22.52,22.6,22.42,22.515,125522
2016-01-19T17:30,22.5125,22.535,22.42,22.465,70090
2016-01-19T18:30,22.46,22.49,22.31,22.44,259151
2016-01-19T19:30,22.44,22.465,22.27,22.41,193040
2016-01-19T20:30,22.41,22.44,22.335,22.37,224619
2016-01-20T14:30,22.04,22.1,21.75,21.91,156703
2016-01-20T15:30,21.91,21.92,21.74,21.8,199830
2016-01-20T16:30,21.81,21.84,21.355,21.36,342724
2016-01-20T17:30,21.36,21.57,21.31,21.55,150690
2016-01-20T18:30,21.54,21.86,21.54,21.72,114730
2016-01-20T19:30,21.73,21.85,21.6,21.805,500105
2016-01-20T20:30,21.8,21.84,21.53,21.54,492535
2016-01-21T14:30,21.65,21.65,21.25,21.47,285255
2016-01-21T15:30,21.465,21.6,21.3,21.3,242249
2016-01-21T16:30,21.305,21.65,21.3,21.64,208121
2016-01-21T17:30,21.64,21.7,21.51,21.51,124040
2016-01-21T18:30,21.51,21.54,21.29,21.3952,156203
2016-01-21T19:30,21.4,21.5,21.37,21.45,180835
2016-01-21T20:30,21.445,21.53,21.42,21.43,195527
2016-01-22T14:30,21.75,22.02,21.67,22,79127
2016-01-22T15:30,22.01,22.05,21.87,21.92,102901
2016-01-22T16:30,21.92,21.97,21.85,21.94,62073
2016-01-22T17:30,21.93,22.13,21.91,22.12,92072
2016-01-22T18:30,22.12,22.21,22.1,22.11,90851
2016-01-22T19:30,22.1,22.12,21.95,22.06,119386
2016-01-22T20:30,22.06,22.14,22.01,22.12,210516
2016-01-25T14:30,22.05,22.2,21.922,22.1125,84137
2016-01-25T15:30,22.105,22.2,22.08,22.12,140358
2016-01-25T16:30,22.12,22.13,22.04,22.1,116856
2016-01-25T17:30,22.11,22.13,22.03,22.1,109452
2016-01-25T18:30,22.1,22.1,21.91,21.93,62122
2016-01-25T19:30,21.96,21.99,21.78,21.82,91434
2016-01-25T20:30,21.82,21.83,21.75,21.81,150636
2016-01-26T14:30,21.86,22.04,21.85,21.96,169783
2016-01-26T15:30,21.96,22.02,21.85,22.02,145228
2016-01-26T16:30,22.01,22.16,21.97,22.16,93368
2016-01-26T17:30,22.16,22.3,22.16,22.28,79186
2016-01-26T18:30,22.29,22.29,22.22,22.25,64981
2016-01-26T19:30,22.25,22.345,22.22,22.25,95712
2016-01-26T20:30,22.24,22.36,22.23,22.36,157591
2016-01-27T14:30,22.24,22.37,22.08,22.12,67177
2016-01-27T15:30,22.13,22.37,22.09,22.37,61213
2016-01-27T16:30,22.37,22.49,22.36,22.37,52634
2016-01-27T17:30,22.39,22.41,22.27,22.27,46841
2016-01-27T18:30,22.28,22.45,22.19,22.23,92863
2016-01-27T19:30,22.22,22.24,21.89,21.97,111048
2016-01-27T20:30,21.96,22.05,21.85,22,294904
2016-01-28T14:30,22.18,22.2,21.62,21.62,145475
2016-01-28T15:30,21.59,21.82,21.55,21.69,69433
2016-01-28T16:30,21.69,21.755,21.64,21.75,103965
2016-01-28T17:30,21.76,21.805,21.65,21.71,71524
2016-01-28T18:30,21.71,21.75,21.55,21.745,177432
2016-01-28T19:30,21.768,21.81,21.685,21.8,100981
2016-01-28T20:30,21.8,21.84,21.72,21.75,233828
2016-01-29T14:30,21.81,22.31,21.81,22.18,119086
2016-01-29T15:30,22.17,22.22,22.06,22.11,132855
2016-01-29T16:30,22.11,22.28,22.07,22.25,104726
2016-01-29T17:30,22.25,22.32,22.22,22.32,66688
2016-01-29T18:30,22.32,22.41,22.2731,22.41,75704
2016-01-29T19:30,22.41,22.65,22.38,22.635,191390
2016-01-29T20:30,22.64,22.7,22.55,22.7,292241
2016-02-01T14:30,22.46,22.57,22.29,22.41,146881
2016-02-01T15:30,22.41,22.489,22.38,22.47,112322
2016-02-01T16:30,22.47,22.48,22.37,22.41,179744
2016-02-01T17:30,22.415,22.42,22.26,22.28,274846
2016-02-01T18:30,22.285,22.39,22.2,22.39,145516
2016-02-01T19:30,22.4,22.59,22.33,22.55,134027
2016-02-01T20:30,22.55,22.62,22.46,22.47,211122
2016-02-02T14:30,22.23,22.29,21.89,21.92,89070
2016-02-02T15:30,21.92,21.97,21.85,21.92,60784
2016-02-02T16:30,21.92,21.93,21.69,21.701,75366
2016-02-02T17:30,21.7,21.78,21.62,21.78,105564
2016-02-02T18:30,21.77,21.79,21.51,21.52,149251
2016-02-02T19:30,21.514,21.55,21.29,21.39,395566
