date,open,high,low,close,volume
2016-01-04T14:30,29.26,29.28,28.96,29.08,1365669
2016-01-04T15:30,29.08,29.08,28.73,28.84,1361277
2016-01-04T16:30,28.84,29.06,28.84,29.03,987698
2016-01-04T17:30,29.03,29.23,29,29.13,799194
2016-01-04T18:30,29.13,29.18,29,29.13,667454
2016-01-04T19:30,29.13,29.14,28.99,29.06,780117
2016-01-04T20:30,29.07,29.39,29.06,29.38,1304006
2016-01-05T14:30,29.18,29.4,28.83,28.83,1669499
2016-01-05T15:30,28.83,28.95,28.74,28.77,1217361
2016-01-05T16:30,28.77,28.86,28.72,28.75,920629
2016-01-05T17:30,28.75,28.85,28.69,28.8,753351
2016-01-05T18:30,28.8,28.9,28.78,28.85,1100494
2016-01-05T19:30,28.85,28.87,28.74,28.8,1095528
2016-01-05T20:30,28.81,28.91,28.78,28.83,2137145
2016-01-06T14:30,28.39,28.41,27.96,28.08,1941928
2016-01-06T15:30,28.07,28.07,27.91,27.95,1765427
2016-01-06T16:30,27.95,27.98,27.72,27.74,1038840
2016-01-06T17:30,27.74,27.82,27.63,27.72,827148
2016-01-06T18:30,27.72,27.77,27.57,27.57,1824200
2016-01-06T19:30,27.57,27.61,27.35,27.46,3041391
2016-01-06T20:30,27.47,27.56,27.43,27.54,3872534
2016-01-07T14:30,26.89,26.94,26.72,26.77,3487472
2016-01-07T15:30,26.78,26.99,26.77,26.92,1878126
2016-01-07T16:30,26.93,26.94,26.75,26.79,1544337
2016-01-07T17:30,26.79,26.83,26.55,26.61,1319777
2016-01-07T18:30,26.6,26.6,26.36,26.36,2063025
2016-01-07T19:30,26.36,26.58,26.28,26.28,2114946
2016-01-07T20:30,26.28,26.5,26.27,26.38,2535339
2016-01-08T14:30,26.95,26.95,26.38,26.53,2252485
2016-01-08T15:30,26.53,26.58,26.27,26.32,1060557
2016-01-08T16:30,26.32,26.61,26.23,26.6,1122822
2016-01-08T17:30,26.6,26.62,26.46,26.53,825794
2016-01-08T18:30,26.52,26.6,26.4,26.41,850171
2016-01-08T19:30,26.4,26.46,26.28,26.29,1120215
2016-01-08T20:30,26.29,26.29,26.05,26.1,1642312
2016-01-11T14:30,26.28,26.33,25.9,25.99,1277931
2016-01-11T15:30,25.99,26.13,25.77,25.82,821246
2016-01-11T16:30,25.82,25.92,25.66,25.69,1287065
2016-01-11T17:30,25.68,25.76,25.52,25.53,1288140
2016-01-11T18:30,25.53,25.74,25.44,25.7,1881479
2016-01-11T19:30,25.7,25.77,25.57,25.74,1612660
2016-01-11T20:30,25.75,25.95,25.74,25.89,2083819
2016-01-12T14:30,26.33,26.45,26.01,26.06,1971269
2016-01-12T15:30,26.06,26.14,25.9,25.92,1049989
2016-01-12T16:30,25.92,26,25.74,25.9,577766
2016-01-12T17:30,25.89,25.92,25.67,25.74,781846
2016-01-12T18:30,25.74,25.91,25.67,25.75,1021828
2016-01-12T19:30,25.74,25.99,25.74,25.95,1218525
2016-01-12T20:30,25.95,26.12,25.9,26.07,1430420
2016-01-13T14:30,28.13,28.13,27.64,27.88,9165055
2016-01-13T15:30,27.88,27.88,27.63,27.66,2941331
2016-01-13T16:30,27.66,27.71,27.33,27.43,2160643
2016-01-13T17:30,27.43,27.43,26.8,27.05,1699138
2016-01-13T18:30,27.05,27.15,26.81,26.93,1854412
2016-01-13T19:30,26.92,26.93,26.61,26.87,2224334
2016-01-13T20:30,26.86,26.91,26.64,26.66,2630717
2016-01-14T14:30,27.08,27.12,26.32,26.94,2010466
2016-01-14T15:30,26.94,27.25,26.79,26.86,1417003
2016-01-14T16:30,26.87,27.06,26.8,27.04,965209
2016-01-14T17:30,27.03,27.32,27,27.28,1098569
2016-01-14T18:30,27.28,27.29,27.1,27.18,885512
2016-01-14T19:30,27.17,27.27,27.11,27.17,1043417
2016-01-14T20:30,27.16,27.17,26.97,27,1520791
2016-01-15T14:30,26.17,26.53,26.13,26.43,2492493
2016-01-15T15:30,26.42,26.6,26.31,26.4,1043831
2016-01-15T16:30,26.4,26.48,26.24,26.25,1092945
2016-01-15T17:30,26.25,26.45,26.08,26.38,1117929
2016-01-15T18:30,26.38,26.68,26.36,26.55,1332788
2016-01-15T19:30,26.54,26.87,26.52,26.81,1885875
2016-01-15T20:30,26.81,26.86,26.7,26.75,1796707
2016-01-19T14:30,27.23,27.37,26.81,27.05,1346330
2016-01-19T15:30,27.05,27.07,26.61,26.84,771894
2016-01-19T16:30,26.84,26.9,26.53,26.62,788169
2016-01-19T17:30,26.62,26.66,26.48,26.62,907889
2016-01-19T18:30,26.61,26.71,26.38,26.43,978457
2016-01-19T19:30,26.43,26.54,26.29,26.53,2125437
2016-01-19T20:30,26.53,26.64,26.5,26.54,2560278
2016-01-20T14:30,25.95,26.07,25.63,25.69,1631429
2016-01-20T15:30,25.69,25.98,25.62,25.85,1434891
2016-01-20T16:30,25.85,25.88,25.31,25.36,1298207
2016-01-20T17:30,25.35,25.68,25.35,25.64,821471
2016-01-20T18:30,25.64,26.07,25.64,25.97,1245356
2016-01-20T19:30,25.97,26.48,25.85,26.43,1489295
2016-01-20T20:30,26.43,26.45,26.15,26.22,1994450
2016-01-21T14:30,26.22,26.78,26.16,26.7,1730132
2016-01-21T15:30,26.71,26.87,26.54,26.6,1127004
2016-01-21T16:30,26.61,27.03,26.61,26.97,925731
2016-01-21T17:30,26.97,26.98,26.66,26.7,874699
2016-01-21T18:30,26.69,26.78,26.37,26.46,1105247
2016-01-21T19:30,26.47,26.59,26.39,26.51,1267847
2016-01-21T20:30,26.51,26.69,26.51,26.51,1813810
2016-01-22T14:30,27.08,27.47,27.06,27.27,1888632
2016-01-22T15:30,27.27,27.34,27.08,27.23,1242104
2016-01-22T16:30,27.23,27.38,27.08,27.33,1351312
2016-01-22T17:30,27.33,27.48,27.29,27.39,886706
2016-01-22T18:30,27.4,27.49,27.35,27.38,806103
2016-01-22T19:30,27.38,27.43,27.3,27.42,1001461
2016-01-22T20:30,27.42,27.48,27.38,27.44,1616364
2016-01-25T14:30,27.18,27.44,26.99,27.07,965703
2016-01-25T15:30,27.07,27.12,26.85,27.05,987049
2016-01-25T16:30,27.06,27.08,26.94,27,925160
2016-01-25T17:30,27,27.18,26.98,27.17,614335
2016-01-25T18:30,27.16,27.18,26.92,26.97,632506
2016-01-25T19:30,26.98,26.99,26.73,26.76,909750
2016-01-25T20:30,26.76,26.78,26.65,26.71,1314303
2016-01-26T14:30,26.76,27.17,26.75,27.09,1151820
2016-01-26T15:30,27.11,27.22,26.91,27.02,831292
2016-01-26T16:30,27.02,27.23,26.89,27.23,766377
2016-01-26T17:30,27.23,27.24,27.03,27.05,421912
2016-01-26T18:30,27.05,27.07,26.89,26.89,551229
2016-01-26T19:30,26.89,26.95,26.83,26.89,657525
2016-01-26T20:30,26.89,27.01,26.87,27.01,1213997
2016-01-27T14:30,26.92,27.19,26.8,26.84,683996
2016-01-27T15:30,26.83,27.18,26.83,27.16,800824
2016-01-27T16:30,27.16,27.42,27.14,27.31,538781
2016-01-27T17:30,27.31,27.34,27.2,27.28,554629
2016-01-27T18:30,27.27,27.48,26.91,27.1,804649
2016-01-27T19:30,27.1,27.12,26.69,26.79,960939
2016-01-27T20:30,26.78,26.89,26.76,26.87,958195
2016-01-28T14:30,27.17,27.35,26.92,26.92,1291394
2016-01-28T15:30,26.91,27.17,26.84,26.99,796704
2016-01-28T16:30,26.99,27.1,26.81,27.09,572318
2016-01-28T17:30,27.1,27.2,26.94,27.05,652569
2016-01-28T18:30,27.05,27.19,27,27.18,517463
2016-01-28T19:30,27.18,27.3,27.11,27.21,909812
2016-01-28T20:30,27.21,27.26,27.15,27.18,930599
2016-01-29T14:30,27.44,27.45,26.97,26.97,1505793
2016-01-29T15:30,26.97,27.26,26.92,27.18,807432
2016-01-29T16:30,27.18,27.39,27.1,27.39,602233
2016-01-29T17:30,27.39,27.41,27.32,27.36,598538
2016-01-29T18:30,27.36,27.56,27.36,27.55,536926
2016-01-29T19:30,27.54,27.64,27.48,27.63,950962
2016-01-29T20:30,27.63,27.77,27.62,27.73,1781268
2016-02-01T14:30,27.52,27.56,27.21,27.25,1009358
2016-02-01T15:30,27.25,27.52,27.25,27.5,895472
2016-02-01T16:30,27.51,27.57,27.31,27.32,786370
2016-02-01T17:30,27.32,27.39,27.23,27.36,577710
2016-02-01T18:30,27.37,27.37,27.25,27.36,602042
2016-02-01T19:30,27.36,27.57,27.35,27.55,681673
2016-02-01T20:30,27.55,27.61,27.46,27.49,1025300
2016-02-02T14:30,27.03,27.07,26.56,26.57,2203258
2016-02-02T15:30,26.57,26.7,26.48,26.67,1292496
2016-02-02T16:30,26.67,26.81,26.59,26.69,1079394
2016-02-02T17:30,26.69,26.74,26.63,26.71,838921
2016-02-02T18:30,26.71,26.71,26.41,26.43,1316895
2016-02-02T19:30,26.43,26.59,26.35,26.4,1230943
2016-02-02T20:30,26.41,26.56,26.4,26.55,1517287
2016-02-03T14:30,26.82,26.84,25.93,26.03,2053441
2016-02-03T15:30,26.03,26.23,25.92,26.04,2235118
2016-02-03T16:30,26.04,26.14,25.88,26.01,1905859
2016-02-03T17:30,26.02,26.1,25.88,26,1376864
2016-02-03T18:30,26,26.22,25.81,26.17,1651185
2016-02-03T19:30,26.16,26.38,26.12,26.21,1891463
2016-02-03T20:30,26.2,26.32,26.13,26.29,1830047
2016-02-04T14:30,25.44,25.58,24.94,25.19,4368054
2016-02-04T15:30,25.18,25.56,25.15,25.23,2196371
2016-02-04T16:30,25.23,25.25,25.03,25.14,1938589
2016-02-04T17:30,25.14,25.33,24.94,24.94,1697353
2016-02-04T18:30,24.95,25.08,24.72,24.72,2906804
2016-02-04T19:30,24.72,24.81,24.6,24.64,2494126
2016-02-04T20:30,24.64,24.94,24.63,24.89,3148932
2016-02-05T14:30,25.03,25.08,24.75,24.77,3261704
2016-02-05T15:30,24.77,24.89,24.57,24.64,1573503
2016-02-05T16:30,24.64,24.67,24.51,24.63,1378730
2016-02-05T17:30,24.64,24.65,24.48,24.57,1080385
2016-02-05T18:30,24.57,24.57,24.24,24.28,1617536
2016-02-05T19:30,24.28,24.33,24.18,24.28,2131605
2016-02-05T20:30,24.27,24.31,24.19,24.31,2328949
2016-02-08T14:30,24,24.02,23.52,23.53,2046176
2016-02-08T15:30,23.53,23.62,23.32,23.48,1854047
2016-02-08T16:30,23.48,23.53,23.4,23.45,1247482
2016-02-08T17:30,23.45,23.5,23.28,23.35,836002
2016-02-08T18:30,23.35,23.37,23.02,23.04,1132782
2016-02-08T19:30,23.03,23.22,22.95,23.22,1406459
2016-02-08T20:30,23.22,23.4,23.21,23.26,1948342
2016-02-09T14:30,22.72,23.18,22.43,23.09,2779174
2016-02-09T15:30,23.09,23.21,22.87,23.16,1234652
2016-02-09T16:30,23.16,23.22,23.02,23.07,955684
2016-02-09T17:30,23.06,23.12,22.97,23.07,869276
2016-02-09T18:30,23.08,23.28,23.03,23.15,885912
2016-02-09T19:30,23.16,23.45,23.16,23.27,1365608
2016-02-09T20:30,23.28,23.33,23.18,23.28,1427138
2016-02-10T14:30,23.57,23.78,23.26,23.54,1536188
2016-02-10T15:30,23.54,23.68,23.19,23.26,1792359
2016-02-10T16:30,23.26,23.4,23.11,23.39,644076
2016-02-10T17:30,23.4,23.48,23.36,23.42,509375
2016-02-10T18:30,23.42,23.51,23.42,23.47,703136
2016-02-10T19:30,23.47,23.52,23.32,23.34,852330
2016-02-10T20:30,23.34,23.37,23.08,23.09,1791224
2016-02-11T14:30,22.28,22.39,21.96,22.06,3383836
2016-02-11T15:30,22.06,22.21,21.95,22.02,1495413
2016-02-11T16:30,22.02,22.17,21.98,22.01,1470442
2016-02-11T17:30,22.01,22.26,21.95,22.23,1279144
2016-02-11T18:30,22.24,22.27,21.95,21.97,1620931
2016-02-11T19:30,21.97,22.35,21.92,22.11,2743321
2016-02-11T20:30,22.1,22.26,22.04,22.04,2027556
2016-02-12T14:30,22.44,22.88,22.43,22.78,3515817
2016-02-12T15:30,22.78,23.43,22.77,23.4,2544826
2016-02-12T16:30,23.4,23.72,23.37,23.56,1982172
2016-02-12T17:30,23.56,23.65,23.27,23.31,1039622
2016-02-12T18:30,23.31,23.33,23.18,23.22,1033574
2016-02-12T19:30,23.22,23.5,23.19,23.44,2037096
2016-02-12T20:30,23.44,23.52,23.35,23.45,2079028
2016-02-16T14:30,23.88,24,23.53,23.57,1332956
2016-02-16T15:30,23.57,23.77,23.57,23.65,634731
2016-02-16T16:30,23.66,23.94,23.66,23.92,822414
2016-02-16T17:30,23.92,24,23.82,23.99,488728
2016-02-16T18:30,23.99,24,23.83,23.87,603782
2016-02-16T19:30,23.88,23.9,23.71,23.84,606114
