date,open,high,low,close,volume
2018-12-07T16:30,22,22.69,21.31,22.65,7806775
2018-12-07T17:30,22.68,22.75,21.66,21.75,1023481
2018-12-07T18:30,21.755,21.76,20.975,21.0163,1454721
2018-12-07T19:30,21.0397,21.05,19.5,19.59,2636540
2018-12-07T20:30,19.57,19.83,18.51,18.75,2134706
2018-12-10T14:30,18.9,19.4388,18.6,18.735,1008482
2018-12-10T15:30,18.71,18.74,18,18.03,1226103
2018-12-10T16:30,18.12,18.85,18.01,18.78,582631
2018-12-10T17:30,18.78,19.16,18.7,19.025,256758
2018-12-10T18:30,19.03,19.28,18.81,18.97,330882
2018-12-10T19:30,18.975,19.1,18.51,18.9,294028
2018-12-10T20:30,18.9,19,18.7,18.75,456962
2018-12-11T14:30,20.55,20.66,19.12,19.97,951542
2018-12-11T15:30,19.96,20,19.67,19.8803,235740
2018-12-11T16:30,19.93,19.93,18.85,19.1694,319639
2018-12-11T17:30,19.15,19.54,19,19.28,147364
2018-12-11T18:30,19.28,19.31,18.6,18.6499,355128
2018-12-11T19:30,18.6499,18.67,17.99,18.04,812424
2018-12-11T20:30,18.035,18.191,17.99,18.01,555113
2018-12-12T14:30,18.55,18.98,18.02,18.85,796950
2018-12-12T15:30,18.86,19.48,18.65,18.8829,558951
2018-12-12T16:30,18.87,18.9695,18.47,18.48,254185
2018-12-12T17:30,18.47,18.635,18.22,18.33,217977
2018-12-12T18:30,18.3654,18.39,18.19,18.19,236183
2018-12-12T19:30,18.18,18.45,18.15,18.23,259534
2018-12-12T20:30,18.24,18.75,18.23,18.75,273652
2018-12-13T14:30,19.25,19.26,18.7,18.8101,620789
2018-12-13T15:30,18.825,19.2,18.68,19.1955,264990
2018-12-13T16:30,19.18,19.29,18.99,19.0048,162576
2018-12-13T17:30,19.025,19.19,18.98,19.02,92268
2018-12-13T18:30,19.019,19.12,18.7136,18.85,136060
2018-12-13T19:30,19,19.02,18.74,18.8,90486
2018-12-13T20:30,18.84,19.15,18.72,18.76,249744
2018-12-14T14:30,18.75,18.8806,18.33,18.49,173822
2018-12-14T15:30,18.49,18.65,18.47,18.5751,81142
2018-12-14T16:30,18.55,18.5896,18.4,18.4401,100854
2018-12-14T17:30,18.45,18.49,18.43,18.43,50672
2018-12-14T18:30,18.44,18.56,18.41,18.44,55496
2018-12-14T19:30,18.4539,18.47,18.25,18.255,127299
2018-12-14T20:30,18.255,18.37,18.25,18.31,144311
2018-12-17T14:30,18.33,18.47,18.04,18.06,202570
2018-12-17T15:30,18.0712,18.25,18,18.0252,226808
2018-12-17T16:30,18.035,18.14,17.99,18.02,183275
2018-12-17T17:30,18.0171,18.03,17.75,17.8251,214474
2018-12-17T18:30,17.795,17.8,17.25,17.27,227776
2018-12-17T19:30,17.28,17.45,17.19,17.2149,135688
2018-12-17T20:30,17.2145,17.22,16.9,17,299111
2018-12-18T14:30,17.1,17.25,16.31,16.3677,407513
2018-12-18T15:30,16.3398,16.8202,16.25,16.54,180230
2018-12-18T16:30,16.54,16.75,16.48,16.66,124213
2018-12-18T17:30,16.66,16.84,16.49,16.52,203579
2018-12-18T18:30,16.6039,16.71,16.25,16.47,206539
2018-12-18T19:30,16.5,16.95,16.43,16.6053,180623
2018-12-18T20:30,16.58,16.96,16.58,16.9,191269
2018-12-19T14:30,16.86,17.37,16.7001,17.22,127301
2018-12-19T15:30,17.24,17.36,17.14,17.2769,66914
2018-12-19T16:30,17.3,17.32,16.72,16.82,139088
2018-12-19T17:30,16.81,17,16.7901,16.85,63757
2018-12-19T18:30,16.925,16.96,16.5,16.67,117575
2018-12-19T19:30,16.65,16.73,16,16.1,282610
2018-12-19T20:30,16.1,16.2,16,16.025,145317
2018-12-20T14:30,16,16.14,15,15.1,620025
2018-12-20T15:30,15.08,15.714,15,15.2779,377987
2018-12-20T16:30,15.31,15.54,14.75,14.93,243687
