date,open,high,low,close,volume
2016-01-04T14:30,17.6,17.78,17.19,17.21,185160
2016-01-04T15:30,17.28,17.28,16.99,17.06,189300
2016-01-04T16:30,17.04,17.06,16.95,17.01,206300
2016-01-04T17:30,17.01,17.08,16.93,17.04,72030
2016-01-04T18:30,17.07,17.07,16.89,17,101710
2016-01-04T19:30,16.96,17.01,16.91,16.94,169170
2016-01-04T20:30,16.94,17.14,16.94,17.09,374490
2016-01-05T14:30,17.1,17.3,16.94,17.01,121290
2016-01-05T15:30,17.02,17.34,16.98,17.07,153480
2016-01-05T16:30,17.03,17.14,16.9,16.92,131290
2016-01-05T17:30,16.95,17.07,16.93,17,56430
2016-01-05T18:30,16.96,17.2,16.96,17.13,79230
2016-01-05T19:30,17.15,17.16,17.05,17.12,105050
2016-01-05T20:30,17.15,17.18,17.1,17.17,198960
2016-01-06T14:30,16.98,17.37,16.98,17.28,60290
2016-01-06T15:30,17.32,17.32,17.09,17.09,62390
2016-01-06T16:30,17.11,17.13,16.89,16.9,116230
2016-01-06T17:30,16.92,16.97,16.79,16.97,177530
2016-01-06T18:30,16.92,16.93,16.82,16.89,227500
2016-01-06T19:30,16.87,16.9,16.67,16.82,81830
2016-01-06T20:30,16.8,16.94,16.72,16.91,107900
2016-01-07T14:30,16.63,16.8,16.47,16.56,70800
2016-01-07T15:30,16.61,16.82,16.57,16.58,392270
2016-01-07T16:30,16.64,16.68,16.43,16.5,300020
2016-01-07T17:30,16.43,16.47,16.14,16.14,79700
2016-01-07T18:30,16.15,16.43,16.09,16.38,76450
2016-01-07T19:30,16.36,16.36,16.03,16.08,273080
2016-01-07T20:30,16.09,16.18,16.03,16.12,350710
2016-01-08T14:30,16.04,16.16,15.26,15.33,715470
2016-01-08T15:30,15.4,15.46,14.09,14.41,1687080
2016-01-08T16:30,14.46,14.9,14.43,14.79,1927630
2016-01-08T17:30,14.75,15.1,14.74,14.84,1285630
2016-01-08T18:30,14.84,14.95,14.76,14.87,406240
2016-01-08T19:30,14.86,15.04,14.81,14.86,579950
2016-01-08T20:30,14.82,14.93,14.55,14.8,1100400
2016-01-11T14:30,14.97,15.26,14.83,15.14,339750
2016-01-11T15:30,15.17,15.27,15.11,15.24,301790
2016-01-11T16:30,15.26,15.41,15.21,15.32,198710
2016-01-11T17:30,15.28,15.31,15.14,15.15,125970
2016-01-11T18:30,15.18,15.29,15.12,15.23,226060
2016-01-11T19:30,15.19,15.23,15.1,15.18,283400
2016-01-11T20:30,15.19,15.29,15.18,15.22,407590
2016-01-12T14:30,15.37,15.6,15.2,15.38,433480
2016-01-12T15:30,15.39,15.56,15.38,15.43,157340
2016-01-12T16:30,15.47,15.47,15.28,15.46,76540
2016-01-12T17:30,15.47,15.47,15.32,15.36,283200
2016-01-12T18:30,15.41,15.51,15.27,15.38,274480
2016-01-12T19:30,15.38,15.65,15.38,15.61,211630
2016-01-12T20:30,15.59,15.69,15.47,15.61,264680
2016-01-13T14:30,15.58,15.66,15.26,15.31,526420
2016-01-13T15:30,15.32,15.45,15.19,15.36,95970
2016-01-13T16:30,15.34,15.42,15.19,15.33,87060
2016-01-13T17:30,15.33,15.34,15.21,15.25,79120
2016-01-13T18:30,15.25,15.25,14.99,15,111030
2016-01-13T19:30,14.99,15.11,14.81,15.08,121370
2016-01-13T20:30,15.15,15.15,14.94,15.02,361030
2016-01-14T14:30,15.06,15.15,14.68,14.99,121610
2016-01-14T15:30,14.99,15.24,14.99,15.13,183800
2016-01-14T16:30,15.19,15.21,15.04,15.07,69550
2016-01-14T17:30,15.05,15.22,15.05,15.15,70910
2016-01-14T18:30,15.2,15.3,15.17,15.28,101800
2016-01-14T19:30,15.27,15.48,15.26,15.29,269500
2016-01-14T20:30,15.28,15.35,15.19,15.24,319860
2016-01-15T14:30,14.79,14.96,14.73,14.84,186720
2016-01-15T15:30,14.88,14.92,14.66,14.73,376820
2016-01-15T16:30,14.73,14.78,14.43,14.49,91300
2016-01-15T17:30,14.41,14.71,14.28,14.56,197610
2016-01-15T18:30,14.62,14.84,14.62,14.77,154150
2016-01-15T19:30,14.73,14.94,14.63,14.77,128140
2016-01-15T20:30,14.81,15,14.75,14.98,354160
2016-01-19T14:30,15.11,15.11,14.86,14.97,255330
2016-01-19T15:30,15.03,15.11,14.77,14.78,264620
2016-01-19T16:30,14.8,14.89,14.62,14.62,76420
2016-01-19T17:30,14.66,14.73,14.62,14.68,157860
2016-01-19T18:30,14.7,14.71,14.31,14.35,436240
2016-01-19T19:30,14.37,14.56,14.35,14.56,136240
2016-01-19T20:30,14.6,14.72,14.58,14.62,220560
2016-01-20T14:30,14.42,14.42,14.14,14.19,115730
2016-01-20T15:30,14.14,14.41,14.09,14.41,145860
2016-01-20T16:30,14.42,14.49,14.21,14.29,260880
2016-01-20T17:30,14.27,14.49,14.26,14.49,625810
2016-01-20T18:30,14.54,14.8,14.54,14.75,204360
2016-01-20T19:30,14.76,15.2,14.62,15.11,166880
2016-01-20T20:30,15.11,15.16,14.91,14.96,243450
