date,open,high,low,close,volume
2016-01-04T14:30,52.37,53.09,52.19,52.7,3168971
2016-01-04T15:30,52.69,52.81,52.41,52.47,1230413
2016-01-04T16:30,52.48,52.57,52.38,52.52,1290413
2016-01-04T17:30,52.52,52.66,52.5,52.6,1222689
2016-01-04T18:30,52.59,52.69,52.46,52.5,977436
2016-01-04T19:30,52.51,52.53,52.33,52.42,1437923
2016-01-04T20:30,52.41,52.78,52.41,52.76,1542940
2016-01-05T14:30,52.96,53.34,52.93,53.06,1387886
2016-01-05T15:30,53.05,53.38,52.96,53.31,1123183
2016-01-05T16:30,53.3,53.44,52.99,53.15,1076564
2016-01-05T17:30,53.14,53.36,52.95,53.34,752805
2016-01-05T18:30,53.34,53.67,53.31,53.59,1044599
2016-01-05T19:30,53.59,53.62,53.36,53.51,1153378
2016-01-05T20:30,53.51,53.59,53.44,53.49,1379804
2016-01-06T14:30,52.57,53.2,52.52,53.09,1566833
2016-01-06T15:30,53.09,53.09,52.92,53.04,812536
2016-01-06T16:30,53.05,53.14,52.95,53,603592
2016-01-06T17:30,52.99,53.08,52.74,52.74,490540
2016-01-06T18:30,52.75,53.06,52.74,52.94,637652
2016-01-06T19:30,52.94,52.95,52.44,52.73,1048608
2016-01-06T20:30,52.74,52.82,52.57,52.75,893662
2016-01-07T14:30,51.79,52.53,51.66,52.39,2363135
2016-01-07T15:30,52.42,52.51,52.27,52.44,1015453
2016-01-07T16:30,52.43,52.51,52.21,52.3,712742
2016-01-07T17:30,52.29,52.36,51.75,51.88,985924
2016-01-07T18:30,51.89,51.91,51.26,51.28,2135250
2016-01-07T19:30,51.28,51.58,51.26,51.31,1781139
2016-01-07T20:30,51.31,51.6,51.27,51.33,1340568
2016-01-08T14:30,51.49,52.13,50.84,51.06,2242541
2016-01-08T15:30,51.07,51.45,50.73,50.74,1485540
2016-01-08T16:30,50.74,51.54,50.53,51.46,1603070
2016-01-08T17:30,51.46,51.49,50.95,50.95,1217934
2016-01-08T18:30,50.95,51.17,50.89,50.89,916605
2016-01-08T19:30,50.88,51.04,50.59,50.6,1191893
2016-01-08T20:30,50.59,50.66,50.3,50.47,1835606
2016-01-11T14:30,50.57,51.49,50.49,50.91,2599784
2016-01-11T15:30,50.91,51.13,50.73,50.91,1175987
2016-01-11T16:30,50.89,51.3,50.79,50.95,1179681
2016-01-11T17:30,50.95,51,50.45,50.47,1038789
2016-01-11T18:30,50.45,50.76,50.19,50.59,1340479
2016-01-11T19:30,50.59,51.09,50.44,51.05,1430036
2016-01-11T20:30,51.05,51.4,51.04,51.09,1984219
2016-01-12T14:30,51.75,52.15,51.51,51.73,1927733
2016-01-12T15:30,51.73,51.91,51.54,51.58,776181
2016-01-12T16:30,51.57,51.79,51.44,51.55,930125
2016-01-12T17:30,51.55,51.61,51.39,51.43,1009940
2016-01-12T18:30,51.43,51.48,51.08,51.23,927404
2016-01-12T19:30,51.23,51.54,51.15,51.37,1419355
2016-01-12T20:30,51.37,51.54,51.27,51.37,1014887
2016-01-13T14:30,51.91,51.91,51.49,51.52,1584117
2016-01-13T15:30,51.51,51.74,51.37,51.6,1375941
2016-01-13T16:30,51.58,51.83,51.48,51.53,1496621
2016-01-13T17:30,51.53,51.54,51.37,51.39,1190257
2016-01-13T18:30,51.38,51.41,50.72,50.8,1128088
2016-01-13T19:30,50.8,50.86,50.38,50.67,1470325
2016-01-13T20:30,50.67,50.73,50.31,50.41,1104255
2016-01-14T14:30,50.59,50.84,49.12,50.49,2728238
2016-01-14T15:30,50.47,50.89,50.11,50.18,1454259
2016-01-14T16:30,50.18,50.37,49.78,50.28,866937
2016-01-14T17:30,50.28,50.59,50.22,50.46,693765
2016-01-14T18:30,50.48,50.61,50.25,50.27,904090
2016-01-14T19:30,50.28,50.59,50.28,50.32,1100771
2016-01-14T20:30,50.33,50.35,50.04,50.16,1460700
2016-01-15T14:30,48.82,49.46,48.53,49.38,2911775
2016-01-15T15:30,49.36,49.7,49.26,49.58,1191576
2016-01-15T16:30,49.59,49.81,49.03,49.19,1104063
2016-01-15T17:30,49.18,49.7,48.99,49.56,982055
2016-01-15T18:30,49.56,49.85,49.44,49.6,1506287
2016-01-15T19:30,49.6,49.86,49.32,49.51,1801583
2016-01-15T20:30,49.5,49.54,49.31,49.38,1811967
2016-01-19T14:30,49.9,50.58,49.64,50.55,2193061
2016-01-19T15:30,50.53,50.65,50.18,50.41,1482929
2016-01-19T16:30,50.41,50.47,49.86,50.07,826337
2016-01-19T17:30,50.06,50.23,49.88,50.01,742009
2016-01-19T18:30,50,50.06,49.67,49.79,755726
2016-01-19T19:30,49.79,50.18,49.45,50.14,1499642
2016-01-19T20:30,50.14,50.28,49.97,50.02,1405145
2016-01-20T14:30,49.09,49.93,49.09,49.4,2518500
2016-01-20T15:30,49.38,49.62,48.66,49.46,2036824
2016-01-20T16:30,49.45,49.72,48.84,48.89,1868633
2016-01-20T17:30,48.89,49.37,48.72,49.3,1976832
2016-01-20T18:30,49.3,50.14,49.29,49.83,1955679
2016-01-20T19:30,49.83,51.02,49.74,50.98,2664288
2016-01-20T20:30,50.99,51.1,50.46,50.63,2442103
2016-01-21T14:30,50.66,52.43,50.65,52.39,3771536
2016-01-21T15:30,52.39,52.4,51.92,52.18,2595534
2016-01-21T16:30,52.17,52.45,52.16,52.38,2191733
2016-01-21T17:30,52.37,52.42,51.88,51.97,1640426
2016-01-21T18:30,51.96,52.21,51.6,51.78,1553260
2016-01-21T19:30,51.78,52.18,51.77,52.01,1905619
2016-01-21T20:30,52,52.22,51.93,51.93,1808828
2016-01-22T14:30,52.56,52.71,52.09,52.27,1980778
2016-01-22T15:30,52.27,52.45,52.14,52.29,1303242
2016-01-22T16:30,52.29,52.32,52.01,52.19,874642
2016-01-22T17:30,52.18,52.43,52.06,52.3,812729
2016-01-22T18:30,52.3,52.35,52,52.04,840352
2016-01-22T19:30,52.05,52.15,51.96,52.15,884123
2016-01-22T20:30,52.15,52.31,52.05,52.21,1095698
2016-01-25T14:30,52.55,52.55,52.12,52.43,2082360
2016-01-25T15:30,52.43,52.45,52.15,52.22,1264950
2016-01-25T16:30,52.22,52.35,52.1,52.33,1088421
2016-01-25T17:30,52.33,52.57,52.15,52.49,1299955
2016-01-25T18:30,52.49,52.54,52.32,52.43,1142961
2016-01-25T19:30,52.43,52.44,52.1,52.12,1379710
2016-01-25T20:30,52.1,52.15,51.98,52.08,1207207
2016-01-26T14:30,51.87,52.44,51.68,52.13,1616130
