date,open,high,low,close,volume
2016-01-04T14:30,11.55,11.6,11.48,11.54,707855
2016-01-04T15:30,11.54,11.54,11.47,11.51,721327
2016-01-04T16:30,11.5,11.54,11.48,11.53,304347
2016-01-04T17:30,11.52,11.6,11.5,11.58,389784
2016-01-04T18:30,11.58,11.62,11.54,11.58,478958
2016-01-04T19:30,11.58,11.58,11.51,11.56,348183
2016-01-04T20:30,11.56,11.64,11.52,11.64,769287
2016-01-05T14:30,11.69,11.74,11.28,11.29,855474
2016-01-05T15:30,11.28,11.4,11.25,11.28,599400
2016-01-05T16:30,11.29,11.37,11.28,11.32,562856
2016-01-05T17:30,11.32,11.33,11.19,11.2,521432
2016-01-05T18:30,11.21,11.27,11.19,11.26,464161
2016-01-05T19:30,11.27,11.27,11.18,11.23,725236
2016-01-05T20:30,11.23,11.26,11.18,11.25,817776
2016-01-06T14:30,11.04,11.21,11,11.2,633326
2016-01-06T15:30,11.2,11.26,11.1,11.26,358482
2016-01-06T16:30,11.26,11.28,11.17,11.2,394616
2016-01-06T17:30,11.2,11.26,11.18,11.25,352379
2016-01-06T18:30,11.25,11.3,11.23,11.24,304564
2016-01-06T19:30,11.24,11.25,11.12,11.21,280838
2016-01-06T20:30,11.21,11.24,11.17,11.21,667518
2016-01-07T14:30,10.96,11.1,10.95,11.01,445798
2016-01-07T15:30,11.01,11.08,10.98,11.06,340124
2016-01-07T16:30,11.06,11.11,11.02,11.07,363186
2016-01-07T17:30,11.07,11.1,10.95,10.99,315042
2016-01-07T18:30,10.98,11,10.92,10.95,341143
2016-01-07T19:30,10.95,11.05,10.94,10.94,543235
2016-01-07T20:30,10.95,11.01,10.94,10.95,643327
2016-01-08T14:30,11.08,11.12,10.95,11.06,869004
2016-01-08T15:30,11.07,11.17,11.06,11.07,887908
2016-01-08T16:30,11.07,11.14,11.04,11.14,318349
2016-01-08T17:30,11.14,11.2,11.11,11.16,443789
2016-01-08T18:30,11.17,11.2,11.15,11.17,335380
2016-01-08T19:30,11.17,11.19,11.13,11.14,539721
2016-01-08T20:30,11.14,11.14,11.08,11.1,926376
2016-01-11T14:30,10.93,11.14,10.91,10.93,498675
2016-01-11T15:30,10.94,10.99,10.83,10.94,521994
2016-01-11T16:30,10.93,10.98,10.81,10.82,330955
2016-01-11T17:30,10.82,10.84,10.7,10.71,1077048
2016-01-11T18:30,10.71,10.78,10.65,10.77,968347
2016-01-11T19:30,10.77,10.77,10.63,10.72,659651
2016-01-11T20:30,10.73,10.81,10.72,10.75,674244
2016-01-12T14:30,10.84,11,10.83,10.85,709036
2016-01-12T15:30,10.85,10.89,10.77,10.81,385418
2016-01-12T16:30,10.8,10.87,10.79,10.8,644801
2016-01-12T17:30,10.81,10.83,10.77,10.8,442145
2016-01-12T18:30,10.8,10.85,10.76,10.82,371715
2016-01-12T19:30,10.82,10.95,10.81,10.92,421834
2016-01-12T20:30,10.91,10.96,10.9,10.95,585435
2016-01-13T14:30,11.02,11.05,10.91,10.94,608506
2016-01-13T15:30,10.93,10.95,10.85,10.89,754009
