date,open,high,low,close,volume
2016-01-04T14:30,72.84,74.2,72.44,74.06,573191
2016-01-04T15:30,74.08,74.08,73.24,73.59,320540
2016-01-04T16:30,73.58,74.18,73.46,74.05,188312
2016-01-04T17:30,74.03,74.61,73.89,74.57,190479
2016-01-04T18:30,74.52,74.77,74.25,74.63,162190
2016-01-04T19:30,74.68,74.77,74.21,74.38,281035
2016-01-04T20:30,74.39,75.27,74.37,75.01,549411
2016-01-05T14:30,75.76,76.18,74.7,74.77,692416
2016-01-05T15:30,74.72,75.43,74.53,75.21,324045
2016-01-05T16:30,75.18,75.63,73.77,73.87,534498
2016-01-05T17:30,73.88,73.9,73.04,73.55,542867
2016-01-05T18:30,73.54,74.34,73.43,74.15,248672
2016-01-05T19:30,74.13,74.18,73.1,73.25,357437
2016-01-05T20:30,73.25,73.49,73.1,73.16,473171
2016-01-06T14:30,71.55,72.02,70.09,71.92,1424462
2016-01-06T15:30,71.91,72.26,71.11,72.07,692065
2016-01-06T16:30,72.1,72.53,71.51,71.67,410925
2016-01-06T17:30,71.67,71.75,71.4,71.4,249456
2016-01-06T18:30,71.38,71.61,70.54,70.87,620302
2016-01-06T19:30,70.88,71.1,70.16,70.99,741489
2016-01-06T20:30,70.97,71.58,70.9,71.36,821681
2016-01-07T14:30,69.22,70.11,67.56,69.67,1057343
2016-01-07T15:30,69.68,70.16,69.12,69.19,801486
2016-01-07T16:30,69.16,69.5,68.72,68.81,520109
2016-01-07T17:30,68.83,68.89,67.88,67.97,763902
2016-01-07T18:30,67.95,68.15,67.42,67.72,733277
2016-01-07T19:30,67.72,68.13,67.47,67.51,1225207
2016-01-07T20:30,67.51,68.11,67.43,67.51,1399845
2016-01-08T14:30,67.46,69.14,67.36,68.4,1562561
2016-01-08T15:30,68.4,68.49,66.37,66.63,1163988
2016-01-08T16:30,66.67,67.33,66.18,67.23,906234
2016-01-08T17:30,67.23,67.23,66.31,66.44,402746
2016-01-08T18:30,66.47,67.03,66.42,66.63,470734
2016-01-08T19:30,66.63,67.16,66.62,67.13,822426
2016-01-08T20:30,67.12,67.13,66.36,66.79,1209777
2016-01-11T14:30,67.23,68.91,67.16,67.77,860071
2016-01-11T15:30,67.82,68.23,67.48,67.55,592442
2016-01-11T16:30,67.58,68.49,67.35,67.45,607460
2016-01-11T17:30,67.5,68.22,67.38,67.82,323481
2016-01-11T18:30,67.76,68.02,67.01,67.96,480569
2016-01-11T19:30,68,68.73,67.62,68.58,451394
2016-01-11T20:30,68.57,69.19,68.57,68.6,569248
2016-01-12T14:30,69.28,69.97,68.96,69.19,773911
2016-01-12T15:30,69.15,69.64,68.89,69.08,308175
2016-01-12T16:30,69.08,69.13,68.19,68.32,333772
2016-01-12T17:30,68.3,68.47,67.76,68.01,236491
2016-01-12T18:30,68.02,68.3,67.57,67.89,301641
2016-01-12T19:30,67.87,68.82,67.85,68.66,596861
2016-01-12T20:30,68.67,69.28,68.48,69.04,908168
2016-01-13T14:30,69.2,70.15,68.37,68.63,619630
2016-01-13T15:30,68.63,68.75,68.06,68.53,302772
2016-01-13T16:30,68.52,68.71,67.45,67.74,341630
2016-01-13T17:30,67.74,67.82,67.06,67.21,397241
2016-01-13T18:30,67.21,67.22,66.27,66.48,588585
2016-01-13T19:30,66.44,66.64,65.84,66.46,567515
2016-01-13T20:30,66.44,66.51,65.76,65.95,535612
2016-01-14T14:30,65.74,66.37,62.37,64.33,1689605
2016-01-14T15:30,64.31,65.57,63.85,64.45,1061542
2016-01-14T16:30,64.45,65.07,64.22,64.81,402909
2016-01-14T17:30,64.84,66.08,64.8,66.01,571091
2016-01-14T18:30,66,66.35,65.46,66.35,492526
2016-01-14T19:30,66.32,66.52,66.03,66.35,923686
2016-01-14T20:30,66.35,66.44,65.99,66.19,953158
2016-01-15T14:30,62.78,63.14,60.63,61.93,2584528
2016-01-15T15:30,61.94,62.31,60.92,61.43,1179934
2016-01-15T16:30,61.44,61.57,59.92,60.35,1121086
2016-01-15T17:30,60.34,60.36,59.45,60.04,1493802
2016-01-15T18:30,60.05,61.14,59.92,60.55,788357
2016-01-15T19:30,60.54,61.45,60.21,61.44,1067481
2016-01-15T20:30,61.41,61.42,60.82,60.98,1338472
2016-01-19T14:30,62.08,63.24,61.8,62.69,1301396
2016-01-19T15:30,62.7,63.1,62.29,62.38,538403
2016-01-19T16:30,62.38,62.53,61.27,61.59,486032
2016-01-19T17:30,61.57,61.87,61.23,61.23,345038
2016-01-19T18:30,61.23,61.57,60.42,60.86,433164
2016-01-19T19:30,60.9,61.15,60.46,60.94,525867
2016-01-19T20:30,60.94,61.1,60.71,60.78,540104
2016-01-20T14:30,59.96,61.46,59.61,61.01,1284500
2016-01-20T15:30,61,61.03,59.86,60.42,800814
2016-01-20T16:30,60.41,61.76,60.25,60.48,884729
2016-01-20T17:30,60.52,61.94,60.36,61.63,625900
2016-01-20T18:30,61.62,63,61.61,62.48,966685
2016-01-20T19:30,62.52,63.66,62.43,63.59,1048226
2016-01-20T20:30,63.59,63.64,62.79,62.9,959881
2016-01-21T14:30,63.45,65.07,62.77,64.91,1163509
2016-01-21T15:30,64.99,65.36,64.36,64.61,890594
2016-01-21T16:30,64.62,65.15,64.38,64.82,304629
2016-01-21T17:30,64.81,64.83,64.03,64.19,375973
2016-01-21T18:30,64.18,64.35,63.59,64.04,582336
2016-01-21T19:30,64.06,64.62,63.88,64.15,401316
2016-01-21T20:30,64.17,64.61,63.98,64.03,537927
2016-01-22T14:30,65.38,66.33,65.16,66.08,764568
2016-01-22T15:30,66.19,66.33,65.76,66.24,519020
2016-01-22T16:30,66.23,66.46,66.05,66.26,500826
2016-01-22T17:30,66.26,66.98,66.18,66.72,418057
2016-01-22T18:30,66.74,67.11,66.61,67.06,348149
2016-01-22T19:30,67.06,67.07,65.96,66.17,387192
2016-01-22T20:30,66.17,66.47,66.01,66.36,385984
2016-01-25T14:30,65.83,66.18,64.46,64.89,666652
2016-01-25T15:30,64.91,65.06,64.49,65.06,272214
2016-01-25T16:30,64.97,65.13,64.64,64.94,185190
2016-01-25T17:30,64.94,65.53,64.94,65.39,408257
2016-01-25T18:30,65.39,65.47,64.95,65.06,233244
2016-01-25T19:30,65.05,65.37,64.64,64.67,433712
2016-01-25T20:30,64.67,64.72,64.1,64.29,702758
2016-01-26T14:30,64.62,65.17,64.1,65.05,379722
2016-01-26T15:30,65.05,65.31,64.74,65.23,471670
2016-01-26T16:30,65.25,65.25,64.59,65.11,348170
2016-01-26T17:30,65.12,65.14,64.28,64.34,326017
2016-01-26T18:30,64.35,64.35,63.81,63.82,454258
2016-01-26T19:30,63.8,64,63.72,63.8,452437
2016-01-26T20:30,63.76,63.84,63.22,63.66,833534
2016-01-27T14:30,63.64,64.13,62.18,62.42,750793
2016-01-27T15:30,62.45,63.34,62.45,63.07,352544
2016-01-27T16:30,63.02,63.61,63.02,63.31,325199
2016-01-27T17:30,63.33,63.84,63.32,63.48,209302
2016-01-27T18:30,63.48,63.81,62.8,63.26,291962
2016-01-27T19:30,63.24,63.27,62.24,62.52,402298
2016-01-27T20:30,62.52,63.08,62.51,62.77,461999
2016-01-28T14:30,63.2,63.82,61.94,61.96,594515
2016-01-28T15:30,61.98,62.46,61.64,62.19,474046
2016-01-28T16:30,62.19,62.27,61.67,62.17,282934
2016-01-28T17:30,62.16,62.37,61.65,61.91,289292
2016-01-28T18:30,61.93,62.37,61.82,62.35,340652
2016-01-28T19:30,62.39,62.6,62.16,62.48,240584
2016-01-28T20:30,62.45,62.69,62.34,62.43,288542
2016-01-29T14:30,63.56,65.72,62.84,65.38,695333
2016-01-29T15:30,65.36,65.99,64.99,65.36,524164
2016-01-29T16:30,65.39,66.07,65.15,65.86,402793
2016-01-29T17:30,65.86,65.94,65.54,65.87,342145
2016-01-29T18:30,65.89,65.93,65.51,65.93,330352
2016-01-29T19:30,65.93,66.27,65.55,66.25,399905
2016-01-29T20:30,66.25,66.43,66.12,66.43,573619
2016-02-01T14:30,65.68,67.34,65.48,67.14,629891
2016-02-01T15:30,67.12,67.81,66.93,67.67,394123
2016-02-01T16:30,67.68,67.77,67.2,67.48,388452
2016-02-01T17:30,67.51,67.94,67.38,67.82,325107
2016-02-01T18:30,67.83,68.22,67.7,68.03,384599
2016-02-01T19:30,68.02,68.34,67.64,68.17,372323
2016-02-01T20:30,68.17,68.17,67.72,67.84,427407
2016-02-02T14:30,66.77,67.09,65.71,66.13,682791
2016-02-02T15:30,66.1,66.39,65.57,66.18,403335
2016-02-02T16:30,66.17,66.46,64.98,65.03,326460
2016-02-02T17:30,65.03,65.62,64.82,65.18,385563
2016-02-02T18:30,65.19,65.34,64.26,64.26,406153
2016-02-02T19:30,64.28,64.86,64.24,64.55,695714
2016-02-02T20:30,64.55,64.84,64.52,64.75,539877
2016-02-03T14:30,65.31,65.52,61.89,61.89,855244
2016-02-03T15:30,61.82,62.66,61.5,62.58,1064245
2016-02-03T16:30,62.58,63.61,62.06,63.52,735896
2016-02-03T17:30,63.55,63.58,62.96,63.27,511247
2016-02-03T18:30,63.3,63.96,62.59,63.83,526999
2016-02-03T19:30,63.78,63.9,62.65,62.95,973017
2016-02-03T20:30,62.96,63.59,62.59,62.71,937620
2016-02-04T14:30,65.92,67.06,63.77,66.27,2691257
2016-02-04T15:30,66.27,67.23,65.93,66.43,1261701
2016-02-04T16:30,66.42,66.92,65.93,66.7,773923
2016-02-04T17:30,66.69,67.12,66.37,67.04,692404
2016-02-04T18:30,67.03,67.93,66.6,67.75,1022943
2016-02-04T19:30,67.73,67.97,67.37,67.82,1956580
2016-02-04T20:30,67.81,68.4,67.64,67.77,1677726
2016-02-05T14:30,67.03,67.94,65.3,65.3,988853
2016-02-05T15:30,65.26,66.08,64.19,64.51,726177
2016-02-05T16:30,64.51,65.97,64.31,65.34,542315
2016-02-05T17:30,65.35,65.65,64.88,65.01,291260
2016-02-05T18:30,64.99,65.06,63.69,63.69,469963
2016-02-05T19:30,63.68,63.91,62.95,63,629464
2016-02-05T20:30,63,63.32,62.51,62.8,837244
2016-02-08T14:30,61.35,61.64,58.07,58.41,2173104
2016-02-08T15:30,58.4,58.81,56.81,57.35,1549943
2016-02-08T16:30,57.32,57.32,56.2,57,1464058
2016-02-08T17:30,56.97,57.37,55.98,56.07,885548
2016-02-08T18:30,56.09,56.22,55.45,55.97,986522
2016-02-08T19:30,55.97,57.71,55.96,56.99,1729450
2016-02-08T20:30,56.98,57.48,56.63,56.85,1418412
2016-02-09T14:30,54.77,59.38,54.73,58.47,1495047
2016-02-09T15:30,58.45,59.02,57.63,58.79,655121
2016-02-09T16:30,58.79,58.86,57.79,57.95,496470
2016-02-09T17:30,57.95,57.97,57.04,57.34,423803
2016-02-09T18:30,57.35,57.88,57.21,57.71,593399
