date,open,high,low,close,volume
2016-01-04T14:30,48.93,48.96,48.36,48.68,483613
2016-01-04T15:30,48.67,48.69,48.21,48.38,289601
2016-01-04T16:30,48.37,48.7,48.36,48.66,257384
2016-01-04T17:30,48.62,48.89,48.6,48.72,204091
2016-01-04T18:30,48.72,48.82,48.53,48.73,281427
2016-01-04T19:30,48.74,48.75,48.47,48.61,325869
2016-01-04T20:30,48.6,49.14,48.6,49.12,588853
2016-01-05T14:30,49.12,49.42,48.58,48.58,406671
2016-01-05T15:30,48.57,48.99,48.49,48.69,307343
2016-01-05T16:30,48.69,48.84,48.55,48.63,203535
2016-01-05T17:30,48.64,48.85,48.53,48.8,185074
2016-01-05T18:30,48.8,49.13,48.75,49.07,238192
2016-01-05T19:30,49.06,49.06,48.78,48.92,303653
2016-01-05T20:30,48.91,49.04,48.83,48.95,316173
2016-01-06T14:30,48.02,48.16,47.5,47.67,699479
2016-01-06T15:30,47.66,47.77,47.46,47.73,403524
2016-01-06T16:30,47.74,47.75,47.32,47.36,293759
2016-01-06T17:30,47.35,47.52,47.14,47.29,283356
2016-01-06T18:30,47.3,47.46,47.24,47.36,324820
2016-01-06T19:30,47.36,47.37,46.98,47.26,355917
2016-01-06T20:30,47.27,47.38,47.16,47.31,412551
2016-01-07T14:30,46.17,46.73,46.01,46.37,657954
2016-01-07T15:30,46.37,46.65,46.19,46.34,479483
2016-01-07T16:30,46.34,46.4,46.05,46.06,379146
2016-01-07T17:30,46.07,46.14,45.46,45.59,394701
2016-01-07T18:30,45.58,45.7,45.25,45.48,548332
2016-01-07T19:30,45.48,45.91,45.21,45.21,580578
2016-01-07T20:30,45.21,45.64,45.21,45.39,648789
2016-01-08T14:30,46.13,46.39,45.71,46.01,737610
2016-01-08T15:30,46.01,46.06,45.31,45.37,317415
2016-01-08T16:30,45.39,45.87,45.24,45.81,293059
2016-01-08T17:30,45.82,45.84,45.53,45.69,209488
2016-01-08T18:30,45.68,45.9,45.48,45.51,244186
2016-01-08T19:30,45.51,45.7,45.28,45.3,359328
