date,open,high,low,close,volume
2016-01-04T14:30,15.34,15.34,14.81,14.9683,177855
2016-01-04T15:30,14.94,15,14.68,14.8,213520
2016-01-04T16:30,14.79,14.8199,14.72,14.8,179014
2016-01-04T17:30,14.805,14.805,14.54,14.65,153556
2016-01-04T18:30,14.65,14.7399,14.6375,14.6622,66639
2016-01-04T19:30,14.67,14.67,14.39,14.43,251497
2016-01-04T20:30,14.44,14.57,14.11,14.2655,398193
2016-01-05T14:30,14.35,14.35,13.6027,13.67,480355
2016-01-05T15:30,13.66,13.88,13.66,13.8,266742
2016-01-05T16:30,13.81,14.06,13.79,13.895,232385
2016-01-05T17:30,13.9,14.009,13.86,13.89,98081
2016-01-05T18:30,13.89,14.48,13.89,14.37,120392
2016-01-05T19:30,14.3599,14.48,14.23,14.29,107677
2016-01-05T20:30,14.27,14.33,14.2,14.22,130787
2016-01-06T14:30,13.97,14.31,13.81,14.23,157034
2016-01-06T15:30,14.22,14.545,14.07,14.34,116460
2016-01-06T16:30,14.35,14.71,14.25,14.696,103559
2016-01-06T17:30,14.67,14.9,14.5,14.56,206848
2016-01-06T18:30,14.6,14.64,14.21,14.31,147249
2016-01-06T19:30,14.32,14.36,14.1501,14.26,160578
2016-01-06T20:30,14.265,14.35,14.13,14.17,197752
2016-01-07T14:30,13.9,14.18,13.6,14.05,328925
2016-01-07T15:30,14.06,14.12,13.97,14.07,158395
2016-01-07T16:30,14.1,14.12,14.0012,14.08,114932
2016-01-07T17:30,14.08,14.09,14,14,134094
2016-01-07T18:30,14.005,14.05,13.93,13.995,142890
2016-01-07T19:30,14,14.05,13.91,14,146469
2016-01-07T20:30,14,14.14,14,14.06,157428
2016-01-08T14:30,14.15,14.36,13.95,14.05,271015
2016-01-08T15:30,14.05,14.07,13.61,13.64,83169
2016-01-08T16:30,13.64,13.86,13.62,13.8062,45081
2016-01-08T17:30,13.8,13.95,13.7801,13.7801,52394
2016-01-08T18:30,13.8,13.87,13.78,13.8,157332
2016-01-08T19:30,13.79,13.87,13.78,13.82,62049
2016-01-08T20:30,13.8,13.82,13.61,13.7,153163
2016-01-11T14:30,13.76,14.16,13.67,14.05,118735
2016-01-11T15:30,14.08,14.08,13.88,13.88,108024
2016-01-11T16:30,13.92,13.92,13.66,13.66,97317
2016-01-11T17:30,13.655,13.7034,13.612,13.645,45051
2016-01-11T18:30,13.645,13.72,13.5,13.72,116225
2016-01-11T19:30,13.77,13.98,13.63,13.89,229764
2016-01-11T20:30,13.91,14.26,13.8,14,288787
2016-01-12T14:30,14.17,14.4,14.07,14.36,229494
2016-01-12T15:30,14.3301,14.39,13.8642,13.89,208780
2016-01-12T16:30,13.86,14.02,13.84,13.98,66743
2016-01-12T17:30,13.98,14.03,13.895,14,46906
2016-01-12T18:30,13.98,14.02,13.86,13.96,52094
2016-01-12T19:30,13.97,14.2,13.96,14.02,68285
2016-01-12T20:30,14.03,14.11,13.96,14.01,99663
2016-01-13T14:30,14.4,14.44,13.74,13.82,81267
2016-01-13T15:30,13.83,13.88,13.6701,13.71,54123
2016-01-13T16:30,13.75,13.81,13.51,13.55,77456
2016-01-13T17:30,13.55,13.79,13.46,13.58,186516
2016-01-13T18:30,13.58,13.74,13.55,13.74,130916
2016-01-13T19:30,13.73,13.76,13.55,13.728,173827
2016-01-13T20:30,13.73,13.8,13.68,13.79,215992
2016-01-14T14:30,13.79,14.22,13.57,14.115,236572
2016-01-14T15:30,14.11,14.81,14.11,14.43,314828
2016-01-14T16:30,14.4388,14.73,14.36,14.63,78903
2016-01-14T17:30,14.62,14.68,14.35,14.43,107114
2016-01-14T18:30,14.43,14.5099,14.13,14.29,130358
2016-01-14T19:30,14.29,14.55,14.11,14.47,128256
2016-01-14T20:30,14.485,14.51,14.27,14.36,220282
2016-01-15T14:30,13.95,14.09,13.91,14.09,131502
2016-01-15T15:30,14.085,14.23,13.91,13.95,140741
2016-01-15T16:30,13.95,14.06,13.92,14,87205
2016-01-15T17:30,14,14.26,13.93,14.07,167656
2016-01-15T18:30,14.05,14.14,14,14.02,84913
2016-01-15T19:30,14,14.13,13.95,14.12,209631
2016-01-15T20:30,14.13,14.2,13.91,13.96,274505
2016-01-19T14:30,14.26,14.4,13.93,14.11,363865
2016-01-19T15:30,14.09,14.1686,14.015,14.09,136987
2016-01-19T16:30,14.08,14.1,14.02,14.04,70551
2016-01-19T17:30,14.05,14.05,13.98,13.995,176540
2016-01-19T18:30,13.995,14.14,13.98,14.02,221120
2016-01-19T19:30,14.01,14.09,13.97,14.09,145676
2016-01-19T20:30,14.09,14.19,14.01,14.12,167878
2016-01-20T14:30,14,14,12.97,13.03,445920
2016-01-20T15:30,13.042,13.06,12.96,13.01,281659
2016-01-20T16:30,13.015,13.05,12.9801,13.04,178874
2016-01-20T17:30,13.03,13.17,12.98,13.04,233674
2016-01-20T18:30,13.05,13.45,13.02,13.34,113451
2016-01-20T19:30,13.34,13.64,13.1726,13.61,252104
2016-01-20T20:30,13.62,13.75,13.1,13.27,240786
2016-01-21T14:30,13.34,13.51,13.08,13.4,104545
2016-01-21T15:30,13.36,13.61,13.34,13.5101,87631
2016-01-21T16:30,13.52,13.66,13.47,13.49,91116
2016-01-21T17:30,13.508,13.55,13.33,13.33,49720
2016-01-21T18:30,13.33,13.355,13.14,13.3,31617
2016-01-21T19:30,13.29,13.42,13.26,13.33,41152
2016-01-21T20:30,13.35,13.41,13.235,13.25,53889
2016-01-22T14:30,13.41,14.36,13.33,14.17,127272
2016-01-22T15:30,14.14,14.23,13.9,14.045,74790
2016-01-22T16:30,14.0477,14.05,13.75,13.83,96427
2016-01-22T17:30,13.81,13.915,13.76,13.82,78794
2016-01-22T18:30,13.83,13.92,13.74,13.78,138247
2016-01-22T19:30,13.79,13.81,13.64,13.77,151464
2016-01-22T20:30,13.765,13.78,13.68,13.71,118103
2016-01-25T14:30,13.54,13.88,13.53,13.79,43522
2016-01-25T15:30,13.78,13.79,13.52,13.62,65057
2016-01-25T16:30,13.6,13.73,13.53,13.6,50528
2016-01-25T17:30,13.6,13.839,13.54,13.6,172895
2016-01-25T18:30,13.59,13.874,13.57,13.73,213526
2016-01-25T19:30,13.73,13.83,13.63,13.76,222194
2016-01-25T20:30,13.745,14.16,13.745,13.99,261043
2016-01-26T14:30,14.01,14.09,13.63,13.8204,36266
2016-01-26T15:30,13.855,13.88,13.64,13.76,43683
2016-01-26T16:30,13.77,13.82,13.53,13.7302,68736
2016-01-26T17:30,13.75,13.78,13.69,13.75,48733
2016-01-26T18:30,13.743,13.78,13.59,13.62,130761
2016-01-26T19:30,13.64,13.78,13.615,13.75,214891
2016-01-26T20:30,13.76,13.87,13.64,13.73,226573
2016-01-27T14:30,13.56,13.84,13.56,13.81,33688
2016-01-27T15:30,13.81,13.8901,13.78,13.85,30709
2016-01-27T16:30,13.85,13.88,13.73,13.75,34746
2016-01-27T17:30,13.74,13.75,13.6,13.65,22283
2016-01-27T18:30,13.65,13.71,13.6,13.6,19768
2016-01-27T19:30,13.61,13.66,13.4,13.61,109842
2016-01-27T20:30,13.61,13.79,13.49,13.56,130734
2016-01-28T14:30,13.9,13.94,13.52,13.55,87757
2016-01-28T15:30,13.53,13.5448,13.425,13.46,61340
2016-01-28T16:30,13.47,13.5,13.41,13.41,76178
2016-01-28T17:30,13.42,13.5,13.41,13.45,36148
2016-01-28T18:30,13.46,13.46,13.26,13.3,91200
2016-01-28T19:30,13.31,13.4,13.11,13.25,170009
2016-01-28T20:30,13.24,13.32,13.04,13.07,146714
2016-01-29T14:30,13.19,13.64,13.15,13.48,78219
2016-01-29T15:30,13.47,13.87,13.42,13.44,85853
2016-01-29T16:30,13.455,13.58,13.28,13.31,51861
2016-01-29T17:30,13.31,13.34,13.02,13.15,86662
2016-01-29T18:30,13.14,13.155,12.99,13.05,85834
2016-01-29T19:30,13.05,13.13,12.98,13,150630
2016-01-29T20:30,12.99,13.07,12.94,13,118670
2016-02-01T14:30,13,13.12,12.65,12.89,194738
2016-02-01T15:30,12.86,13.01,12.86,13,79562
2016-02-01T16:30,13,13.05,12.99,13.03,74105
2016-02-01T17:30,13.03,13.03,12.8,12.9,61235
2016-02-01T18:30,12.9,13.005,12.86,13,38157
