date,open,high,low,close,volume
2016-01-04T14:30,34.2,34.2,33.14,33.81,60310
2016-01-04T15:30,33.79,33.84,33.61,33.66,66924
2016-01-04T16:30,33.66,33.87,33.63,33.71,55205
2016-01-04T17:30,33.7,33.9,33.65,33.88,29103
2016-01-04T18:30,33.89,33.93,33.6,33.66,87022
2016-01-04T19:30,33.65,33.67,33.52,33.56,67548
2016-01-04T20:30,33.55,33.75,33.54,33.73,92021
2016-01-05T14:30,33.74,33.93,33.56,33.57,67563
2016-01-05T15:30,33.58,33.99,33.56,33.65,31040
2016-01-05T16:30,33.64,33.707,33.59,33.66,43230
2016-01-05T17:30,33.67,33.7,33.5801,33.65,47683
2016-01-05T18:30,33.64,33.84,33.59,33.82,38979
2016-01-05T19:30,33.84,33.87,33.64,33.69,57708
2016-01-05T20:30,33.69,33.74,33.64,33.66,84722
2016-01-06T14:30,33.25,33.84,33.25,33.35,316039
2016-01-06T15:30,33.33,33.36,33.03,33.36,58572
2016-01-06T16:30,33.37,33.45,33.29,33.315,34635
2016-01-06T17:30,33.26,33.34,33.12,33.13,42350
2016-01-06T18:30,33.12,33.15,33.04,33.08,58122
2016-01-06T19:30,33.08,33.09,32.77,32.97,94339
2016-01-06T20:30,32.96,33.105,32.96,33.07,135626
2016-01-07T14:30,32.56,32.88,32.3,32.34,143097
2016-01-07T15:30,32.35,32.6,32.2,32.225,130538
2016-01-07T16:30,32.23,32.37,32.16,32.18,54278
2016-01-07T17:30,32.18,32.18,31.63,31.7,123092
2016-01-07T18:30,31.7,31.75,31.54,31.69,99371
2016-01-07T19:30,31.73,31.8599,31.675,31.7,149788
2016-01-07T20:30,31.7,31.86,31.695,31.76,222588
2016-01-08T14:30,31.94,32.18,31.55,31.61,124087
2016-01-08T15:30,31.58,31.61,31.3,31.46,129041
2016-01-08T16:30,31.465,31.76,31.405,31.75,125556
2016-01-08T17:30,31.75,31.8,31.55,31.56,99410
2016-01-08T18:30,31.56,31.72,31.55,31.65,127035
2016-01-08T19:30,31.65,31.67,31.6,31.615,124347
2016-01-08T20:30,31.61,31.62,31.315,31.35,164384
2016-01-11T14:30,31.43,31.6,31.35,31.37,82138
2016-01-11T15:30,31.41,31.45,31.22,31.25,103806
2016-01-11T16:30,31.25,31.325,31.05,31.11,125784
2016-01-11T17:30,31.14,31.17,30.97,31,49449
2016-01-11T18:30,30.99,31.09,30.75,31.09,213194
2016-01-11T19:30,31.09,31.14,30.89,31.14,130550
2016-01-11T20:30,31.14,31.24,31.04,31.07,314225
2016-01-12T14:30,31.26,31.55,31.15,31.21,97917
2016-01-12T15:30,31.22,31.29,30.91,30.96,60605
2016-01-12T16:30,30.96,31.04,30.83,30.97,86931
2016-01-12T17:30,30.97,30.99,30.74,30.74,39102
2016-01-12T18:30,30.74,30.905,30.69,30.8,55756
2016-01-12T19:30,30.79,31.21,30.785,31.15,88029
2016-01-12T20:30,31.11,31.17,30.96,31.14,148135
2016-01-13T14:30,31.02,31.76,31.02,31.14,188048
2016-01-13T15:30,31.13,31.41,30.94,31.38,165908
2016-01-13T16:30,31.38,31.39,31,31.01,144885
2016-01-13T17:30,31.01,31.01,30.76,30.81,184969
2016-01-13T18:30,30.8,30.81,30.28,30.33,66767
2016-01-13T19:30,30.31,30.32,29.91,30.23,249642
2016-01-13T20:30,30.23,30.31,30.03,30.05,246610
2016-01-14T14:30,30.42,30.69,29.96,30.68,245957
2016-01-14T15:30,30.65,31.04,30.56,30.63,166011
2016-01-14T16:30,30.63,30.96,30.52,30.94,229518
2016-01-14T17:30,30.94,31.24,30.88,31.19,98911
2016-01-14T18:30,31.21,31.2212,31.08,31.14,90633
2016-01-14T19:30,31.15,31.43,31.1409,31.34,121815
2016-01-14T20:30,31.35,31.42,31.27,31.35,162223
2016-01-15T14:30,30.4,30.55,30.145,30.34,82546
2016-01-15T15:30,30.33,30.47,30.18,30.32,68109
2016-01-15T16:30,30.33,30.5,30.1,30.13,115661
2016-01-15T17:30,30.1,30.53,30.1,30.43,178298
2016-01-15T18:30,30.4,30.8,30.35,30.42,115649
2016-01-15T19:30,30.42,30.75,30.4,30.57,93253
2016-01-15T20:30,30.56,30.7,30.5,30.69,139815
2016-01-19T14:30,30.83,31.06,30.51,30.97,294499
