date,open,high,low,close,volume
2016-01-04T14:30,19.58,20.21,19.58,20.09,589996
2016-01-04T15:30,20.08,20.1,19.81,19.84,456238
2016-01-04T16:30,19.84,19.87,19.67,19.68,410611
2016-01-04T17:30,19.68,19.92,19.64,19.9,436173
2016-01-04T18:30,19.91,19.93,19.8,19.87,356822
2016-01-04T19:30,19.88,19.88,19.8,19.84,374409
2016-01-04T20:30,19.85,19.93,19.82,19.91,738783
2016-01-05T14:30,19.87,20.13,19.29,19.41,998679
2016-01-05T15:30,19.41,19.59,19.29,19.45,564924
2016-01-05T16:30,19.46,19.49,19.28,19.3,448099
2016-01-05T17:30,19.3,19.37,19.18,19.21,508603
2016-01-05T18:30,19.21,19.29,19.13,19.19,472959
2016-01-05T19:30,19.2,19.22,19.1,19.17,638621
2016-01-05T20:30,19.16,19.19,19.05,19.09,824165
2016-01-06T14:30,19.06,19.19,18.71,19.15,606131
2016-01-06T15:30,19.14,19.17,18.92,19.17,434077
2016-01-06T16:30,19.18,19.2,19.02,19.04,295568
2016-01-06T17:30,19.05,19.11,18.98,19.06,268568
2016-01-06T18:30,19.06,19.16,19.05,19.09,301514
2016-01-06T19:30,19.09,19.1,18.93,19.04,433270
2016-01-06T20:30,19.04,19.12,19.01,19.07,698597
2016-01-07T14:30,18.67,18.88,18.51,18.79,363935
2016-01-07T15:30,18.79,18.94,18.7,18.87,339932
2016-01-07T16:30,18.87,18.9,18.74,18.76,234673
2016-01-07T17:30,18.76,18.77,18.58,18.62,298555
2016-01-07T18:30,18.63,18.72,18.56,18.68,310373
2016-01-07T19:30,18.68,18.74,18.52,18.52,357655
2016-01-07T20:30,18.51,18.64,18.51,18.55,610965
2016-01-08T14:30,18.67,18.71,18.33,18.57,471594
2016-01-08T15:30,18.57,18.61,18.49,18.52,315278
2016-01-08T16:30,18.52,18.67,18.45,18.6,394701
2016-01-08T17:30,18.6,18.6,18.4,18.42,464694
2016-01-08T18:30,18.43,18.53,18.34,18.47,386737
2016-01-08T19:30,18.47,18.52,18.39,18.42,315354
2016-01-08T20:30,18.42,18.42,18.31,18.34,656990
2016-01-11T14:30,18.35,18.52,17.94,18.11,504251
2016-01-11T15:30,18.11,18.15,17.92,18.09,501532
2016-01-11T16:30,18.09,18.17,18.05,18.14,309112
2016-01-11T17:30,18.15,18.18,18.04,18.05,368995
2016-01-11T18:30,18.05,18.14,17.98,18.09,474947
2016-01-11T19:30,18.09,18.14,17.94,18.14,507774
2016-01-11T20:30,18.14,18.2,18.09,18.11,483827
2016-01-12T14:30,18.36,18.41,18.07,18.12,315321
2016-01-12T15:30,18.12,18.19,17.99,17.99,330648
2016-01-12T16:30,17.98,18.06,17.9,17.97,247545
2016-01-12T17:30,17.97,18.01,17.9,17.96,347176
2016-01-12T18:30,17.95,18.03,17.86,17.9,338644
2016-01-12T19:30,17.89,18.18,17.89,18.11,575164
2016-01-12T20:30,18.1,18.16,18.04,18.15,640736
2016-01-13T14:30,18.31,18.31,17.97,18.06,506206
2016-01-13T15:30,18.05,18.08,17.91,17.99,440433
2016-01-13T16:30,18,18.02,17.88,17.9,344012
2016-01-13T17:30,17.9,17.9,17.81,17.84,262549
2016-01-13T18:30,17.83,17.86,17.7,17.77,294046
2016-01-13T19:30,17.76,17.8,17.58,17.78,471704
2016-01-13T20:30,17.78,17.84,17.68,17.73,417461
2016-01-14T14:30,17.82,18.05,17.53,18.05,454054
2016-01-14T15:30,18.05,18.05,17.78,17.82,642830
2016-01-14T16:30,17.82,17.9,17.78,17.88,212667
2016-01-14T17:30,17.89,17.99,17.89,17.98,414633
2016-01-14T18:30,17.98,18,17.76,17.79,441648
2016-01-14T19:30,17.8,17.91,17.72,17.74,722053
2016-01-14T20:30,17.74,17.77,17.64,17.67,1290858
2016-01-15T14:30,17.15,17.57,17.07,17.51,611628
2016-01-15T15:30,17.5,17.6,17.42,17.49,411853
2016-01-15T16:30,17.49,17.53,17.39,17.44,340839
2016-01-15T17:30,17.44,17.59,17.37,17.58,341116
2016-01-15T18:30,17.58,17.73,17.58,17.6,390477
2016-01-15T19:30,17.59,17.8,17.59,17.78,559293
2016-01-15T20:30,17.78,17.81,17.73,17.78,695336
2016-01-19T14:30,17.96,18.03,17.33,17.65,558249
2016-01-19T15:30,17.65,17.65,17.49,17.64,564112
2016-01-19T16:30,17.65,17.65,17.46,17.53,346877
2016-01-19T17:30,17.53,17.55,17.41,17.41,248366
2016-01-19T18:30,17.42,17.43,17.12,17.16,520558
2016-01-19T19:30,17.16,17.26,17.1,17.25,624374
2016-01-19T20:30,17.25,17.28,17.17,17.2,1086807
2016-01-20T14:30,16.97,17.06,16.74,16.87,608371
2016-01-20T15:30,16.87,16.99,16.72,16.97,626941
2016-01-20T16:30,16.97,17,16.81,16.83,411913
2016-01-20T17:30,16.84,17.2,16.84,17.14,868126
2016-01-20T18:30,17.13,17.3,17.05,17.18,1051675
2016-01-20T19:30,17.19,17.5,17.12,17.47,1027165
2016-01-20T20:30,17.48,17.49,17.28,17.3,899418
2016-01-21T14:30,17.32,17.69,17.29,17.42,572843
2016-01-21T15:30,17.43,17.61,17.38,17.48,769317
2016-01-21T16:30,17.49,17.82,17.46,17.61,956640
2016-01-21T17:30,17.61,17.62,17.35,17.4,638984
2016-01-21T18:30,17.41,17.53,17.16,17.29,544934
2016-01-21T19:30,17.28,17.43,17.16,17.27,944277
2016-01-21T20:30,17.29,17.38,17.25,17.32,794038
2016-01-22T14:30,17.69,18.09,17.66,17.91,714557
2016-01-22T15:30,17.92,17.93,17.45,17.6,448961
2016-01-22T16:30,17.61,17.65,17.47,17.58,272808
2016-01-22T17:30,17.58,17.69,17.45,17.6,259139
2016-01-22T18:30,17.6,17.72,17.56,17.63,221544
2016-01-22T19:30,17.62,17.65,17.49,17.57,472315
2016-01-22T20:30,17.57,17.61,17.52,17.54,936137
2016-01-25T14:30,17.44,17.71,17.3,17.56,744697
2016-01-25T15:30,17.55,17.65,17.47,17.6,488617
2016-01-25T16:30,17.6,17.64,17.43,17.59,358535
2016-01-25T17:30,17.59,17.66,17.52,17.65,310563
2016-01-25T18:30,17.65,17.71,17.55,17.7,347652
2016-01-25T19:30,17.69,17.7,17.58,17.58,452752
2016-01-25T20:30,17.58,17.58,17.45,17.48,964820
2016-01-26T14:30,17.49,17.71,17.38,17.6,381149
2016-01-26T15:30,17.6,17.67,17.39,17.5,320983
2016-01-26T16:30,17.5,17.56,17.38,17.54,404786
2016-01-26T17:30,17.54,17.59,17.48,17.58,316977
2016-01-26T18:30,17.59,17.6,17.49,17.54,437381
2016-01-26T19:30,17.53,17.58,17.49,17.54,603676
2016-01-26T20:30,17.53,17.6,17.49,17.57,645128
2016-01-27T14:30,17.52,17.72,17.51,17.64,672843
2016-01-27T15:30,17.65,17.87,17.6,17.72,404778
2016-01-27T16:30,17.72,17.85,17.67,17.68,366960
2016-01-27T17:30,17.68,17.7,17.58,17.62,219727
2016-01-27T18:30,17.62,17.77,17.49,17.64,292108
