date,open,high,low,close,volume
2020-11-24T15:30,9.75,9.75,9.75,9.75,400
2020-11-24T19:30,9.7441,9.7441,9.7441,9.7441,500
2020-11-27T14:30,9.8,9.8,9.8,9.8,4000
2020-11-27T17:30,9.82,9.82,9.82,9.82,500
2020-11-30T14:30,9.82,9.82,9.72,9.82,45673
2020-11-30T15:30,10.77,10.8,9.9501,10.1713,805
2020-11-30T16:30,9.9838,10.075,9.9838,10.075,300
2020-11-30T17:30,10.2,10.2,10,10.02,4104
2020-11-30T19:30,10.01,10.01,10.01,10.01,1205
2020-11-30T20:30,9.95,9.95,9.95,9.95,1010
2020-12-01T14:30,9.8734,9.8734,9.8734,9.8734,100
2020-12-01T15:30,9.9547,9.9547,9.9547,9.9547,500
2020-12-01T17:30,9.97,9.97,9.95,9.97,1200
2020-12-02T16:30,10.11,10.11,9.97,10.06,51000
2020-12-02T17:30,10.02,10.02,10.02,10.02,25000
2020-12-02T20:30,10.05,10.05,10.05,10.05,2500
2020-12-03T14:30,10.05,10.05,10.05,10.05,100
2020-12-03T17:30,10.05,10.05,10.05,10.05,1000
2020-12-04T14:30,10.04,10.1846,9.99,10,1500
2020-12-04T17:30,10,10.005,10,10.005,20451
2020-12-04T18:30,10.06,10.1,10.06,10.06,36349
2020-12-04T19:30,10.06,10.06,10.06,10.06,3000
2020-12-04T20:30,10.06,10.06,10.06,10.06,22750
2020-12-07T14:30,10.1,10.13,10.05,10.1,27800
2020-12-07T15:30,10.15,10.25,10.1,10.25,5500
2020-12-07T16:30,10.2243,10.2243,10.2243,10.2243,100
2020-12-07T20:30,10.18,10.21,10.15,10.2,154100
2020-12-08T14:30,10.12,10.12,9.9,9.9,2000
2020-12-08T16:30,9.97,9.97,9.95,9.95,500
2020-12-08T17:30,9.96,9.96,9.96,9.96,500
2020-12-08T20:30,10.18,10.2,10.13,10.13,11281
2020-12-09T14:30,10.21,11.39,10.2,10.35,83046
2020-12-09T15:30,10.3,10.35,10.2,10.2,35000
2020-12-09T16:30,10.25,10.25,10.25,10.25,300
2020-12-09T18:30,10.28,10.33,10.27,10.3,57800
2020-12-09T19:30,10.3,10.385,10.3,10.385,37124
2020-12-09T20:30,10.3,10.3,10.3,10.3,100
2020-12-10T16:30,10.18,10.2,10.16,10.2,199933
2020-12-10T19:30,10.22,10.22,10.22,10.22,2484
2020-12-10T20:30,10.24,10.25,10.24,10.25,65852
2020-12-11T14:30,10.35,10.35,10.25,10.35,80300
2020-12-11T15:30,10.25,10.28,10.21,10.26,2600
2020-12-11T16:30,10.21,10.21,10.13,10.2,17058
