date,open,high,low,close,volume
2016-01-04T14:30,82.13,82.6,80.81,82.22,356669
2016-01-04T15:30,82.25,82.52,81.75,82.16,175539
2016-01-04T16:30,82.14,82.52,81.86,81.9,127318
2016-01-04T17:30,81.92,82.48,81.73,82.46,89609
2016-01-04T18:30,82.44,82.64,82.37,82.47,109255
2016-01-04T19:30,82.49,82.53,81.99,82.21,167357
2016-01-04T20:30,82.21,82.87,82.21,82.85,194767
2016-01-05T14:30,82.56,83.18,82.1,82.1,101666
2016-01-05T15:30,82.12,82.68,82.04,82.05,64551
2016-01-05T16:30,82.02,82.19,81.68,81.87,62515
2016-01-05T17:30,81.86,82.2,81.77,81.79,49353
2016-01-05T18:30,81.77,82.33,81.77,82.3,57636
2016-01-05T19:30,82.29,82.35,81.81,81.85,102800
2016-01-05T20:30,81.92,82.22,81.81,82.1,173593
2016-01-06T14:30,80.87,81.24,80.59,80.63,252455
2016-01-06T15:30,80.61,80.73,80.13,80.4,202402
2016-01-06T16:30,80.41,80.57,79.67,79.75,137062
2016-01-06T17:30,79.75,79.96,79.41,79.56,118862
2016-01-06T18:30,79.57,79.76,79.33,79.66,186312
2016-01-06T19:30,79.63,79.69,79.17,79.54,248818
2016-01-06T20:30,79.54,79.95,79.53,79.89,215355
2016-01-07T14:30,78.35,78.66,77.55,77.9,282724
2016-01-07T15:30,77.92,78.35,77.68,78.05,244291
2016-01-07T16:30,78.04,78.17,77.44,77.55,185384
2016-01-07T17:30,77.55,77.64,76.47,76.66,192849
2016-01-07T18:30,76.65,76.72,76.26,76.49,213899
2016-01-07T19:30,76.46,76.75,76.07,76.12,268684
2016-01-07T20:30,76.1,76.45,76.09,76.21,402422
2016-01-08T14:30,76.84,77.6,76.41,77.01,195851
2016-01-08T15:30,77.01,77.58,76.93,77.5,188520
2016-01-08T16:30,77.5,77.89,77.25,77.89,132475
2016-01-08T17:30,77.92,77.92,77.29,77.34,152224
2016-01-08T18:30,77.34,77.5,76.92,76.98,114466
2016-01-08T19:30,76.99,77.13,76.75,76.79,152111
2016-01-08T20:30,76.77,76.77,76.07,76.26,256333
2016-01-11T14:30,76.72,77.17,75.91,76.88,265527
2016-01-11T15:30,76.93,76.93,75.69,76.04,159267
2016-01-11T16:30,76.07,76.44,75.93,76.08,109669
2016-01-11T17:30,76.07,76.15,75.56,75.57,103910
2016-01-11T18:30,75.52,76.11,75.44,76.01,117437
2016-01-11T19:30,76.05,76.21,75.62,76.18,302340
2016-01-11T20:30,76.18,76.46,76.11,76.23,243044
2016-01-12T14:30,77.33,77.5,76.04,77.11,172829
2016-01-12T15:30,77.09,77.12,76.4,76.46,131891
2016-01-12T16:30,76.44,76.55,76.13,76.15,81081
2016-01-12T17:30,76.13,76.5,75.95,76.08,84019
2016-01-12T18:30,76.07,76.28,75.69,75.82,165323
2016-01-12T19:30,75.81,77.05,75.78,76.94,166646
2016-01-12T20:30,76.92,77.15,76.8,76.97,198590
2016-01-13T14:30,77.34,77.93,77.1,77.62,215032
2016-01-13T15:30,77.62,77.62,77.11,77.38,211181
2016-01-13T16:30,77.37,77.47,76.88,77.07,126002
2016-01-13T17:30,77.06,77.1,76.6,76.66,116094
2016-01-13T18:30,76.67,76.74,76.16,76.28,172895
2016-01-13T19:30,76.27,76.44,75.6,76.31,201829
2016-01-13T20:30,76.29,76.42,75.71,75.86,238209
2016-01-14T14:30,76.19,76.35,74.5,76.08,236850
2016-01-14T15:30,76.04,76.92,75.77,75.89,167428
2016-01-14T16:30,75.94,76.05,75.59,75.82,85890
2016-01-14T17:30,75.85,76.31,75.73,76.22,170871
2016-01-14T18:30,76.21,76.4,76.11,76.26,163547
2016-01-14T19:30,76.23,76.38,76.03,76.13,212238
2016-01-14T20:30,76.14,76.15,75.37,75.53,370774
2016-01-15T14:30,73.36,74.51,73.02,74.26,390366
2016-01-15T15:30,74.26,74.69,73.78,74.04,235969
2016-01-15T16:30,74.07,74.15,73.53,73.68,130878
2016-01-15T17:30,73.65,74.21,73.24,74.13,136827
2016-01-15T18:30,74.14,74.84,74.08,74.67,179101
2016-01-15T19:30,74.69,75.42,74.58,75.04,195630
2016-01-15T20:30,75.02,75.06,74.59,74.8,158486
2016-01-19T14:30,75.59,75.77,74.13,74.96,212027
2016-01-19T15:30,74.94,75.06,74.49,74.94,292688
2016-01-19T16:30,74.96,75.42,74.62,74.87,139745
2016-01-19T17:30,74.86,75.05,74.49,74.54,93067
2016-01-19T18:30,74.53,74.61,73.42,73.66,168884
2016-01-19T19:30,73.69,74.44,73.32,74.42,218950
2016-01-19T20:30,74.41,74.75,74.26,74.47,329681
2016-01-20T14:30,73.01,73.53,72.26,72.74,423790
2016-01-20T15:30,72.72,72.76,72.2,72.61,277145
2016-01-20T16:30,72.62,72.71,71.42,71.48,140460
2016-01-20T17:30,71.45,72.65,71.45,72.62,367591
2016-01-20T18:30,72.61,73.09,72.53,72.61,307220
2016-01-20T19:30,72.61,74.05,72.44,74.03,334732
2016-01-20T20:30,74.01,74.04,73.16,73.21,243105
2016-01-21T14:30,73.92,73.92,71.9,73.25,164354
2016-01-21T15:30,73.21,74.04,73.13,73.5,178140
2016-01-21T16:30,73.52,74.67,73.51,74.51,137045
2016-01-21T17:30,74.61,74.66,73.59,73.59,131383
2016-01-21T18:30,73.63,74.11,73.05,73.33,169945
2016-01-21T19:30,73.38,73.96,73.3,73.68,210740
2016-01-21T20:30,73.69,74,73.47,73.49,242885
2016-01-22T14:30,73.39,75.45,73.39,74.93,158825
2016-01-22T15:30,74.85,74.89,73.64,73.85,126982
2016-01-22T16:30,73.88,74.13,73.51,74.01,61436
2016-01-22T17:30,74.02,74.37,73.92,74.05,66140
2016-01-22T18:30,74.06,74.73,74.06,74.53,103588
2016-01-22T19:30,74.55,74.73,74.27,74.67,159900
2016-01-22T20:30,74.68,74.8,74.5,74.74,124255
2016-01-25T14:30,74.63,74.93,73.82,74.46,213824
2016-01-25T15:30,74.46,74.59,73.18,73.75,266653
2016-01-25T16:30,73.77,73.87,73.44,73.81,133647
2016-01-25T17:30,73.8,74.39,73.78,74.28,82017
2016-01-25T18:30,74.31,74.54,73.96,74.48,102971
2016-01-25T19:30,74.52,74.71,74.1,74.25,254888
2016-01-25T20:30,74.25,74.28,73.82,73.99,245148
2016-01-26T14:30,74.6,76.5,74.36,76.45,302155
2016-01-26T15:30,76.48,77.51,76.04,77.37,441631
2016-01-26T16:30,77.36,77.86,76.77,77.82,400611
2016-01-26T17:30,77.81,77.83,76.9,77.13,230260
2016-01-26T18:30,77.1,77.3,76.85,76.96,228585
2016-01-26T19:30,76.97,76.97,76.62,76.81,339290
2016-01-26T20:30,76.8,77.19,76.79,77.1,472319
2016-01-27T14:30,75.19,77.97,75.06,75.73,401799
2016-01-27T15:30,75.77,76.85,75.33,76.55,228223
2016-01-27T16:30,76.55,78.47,76.53,77.76,277525
2016-01-27T17:30,77.79,78.45,77.68,77.99,216966
2016-01-27T18:30,78,79.53,77.62,77.69,297567
2016-01-27T19:30,77.65,78.03,76,76.22,410795
2016-01-27T20:30,76.25,76.94,76.25,76.61,320447
2016-01-28T14:30,76.59,77.17,75.55,75.55,497060
2016-01-28T15:30,75.6,76.95,75.2,76.57,185408
2016-01-28T16:30,76.58,76.58,75.26,75.93,207864
2016-01-28T17:30,75.93,76.54,75.77,76,135247
2016-01-28T18:30,76.03,76.5,75.82,76.08,160896
2016-01-28T19:30,76.06,76.5,75.78,75.85,216594
2016-01-28T20:30,75.83,76.12,75.74,76,261512
2016-01-29T14:30,76.34,78.12,75.64,76.92,226746
2016-01-29T15:30,76.96,77.16,76.71,76.92,158502
