date,open,high,low,close,volume
2016-01-04T14:30,36.49,36.52,36.22,36.45,195496
2016-01-04T15:30,36.45,36.46,36.2,36.27,153857
2016-01-04T16:30,36.28,36.37,36.12,36.19,231387
2016-01-04T17:30,36.19,36.3,36.13,36.17,196993
2016-01-04T18:30,36.16,36.2,36.09,36.14,159990
2016-01-04T19:30,36.14,36.15,36.06,36.12,194149
2016-01-04T20:30,36.13,36.29,36.1,36.25,641455
2016-01-05T14:30,36.23,36.5,36.14,36.46,225396
2016-01-05T15:30,36.46,36.67,36.43,36.67,304296
2016-01-05T16:30,36.67,36.75,36.53,36.55,251398
2016-01-05T17:30,36.55,36.6,36.46,36.55,345172
2016-01-05T18:30,36.54,36.83,36.54,36.81,224468
2016-01-05T19:30,36.81,36.85,36.73,36.79,206373
2016-01-05T20:30,36.79,36.89,36.77,36.83,460046
2016-01-06T14:30,36.43,36.78,36.28,36.74,235271
2016-01-06T15:30,36.74,36.88,36.7,36.84,259510
2016-01-06T16:30,36.84,36.92,36.77,36.86,168241
2016-01-06T17:30,36.87,36.93,36.82,36.86,165740
2016-01-06T18:30,36.86,36.96,36.8,36.94,231084
2016-01-06T19:30,36.94,36.96,36.78,36.89,395692
2016-01-06T20:30,36.89,37.03,36.88,36.97,770838
2016-01-07T14:30,36.41,37.11,36.4,37.07,417119
2016-01-07T15:30,37.08,37.34,37.07,37.15,541465
2016-01-07T16:30,37.16,37.29,37.12,37.17,282417
2016-01-07T17:30,37.17,37.2,36.92,37.04,299498
2016-01-07T18:30,37.04,37.15,36.96,37.08,272823
2016-01-07T19:30,37.08,37.27,36.86,36.88,408398
2016-01-07T20:30,36.87,37.17,36.87,37.1,650498
2016-01-08T14:30,37.23,37.39,37.01,37.25,324048
2016-01-08T15:30,37.25,37.38,37.2,37.25,240493
2016-01-08T16:30,37.25,37.36,37.16,37.36,273885
2016-01-08T17:30,37.36,37.36,37.22,37.3,208748
2016-01-08T18:30,37.3,37.36,37.25,37.26,355554
2016-01-08T19:30,37.25,37.34,37.11,37.13,414072
2016-01-08T20:30,37.13,37.16,36.91,37.09,885857
2016-01-11T14:30,37.13,37.36,37.1,37.32,344283
2016-01-11T15:30,37.32,37.44,37.15,37.36,297360
2016-01-11T16:30,37.36,37.49,37.3,37.35,252281
2016-01-11T17:30,37.35,37.43,37.21,37.21,219180
2016-01-11T18:30,37.22,37.38,37.08,37.32,362859
2016-01-11T19:30,37.32,37.43,37.17,37.41,411957
2016-01-11T20:30,37.42,37.51,37.36,37.41,493404
2016-01-12T14:30,37.64,37.72,37.34,37.34,159756
2016-01-12T15:30,37.34,37.41,37.3,37.37,317467
2016-01-12T16:30,37.37,37.44,37.3,37.37,307315
2016-01-12T17:30,37.37,37.4,37.25,37.27,263282
2016-01-12T18:30,37.27,37.34,37.16,37.22,308309
2016-01-12T19:30,37.22,37.55,37.21,37.51,404515
2016-01-12T20:30,37.51,37.57,37.45,37.53,468745
2016-01-13T14:30,37.49,37.65,37.37,37.56,390020
2016-01-13T15:30,37.55,37.55,37.35,37.36,225139
2016-01-13T16:30,37.36,37.38,37.19,37.24,143700
2016-01-13T17:30,37.23,37.24,37.11,37.11,217491
2016-01-13T18:30,37.11,37.14,36.89,36.94,273980
2016-01-13T19:30,36.93,36.98,36.67,36.95,371614
2016-01-13T20:30,36.94,36.99,36.81,36.83,488821
2016-01-14T14:30,36.92,37.04,36.69,36.76,261712
2016-01-14T15:30,36.76,37.07,36.72,37.02,504310
2016-01-14T16:30,37.02,37.09,36.92,36.98,271554
2016-01-14T17:30,36.98,37.08,36.94,37.02,199134
2016-01-14T18:30,37.03,37.11,36.94,37.11,191780
2016-01-14T19:30,37.11,37.38,37.08,37.32,282383
2016-01-14T20:30,37.33,37.36,37.2,37.22,449293
2016-01-15T14:30,36.54,36.73,36.4,36.43,485502
2016-01-15T15:30,36.43,36.51,36.25,36.33,274999
2016-01-15T16:30,36.32,36.46,36.27,36.31,292437
2016-01-15T17:30,36.3,36.36,36.14,36.21,267489
2016-01-15T18:30,36.2,36.36,36.11,36.23,204664
2016-01-15T19:30,36.23,36.45,36.19,36.36,309237
2016-01-15T20:30,36.36,36.42,36.3,36.37,385206
2016-01-19T14:30,36.79,37.38,36.72,37.02,492702
2016-01-19T15:30,37.01,37.02,36.72,36.85,233748
2016-01-19T16:30,36.86,36.95,36.69,36.78,177965
2016-01-19T17:30,36.78,36.79,36.69,36.71,167672
2016-01-19T18:30,36.7,36.87,36.66,36.7,195468
2016-01-19T19:30,36.69,36.7,36.53,36.66,375914
2016-01-19T20:30,36.66,36.86,36.62,36.77,477638
2016-01-20T14:30,36.38,36.62,36.06,36.08,283979
2016-01-20T15:30,36.09,36.11,35.72,35.74,348409
2016-01-20T16:30,35.73,35.78,35.27,35.3,262103
2016-01-20T17:30,35.3,35.35,35.17,35.2,333013
2016-01-20T18:30,35.2,35.41,35.15,35.4,658959
2016-01-20T19:30,35.41,36.07,35.41,36.07,798674
2016-01-20T20:30,36.06,36.12,35.79,35.85,536156
2016-01-21T14:30,35.99,36.2,35.61,35.81,506801
2016-01-21T15:30,35.82,35.95,35.75,35.89,296085
2016-01-21T16:30,35.9,36.04,35.83,35.99,273358
2016-01-21T17:30,36,36.01,35.57,35.57,255108
2016-01-21T18:30,35.57,35.63,35.32,35.38,372881
2016-01-21T19:30,35.39,35.8,35.39,35.52,817982
2016-01-21T20:30,35.53,35.67,35.45,35.46,640615
2016-01-22T14:30,35.85,36.2,35.76,36.1,730110
2016-01-22T15:30,36.1,36.15,35.92,35.97,420324
2016-01-22T16:30,35.98,36.03,35.92,36.03,426705
2016-01-22T17:30,36.04,36.17,36.03,36.11,272966
