date,open,high,low,close,volume
2016-01-04T14:30,20.78,20.78,20.17,20.29,212700
2016-01-04T15:30,20.29,20.37,20.21,20.29,238636
2016-01-04T16:30,20.29,20.46,20.29,20.46,137556
2016-01-04T17:30,20.45,20.67,20.42,20.66,142608
2016-01-04T18:30,20.66,20.68,20.48,20.53,87816
2016-01-04T19:30,20.51,20.55,20.43,20.47,211560
2016-01-04T20:30,20.48,20.6,20.47,20.59,268780
2016-01-05T14:30,20.6,20.75,20.41,20.41,160836
2016-01-05T15:30,20.42,20.58,20.35,20.45,158908
2016-01-05T16:30,20.46,20.46,20.32,20.36,87660
2016-01-05T17:30,20.39,20.4,20.3,20.38,139392
2016-01-05T18:30,20.38,20.48,20.37,20.41,81984
2016-01-05T19:30,20.41,20.52,20.35,20.41,102476
2016-01-05T20:30,20.41,20.53,20.4,20.52,246912
2016-01-06T14:30,20.27,20.42,20.14,20.2,137396
2016-01-06T15:30,20.2,20.3,20.13,20.27,107356
2016-01-06T16:30,20.27,20.35,20.25,20.3,83464
2016-01-06T17:30,20.29,20.42,20.19,20.22,78136
2016-01-06T18:30,20.24,20.31,20.2,20.28,127740
2016-01-06T19:30,20.28,20.44,20.21,20.42,233668
2016-01-06T20:30,20.44,20.49,20.42,20.45,407332
2016-01-07T14:30,20.2,20.35,20.01,20.23,112680
2016-01-07T15:30,20.29,20.34,20.2,20.29,162312
2016-01-07T16:30,20.29,20.38,20.26,20.38,110284
2016-01-07T17:30,20.36,20.36,20.22,20.28,145192
2016-01-07T18:30,20.28,20.35,20.24,20.3,120032
2016-01-07T19:30,20.3,20.43,20.29,20.33,135112
2016-01-07T20:30,20.35,20.4,20.32,20.32,262384
2016-01-08T14:30,20.45,20.45,20.19,20.28,126816
2016-01-08T15:30,20.28,20.3,19.99,19.99,87004
2016-01-08T16:30,19.96,20.09,19.88,20.09,84400
2016-01-08T17:30,20.09,20.13,19.97,20.08,100516
2016-01-08T18:30,20.1,20.14,19.99,20.06,111888
2016-01-08T19:30,20.04,20.13,20.04,20.09,143728
2016-01-08T20:30,20.08,20.08,19.98,20.01,253932
2016-01-11T14:30,20.09,20.09,19.82,19.9,53636
2016-01-11T15:30,19.92,19.95,19.61,19.62,126336
2016-01-11T16:30,19.66,19.72,19.62,19.66,139640
2016-01-11T17:30,19.64,19.71,19.59,19.6,157748
2016-01-11T18:30,19.59,19.61,19.43,19.53,74064
2016-01-11T19:30,19.53,19.69,19.44,19.65,99312
2016-01-11T20:30,19.69,19.76,19.63,19.66,200820
2016-01-12T14:30,19.79,20.04,19.65,19.68,94268
2016-01-12T15:30,19.7,19.78,19.6,19.61,135920
2016-01-12T16:30,19.63,19.73,19.6,19.66,83192
2016-01-12T17:30,19.65,19.74,19.57,19.58,81340
2016-01-12T18:30,19.62,19.78,19.54,19.62,50600
2016-01-12T19:30,19.59,19.89,19.59,19.85,106116
2016-01-12T20:30,19.82,19.93,19.78,19.89,146644
2016-01-13T14:30,19.93,20.02,19.77,19.94,56460
2016-01-13T15:30,19.86,19.88,19.65,19.68,122404
2016-01-13T16:30,19.68,19.72,19.52,19.58,49972
2016-01-13T17:30,19.61,19.69,19.55,19.61,56204
2016-01-13T18:30,19.56,19.56,19.35,19.42,75948
2016-01-13T19:30,19.37,19.47,19.18,19.42,128276
2016-01-13T20:30,19.42,19.42,19.2,19.23,292340
2016-01-14T14:30,19.35,19.83,19.08,19.36,74576
2016-01-14T15:30,19.4,19.51,19.29,19.34,120896
2016-01-14T16:30,19.36,19.6,19.36,19.53,61588
2016-01-14T17:30,19.52,19.7,19.43,19.51,36552
2016-01-14T18:30,19.56,19.59,19.43,19.53,66236
2016-01-14T19:30,19.55,19.68,19.49,19.5,86708
2016-01-14T20:30,19.51,19.58,19.39,19.48,160088
2016-01-15T14:30,19.12,19.32,18.95,19.32,98420
2016-01-15T15:30,19.3,19.41,19.23,19.38,165324
2016-01-15T16:30,19.39,19.44,19.19,19.21,92600
2016-01-15T17:30,19.18,19.39,19.08,19.21,117672
2016-01-15T18:30,19.18,19.36,19.18,19.31,106616
2016-01-15T19:30,19.3,19.58,19.28,19.49,162524
2016-01-15T20:30,19.49,19.56,19.41,19.44,301380
2016-01-19T14:30,19.43,19.52,19.3,19.37,155644
2016-01-19T15:30,19.41,19.54,19.25,19.35,101216
2016-01-19T16:30,19.4,19.49,19.23,19.37,78428
2016-01-19T17:30,19.31,19.41,19.29,19.31,157908
2016-01-19T18:30,19.3,19.32,19.05,19.13,107960
2016-01-19T19:30,19.13,19.2,19.01,19.19,130032
2016-01-19T20:30,19.19,19.27,19.1,19.16,273352
2016-01-20T14:30,18.92,19.1,18.77,18.99,85216
2016-01-20T15:30,18.97,18.97,18.74,18.84,132356
2016-01-20T16:30,18.83,18.92,18.69,18.7,108876
2016-01-20T17:30,18.69,18.91,18.65,18.88,73012
2016-01-20T18:30,18.88,19.24,18.88,19.2,58896
2016-01-20T19:30,19.18,19.49,19.12,19.48,163652
2016-01-20T20:30,19.48,19.49,19.18,19.22,171376
2016-01-21T14:30,19.05,19.37,18.97,19.34,216564
2016-01-21T15:30,19.31,19.37,19.14,19.25,88524
2016-01-21T16:30,19.3,19.56,19.3,19.47,103204
2016-01-21T17:30,19.4,19.59,19.37,19.42,73488
2016-01-21T18:30,19.37,19.48,19.31,19.38,81200
2016-01-21T19:30,19.41,19.55,19.37,19.37,77632
2016-01-21T20:30,19.39,19.44,19.28,19.28,191604
2016-01-22T14:30,19.48,19.7,19.33,19.6,135548
2016-01-22T15:30,19.62,19.82,19.6,19.77,274720
2016-01-22T16:30,19.8,19.9,19.73,19.9,53084
2016-01-22T17:30,19.9,19.98,19.8,19.95,69764
2016-01-22T18:30,19.93,20.07,19.89,19.98,81660
2016-01-22T19:30,19.97,19.98,19.85,19.96,83176
2016-01-22T20:30,19.98,20.08,19.96,20.04,197016
2016-01-25T14:30,19.79,19.95,19.72,19.86,166200
2016-01-25T15:30,19.83,19.92,19.66,19.74,187288
2016-01-25T16:30,19.75,19.76,19.64,19.66,54268
2016-01-25T17:30,19.7,19.77,19.6,19.72,81108
2016-01-25T18:30,19.71,19.71,19.38,19.44,73820
2016-01-25T19:30,19.46,19.49,19.22,19.28,220376
2016-01-25T20:30,19.26,19.31,19.21,19.29,197128
2016-01-26T14:30,19.28,19.38,19.06,19.32,84292
2016-01-26T15:30,19.29,19.35,19.22,19.26,122804
2016-01-26T16:30,19.27,19.56,19.26,19.49,97876
2016-01-26T17:30,19.53,19.62,19.44,19.62,47508
2016-01-26T18:30,19.64,19.64,19.43,19.51,64988
2016-01-26T19:30,19.47,19.51,19.39,19.44,65176
2016-01-26T20:30,19.44,19.61,19.39,19.61,174232
2016-01-27T14:30,19.56,19.66,19.44,19.56,81448
2016-01-27T15:30,19.57,19.73,19.53,19.62,88180
2016-01-27T16:30,19.63,19.9,19.61,19.78,58328
2016-01-27T17:30,19.79,19.82,19.64,19.7,51420
2016-01-27T18:30,19.69,19.78,19.54,19.56,56976
2016-01-27T19:30,19.6,19.66,19.35,19.42,142472
2016-01-27T20:30,19.43,19.49,19.35,19.43,88632
2016-01-28T14:30,19.6,19.6,18.91,19.04,74372
2016-01-28T15:30,18.9,19.37,18.9,19.32,54556
2016-01-28T16:30,19.21,19.21,18.94,19.04,78544
2016-01-28T17:30,19.08,19.15,18.9,18.91,124172
2016-01-28T18:30,18.88,19,18.85,18.94,129496
2016-01-28T19:30,18.94,19.07,18.85,18.88,61768
2016-01-28T20:30,18.85,18.97,18.77,18.95,230732
2016-01-29T14:30,18.95,19.27,18.95,19.08,105200
2016-01-29T15:30,19.1,19.16,18.95,19.02,74276
2016-01-29T16:30,19.01,19.08,18.93,19,84392
2016-01-29T17:30,18.97,19.13,18.88,19.01,62064
2016-01-29T18:30,19,19.09,18.91,19.05,94412
2016-01-29T19:30,19.06,19.27,19.02,19.26,224120
2016-01-29T20:30,19.24,19.32,19.16,19.3,238868
2016-02-01T14:30,19.14,20.26,18.9,19.12,134076
2016-02-01T15:30,19.05,19.17,19.04,19.1,116812
2016-02-01T16:30,19.11,19.19,19.02,19.05,176220
2016-02-01T17:30,19.05,19.19,19.01,19.18,161492
2016-02-01T18:30,19.18,19.26,19.09,19.17,151384
2016-02-01T19:30,19.17,19.34,19.12,19.23,221944
2016-02-01T20:30,19.23,19.26,19.03,19.1,311128
2016-02-02T14:30,20.94,21.18,20.12,20.52,451644
2016-02-02T15:30,20.49,20.65,20.17,20.47,271684
2016-02-02T16:30,20.43,20.47,20.13,20.31,204692
2016-02-02T17:30,20.25,20.52,20.09,20.16,161012
2016-02-02T18:30,20.17,20.36,19.85,20.11,479120
2016-02-02T19:30,20.09,20.24,20.03,20.18,429756
2016-02-02T20:30,20.2,20.22,20.04,20.12,476384
2016-02-03T14:30,20.33,20.35,19.58,19.74,286816
2016-02-03T15:30,19.72,19.88,19.59,19.6,366664
2016-02-03T16:30,19.64,19.75,19.52,19.61,182136
2016-02-03T17:30,19.59,19.65,19.51,19.63,132880
2016-02-03T18:30,19.63,19.81,19.56,19.8,177920
2016-02-03T19:30,19.82,20.08,19.81,19.86,234892
2016-02-03T20:30,19.9,20.04,19.84,20.03,423096
2016-02-04T14:30,19.9,20.25,19.61,20.18,182504
2016-02-04T15:30,20.18,20.25,19.87,19.94,153060
2016-02-04T16:30,19.92,19.96,19.81,19.88,145640
2016-02-04T17:30,19.84,19.91,19.75,19.79,127184
2016-02-04T18:30,19.79,19.83,19.67,19.81,188664
2016-02-04T19:30,19.79,19.83,19.66,19.71,284452
2016-02-04T20:30,19.74,19.81,19.72,19.79,229948
2016-02-05T14:30,19.7,19.79,19.48,19.6,287900
2016-02-05T15:30,19.57,19.71,19.5,19.57,324464
2016-02-05T16:30,19.6,19.61,19.32,19.38,291496
2016-02-05T17:30,19.37,19.6,19.36,19.56,180296
2016-02-05T18:30,19.57,19.82,19.55,19.76,297168
2016-02-05T19:30,19.75,19.82,19.62,19.74,292480
2016-02-05T20:30,19.74,20.43,19.73,20.42,1164120
2016-02-08T14:30,20.19,20.35,19.8,19.86,190128
2016-02-08T15:30,19.85,20.04,19.76,19.83,89344
2016-02-08T16:30,19.87,19.94,19.69,19.91,106428
2016-02-08T17:30,19.91,19.98,19.7,19.75,98764
2016-02-08T18:30,19.76,19.78,19.65,19.77,94568
2016-02-08T19:30,19.76,19.93,19.7,19.87,117660
2016-02-08T20:30,19.87,19.99,19.8,19.83,268056
2016-02-09T14:30,19.6,20.16,19.48,19.95,77668
2016-02-09T15:30,19.9,19.97,19.68,19.89,176420
2016-02-09T16:30,19.87,19.93,19.68,19.82,65144
2016-02-09T17:30,19.78,19.83,19.71,19.76,44760
2016-02-09T18:30,19.75,19.85,19.69,19.73,51388
2016-02-09T19:30,19.72,20.03,19.72,19.77,101316
2016-02-09T20:30,19.8,19.9,19.68,19.76,171264
2016-02-10T14:30,19.92,21.06,19.64,20.12,63764
2016-02-10T15:30,20.12,20.25,20.05,20.15,105856
2016-02-10T16:30,20.14,20.29,20.06,20.29,44612
2016-02-10T17:30,20.19,20.46,20.18,20.2,53536
2016-02-10T18:30,20.23,20.31,20.11,20.17,56860
2016-02-10T19:30,20.12,20.16,19.96,19.96,80228
2016-02-10T20:30,19.91,19.94,19.83,19.87,139296
2016-02-11T14:30,19.57,21.12,19.2,19.65,65764
2016-02-11T15:30,19.6,19.76,19.51,19.56,63080
2016-02-11T16:30,19.5,19.82,19.47,19.68,41528
2016-02-11T17:30,19.59,19.81,19.54,19.65,64528
2016-02-11T18:30,19.62,19.62,19.41,19.41,57136
2016-02-11T19:30,19.39,19.66,19.39,19.58,107004
2016-02-11T20:30,19.55,19.72,19.49,19.53,247540
2016-02-12T14:30,19.8,20.86,19.46,19.79,48056
2016-02-12T15:30,19.68,19.85,19.63,19.85,36080
2016-02-12T16:30,19.89,19.89,19.71,19.82,39688
2016-02-12T17:30,19.81,19.84,19.7,19.72,45228
2016-02-12T18:30,19.78,19.92,19.74,19.89,47016
2016-02-12T19:30,19.87,19.95,19.82,19.89,73328
2016-02-12T20:30,19.87,19.88,19.78,19.79,122272
2016-02-16T14:30,20.03,20.3,19.67,20.13,62832
2016-02-16T15:30,20.19,20.38,20.15,20.28,128800
2016-02-16T16:30,20.37,20.6,20.36,20.46,184584
2016-02-16T17:30,20.47,20.56,20.35,20.53,56872
2016-02-16T18:30,20.52,20.53,20.42,20.45,29552
2016-02-16T19:30,20.4,20.49,20.4,20.46,58132
2016-02-16T20:30,20.47,20.53,20.44,20.49,101404
2016-02-17T14:30,20.58,20.72,20.28,20.57,62356
2016-02-17T15:30,20.62,20.62,20.46,20.51,67808
2016-02-17T16:30,20.53,20.63,20.47,20.54,74176
2016-02-17T17:30,20.5,20.58,20.37,20.46,76300
2016-02-17T18:30,20.48,20.61,20.44,20.53,49572
2016-02-17T19:30,20.54,20.57,20.46,20.52,77988
2016-02-17T20:30,20.53,20.58,20.48,20.55,141040
2016-02-18T14:30,20.57,20.72,20.47,20.64,39672
2016-02-18T15:30,20.64,20.64,20.43,20.5,83788
2016-02-18T16:30,20.56,20.61,20.45,20.49,140740
2016-02-18T17:30,20.48,20.52,20.34,20.41,106716
2016-02-18T18:30,20.42,20.42,20.28,20.38,40928
2016-02-18T19:30,20.38,20.47,20.3,20.34,69112
2016-02-18T20:30,20.33,20.42,20.29,20.41,228268
2016-02-19T14:30,20.29,20.5,20.17,20.28,138820
2016-02-19T15:30,20.36,20.62,20.27,20.62,210972
2016-02-19T16:30,20.62,20.62,20.5,20.58,57460
2016-02-19T17:30,20.58,20.63,20.53,20.58,38872
2016-02-19T18:30,20.61,20.77,20.59,20.7,44508
2016-02-19T19:30,20.65,20.81,20.65,20.81,131028
2016-02-19T20:30,20.79,20.82,20.7,20.71,192576
2016-02-22T14:30,20.92,20.94,20.42,20.58,72144
