date,open,high,low,close,volume
2016-01-04T14:30,34.29,34.3,33.86,33.94,120754
2016-01-04T15:30,33.94,33.96,33.7,33.8,105238
2016-01-04T16:30,33.8,34.01,33.79,34,76243
2016-01-04T17:30,33.99,34.15,33.94,34.05,77786
2016-01-04T18:30,34.06,34.19,34.04,34.14,70356
2016-01-04T19:30,34.12,34.15,33.94,33.98,116370
2016-01-04T20:30,33.98,34.12,33.98,34.12,171897
2016-01-05T14:30,34.21,34.24,33.77,33.8,104229
2016-01-05T15:30,33.79,33.98,33.75,33.79,155682
2016-01-05T16:30,33.79,33.89,33.66,33.73,91844
2016-01-05T17:30,33.73,33.91,33.73,33.86,81139
2016-01-05T18:30,33.86,34.1,33.8,34.09,60047
2016-01-05T19:30,34.1,34.13,33.94,34,86058
2016-01-05T20:30,34,34.06,33.98,34.04,157027
2016-01-06T14:30,33.45,33.95,33.44,33.92,99192
2016-01-06T15:30,33.92,34.11,33.88,34.02,104002
2016-01-06T16:30,34.03,34.07,33.93,33.97,84529
2016-01-06T17:30,33.96,34,33.9,33.91,78710
2016-01-06T18:30,33.9,34.03,33.88,34.01,114889
2016-01-06T19:30,34.01,34.02,33.86,33.92,152646
2016-01-06T20:30,33.92,34.03,33.91,34,234937
2016-01-07T14:30,33.09,33.39,32.84,33.08,205836
2016-01-07T15:30,33.08,33.32,32.95,33.03,149167
2016-01-07T16:30,33.04,33.09,32.71,32.72,174627
2016-01-07T17:30,32.72,32.78,32.43,32.45,193344
2016-01-07T18:30,32.46,32.49,32.24,32.32,195247
2016-01-07T19:30,32.33,32.45,32.3,32.3,168344
2016-01-07T20:30,32.31,32.53,32.31,32.43,412806
2016-01-08T14:30,32.61,32.66,32.48,32.54,259637
2016-01-08T15:30,32.54,32.78,32.52,32.69,141486
2016-01-08T16:30,32.69,33.09,32.65,33.09,113363
2016-01-08T17:30,33.09,33.09,32.99,33.01,131894
2016-01-08T18:30,33.02,33.09,32.95,32.95,148474
2016-01-08T19:30,32.96,32.98,32.8,32.82,153669
2016-01-08T20:30,32.82,32.82,32.63,32.66,218038
2016-01-11T14:30,32.93,33.03,32.63,32.75,132235
2016-01-11T15:30,32.76,32.77,32.54,32.61,150184
2016-01-11T16:30,32.61,32.79,32.59,32.63,110959
2016-01-11T17:30,32.64,32.7,32.47,32.47,66568
2016-01-11T18:30,32.47,32.56,32.43,32.51,105908
2016-01-11T19:30,32.51,32.51,32.39,32.41,208772
2016-01-11T20:30,32.42,32.59,32.42,32.43,247563
2016-01-12T14:30,32.73,32.94,32.57,32.69,201818
2016-01-12T15:30,32.69,32.73,32.54,32.54,131076
2016-01-12T16:30,32.55,32.56,32.44,32.48,149907
2016-01-12T17:30,32.47,32.64,32.47,32.57,121897
2016-01-12T18:30,32.56,32.66,32.54,32.61,120574
2016-01-12T19:30,32.61,32.75,32.58,32.7,143761
2016-01-12T20:30,32.69,32.78,32.63,32.75,225549
2016-01-13T14:30,33.02,33.24,32.93,33.09,115923
2016-01-13T15:30,33.09,33.15,33,33.09,95210
2016-01-13T16:30,33.09,33.14,32.84,32.88,67626
2016-01-13T17:30,32.88,32.91,32.58,32.61,67027
2016-01-13T18:30,32.62,32.63,32.34,32.41,88152
2016-01-13T19:30,32.4,32.4,32.19,32.34,138765
2016-01-13T20:30,32.36,32.41,32.26,32.28,174898
2016-01-14T14:30,32.36,32.49,32.09,32.42,230513
2016-01-14T15:30,32.41,32.6,32.38,32.4,132191
2016-01-14T16:30,32.41,32.43,32.28,32.36,66333
2016-01-14T17:30,32.35,32.64,32.35,32.64,136891
2016-01-14T18:30,32.65,32.75,32.59,32.72,176272
2016-01-14T19:30,32.72,33.01,32.71,32.96,122285
2016-01-14T20:30,32.95,32.96,32.81,32.88,223564
2016-01-15T14:30,31.85,32.47,31.85,32.4,112385
2016-01-15T15:30,32.39,32.49,32.24,32.35,129862
2016-01-15T16:30,32.36,32.4,32.23,32.28,142047
2016-01-15T17:30,32.27,32.33,32.12,32.23,203738
2016-01-15T18:30,32.23,32.33,32.11,32.18,107910
2016-01-15T19:30,32.18,32.45,32.16,32.34,250962
2016-01-15T20:30,32.35,32.38,32.28,32.32,141525
2016-01-19T14:30,32.31,32.65,32.31,32.63,127906
2016-01-19T15:30,32.64,32.65,32.53,32.58,74876
2016-01-19T16:30,32.58,32.63,32.52,32.58,68349
2016-01-19T17:30,32.58,32.63,32.47,32.57,46868
2016-01-19T18:30,32.56,32.57,32.13,32.23,80766
2016-01-19T19:30,32.24,32.41,32.15,32.41,150876
2016-01-19T20:30,32.42,32.64,32.41,32.55,218241
2016-01-20T14:30,32.07,32.1,31.84,31.84,155948
2016-01-20T15:30,31.84,31.85,31.49,31.56,124359
2016-01-20T16:30,31.56,31.67,31.25,31.26,90397
2016-01-20T17:30,31.27,31.55,31.21,31.54,88850
2016-01-20T18:30,31.54,31.93,31.53,31.86,96007
2016-01-20T19:30,31.86,32.49,31.83,32.49,167548
2016-01-20T20:30,32.49,32.49,32.2,32.24,280322
2016-01-21T14:30,32.41,32.6,32.09,32.47,140805
2016-01-21T15:30,32.49,32.68,32.43,32.51,73542
2016-01-21T16:30,32.51,32.86,32.5,32.84,63388
2016-01-21T17:30,32.86,32.93,32.75,32.75,106844
2016-01-21T18:30,32.74,32.82,32.5,32.6,85147
2016-01-21T19:30,32.6,32.89,32.6,32.8,176907
2016-01-21T20:30,32.8,32.94,32.79,32.84,222179
2016-01-22T14:30,33.51,33.67,33.43,33.62,142192
2016-01-22T15:30,33.65,33.75,33.5,33.54,116882
2016-01-22T16:30,33.54,33.57,33.31,33.35,129460
2016-01-22T17:30,33.35,33.41,33.26,33.29,121851
2016-01-22T18:30,33.3,33.39,33.23,33.26,148830
2016-01-22T19:30,33.26,33.48,33.18,33.47,162423
2016-01-22T20:30,33.47,33.57,33.42,33.56,125035
2016-01-25T14:30,33.35,33.55,33.33,33.43,162753
2016-01-25T15:30,33.43,33.48,33.19,33.28,81440
2016-01-25T16:30,33.28,33.35,33.2,33.24,59044
2016-01-25T17:30,33.22,33.4,33.2,33.33,53103
2016-01-25T18:30,33.33,33.36,33.19,33.23,72254
2016-01-25T19:30,33.22,33.28,32.97,33,147137
2016-01-25T20:30,32.99,33.04,32.91,32.94,173065
2016-01-26T14:30,33.36,33.69,33.2,33.54,219227
2016-01-26T15:30,33.55,33.73,33.53,33.6,162860
2016-01-26T16:30,33.59,33.77,33.51,33.76,167872
2016-01-26T17:30,33.77,33.86,33.64,33.84,105380
2016-01-26T18:30,33.86,33.86,33.6,33.66,60011
2016-01-26T19:30,33.66,33.72,33.6,33.65,87746
2016-01-26T20:30,33.65,33.77,33.62,33.71,150104
2016-01-27T14:30,33.76,33.86,33.41,33.43,82528
2016-01-27T15:30,33.43,33.63,33.4,33.61,101753
2016-01-27T16:30,33.62,33.79,33.59,33.66,100907
2016-01-27T17:30,33.66,33.68,33.57,33.59,60363
2016-01-27T18:30,33.57,33.69,33.31,33.54,98304
2016-01-27T19:30,33.53,33.53,33.18,33.29,118909
2016-01-27T20:30,33.32,33.39,33.27,33.33,111754
2016-01-28T14:30,33.89,33.89,33.5,33.74,211337
2016-01-28T15:30,33.73,33.9,33.67,33.81,93819
2016-01-28T16:30,33.81,33.95,33.68,33.9,65614
2016-01-28T17:30,33.89,33.94,33.73,33.84,68012
2016-01-28T18:30,33.82,34.04,33.82,34.04,80467
2016-01-28T19:30,34.05,34.09,33.95,33.97,130650
2016-01-28T20:30,33.97,34.04,33.96,33.98,129254
2016-01-29T14:30,34.14,34.24,34.09,34.13,112603
2016-01-29T15:30,34.11,34.21,34.04,34.14,73045
2016-01-29T16:30,34.14,34.39,34.06,34.39,90697
2016-01-29T17:30,34.4,34.56,34.37,34.37,93266
2016-01-29T18:30,34.38,34.45,34.26,34.34,195339
2016-01-29T19:30,34.33,34.39,34.3,34.34,119556
2016-01-29T20:30,34.34,34.43,34.28,34.36,281107
2016-02-01T14:30,33.43,34.03,33.42,33.94,301382
2016-02-01T15:30,33.95,34.14,33.94,34.06,99606
2016-02-01T16:30,34.06,34.49,34.06,34.33,100572
2016-02-01T17:30,34.34,34.36,34.22,34.35,54957
2016-02-01T18:30,34.36,34.45,34.3,34.42,62638
2016-02-01T19:30,34.43,34.59,34.39,34.56,95439
2016-02-01T20:30,34.56,34.6,34.45,34.46,170694
2016-02-02T14:30,34.04,34.09,33.83,33.92,140385
2016-02-02T15:30,33.92,34.13,33.88,34,65636
2016-02-02T16:30,34,34.08,33.81,34,80577
2016-02-02T17:30,34,34.15,33.96,34.15,60605
2016-02-02T18:30,34.12,34.12,33.97,34.02,70083
2016-02-02T19:30,34.02,34.15,33.91,34.01,173872
2016-02-02T20:30,34.01,34.09,33.99,34.08,144254
2016-02-03T14:30,34.59,34.68,34.07,34.11,239164
2016-02-03T15:30,34.1,34.19,33.95,34.12,103026
2016-02-03T16:30,34.12,34.39,34.11,34.34,85922
2016-02-03T17:30,34.34,34.34,34.15,34.2,79218
2016-02-03T18:30,34.21,34.36,34.01,34.34,81452
2016-02-03T19:30,34.32,34.61,34.29,34.42,123644
2016-02-03T20:30,34.42,34.54,34.39,34.52,128570
2016-02-04T14:30,34.7,34.91,34.52,34.81,130838
2016-02-04T15:30,34.79,34.94,34.68,34.73,105690
2016-02-04T16:30,34.72,34.73,34.55,34.65,89427
2016-02-04T17:30,34.64,34.8,34.62,34.74,48562
2016-02-04T18:30,34.77,34.78,34.53,34.57,87658
2016-02-04T19:30,34.57,34.68,34.45,34.62,104867
2016-02-04T20:30,34.62,34.7,34.58,34.68,109261
2016-02-05T14:30,34.75,34.75,34,34,117993
2016-02-05T15:30,34,34.01,33.6,33.73,157264
2016-02-05T16:30,33.74,33.77,33.63,33.67,97225
2016-02-05T17:30,33.67,33.74,33.62,33.74,90060
2016-02-05T18:30,33.73,33.73,33.62,33.62,82250
2016-02-05T19:30,33.63,33.68,33.57,33.6,124403
2016-02-05T20:30,33.59,33.6,33.52,33.59,172270
2016-02-08T14:30,33.27,33.27,32.95,32.98,124503
2016-02-08T15:30,32.98,33.15,32.98,33.05,164125
2016-02-08T16:30,33.05,33.1,32.94,33.07,94760
2016-02-08T17:30,33.08,33.14,32.89,32.91,52827
2016-02-08T18:30,32.91,32.95,32.8,32.8,95475
2016-02-08T19:30,32.81,32.93,32.75,32.89,155781
2016-02-08T20:30,32.89,33.05,32.89,32.95,283489
2016-02-09T14:30,32.82,33.29,32.71,33,210445
2016-02-09T15:30,32.98,32.99,32.63,32.75,195032
2016-02-09T16:30,32.75,32.82,32.6,32.62,111176
