date,open,high,low,close,volume
2016-01-04T14:30,15.38,15.43,14.69,14.76,36951195
2016-01-04T15:30,14.76,14.89,14.62,14.84,18673215
2016-01-04T16:30,14.83,14.87,14.6,14.77,11932665
2016-01-04T17:30,14.77,14.9,14.73,14.88,6750690
2016-01-04T18:30,14.89,15.03,14.84,14.86,8110215
2016-01-04T19:30,14.84,14.93,14.72,14.77,7688700
2016-01-04T20:30,14.77,14.91,14.77,14.89,8632230
2016-01-05T14:30,15.09,15.13,14.72,14.84,17044380
2016-01-05T15:30,14.84,14.95,14.82,14.85,5291805
2016-01-05T16:30,14.84,14.89,14.75,14.78,5347095
2016-01-05T17:30,14.76,14.8,14.67,14.79,7070700
2016-01-05T18:30,14.79,15,14.78,14.93,5082615
2016-01-05T19:30,14.93,14.98,14.85,14.89,3640350
2016-01-05T20:30,14.88,14.93,14.87,14.89,3942255
2016-01-06T14:30,14.67,14.67,14.4,14.6,19958670
2016-01-06T15:30,14.59,14.63,14.51,14.59,8420235
2016-01-06T16:30,14.59,14.6,14.45,14.46,5706570
2016-01-06T17:30,14.46,14.5,14.43,14.47,4819425
2016-01-06T18:30,14.47,14.51,14.44,14.48,3285270
2016-01-06T19:30,14.47,14.59,14.42,14.58,7188945
2016-01-06T20:30,14.56,14.62,14.54,14.6,6109665
2016-01-07T14:30,14.28,14.56,14.24,14.47,11683050
2016-01-07T15:30,14.48,14.53,14.42,14.46,6277770
2016-01-07T16:30,14.47,14.52,14.44,14.47,2839065
2016-01-07T17:30,14.46,14.49,14.39,14.4,7272270
2016-01-07T18:30,14.39,14.41,14.25,14.32,7559400
2016-01-07T19:30,14.31,14.43,14.3,14.33,7873440
2016-01-07T20:30,14.34,14.41,14.33,14.39,7707225
2016-01-08T14:30,14.52,14.7,14.42,14.6,11293965
2016-01-08T15:30,14.61,14.64,14.37,14.37,5162760
2016-01-08T16:30,14.37,14.43,14.29,14.38,4988655
2016-01-08T17:30,14.38,14.38,14.14,14.2,7040565
2016-01-08T18:30,14.19,14.28,14.13,14.14,6330285
2016-01-08T19:30,14.14,14.26,14.12,14.12,8108475
2016-01-08T20:30,14.13,14.15,14.05,14.07,9260400
2016-01-11T14:30,14.27,14.3,13.7,13.79,18179205
2016-01-11T15:30,13.8,13.9,13.69,13.79,8824260
2016-01-11T16:30,13.79,13.95,13.76,13.84,4820445
2016-01-11T17:30,13.82,13.84,13.65,13.65,6154485
2016-01-11T18:30,13.65,13.76,13.53,13.72,7527390
2016-01-11T19:30,13.72,13.75,13.57,13.74,7040850
2016-01-11T20:30,13.74,13.93,13.74,13.86,8453940
2016-01-12T14:30,14.11,14.25,13.98,14.05,12291600
2016-01-12T15:30,14.03,14.13,13.92,13.95,5418240
2016-01-12T16:30,13.94,13.99,13.85,13.91,4937505
2016-01-12T17:30,13.91,13.97,13.76,13.8,5113995
2016-01-12T18:30,13.8,13.83,13.69,13.76,5833995
2016-01-12T19:30,13.75,13.99,13.75,13.95,5712660
2016-01-12T20:30,13.93,14.02,13.92,14,4942455
2016-01-13T14:30,14.13,14.18,13.82,13.92,8691600
2016-01-13T15:30,13.91,13.91,13.79,13.83,4759020
2016-01-13T16:30,13.83,13.87,13.61,13.65,6299940
2016-01-13T17:30,13.65,13.66,13.55,13.57,4911465
2016-01-13T18:30,13.57,13.61,13.43,13.49,10604565
2016-01-13T19:30,13.48,13.53,13.33,13.46,14172705
2016-01-13T20:30,13.45,13.49,13.33,13.36,10561695
2016-01-14T14:30,13.48,13.55,12.89,13.3,31425960
2016-01-14T15:30,13.29,13.64,13.28,13.37,18798030
2016-01-14T16:30,13.37,13.56,13.33,13.54,8267970
2016-01-14T17:30,13.54,13.85,13.52,13.79,9508170
2016-01-14T18:30,13.8,13.82,13.66,13.8,6342405
2016-01-14T19:30,13.79,14,13.76,13.77,8650860
2016-01-14T20:30,13.77,13.78,13.64,13.75,9441150
2016-01-15T14:30,13.26,13.52,13.24,13.35,21392310
2016-01-15T15:30,13.36,13.4,13.15,13.38,12947535
2016-01-15T16:30,13.38,13.53,13.3,13.35,9611535
2016-01-15T17:30,13.35,13.47,13.27,13.39,5990520
2016-01-15T18:30,13.37,13.51,13.34,13.35,5539020
2016-01-15T19:30,13.37,13.6,13.35,13.48,7472790
2016-01-15T20:30,13.49,13.67,13.46,13.67,12889395
2016-01-19T14:30,13.91,13.92,13.56,13.89,14124600
2016-01-19T15:30,13.88,14.03,13.81,13.9,10962795
2016-01-19T16:30,13.9,13.98,13.74,13.87,7788615
2016-01-19T17:30,13.87,13.9,13.77,13.79,5296365
2016-01-19T18:30,13.79,13.81,13.53,13.61,6579285
2016-01-19T19:30,13.62,13.63,13.39,13.62,8205225
2016-01-19T20:30,13.62,13.71,13.6,13.65,6011430
2016-01-20T14:30,13.29,13.42,12.75,12.97,26277480
2016-01-20T15:30,12.96,13.13,12.87,13,10255425
2016-01-20T16:30,13,13.12,12.82,12.86,8906925
2016-01-20T17:30,12.87,13.15,12.77,13.01,9584490
2016-01-20T18:30,13.02,13.31,13.02,13.07,9269370
2016-01-20T19:30,13.08,13.33,12.93,13.32,9901095
2016-01-20T20:30,13.32,13.34,13.04,13.25,11735655
2016-01-21T14:30,13.44,13.55,13,13.43,13170195
2016-01-21T15:30,13.43,13.43,13.13,13.15,8093925
2016-01-21T16:30,13.15,13.49,13.15,13.43,6558180
2016-01-21T17:30,13.44,13.45,13.28,13.29,4276170
