date,open,high,low,close,volume
2016-01-04T14:30,40.08,40.63,40.07,40.43,476490
2016-01-04T15:30,40.42,40.47,40.25,40.41,379637
2016-01-04T16:30,40.4,40.59,40.4,40.45,298943
2016-01-04T17:30,40.44,40.54,40.38,40.44,318024
2016-01-04T18:30,40.44,40.49,40.4,40.44,378621
2016-01-04T19:30,40.44,40.45,40.24,40.26,521114
2016-01-04T20:30,40.26,40.52,40.26,40.52,985860
2016-01-05T14:30,40,40.11,39.01,39.37,1485558
2016-01-05T15:30,39.38,39.99,39.37,39.84,735344
2016-01-05T16:30,39.84,39.9,39.71,39.78,525287
2016-01-05T17:30,39.78,39.79,39.66,39.78,413364
2016-01-05T18:30,39.77,40.01,39.76,39.94,508315
2016-01-05T19:30,39.94,39.97,39.82,39.86,528541
2016-01-05T20:30,39.86,40.02,39.83,40.01,572562
2016-01-06T14:30,39.4,39.89,39.4,39.89,457613
2016-01-06T15:30,39.89,40.27,39.79,40.26,476525
2016-01-06T16:30,40.26,40.44,40.21,40.25,436672
2016-01-06T17:30,40.25,40.34,40.13,40.21,373403
2016-01-06T18:30,40.21,40.21,40.1,40.18,1153770
2016-01-06T19:30,40.18,40.18,39.81,40.06,629771
2016-01-06T20:30,40.06,40.12,39.92,39.99,1068441
2016-01-07T14:30,39.42,39.93,39.34,39.88,586894
2016-01-07T15:30,39.87,40.11,39.87,39.97,339557
2016-01-07T16:30,39.98,40.08,39.86,39.89,363527
2016-01-07T17:30,39.89,39.95,39.46,39.57,382006
2016-01-07T18:30,39.56,39.66,39.43,39.53,733259
2016-01-07T19:30,39.53,39.73,39.5,39.68,528282
2016-01-07T20:30,39.68,39.97,39.66,39.89,974088
2016-01-08T14:30,40.19,40.51,40.02,40.4,785671
2016-01-08T15:30,40.41,40.54,40.08,40.11,548460
2016-01-08T16:30,40.12,40.28,39.94,40.27,542819
2016-01-08T17:30,40.27,40.28,39.95,40.03,274545
2016-01-08T18:30,40.03,40.32,40.03,40.24,639051
2016-01-08T19:30,40.23,40.29,40.01,40.16,746320
2016-01-08T20:30,40.15,40.17,39.9,39.99,697820
2016-01-11T14:30,40.16,40.65,40.15,40.37,548340
2016-01-11T15:30,40.38,40.65,40.18,40.28,488245
2016-01-11T16:30,40.28,40.4,40.12,40.12,304472
2016-01-11T17:30,40.13,40.25,40.07,40.1,834452
2016-01-11T18:30,40.09,40.31,39.99,40.27,469394
2016-01-11T19:30,40.28,40.38,40.09,40.35,875298
2016-01-11T20:30,40.35,40.47,40.31,40.32,1220558
2016-01-12T14:30,40.28,40.91,40.2,40.72,626616
2016-01-12T15:30,40.69,40.89,40.57,40.61,348615
2016-01-12T16:30,40.61,40.72,40.48,40.61,269003
2016-01-12T17:30,40.6,40.73,40.54,40.56,285900
2016-01-12T18:30,40.56,40.78,40.49,40.77,445308
2016-01-12T19:30,40.76,41.07,40.76,41,550510
2016-01-12T20:30,41,41.09,40.98,40.99,584670
