date,open,high,low,close,volume
2016-01-04T14:30,39.38,39.52,39.09,39.34,5084653
2016-01-04T15:30,39.33,39.36,38.9,38.99,3920918
2016-01-04T16:30,38.98,39.19,38.96,39.08,1869806
2016-01-04T17:30,39.07,39.18,39,39.06,1865147
2016-01-04T18:30,39.05,39.08,38.89,38.99,2062987
2016-01-04T19:30,38.99,39.01,38.8,38.84,3006175
2016-01-04T20:30,38.83,39.29,38.83,39.26,4511672
2016-01-05T14:30,39.26,39.51,39.09,39.09,2760983
2016-01-05T15:30,39.09,39.27,39.04,39.17,2211833
2016-01-05T16:30,39.17,39.25,38.98,39.05,1295717
2016-01-05T17:30,39.05,39.23,39.01,39.18,1243073
2016-01-05T18:30,39.17,39.41,39.13,39.36,1273405
2016-01-05T19:30,39.36,39.38,39.11,39.21,1763661
2016-01-05T20:30,39.2,39.33,39.17,39.24,2511097
2016-01-06T14:30,38.66,38.82,38.51,38.78,3208999
2016-01-06T15:30,38.78,39.03,38.69,38.96,2062488
2016-01-06T16:30,38.97,39,38.76,38.76,2141782
2016-01-06T17:30,38.76,38.88,38.71,38.77,1546276
2016-01-06T18:30,38.77,38.9,38.76,38.84,1763989
2016-01-06T19:30,38.83,38.83,38.49,38.52,2772677
2016-01-06T20:30,38.52,38.61,38.45,38.49,4741388
2016-01-07T14:30,37.85,37.91,37.65,37.79,6225916
2016-01-07T15:30,37.79,37.97,37.75,37.95,5084930
2016-01-07T16:30,37.94,37.97,37.68,37.68,2041825
2016-01-07T17:30,37.68,37.73,37.42,37.45,2642058
2016-01-07T18:30,37.45,37.47,37.25,37.39,3172205
2016-01-07T19:30,37.38,37.57,37.22,37.23,4603195
2016-01-07T20:30,37.22,37.6,37.2,37.4,4050375
2016-01-08T14:30,37.68,37.73,37.34,37.48,4134125
2016-01-08T15:30,37.48,37.54,37.18,37.22,2884031
2016-01-08T16:30,37.22,37.53,37.08,37.43,2832207
2016-01-08T17:30,37.42,37.44,37.23,37.25,1564485
2016-01-08T18:30,37.25,37.39,37.18,37.2,1772107
2016-01-08T19:30,37.19,37.34,37.06,37.07,2907761
2016-01-08T20:30,37.07,37.08,36.69,36.77,4028270
2016-01-11T14:30,37.22,37.27,36.97,37.2,3814097
2016-01-11T15:30,37.21,37.27,36.96,37.05,2235012
2016-01-11T16:30,37.05,37.15,36.96,37.01,1950792
2016-01-11T17:30,37.01,37.05,36.9,36.91,1779962
2016-01-11T18:30,36.91,37.08,36.82,37.01,2442191
2016-01-11T19:30,37.02,37.15,36.85,37.11,2725128
2016-01-11T20:30,37.11,37.33,37.1,37.15,2693155
2016-01-12T14:30,37.74,37.99,37.54,37.81,6361998
2016-01-12T15:30,37.82,37.9,37.49,37.56,2753004
2016-01-12T16:30,37.55,37.77,37.46,37.63,2509030
2016-01-12T17:30,37.62,37.65,37.42,37.58,2411623
2016-01-12T18:30,37.57,37.74,37.51,37.61,2646348
2016-01-12T19:30,37.61,38.04,37.6,37.98,3649961
2016-01-12T20:30,38,38.22,37.93,38.12,5715335
2016-01-13T14:30,38.37,38.43,37.81,37.87,3419618
2016-01-13T15:30,37.86,37.92,37.72,37.83,1964412
2016-01-13T16:30,37.82,37.86,37.49,37.61,1694961
2016-01-13T17:30,37.61,37.61,37.34,37.36,2092674
2016-01-13T18:30,37.36,37.42,37.08,37.17,2414606
2016-01-13T19:30,37.17,37.17,36.72,36.99,4596064
2016-01-13T20:30,36.99,37.05,36.82,36.89,4050372
2016-01-14T14:30,37.15,37.48,36.79,37.45,5063197
2016-01-14T15:30,37.45,37.69,37.38,37.49,3292533
