date,open,high,low,close,volume
2016-01-04T14:30,22.45,22.61,22.28,22.4,444572
2016-01-04T15:30,22.4,22.45,22.27,22.34,332048
2016-01-04T16:30,22.35,22.44,22.28,22.33,266674
2016-01-04T17:30,22.32,22.44,22.31,22.39,248102
2016-01-04T18:30,22.39,22.49,22.37,22.39,208962
2016-01-04T19:30,22.4,22.41,22.32,22.35,172724
2016-01-04T20:30,22.35,22.38,22.31,22.34,572140
2016-01-05T14:30,22.44,22.52,22.23,22.29,249838
2016-01-05T15:30,22.28,22.46,22.22,22.42,575320
2016-01-05T16:30,22.42,22.46,22.3,22.32,354942
2016-01-05T17:30,22.3,22.35,22.23,22.3,139772
2016-01-05T18:30,22.31,22.34,22.23,22.26,401290
2016-01-05T19:30,22.26,22.38,22.24,22.38,351696
2016-01-05T20:30,22.37,22.43,22.33,22.34,489652
2016-01-06T14:30,21.98,22.28,21.96,22.07,231962
2016-01-06T15:30,22.05,22.07,21.9,21.95,187754
2016-01-06T16:30,21.95,21.95,21.75,21.86,328848
2016-01-06T17:30,21.84,21.91,21.75,21.84,633806
2016-01-06T18:30,21.85,21.89,21.73,21.74,366816
2016-01-06T19:30,21.74,21.76,21.54,21.63,522412
2016-01-06T20:30,21.63,21.72,21.59,21.64,871980
2016-01-07T14:30,21.38,22.17,21.34,22.05,1122238
2016-01-07T15:30,22.07,22.17,21.92,22.16,571774
2016-01-07T16:30,22.18,22.32,22.14,22.26,412788
2016-01-07T17:30,22.27,22.3,21.91,21.99,300732
2016-01-07T18:30,22,22.03,21.91,21.96,402096
2016-01-07T19:30,21.95,22.17,21.88,21.88,611826
2016-01-07T20:30,21.87,22.07,21.87,21.95,553736
2016-01-08T14:30,21.78,21.8,21.18,21.44,858464
2016-01-08T15:30,21.45,21.47,21.29,21.37,668186
2016-01-08T16:30,21.37,21.51,21.28,21.51,308524
2016-01-08T17:30,21.5,21.51,21.37,21.39,252492
2016-01-08T18:30,21.4,21.48,21.39,21.43,246256
2016-01-08T19:30,21.42,21.44,21.35,21.35,396112
2016-01-08T20:30,21.35,21.38,21.23,21.25,922162
2016-01-11T14:30,21.23,21.23,20.81,20.85,431844
2016-01-11T15:30,20.84,20.99,20.78,20.95,305386
2016-01-11T16:30,20.95,20.99,20.85,20.85,235376
2016-01-11T17:30,20.85,20.94,20.85,20.86,280590
2016-01-11T18:30,20.87,20.89,20.7,20.73,288624
2016-01-11T19:30,20.74,20.76,20.64,20.76,629852
2016-01-11T20:30,20.76,20.88,20.74,20.76,758918
2016-01-12T14:30,20.88,21.21,20.83,20.94,247914
2016-01-12T15:30,20.91,20.95,20.71,20.73,421834
2016-01-12T16:30,20.76,20.76,20.6,20.65,416078
2016-01-12T17:30,20.65,20.79,20.57,20.71,176286
2016-01-12T18:30,20.71,20.79,20.59,20.65,173732
2016-01-12T19:30,20.65,20.78,20.64,20.73,282288
2016-01-12T20:30,20.73,20.82,20.72,20.76,443138
2016-01-13T14:30,20.79,20.88,20.55,20.63,299592
2016-01-13T15:30,20.62,20.73,20.53,20.68,258400
2016-01-13T16:30,20.69,20.71,20.37,20.4,299264
2016-01-13T17:30,20.4,20.45,20.34,20.38,516144
2016-01-13T18:30,20.39,20.39,20.22,20.26,363620
2016-01-13T19:30,20.26,20.32,20.13,20.31,482032
2016-01-13T20:30,20.31,20.34,20.23,20.27,824086
2016-01-14T14:30,20.23,20.27,19.85,20.13,412112
2016-01-14T15:30,20.13,20.23,19.82,19.82,578996
2016-01-14T16:30,19.82,20.03,19.8,19.97,456794
2016-01-14T17:30,19.98,20.31,19.98,20.31,207476
2016-01-14T18:30,20.31,20.31,20.1,20.15,192704
2016-01-14T19:30,20.15,20.28,20.09,20.19,331642
2016-01-14T20:30,20.19,20.21,20.02,20.05,442484
2016-01-15T14:30,19.57,19.62,19.33,19.43,604356
2016-01-15T15:30,19.43,19.52,19.3,19.32,411846
2016-01-15T16:30,19.33,19.4,19.21,19.23,347812
2016-01-15T17:30,19.21,19.44,19.12,19.43,575434
2016-01-15T18:30,19.43,19.67,19.39,19.47,788430
2016-01-15T19:30,19.47,19.71,19.43,19.69,590134
2016-01-15T20:30,19.69,19.69,19.54,19.61,673364
2016-01-19T14:30,19.75,19.75,19.31,19.63,428108
2016-01-19T15:30,19.61,19.67,19.3,19.41,268946
2016-01-19T16:30,19.41,19.43,19.31,19.35,334448
2016-01-19T17:30,19.36,19.45,19.29,19.4,215948
2016-01-19T18:30,19.4,19.43,19.3,19.36,234058
2016-01-19T19:30,19.37,19.49,19.21,19.48,614598
2016-01-19T20:30,19.48,19.56,19.42,19.43,659366
2016-01-20T14:30,19.2,19.38,19.04,19.1,585458
2016-01-20T15:30,19.1,19.12,18.89,18.99,389122
2016-01-20T16:30,19.01,19.02,18.51,18.55,295108
2016-01-20T17:30,18.53,18.6,18.39,18.59,711418
2016-01-20T18:30,18.6,18.81,18.58,18.77,761656
2016-01-20T19:30,18.79,19.09,18.73,19.09,1068456
2016-01-20T20:30,19.08,19.09,18.94,19.03,1265238
2016-01-21T14:30,19.04,19.73,19.03,19.56,327988
2016-01-21T15:30,19.56,19.68,19.39,19.42,263124
2016-01-21T16:30,19.43,20.08,19.43,19.95,516992
2016-01-21T17:30,19.95,20.03,19.77,19.79,254542
2016-01-21T18:30,19.8,19.81,19.54,19.61,433584
2016-01-21T19:30,19.63,19.79,19.61,19.76,407340
2016-01-21T20:30,19.77,19.86,19.71,19.71,411204
2016-01-22T14:30,19.93,20.59,19.81,20.31,562198
2016-01-22T15:30,20.35,20.38,19.94,20.08,613550
2016-01-22T16:30,20.08,20.11,19.93,19.98,131534
2016-01-22T17:30,19.97,20.2,19.93,20.19,308112
2016-01-22T18:30,20.2,20.42,20.12,20.38,842226
2016-01-22T19:30,20.38,20.42,20.34,20.41,601074
2016-01-22T20:30,20.4,20.5,20.36,20.47,661452
2016-01-25T14:30,20.49,20.97,20.33,20.36,615468
2016-01-25T15:30,20.35,20.39,20.17,20.27,499806
2016-01-25T16:30,20.27,20.33,20.07,20.13,367980
2016-01-25T17:30,20.14,20.18,20.06,20.11,267122
2016-01-25T18:30,20.11,20.13,20.01,20.05,320932
