date,open,high,low,close,volume
2016-01-04T14:30,31.42,31.66,31.2,31.62,298029
2016-01-04T15:30,31.62,31.63,31.14,31.29,213283
2016-01-04T16:30,31.3,31.4,31.26,31.34,213240
2016-01-04T17:30,31.34,31.53,31.28,31.51,84374
2016-01-04T18:30,31.5,31.58,31.44,31.55,94277
2016-01-04T19:30,31.55,31.55,31.36,31.41,141584
2016-01-04T20:30,31.41,31.58,31.4,31.55,204551
2016-01-05T14:30,31.55,31.67,31.27,31.29,94280
2016-01-05T15:30,31.28,31.44,31.16,31.21,85691
2016-01-05T16:30,31.2,31.27,31.06,31.1,93687
2016-01-05T17:30,31.09,31.23,31.09,31.17,56863
2016-01-05T18:30,31.17,31.38,31.13,31.36,144644
2016-01-05T19:30,31.38,31.51,31.38,31.5,222231
2016-01-05T20:30,31.5,31.57,31.45,31.55,254005
2016-01-06T14:30,31.68,32.03,31.31,31.48,292071
2016-01-06T15:30,31.46,31.48,31.29,31.45,163874
2016-01-06T16:30,31.45,31.45,31.03,31.05,183232
2016-01-06T17:30,31.04,31.13,30.96,31.04,125004
2016-01-06T18:30,31.04,31.13,30.94,31.03,141151
2016-01-06T19:30,31.03,31.12,30.81,31.08,361367
2016-01-06T20:30,31.08,31.18,31.05,31.16,493934
2016-01-07T14:30,30.77,30.84,30.57,30.66,262723
2016-01-07T15:30,30.65,30.85,30.57,30.58,262451
2016-01-07T16:30,30.58,30.6,30.42,30.46,149733
2016-01-07T17:30,30.46,30.49,30.17,30.25,174772
2016-01-07T18:30,30.23,30.36,30.19,30.23,126967
2016-01-07T19:30,30.23,30.42,30.18,30.18,196096
2016-01-07T20:30,30.18,30.44,30.18,30.34,275841
2016-01-08T14:30,30.5,30.64,30.25,30.29,169566
2016-01-08T15:30,30.3,30.32,30.1,30.11,175497
2016-01-08T16:30,30.12,30.26,30.1,30.24,167849
2016-01-08T17:30,30.24,30.41,30.22,30.27,187832
2016-01-08T18:30,30.27,30.38,30.27,30.29,141205
2016-01-08T19:30,30.29,30.36,30.21,30.22,179521
2016-01-08T20:30,30.22,30.22,29.99,30.06,228039
2016-01-11T14:30,30.19,30.24,29.84,29.94,80929
2016-01-11T15:30,29.94,30.01,29.67,29.77,81829
2016-01-11T16:30,29.77,29.92,29.7,29.77,100998
2016-01-11T17:30,29.76,29.81,29.61,29.61,88525
2016-01-11T18:30,29.62,29.69,29.47,29.69,108895
2016-01-11T19:30,29.69,29.77,29.52,29.76,106187
2016-01-11T20:30,29.76,29.89,29.76,29.81,219849
2016-01-12T14:30,30.05,30.22,29.87,29.89,92930
2016-01-12T15:30,29.91,29.98,29.72,29.72,88277
2016-01-12T16:30,29.72,29.86,29.63,29.71,48992
2016-01-12T17:30,29.7,29.8,29.62,29.67,66019
2016-01-12T18:30,29.66,29.79,29.62,29.68,70830
2016-01-12T19:30,29.68,30.01,29.68,29.97,164216
2016-01-12T20:30,29.97,30.05,29.93,29.98,200419
2016-01-13T14:30,30.08,30.19,29.73,30.02,123340
2016-01-13T15:30,30.01,30.01,29.78,29.8,141356
2016-01-13T16:30,29.81,29.87,29.66,29.75,76365
2016-01-13T17:30,29.75,29.76,29.52,29.52,83649
2016-01-13T18:30,29.53,29.55,29.38,29.45,131716
2016-01-13T19:30,29.45,29.49,29.19,29.42,230771
2016-01-13T20:30,29.41,29.42,29.15,29.21,350414
