date,open,high,low,close,volume
2016-01-04T14:30,58.62,58.97,58.06,58.65,1074376
2016-01-04T15:30,58.64,58.76,58.25,58.46,453906
2016-01-04T16:30,58.45,58.91,58.45,58.82,424724
2016-01-04T17:30,58.83,59.24,58.8,59.11,266846
2016-01-04T18:30,59.12,59.31,59,59.23,293058
2016-01-04T19:30,59.23,59.23,58.88,58.98,367718
2016-01-04T20:30,58.98,59.38,58.93,59.38,397903
2016-01-05T14:30,59.86,60.16,58.99,59.04,849169
2016-01-05T15:30,59.03,59.25,58.61,59.1,727531
2016-01-05T16:30,59.09,59.18,58.8,59.05,325812
2016-01-05T17:30,59.05,59.09,58.77,58.93,249537
2016-01-05T18:30,58.93,59.6,58.84,59.58,432442
2016-01-05T19:30,59.56,59.6,59.1,59.2,515010
2016-01-05T20:30,59.2,59.28,59.07,59.2,526115
2016-01-06T14:30,58.53,59.16,58.52,59.04,784044
2016-01-06T15:30,59.04,59.1,58.49,58.95,420532
2016-01-06T16:30,58.95,58.95,58.52,58.55,281417
2016-01-06T17:30,58.56,58.68,58.21,58.39,335788
2016-01-06T18:30,58.39,58.67,58.35,58.64,323594
2016-01-06T19:30,58.64,58.73,58.32,58.71,520505
2016-01-06T20:30,58.71,58.88,58.64,58.81,565252
2016-01-07T14:30,57.38,57.38,56.58,57.3,1500401
2016-01-07T15:30,57.31,57.88,57.25,57.63,1336172
2016-01-07T16:30,57.63,57.82,57.53,57.66,713702
2016-01-07T17:30,57.67,57.68,57.26,57.54,759944
2016-01-07T18:30,57.53,57.66,57.35,57.55,1078655
2016-01-07T19:30,57.54,57.6,56.51,56.51,1277505
2016-01-07T20:30,56.51,57.18,56.44,56.78,1076858
2016-01-08T14:30,56.91,57.34,56.24,56.44,1045790
2016-01-08T15:30,56.43,56.72,56.11,56.14,596066
2016-01-08T16:30,56.14,56.96,55.9,56.92,490998
2016-01-08T17:30,56.92,56.92,56.51,56.67,289977
2016-01-08T18:30,56.67,56.82,56.39,56.39,292838
2016-01-08T19:30,56.38,56.46,55.96,56.1,535436
2016-01-08T20:30,56.11,56.18,55.86,55.99,775695
2016-01-11T14:30,56.31,56.58,56.04,56.37,654217
2016-01-11T15:30,56.37,56.66,55.95,56.13,526025
2016-01-11T16:30,56.12,56.4,55.99,56.02,353135
2016-01-11T17:30,56.02,56.14,55.82,55.82,337768
2016-01-11T18:30,55.81,55.86,55.5,55.76,563525
2016-01-11T19:30,55.77,55.82,55.28,55.68,745683
2016-01-11T20:30,55.69,56.16,55.69,55.88,815571
2016-01-12T14:30,56.41,57.19,56.27,56.79,569075
2016-01-12T15:30,56.79,57.08,56.76,56.83,493408
2016-01-12T16:30,56.83,56.98,56.71,56.89,282011
2016-01-12T17:30,56.89,56.92,56.51,56.81,299210
2016-01-12T18:30,56.8,56.94,56.65,56.87,274531
2016-01-12T19:30,56.87,57.36,56.86,57.28,423466
2016-01-12T20:30,57.27,57.33,57.1,57.19,651609
2016-01-13T14:30,58.34,58.35,57.68,58.07,903370
2016-01-13T15:30,58.06,58.09,57.82,57.98,661056
2016-01-13T16:30,57.97,58.28,57.89,58.25,548158
2016-01-13T17:30,58.25,58.25,57.88,57.92,320827
2016-01-13T18:30,57.91,57.96,57.3,57.44,515410
2016-01-13T19:30,57.44,57.44,56.9,57.34,753529
2016-01-13T20:30,57.34,57.42,57.09,57.12,945773
2016-01-14T14:30,57.3,57.63,56.15,56.64,992522
2016-01-14T15:30,56.64,57.39,56.61,57.26,603569
2016-01-14T16:30,57.27,57.62,57.1,57.6,305864
2016-01-14T17:30,57.6,57.89,57.55,57.89,280569
2016-01-14T18:30,57.9,57.95,57.61,57.9,327024
2016-01-14T19:30,57.91,58.12,57.91,57.94,455761
2016-01-14T20:30,57.93,58.1,57.87,57.91,553349
2016-01-15T14:30,56.47,56.91,56.1,56.53,1302579
2016-01-15T15:30,56.53,56.64,55.62,55.73,841444
2016-01-15T16:30,55.74,56,55.55,55.7,591421
2016-01-15T17:30,55.7,55.83,55.23,55.52,561547
2016-01-15T18:30,55.52,55.69,55.3,55.3,521337
2016-01-15T19:30,55.32,56,55.28,55.81,724444
2016-01-15T20:30,55.81,55.95,55.41,55.52,1434502
2016-01-19T14:30,55.79,56.47,55.72,56.39,1009881
2016-01-19T15:30,56.4,56.47,56.07,56.21,522549
2016-01-19T16:30,56.22,56.43,56.03,56.22,586078
2016-01-19T17:30,56.22,56.41,56.11,56.3,676369
2016-01-19T18:30,56.29,56.6,56.23,56.42,663482
2016-01-19T19:30,56.43,57.06,56.34,57.03,974949
2016-01-19T20:30,57.02,57.33,56.9,56.91,1079802
2016-01-20T14:30,56.11,56.57,55.67,55.71,680942
2016-01-20T15:30,55.71,55.96,55.31,55.9,788596
2016-01-20T16:30,55.9,56.06,55.1,55.17,420380
2016-01-20T17:30,55.16,55.7,55,55.25,517149
2016-01-20T18:30,55.23,55.85,55.23,55.62,710017
2016-01-20T19:30,55.62,56.69,55.48,56.61,608137
2016-01-20T20:30,56.62,56.7,56.21,56.26,712422
2016-01-21T14:30,56.53,57.14,56,57.07,578322
2016-01-21T15:30,57.08,57.46,56.91,57.32,462514
2016-01-21T16:30,57.32,57.82,57.3,57.74,448909
2016-01-21T17:30,57.73,57.78,57.33,57.33,280670
2016-01-21T18:30,57.33,57.57,56.95,57.19,323628
2016-01-21T19:30,57.2,57.64,57.15,57.29,430230
2016-01-21T20:30,57.29,57.5,57.06,57.06,699075
2016-01-22T14:30,57.17,57.61,56.9,57.2,1210083
2016-01-22T15:30,57.23,57.5,56.89,57.01,416852
2016-01-22T16:30,57.01,57.15,56.82,57.14,353632
2016-01-22T17:30,57.11,57.26,57.02,57.15,267293
2016-01-22T18:30,57.17,57.3,57.08,57.14,343857
2016-01-22T19:30,57.14,57.14,56.82,56.95,549446
2016-01-22T20:30,56.96,57.22,56.88,57.08,726964
2016-01-25T14:30,56.84,57.34,56.75,56.91,620821
2016-01-25T15:30,56.9,56.99,56.64,56.68,438859
2016-01-25T16:30,56.67,56.74,56.37,56.43,334549
2016-01-25T17:30,56.42,56.77,56.31,56.59,291225
2016-01-25T18:30,56.59,56.68,56.32,56.44,388635
2016-01-25T19:30,56.45,56.45,56.06,56.11,546038
2016-01-25T20:30,56.1,56.15,55.72,55.76,913896
2016-01-26T14:30,56.2,57.3,56.06,57.23,547344
2016-01-26T15:30,57.23,57.66,57.23,57.44,528734
2016-01-26T16:30,57.41,57.8,57.29,57.78,234762
2016-01-26T17:30,57.77,57.92,57.74,57.86,307883
2016-01-26T18:30,57.86,57.96,57.77,57.81,359001
2016-01-26T19:30,57.81,57.96,57.68,57.72,467694
2016-01-26T20:30,57.72,57.92,57.63,57.82,469921
2016-01-27T14:30,57.49,57.87,57.27,57.63,370618
2016-01-27T15:30,57.62,57.97,57.59,57.9,438208
2016-01-27T16:30,57.91,58.26,57.89,57.99,357147
2016-01-27T17:30,57.99,57.99,57.79,57.84,207490
2016-01-27T18:30,57.84,58.12,57.62,57.98,314958
2016-01-27T19:30,57.97,58.01,57.12,57.36,504898
2016-01-27T20:30,57.34,57.48,57.26,57.41,484599
2016-01-28T14:30,57.74,58.83,57.34,57.82,898621
2016-01-28T15:30,57.82,58.16,57.72,57.83,447294
2016-01-28T16:30,57.83,58.32,57.62,58.3,238128
2016-01-28T17:30,58.31,58.64,58.11,58.3,274189
2016-01-28T18:30,58.3,58.57,58.19,58.56,281541
2016-01-28T19:30,58.56,58.64,58.31,58.4,379182
2016-01-28T20:30,58.4,58.46,58.21,58.27,540222
2016-01-29T14:30,58.33,59.31,58.31,59.17,771116
2016-01-29T15:30,59.18,59.41,59.11,59.13,409578
2016-01-29T16:30,59.14,59.4,59.13,59.3,350273
2016-01-29T17:30,59.31,59.45,59.23,59.37,354159
2016-01-29T18:30,59.37,59.57,59.3,59.57,371605
2016-01-29T19:30,59.56,59.79,59.51,59.76,567597
2016-01-29T20:30,59.76,59.91,59.69,59.88,779210
2016-02-01T14:30,59.5,60.02,59.13,59.73,747424
2016-02-01T15:30,59.72,60.03,59.71,60.03,764719
2016-02-01T16:30,60.03,60.3,59.74,59.86,561692
2016-02-01T17:30,59.86,60.19,59.74,60.12,704750
2016-02-01T18:30,60.11,60.37,60.03,60.36,593682
2016-02-01T19:30,60.36,60.75,60.33,60.7,606095
2016-02-01T20:30,60.69,60.79,60.48,60.5,576828
2016-02-02T14:30,60.04,60.7,59.89,60.6,1276529
2016-02-02T15:30,60.6,60.96,60.27,60.88,906675
2016-02-02T16:30,60.89,61.12,60.19,60.37,845549
2016-02-02T17:30,60.37,60.55,60.1,60.36,900444
2016-02-02T18:30,60.35,60.37,59.99,60.08,1000350
2016-02-02T19:30,60.08,60.1,59.19,59.6,1750086
2016-02-02T20:30,59.6,60.34,59.59,59.89,1959068
2016-02-03T14:30,60.06,60.62,59.4,59.5,2300016
2016-02-03T15:30,59.49,60.15,59.22,60.1,1109628
2016-02-03T16:30,60.1,60.19,59.78,59.79,1240567
2016-02-03T17:30,59.79,60.2,59.52,59.61,939834
2016-02-03T18:30,59.61,59.78,59.1,59.58,1221903
2016-02-03T19:30,59.6,59.99,59.56,59.8,1818777
2016-02-03T20:30,59.81,59.95,59.66,59.93,1645718
2016-02-04T14:30,59.55,60.39,58.35,58.78,3475190
2016-02-04T15:30,58.78,59.25,58.15,58.23,2262861
2016-02-04T16:30,58.23,58.49,57.99,58.38,1262399
2016-02-04T17:30,58.38,59.89,58.23,59.84,1137398
2016-02-04T18:30,59.84,60.31,59.69,59.71,1465934
2016-02-04T19:30,59.71,59.87,59.51,59.76,1247059
2016-02-04T20:30,59.76,59.86,59.6,59.81,1244098
2016-02-05T14:30,59.83,60.1,58.51,58.54,1459510
2016-02-05T15:30,58.54,58.73,57.52,57.72,1142558
2016-02-05T16:30,57.72,58.18,57.56,58.06,942884
2016-02-05T17:30,58.08,58.37,57.88,58.04,814388
2016-02-05T18:30,58.03,58.06,57.64,57.66,925891
2016-02-05T19:30,57.65,57.85,57.49,57.75,1120756
2016-02-05T20:30,57.75,57.76,57.54,57.71,1153307
2016-02-08T14:30,56.85,56.91,56.1,56.32,796736
2016-02-08T15:30,56.32,56.74,56.01,56.09,507856
2016-02-08T16:30,56.07,56.19,55.7,56.05,406807
2016-02-08T17:30,56.05,56.24,55.62,55.69,337068
2016-02-08T18:30,55.7,55.78,55.35,55.48,468691
2016-02-08T19:30,55.47,55.76,55.36,55.55,765350
2016-02-08T20:30,55.56,56.02,55.56,55.77,1206164
2016-02-09T14:30,55.18,56.49,55.13,55.85,1025285
2016-02-09T15:30,55.81,55.82,55.38,55.71,347810
2016-02-09T16:30,55.71,55.73,55.2,55.36,295238
2016-02-09T17:30,55.37,55.57,55.08,55.18,295004
2016-02-09T18:30,55.19,55.38,54.95,55,561456
2016-02-09T19:30,55.01,55.52,54.97,55.07,773976
2016-02-09T20:30,55.06,55.23,54.92,55,812471
2016-02-10T14:30,55.37,56.19,55.32,56,401902
2016-02-10T15:30,56.02,56.25,55.56,55.66,383019
2016-02-10T16:30,55.63,55.69,55.35,55.69,236829
