date,open,high,low,close,volume
2018-03-16T14:30,27.5,28.02,26.53,26.79,9529662
2018-03-16T15:30,26.79,27.67,26.06,26.795,2527738
2018-03-16T16:30,26.79,27.8,26.49,27.295,993662
2018-03-16T17:30,27.25,28.86,27.1801,28.7,1611281
2018-03-16T18:30,28.69,31.4,28.48,30.6583,2407124
2018-03-16T19:30,30.64,33.47,30.25,32.73,2111931
2018-03-19T13:30,31.45,31.5,28.1,28.2416,2344401
2018-03-19T14:30,28.2,28.95,28.06,28.26,885938
2018-03-19T15:30,28.1904,28.85,28.08,28.42,495414
2018-03-19T16:30,28.5,28.5378,26.75,27.5,871554
2018-03-19T17:30,27.589,28.02,27.31,27.74,329379
2018-03-19T18:30,27.725,28.3,27.01,28.28,407779
2018-03-19T19:30,28.28,28.68,27.55,27.97,503186
2018-03-20T13:30,28.41,29.71,28.07,28.96,879121
2018-03-20T14:30,28.9191,30,28.7701,29.96,570287
2018-03-20T15:30,29.9548,30.24,29.53,30.0025,428419
2018-03-20T16:30,30,30.5,29.8001,30.42,388700
2018-03-20T17:30,30.35,30.63,29.8,30.41,313320
2018-03-20T18:30,30.41,30.904,30.41,30.595,321210
2018-03-20T19:30,30.57,30.7,30.19,30.37,338718
2018-03-21T13:30,30.79,32.4,29.29,32.122,890603
2018-03-21T14:30,32.2,33,31.5,32.83,516364
2018-03-21T15:30,32.705,34.83,32.705,33.17,1150062
2018-03-21T16:30,33.18,34,32.32,32.415,703844
2018-03-21T17:30,32.42,33.4,32.4,32.5985,243257
2018-03-21T18:30,32.798,33.4999,32.35,32.48,291210
2018-03-21T19:30,32.365,32.7,30.78,31.15,623761
2018-03-22T13:30,30,31.88,28.56,31.5051,1047813
2018-03-22T14:30,31.532,31.85,30.11,31.235,419727
2018-03-22T15:30,31.2113,31.44,30.75,30.9,184744
2018-03-22T16:30,30.8484,31.16,30.5,31.0811,218363
2018-03-22T17:30,31,31.25,30.07,30.212,343508
2018-03-22T18:30,30.289,30.495,29.41,29.87,250098
2018-03-22T19:30,29.7636,30.185,29.51,29.83,382272
2018-03-23T13:30,30.31,30.45,28.6,30.1485,448080
2018-03-23T14:30,30,30.36,29.4,29.78,181249
2018-03-23T15:30,29.8041,30.1,29.3,30,134422
2018-03-23T16:30,30.0802,30.26,29.85,30.15,66858
2018-03-23T17:30,30.12,30.33,29.67,29.96,122815
2018-03-23T18:30,29.95,30.17,29.3,29.4198,163733
2018-03-23T19:30,29.43,29.74,29.25,29.48,107988
2018-03-26T13:30,30.63,30.9378,29.6,30.05,437798
2018-03-26T14:30,30.05,30.055,28.5,29.19,277693
2018-03-26T15:30,29.164,29.79,29.09,29.55,129649
2018-03-26T16:30,29.56,29.66,28.75,29.1537,103095
2018-03-26T17:30,29.18,29.27,28.5,28.5592,159010
2018-03-26T18:30,28.57,28.7,27.3,27.5462,479462
2018-03-26T19:30,27.5016,28.07,27.5016,27.83,310773
2018-03-27T13:30,28,28.599,27.2,27.56,245727
2018-03-27T14:30,27.59,28.48,27.2,27.435,388597
2018-03-27T15:30,27.49,27.799,26.9,27.1284,252122
2018-03-27T16:30,27.16,27.74,27.03,27.68,157029
2018-03-27T17:30,27.68,27.68,26.75,26.89,273995
2018-03-27T18:30,26.7901,27.98,26.6,27.8,267311
2018-03-27T19:30,27.7783,28,27.5,27.735,132416
2018-03-28T13:30,27.35,28.19,27,27.74,169037
2018-03-28T14:30,27.74,28.0193,27.3183,27.4,138392
2018-03-28T15:30,27.4491,27.88,27.3012,27.6,115619
2018-03-28T16:30,27.595,27.81,27.5501,27.638,84078
2018-03-28T17:30,27.62,28.01,27.54,27.81,142495
2018-03-28T18:30,27.8222,27.89,27.49,27.65,96469
2018-03-28T19:30,27.65,27.8,27.4982,27.58,79301
2018-03-29T13:30,27.75,27.97,26.8,27.3,184725
2018-03-29T14:30,27.3155,28.455,27.28,28.0601,274475
2018-03-29T15:30,28.06,28.189,27.5,27.64,111828
2018-03-29T16:30,27.63,27.96,27.085,27.54,167960
2018-03-29T17:30,27.53,27.78,27.34,27.675,152190
2018-03-29T18:30,27.675,28.25,27.55,27.94,149568
2018-03-29T19:30,27.9061,28.07,27.83,28.07,88553
2018-04-02T13:30,27.9,28.66,27.5089,27.56,238596
2018-04-02T14:30,27.5691,27.5965,26.807,27.26,130882
2018-04-02T15:30,27.26,27.35,26.921,27.22,59972
2018-04-02T16:30,27.225,27.3351,27.15,27.21,35972
2018-04-02T17:30,27.21,27.28,26.8801,27.04,72717
2018-04-02T18:30,27.05,27.4,27,27,152142
2018-04-02T19:30,27,27.19,26.89,27.07,91623
2018-04-03T13:30,27.13,27.15,26.5,26.8,207821
2018-04-03T14:30,26.77,27.19,26.5816,26.95,261509
2018-04-03T15:30,26.9073,27,26.74,26.89,45670
2018-04-03T16:30,26.89,26.92,26.571,26.77,43748
2018-04-03T17:30,26.8,26.91,26.71,26.86,39099
2018-04-03T18:30,26.7994,26.85,26.55,26.68,105384
2018-04-03T19:30,26.69,26.81,26.69,26.78,82863
2018-04-04T13:30,26.35,27.08,26.33,26.96,88188
2018-04-04T14:30,26.9525,27.1679,26.8158,27.055,67326
2018-04-04T15:30,27.055,27.055,26.61,26.79,86992
2018-04-04T16:30,26.82,26.92,26.7,26.8029,8333
2018-04-04T17:30,26.77,27.0558,26.77,26.977,21597
2018-04-04T18:30,26.9844,28.95,26.94,27.9999,409691
2018-04-04T19:30,28,28.04,27.33,27.99,342025
2018-04-05T13:30,28.61,28.95,27.97,28.82,348477
2018-04-05T14:30,28.9258,29.15,28.67,28.875,229000
2018-04-05T15:30,28.925,29.049,28.78,28.9,96268
2018-04-05T16:30,28.86,29.05,28.61,28.83,95864
2018-04-05T17:30,28.82,28.8892,28,28.36,186203
2018-04-05T18:30,28.37,28.77,28.0501,28.56,147092
2018-04-05T19:30,28.5798,28.71,28.43,28.49,107630
2018-04-06T13:30,28.32,28.98,28.05,28.85,118266
2018-04-06T14:30,28.9,29.4972,28.666,29.157,142348
2018-04-06T15:30,29.1,29.6632,29.02,29.1732,86720
2018-04-06T16:30,29.11,29.399,28.93,29.2995,44784
2018-04-06T17:30,29.3299,29.46,28.8,28.88,94283
2018-04-06T18:30,28.79,28.94,28.09,28.37,103530
2018-04-06T19:30,28.33,28.37,28.16,28.2199,142733
2018-04-09T13:30,28.47,28.7,28.0408,28.2234,59299
2018-04-09T14:30,28.18,28.5,27.8462,27.91,108244
2018-04-09T15:30,27.91,27.91,27.3,27.72,111393
2018-04-09T16:30,27.77,28.1,27.1,27.2005,307281
2018-04-09T17:30,27.2,27.6,27.15,27.25,52950
2018-04-09T18:30,27.27,27.32,26.52,26.72,169647
2018-04-09T19:30,26.7713,26.81,26.5,26.54,123792
2018-04-10T13:30,27.06,27.735,26.84,27.7,231701
2018-04-10T14:30,27.7,28,27.5,27.8216,196613
2018-04-10T15:30,27.85,27.96,27.53,27.535,104690
2018-04-10T16:30,27.52,27.6892,27.5,27.6472,50946
2018-04-10T17:30,27.64,28.04,27.54,27.875,131795
2018-04-10T18:30,27.9,28.5,27.9,28.3,177658
2018-04-10T19:30,28.285,28.33,27.95,28.05,137965
2018-04-11T13:30,28.03,29.46,27.75,29,151249
2018-04-11T14:30,29.035,29.19,28.61,28.74,77429
2018-04-11T15:30,28.66,28.91,28.62,28.7748,84807
2018-04-11T16:30,28.76,28.79,28.49,28.66,36984
2018-04-11T17:30,28.6838,28.9,28.06,28.06,98150
2018-04-11T18:30,28.1,28.55,27.4,27.6,161345
2018-04-11T19:30,27.62,27.8199,27.56,27.69,121752
2018-04-12T13:30,27.81,28.59,27.775,27.95,75952
2018-04-12T14:30,27.9774,28.22,27.86,28.1766,26529
2018-04-12T15:30,28.21,28.21,28.06,28.069,22130
2018-04-12T16:30,28.0863,28.18,28.06,28.06,17716
2018-04-12T17:30,28.063,28.24,28.06,28.24,42993
2018-04-12T18:30,28.225,28.27,27.93,28.07,39306
2018-04-12T19:30,28.04,28.08,27.901,28.01,30158
2018-04-13T13:30,28.7,28.7,27.2,27.267,151021
2018-04-13T14:30,27.2,27.64,27.03,27.25,55884
2018-04-13T15:30,27.29,27.47,27.17,27.24,42234
2018-04-13T16:30,27.23,27.4,27.23,27.3,30264
2018-04-13T17:30,27.3,27.7619,27.3,27.64,44952
2018-04-13T18:30,27.635,27.8,27.25,27.27,44368
2018-04-13T19:30,27.27,27.54,27.27,27.54,59717
2018-04-16T13:30,27.89,27.9803,27.6001,27.75,72213
2018-04-16T14:30,27.72,27.7969,27.565,27.76,29026
2018-04-16T15:30,27.735,27.85,27.627,27.65,29319
2018-04-16T16:30,27.6724,28.085,27.6724,28.0263,38251
2018-04-16T17:30,28.0001,28.27,27.9556,28.26,42295
2018-04-16T18:30,28.26,28.58,28.26,28.55,60987
2018-04-16T19:30,28.55,29,28.55,28.99,125705
2018-04-17T13:30,29.31,29.9729,29.25,29.77,320028
2018-04-17T14:30,29.745,29.785,28.99,29.13,111953
2018-04-17T15:30,29.135,29.2182,28.78,28.875,114691
2018-04-17T16:30,28.87,29,28.78,28.97,39229
2018-04-17T17:30,28.9938,29.12,28.78,28.985,77576
2018-04-17T18:30,28.99,29.089,28.63,29.04,182545
2018-04-17T19:30,29.04,29.09,28.68,28.74,107149
2018-04-18T13:30,28.96,29,28.3,28.42,80090
2018-04-18T14:30,28.42,28.45,28.11,28.27,60002
2018-04-18T15:30,28.2535,28.28,28.1,28.16,33464
2018-04-18T16:30,28.17,28.26,28.1,28.15,39226
2018-04-18T17:30,28.2,28.75,28,28.68,50324
2018-04-18T18:30,28.6544,28.85,28.38,28.6225,45737
2018-04-18T19:30,28.6263,28.705,28.5,28.6,56759
2018-04-19T13:30,28.65,28.945,28.15,28.375,49522
2018-04-19T14:30,28.3945,28.92,28.21,28.7849,33873
2018-04-19T15:30,28.84,28.84,28.51,28.645,26218
2018-04-19T16:30,28.555,28.74,28.51,28.51,23430
2018-04-19T17:30,28.5101,28.53,28.17,28.24,25932
2018-04-19T18:30,28.24,28.2568,28.11,28.125,27577
2018-04-19T19:30,28.1272,28.13,27.75,28.01,76649
2018-04-20T13:30,28.05,28.23,27.6,27.89,38539
2018-04-20T14:30,27.89,27.983,27.75,27.79,58457
2018-04-20T15:30,27.79,28.1001,27.37,27.52,118800
2018-04-20T16:30,27.49,27.62,27.35,27.38,74368
2018-04-20T17:30,27.39,27.44,27.05,27.1002,85817
2018-04-20T18:30,27.1096,27.3353,27.03,27.3353,44744
2018-04-20T19:30,27.37,27.38,27.1,27.22,67306
2018-04-23T13:30,27.2,27.58,26.8233,26.905,155443
2018-04-23T14:30,26.95,27,26.6,26.6,124098
2018-04-23T15:30,26.6125,26.9199,26.6,26.65,78122
2018-04-23T16:30,26.65,26.75,26.5,26.75,132046
2018-04-23T17:30,26.75,26.9,26.64,26.65,30923
2018-04-23T18:30,26.66,26.89,26.6,26.8,46361
2018-04-23T19:30,26.89,26.91,26.69,26.86,59841
2018-04-24T13:30,27,27.445,27,27.3,51280
2018-04-24T14:30,27.32,27.85,27.32,27.799,75253
2018-04-24T15:30,27.83,27.97,27.52,27.52,54149
2018-04-24T16:30,27.47,27.71,27.41,27.4848,25071
2018-04-24T17:30,27.5,27.63,27.0701,27.236,121623
2018-04-24T18:30,27.235,27.32,27.15,27.215,20238
2018-04-24T19:30,27.23,27.27,27.01,27.165,37534
2018-04-25T13:30,27.09,27.74,26.85,27.045,136635
2018-04-25T14:30,27.045,27.5,26.85,27.33,37762
2018-04-25T15:30,27.49,27.64,27.43,27.61,33822
2018-04-25T16:30,27.55,27.8,27.515,27.8,35373
2018-04-25T17:30,27.6901,28.45,27.6901,27.85,73395
2018-04-25T18:30,27.92,28.01,27.791,28.01,31533
2018-04-25T19:30,28,28.15,27.8,28.11,64262
