date,open,high,low,close,volume
2016-01-04T14:30,6.267,6.292,6.121,6.128,1508294
2016-01-04T16:30,6.128,6.234,6.128,6.224,1011037
2016-01-04T18:30,6.221,6.274,6.187,6.267,1769001
2016-01-05T14:30,6.287,6.317,6.161,6.257,1520130
2016-01-05T16:30,6.254,6.327,6.247,6.313,878438
2016-01-05T18:30,6.313,6.367,6.3,6.347,1729062
2016-01-06T14:30,6.24,6.294,6.161,6.267,1050802
2016-01-06T16:30,6.264,6.267,6.187,6.214,873031
2016-01-06T18:30,6.214,6.214,6.108,6.134,2247676
2016-01-07T14:30,6.028,6.068,5.968,6.068,2158450
2016-01-07T16:30,6.068,6.104,5.995,6.021,1799013
2016-01-07T18:30,6.021,6.038,5.968,5.975,3103747
2016-01-08T14:30,5.988,6.041,5.829,5.859,2123364
2016-01-08T16:30,5.862,6.045,5.852,6.045,1856635
2016-01-08T18:30,6.048,6.108,6.015,6.055,3563831
2016-01-11T14:30,6.055,6.121,5.845,6.008,2090251
2016-01-11T16:30,6.001,6.001,5.895,5.922,1356382
2016-01-11T18:30,5.922,6.021,5.895,5.995,3314968
2016-01-12T14:30,6.041,6.048,5.867,5.882,1227469
2016-01-12T16:30,5.879,5.885,5.802,5.819,1235805
2016-01-12T18:30,5.819,5.842,5.762,5.809,3420412
2016-01-13T14:30,5.842,6.028,5.829,5.882,2529836
2016-01-13T16:30,5.885,5.892,5.752,5.756,2152629
2016-01-13T18:30,5.759,5.816,5.689,5.736,3594233
2016-01-14T14:30,5.749,5.802,5.65,5.766,2547306
2016-01-14T16:30,5.769,5.895,5.758,5.872,1764435
2016-01-14T18:30,5.869,5.902,5.849,5.869,5601041
2016-01-15T14:30,5.729,5.743,5.557,5.603,2450305
2016-01-15T16:30,5.603,5.613,5.523,5.57,1774347
2016-01-15T18:30,5.577,5.696,5.563,5.67,3592814
2016-01-19T14:30,5.736,5.822,5.596,5.802,3369912
2016-01-19T16:30,5.809,5.859,5.796,5.822,1822775
2016-01-19T18:30,5.822,5.835,5.769,5.796,3289945
2016-01-20T14:30,5.696,5.776,5.5,5.509,1922694
2016-01-20T16:30,5.504,5.543,5.457,5.513,1374858
2016-01-20T18:30,5.51,5.776,5.49,5.723,6229839
2016-01-21T14:30,5.749,6.008,5.703,5.942,2018890
2016-01-21T16:30,5.942,6.154,5.938,6.088,3064535
2016-01-21T18:30,6.088,6.101,5.928,6.041,4938118
2016-01-22T14:30,6.161,6.234,6.028,6.081,1605126
2016-01-22T16:30,6.078,6.094,6.025,6.068,806221
2016-01-22T18:30,6.068,6.108,6.031,6.094,2476435
2016-01-25T14:30,6.061,6.101,5.862,5.922,1863388
2016-01-25T16:30,5.922,5.962,5.889,5.895,1142976
2016-01-25T18:30,5.895,5.909,5.802,5.809,3642166
2016-01-26T14:30,5.835,6.008,5.822,5.982,1276181
2016-01-26T16:30,5.975,6.041,5.932,5.991,877328
2016-01-26T18:30,5.988,6.005,5.962,5.995,1921297
2016-01-27T14:30,6.001,6.101,5.948,6.041,1158341
2016-01-27T16:30,6.041,6.108,6.035,6.078,771148
2016-01-27T18:30,6.081,6.114,5.962,6.021,2547200
2016-01-28T14:30,6.121,6.201,6.065,6.131,1294684
2016-01-28T16:30,6.128,6.131,6.036,6.068,1347499
2016-01-28T18:30,6.071,6.108,6.055,6.074,2532468
2016-01-29T14:30,6.128,6.303,6.121,6.263,1845225
2016-01-29T16:30,6.269,6.33,6.222,6.32,1586903
2016-01-29T18:30,6.316,6.39,6.269,6.383,4742989
2016-02-01T14:30,6.363,6.377,6.249,6.35,1400770
2016-02-01T16:30,6.35,6.397,6.303,6.333,1242814
2016-02-01T18:30,6.33,6.41,6.31,6.357,2569910
2016-02-02T14:30,6.289,6.373,6.229,6.357,931392
2016-02-02T16:30,6.35,6.377,6.256,6.296,1469861
2016-02-02T18:30,6.296,6.31,6.242,6.249,4733791
2016-02-03T14:30,6.323,6.525,6.289,6.467,3409525
2016-02-03T16:30,6.464,6.535,6.437,6.481,1817168
