date,open,high,low,close,volume
2016-01-04T14:30,48.11,48.19,47.45,47.59,953246
2016-01-04T16:30,47.59,47.89,47.56,47.69,617560
2016-01-04T18:30,47.69,47.95,47.35,47.94,1463139
2016-01-05T14:30,47.99,48.18,47.79,47.86,834693
2016-01-05T16:30,47.87,47.99,47.73,47.8,597818
2016-01-05T18:30,47.8,47.97,47.79,47.85,1229529
2016-01-06T14:30,47.28,47.58,47.1,47.5,736405
2016-01-06T16:30,47.5,47.55,47.32,47.34,427002
2016-01-06T18:30,47.33,47.44,47.13,47.31,1381844
2016-01-07T14:30,46.48,47.15,46.44,46.78,1146503
2016-01-07T16:30,46.78,46.8,46.19,46.23,647025
2016-01-07T18:30,46.22,46.38,46.08,46.18,1887348
2016-01-08T14:30,46.47,46.56,46.12,46.15,755930
2016-01-08T16:30,46.16,46.46,46.01,46.36,518500
2016-01-08T18:30,46.36,46.58,45.95,46.01,1420381
2016-01-11T14:30,46.18,46.33,45.64,45.73,653980
2016-01-11T16:30,45.73,45.96,45.66,45.67,514437
2016-01-11T18:30,45.68,46.03,45.51,45.84,1700073
2016-01-12T14:30,46.17,46.33,45.8,45.88,807481
2016-01-12T16:30,45.88,46.01,45.69,45.76,523686
2016-01-12T18:30,45.76,46.42,45.72,46.36,1365222
2016-01-13T14:30,46.41,46.9,46.41,46.78,1411605
2016-01-13T16:30,46.78,46.84,46.2,46.26,826424
2016-01-13T18:30,46.26,46.31,45.69,45.77,1811887
2016-01-14T14:30,45.84,46.56,45.81,46.33,779214
2016-01-14T16:30,46.33,46.77,46.24,46.76,597081
2016-01-14T18:30,46.77,46.77,46.14,46.17,1574120
2016-01-15T14:30,44.28,45.7,44.28,45.47,969998
2016-01-15T16:30,45.47,45.51,45.04,45.37,786678
2016-01-15T18:30,45.36,46.28,45.34,45.94,2893873
2016-01-19T14:30,46.64,46.9,46.22,46.44,1209317
2016-01-19T16:30,46.46,46.58,46.07,46.11,576456
2016-01-19T18:30,46.11,46.4,45.88,46.19,1118897
2016-01-20T14:30,45.68,45.76,45.35,45.65,1208510
2016-01-20T16:30,45.65,45.69,45.16,45.3,1209661
2016-01-20T18:30,45.28,46.22,45.27,45.84,2078587
2016-01-21T14:30,46,46.28,45.69,45.89,1247436
2016-01-21T16:30,45.88,46.36,45.88,46,828201
2016-01-21T18:30,46,46.15,45.69,45.94,1603296
2016-01-22T14:30,46.56,46.63,46.06,46.17,892981
2016-01-22T16:30,46.17,46.31,45.99,46.24,688541
2016-01-22T18:30,46.25,46.39,46.14,46.26,980530
2016-01-25T14:30,46.08,46.2,45.59,45.73,948180
2016-01-25T16:30,45.73,45.96,45.69,45.86,734652
2016-01-25T18:30,45.86,45.96,45.54,45.58,1693910
2016-01-26T14:30,45.91,46.37,45.74,46.2,620460
2016-01-26T16:30,46.2,46.34,46.06,46.12,414766
2016-01-26T18:30,46.12,46.14,45.81,45.96,844453
2016-01-27T14:30,46.02,46.44,45.86,46.44,650608
2016-01-27T16:30,46.44,46.92,46.44,46.72,707036
2016-01-27T18:30,46.72,46.82,46,46.17,1399951
2016-01-28T14:30,46.6,46.63,46.17,46.57,828714
2016-01-28T16:30,46.56,46.93,46.37,46.8,770098
2016-01-28T18:30,46.8,47.02,46.78,46.8,1460483
2016-01-29T14:30,47.16,47.41,46.97,47.39,700714
2016-01-29T16:30,47.39,47.76,47.29,47.73,549687
2016-01-29T18:30,47.73,47.9,47.68,47.88,1767130
2016-02-01T14:30,47.53,47.89,47.27,47.89,515251
2016-02-01T16:30,47.89,48.04,47.58,47.65,702503
2016-02-01T18:30,47.65,48.07,47.54,47.84,1110357
2016-02-02T14:30,47.42,47.81,47.23,47.54,875582
2016-02-02T16:30,47.52,47.67,47.39,47.63,517404
2016-02-02T18:30,47.63,47.68,47.26,47.4,876877
2016-02-03T14:30,47.65,47.65,46.07,46.37,1634066
2016-02-03T16:30,46.37,46.92,46.35,46.72,778523
2016-02-03T18:30,46.72,47.26,46.59,47.14,2056164
2016-02-04T14:30,47.79,49.16,47.79,48.39,2267342
2016-02-04T16:30,48.39,48.75,48.07,48.55,1144255
2016-02-04T18:30,48.55,49.04,48.42,49.04,1951983
2016-02-05T14:30,49.07,50.14,49.07,49.73,1584495
2016-02-05T16:30,49.74,50.2,49.64,50.14,1107660
2016-02-05T18:30,50.14,50.15,49.84,50.06,1739266
2016-02-08T14:30,49.69,49.99,49.46,49.63,864963
2016-02-08T16:30,49.63,49.99,49.57,49.73,600579
2016-02-08T18:30,49.73,50.21,49.28,50.06,1346704
2016-02-09T14:30,49.64,49.99,49.35,49.57,902049
2016-02-09T16:30,49.57,49.76,49.39,49.61,585898
2016-02-09T18:30,49.61,49.96,49.58,49.8,1875551
2016-02-10T14:30,50,50.53,49.78,49.84,997323
2016-02-10T16:30,49.84,50.15,49.76,49.94,513319
2016-02-10T18:30,49.94,50.14,49.7,49.78,1367763
2016-02-11T14:30,48.87,49.35,48.76,49.12,920516
2016-02-11T16:30,49.12,49.19,48.97,49.15,525997
2016-02-11T18:30,49.14,49.52,48.87,49.24,1376867
2016-02-12T14:30,49.8,50.64,49.68,50.58,783968
2016-02-12T16:30,50.59,50.67,50.43,50.5,651658
2016-02-12T18:30,50.51,50.82,50.5,50.51,1908388
2016-02-16T14:30,50.95,50.97,50.46,50.68,1312016
2016-02-16T16:30,50.68,51.15,50.65,51.06,677358
2016-02-16T18:30,51.07,51.09,50.85,51.02,1246885
2016-02-17T14:30,51.12,51.6,51.12,51.48,1160838
2016-02-17T16:30,51.48,51.48,51.23,51.38,607354
2016-02-17T18:30,51.38,51.59,51.26,51.38,1404699
2016-02-18T14:30,51.3,51.37,50.82,50.86,1086054
2016-02-18T16:30,50.87,50.93,50.63,50.73,933421
2016-02-18T18:30,50.73,51.05,50.73,50.82,1757438
2016-02-19T14:30,50.49,50.93,50.42,50.91,1154012
2016-02-19T16:30,50.91,50.91,50.62,50.63,530536
2016-02-19T18:30,50.63,50.72,50.52,50.57,1397163
2016-02-22T14:30,50.97,51.05,50.77,50.84,636365
2016-02-22T16:30,50.85,50.91,50.74,50.81,553855
2016-02-22T18:30,50.81,50.93,50.75,50.93,1127091
2016-02-23T14:30,50.82,50.82,50.31,50.34,573179
2016-02-23T16:30,50.35,50.57,50.23,50.36,489936
2016-02-23T18:30,50.37,50.51,50.28,50.37,774484
2016-02-24T14:30,50.06,50.06,49.61,49.84,660708
2016-02-24T16:30,49.84,50.06,49.84,49.96,344066
2016-02-24T18:30,49.95,50.68,49.95,50.52,1130165
2016-02-25T14:30,50.78,51.17,50.58,51.05,541208
2016-02-25T16:30,51.05,51.15,50.9,51.01,412270
2016-02-25T18:30,51.02,51.19,50.93,51.17,805369
2016-02-26T14:30,51.26,51.4,51.02,51.02,637525
2016-02-26T16:30,51.03,51.32,51.02,51.13,460535
2016-02-26T18:30,51.13,51.19,51.01,51.08,955106
2016-02-29T14:30,50.94,51.07,50.54,50.79,520663
2016-02-29T16:30,50.79,51.08,50.79,50.88,335871
2016-02-29T18:30,50.88,50.94,50.4,50.4,857194
2016-03-01T14:30,50.72,51.29,50.51,51.28,545396
2016-03-01T16:30,51.27,51.37,51.21,51.33,443741
2016-03-01T18:30,51.33,51.48,51.25,51.48,906743
2016-03-02T14:30,51.42,51.79,51.35,51.78,651625
2016-03-02T16:30,51.79,51.85,51.52,51.56,381201
2016-03-02T18:30,51.56,51.97,51.46,51.95,1040742
2016-03-03T14:30,51.92,52.01,51.63,51.73,690919
2016-03-03T16:30,51.72,51.87,51.69,51.76,382077
2016-03-03T18:30,51.76,51.99,51.76,51.89,752252
2016-03-04T14:30,51.87,52.03,51.52,51.87,450392
2016-03-04T16:30,51.87,52.02,51.79,51.99,266494
2016-03-04T18:30,51.99,52.1,51.73,51.93,731368
2016-03-07T14:30,51.48,51.89,51.44,51.71,305687
2016-03-07T16:30,51.71,51.87,51.64,51.71,275211
2016-03-07T18:30,51.71,51.8,51.54,51.65,845537
2016-03-08T14:30,51.44,51.59,51.26,51.4,431698
2016-03-08T16:30,51.4,51.65,51.33,51.58,339890
2016-03-08T18:30,51.58,51.66,51.29,51.31,816971
2016-03-09T14:30,51.47,51.57,51.16,51.33,415730
2016-03-09T16:30,51.36,51.37,51.11,51.17,296385
2016-03-09T18:30,51.17,51.33,51.1,51.26,675577
2016-03-10T14:30,51.31,51.65,50.94,51.05,705682
2016-03-10T16:30,51.05,51.2,50.63,50.86,882984
2016-03-10T18:30,50.86,51.11,50.72,51.03,1272594
2016-03-11T14:30,51.59,52.2,51.4,52.17,776444
2016-03-11T16:30,52.17,52.19,51.87,51.91,423535
2016-03-11T18:30,51.9,52.04,51.81,52.03,889164
2016-03-14T13:30,51.79,51.96,51.43,51.47,520171
2016-03-14T15:30,51.48,51.48,51.26,51.33,434299
