date,open,high,low,close,volume
2016-01-04T14:30,10.83,10.87,10.51,10.65,546074
2016-01-04T16:30,10.64,10.935,10.64,10.9,425977
2016-01-04T18:30,10.91,11.14,10.91,11.1,781484
2016-01-05T14:30,11.16,11.26,10.78,10.93,255481
2016-01-05T16:30,10.93,11.13,10.9,11.07,294268
2016-01-05T18:30,11.06,11.2,11.02,11.19,809642
2016-01-06T14:30,11.01,11.145,10.55,10.7,346045
2016-01-06T16:30,10.69,10.69,10.44,10.485,485698
2016-01-06T18:30,10.485,10.515,10.145,10.42,1396559
2016-01-07T14:30,10.03,10.25,10.025,10.0492,781549
2016-01-07T16:30,10.032,10.061,9.75,9.895,458449
2016-01-07T18:30,9.88,9.89,9.59,9.655,1122493
2016-01-08T14:30,9.71,9.81,9.5,9.54,335618
2016-01-08T16:30,9.55,9.6,9.41,9.415,449777
2016-01-08T18:30,9.42,9.54,9.41,9.46,871709
2016-01-11T14:30,9.49,9.51,9,9.14,672400
2016-01-11T16:30,9.13,9.26,8.97,8.97,346581
2016-01-11T18:30,8.965,9.195,8.945,9.17,681326
2016-01-12T14:30,9.29,9.36,8.83,8.85,719838
2016-01-12T16:30,8.85,8.95,8.73,8.79,554177
2016-01-12T18:30,8.78,9.14,8.78,9.02,1020705
2016-01-13T14:30,9.04,9.13,8.82,8.88,431382
2016-01-13T16:30,8.88,8.915,8.64,8.67,406837
2016-01-13T18:30,8.68,8.7,8.49,8.52,677163
2016-01-14T14:30,8.55,8.62,8.225,8.56,563446
2016-01-14T16:30,8.55,8.695,8.43,8.68,211943
2016-01-14T18:30,8.68,8.735,8.58,8.61,682497
2016-01-15T14:30,8.33,8.3767,8.08,8.13,562939
2016-01-15T16:30,8.12,8.15,7.8985,8.02,261863
2016-01-15T18:30,8.01,8.205,8,8.18,617145
2016-01-19T14:30,8.3,8.32,7.77,7.89,370300
2016-01-19T16:30,7.9,7.9283,7.6175,7.7,397901
2016-01-19T18:30,7.7,7.72,7.57,7.62,1337525
2016-01-20T14:30,7.45,7.45,7.02,7.144,975234
2016-01-20T16:30,7.1413,7.31,7.11,7.305,590113
2016-01-20T18:30,7.305,7.79,7.3,7.62,1464600
2016-01-21T14:30,7.66,8.31,7.65,8.16,539964
2016-01-21T16:30,8.18,8.27,8.02,8.02,312482
2016-01-21T18:30,8.02,8.09,7.75,7.81,963189
2016-01-22T14:30,8.02,8.51,8.02,8.48,561580
2016-01-22T16:30,8.48,8.48,8.3,8.345,393679
2016-01-22T18:30,8.35,8.47,8.26,8.27,629014
2016-01-25T14:30,8.15,8.17,7.905,7.96,350560
2016-01-25T16:30,7.955,8.02,7.84,7.9,422056
2016-01-25T18:30,7.91,7.96,7.74,7.81,628860
2016-01-26T14:30,7.8,7.91,7.47,7.89,414946
2016-01-26T16:30,7.89,8.07,7.85,8.06,261916
2016-01-26T18:30,8.06,8.0601,7.96,8.045,537028
2016-01-27T14:30,8.01,8.06,7.79,7.86,217099
2016-01-27T16:30,7.86,8,7.71,7.719,278777
2016-01-27T18:30,7.72,7.8,7.495,7.585,725683
2016-01-28T14:30,7.78,7.84,7.321,7.66,441195
2016-01-28T16:30,7.65,7.6599,7.545,7.565,439886
2016-01-28T18:30,7.58,7.645,7.549,7.595,474178
2016-01-29T14:30,7.7,8.03,7.7,7.9072,334889
2016-01-29T16:30,7.91,8.045,7.88,7.95,172504
2016-01-29T18:30,7.95,8.03,7.865,8.02,537118
2016-02-01T14:30,7.97,8.01,7.86,7.96,272606
2016-02-01T16:30,7.97,8.1,7.93,8.09,241679
2016-02-01T18:30,8.08,8.21,8.07,8.15,622318
2016-02-02T14:30,7.99,8.04,7.78,7.82,396630
2016-02-02T16:30,7.81,7.83,7.63,7.68,236977
2016-02-02T18:30,7.68,7.77,7.64,7.75,701798
2016-02-03T14:30,8.03,8.09,7.56,8.02,804341
2016-02-03T16:30,8.02,8.13,7.88,7.88,351765
2016-02-03T18:30,7.87,7.9,7.74,7.8,722229
2016-02-04T14:30,7.8,8.32,7.72,8.22,399967
2016-02-04T16:30,8.2,8.32,8.11,8.28,266975
2016-02-04T18:30,8.28,8.29,8.12,8.225,460834
2016-02-05T14:30,8.13,8.38,7.63,7.68,397452
2016-02-05T16:30,7.68,7.825,7.64,7.8,344196
2016-02-05T18:30,7.8,7.8,7.595,7.63,1103378
2016-02-08T14:30,7.48,7.57,7.04,7.17,955039
2016-02-08T16:30,7.175,7.305,7.17,7.19,521517
2016-02-08T18:30,7.19,7.305,7.07,7.25,996451
2016-02-09T14:30,7.17,7.24,6.835,6.8902,596808
2016-02-09T16:30,6.89,6.901,6.665,6.73,622880
2016-02-09T18:30,6.74,6.9,6.69,6.76,1211852
2016-02-10T14:30,6.98,7.24,6.75,7.05,530979
2016-02-10T16:30,7.04,7.15,6.93,7.14,368539
2016-02-10T18:30,7.14,7.15,6.89,6.94,568032
2016-02-11T14:30,6.81,7.13,6.6,6.62,397461
2016-02-11T16:30,6.63,6.705,6.6,6.64,343518
2016-02-11T18:30,6.64,6.7,6.5,6.575,827083
2016-02-12T14:30,6.69,6.92,6.535,6.67,322588
2016-02-12T16:30,6.68,6.72,6.565,6.58,191157
2016-02-12T18:30,6.58,6.685,6.55,6.64,570664
2016-02-16T14:30,6.78,6.94,6.64,6.79,290021
2016-02-16T16:30,6.795,6.97,6.795,6.88,355065
2016-02-16T18:30,6.89,7,6.86,6.98,685088
2016-02-17T14:30,7,7.25,7,7.12,733564
2016-02-17T16:30,7.11,7.17,7.095,7.12,306269
2016-02-17T18:30,7.1151,7.165,7.015,7.03,757256
2016-02-18T14:30,7.05,7.31,6.78,6.829,615328
2016-02-18T16:30,6.83,6.965,6.79,6.91,174644
2016-02-18T18:30,6.91,6.95,6.87,6.91,505392
2016-02-19T14:30,6.86,6.93,6.75,6.9,209456
2016-02-19T16:30,6.9,6.92,6.74,6.8,232028
2016-02-19T18:30,6.8,6.81,6.72,6.76,956288
2016-02-22T14:30,6.89,7.29,6.89,7.265,276720
2016-02-22T16:30,7.27,7.5368,7.23,7.53,306953
2016-02-22T18:30,7.535,7.55,7.36,7.39,857826
2016-02-23T14:30,7.36,7.4,7.09,7.165,246930
2016-02-23T16:30,7.17,7.22,7.12,7.215,163885
2016-02-23T18:30,7.215,7.23,7.13,7.2,659417
2016-02-24T14:30,7.04,7.11,7.01,7.08,191774
2016-02-24T16:30,7.07,7.23,7.07,7.2,206542
2016-02-24T18:30,7.2,7.355,7.17,7.35,505528
2016-02-25T14:30,7.37,7.4899,7.23,7.36,230586
2016-02-25T16:30,7.36,7.4,7.2,7.32,180880
2016-02-25T18:30,7.31,7.39,7.3,7.37,304755
2016-02-26T14:30,7.45,7.84,7.405,7.77,401909
2016-02-26T16:30,7.77,7.8,7.725,7.78,253025
2016-02-26T18:30,7.78,7.92,7.74,7.89,509251
2016-02-29T14:30,8,8.38,7.9,8.18,655809
2016-02-29T16:30,8.185,8.245,8.07,8.07,263741
2016-02-29T18:30,8.06,8.09,7.93,7.93,935419
2016-03-01T14:30,7.97,8.27,7.97,8.25,711814
2016-03-01T16:30,8.25,8.33,8.23,8.26,401405
2016-03-01T18:30,8.26,8.51,8.24,8.48,1163664
2016-03-02T14:30,8.55,8.68,8.3,8.4,530078
2016-03-02T16:30,8.41,8.43,8.3,8.34,268923
2016-03-02T18:30,8.3375,8.67,8.3,8.63,937401
2016-03-03T14:30,8.64,8.7,8.47,8.47,379496
2016-03-03T16:30,8.475,8.52,8.29,8.52,325736
2016-03-03T18:30,8.5125,8.7,8.5,8.66,649767
2016-03-04T14:30,9.02,9.955,8.84,9.65,2289375
2016-03-04T16:30,9.65,10.1,9.63,10,1218137
2016-03-04T18:30,9.99,10.2,9.695,9.79,1346698
2016-03-07T14:30,9.65,10.04,9.65,9.875,687844
2016-03-07T16:30,9.87,9.95,9.795,9.82,499261
