date,open,high,low,close,volume
2016-01-04T14:30,19,19,18.62,18.65,2135939
2016-01-04T16:30,18.65,18.79,18.65,18.74,1399297
2016-01-04T18:30,18.73,18.86,18.65,18.86,3115684
2016-01-05T14:30,18.84,18.98,18.67,18.7,2321448
2016-01-05T16:30,18.7,18.8,18.69,18.75,952872
2016-01-05T18:30,18.75,18.87,18.73,18.79,3368349
2016-01-06T14:30,18.47,18.5,18.35,18.42,2519943
2016-01-06T16:30,18.42,18.45,18.36,18.4,1078310
2016-01-06T18:30,18.4,18.46,18.25,18.32,3166566
2016-01-07T14:30,17.99,18.22,17.93,18.17,2814759
2016-01-07T16:30,18.17,18.19,17.92,17.94,1358977
2016-01-07T18:30,17.94,18.05,17.8,17.85,3414798
2016-01-08T14:30,18.02,18.07,17.74,17.75,1856047
2016-01-08T16:30,17.76,17.84,17.67,17.76,1277831
2016-01-08T18:30,17.76,17.83,17.49,17.51,2692785
2016-01-11T14:30,17.76,17.8,17.49,17.53,1569729
2016-01-11T16:30,17.52,17.66,17.5,17.51,981235
2016-01-11T18:30,17.51,17.72,17.43,17.65,2738172
2016-01-12T14:30,17.92,17.97,17.62,17.64,1738910
2016-01-12T16:30,17.64,17.74,17.56,17.59,1464343
2016-01-12T18:30,17.59,17.83,17.53,17.79,2599985
2016-01-13T14:30,18.01,18.05,17.65,17.71,2195669
2016-01-13T16:30,17.71,17.75,17.46,17.49,2180309
2016-01-13T18:30,17.49,17.53,17.18,17.27,3901870
2016-01-14T14:30,17.41,17.69,17.1,17.46,2508116
2016-01-14T16:30,17.46,17.61,17.39,17.59,1223560
2016-01-14T18:30,17.6,17.72,17.54,17.56,3051724
2016-01-15T14:30,16.87,17.15,16.87,17.02,2841713
2016-01-15T16:30,17.02,17.05,16.74,16.86,1446544
2016-01-15T18:30,16.85,17.03,16.84,16.95,2889179
2016-01-19T14:30,16.99,17.29,16.98,17.15,1811187
2016-01-19T16:30,17.16,17.22,16.96,16.97,1467397
2016-01-19T18:30,16.96,17.1,16.92,17.03,4378861
2016-01-20T14:30,16.53,16.88,16.53,16.7,4145075
